time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1402.375,1145.75,1472.625,1252.625,1644.25,2293.5,2405.25,2279.125,2716.75,1332.375,41.35,39.05
0.1,1402.375,1145.75,1472.625,1252.625,1644.25,2293.5,2405.25,2279.25,2716.625,1332.25,41.37,39
0.2,1402.375,1145.75,1472.5,1252.625,1644.25,2293.5,2405.25,2279.125,2716.625,1332.25,41.37,39.05
0.3,1402.375,1145.75,1472.625,1252.625,1644.25,2293.5,2405.25,2279.125,2716.625,1332.25,41.38,39.08
0.4,1402.375,1145.75,1472.625,1252.625,1644.375,2293.5,2405.25,2279.125,2716.625,1332.25,41.37,39.09
0.5,1402.375,1145.75,1472.625,1252.625,1644.25,2293.375,2405.25,2279,2716.5,1332.125,41.37,39
0.6,1402.375,1145.75,1472.5,1252.75,1644.25,2293.375,2405.25,2279,2716.5,1332,41.38,39.01
0.7,1402.5,1145.75,1472.5,1252.625,1644.25,2293.375,2405.25,2279,2716.5,1332,41.38,39.05
0.8,1402.375,1145.625,1472.625,1252.75,1644.25,2293.5,2405.25,2279,2716.5,1332,41.38,39.02
0.9,1402.375,1145.625,1472.625,1252.75,1644.25,2293.375,2405.25,2278.875,2716.5,1332,41.35,39.03
1.0,1402.375,1145.75,1472.625,1252.75,1644.25,2293.375,2405.25,2278.875,2716.5,1331.875,41.38,39.06
1.1,1402.25,1145.625,1472.625,1252.75,1644.25,2293.375,2405.25,2278.875,2716.5,1331.875,41.37,38.99
1.2,1402.375,1145.625,1472.5,1252.75,1644.25,2293.375,2405.25,2278.75,2716.5,1331.875,41.37,39.05
1.3,1402.375,1145.75,1472.625,1252.75,1644.125,2293.375,2405.25,2278.75,2716.375,1331.75,41.35,39.06
1.4,1402.25,1145.625,1472.625,1252.875,1644.125,2293.375,2405.25,2278.75,2716.375,1331.75,41.38,39.05
1.5,1402.375,1145.625,1472.625,1252.75,1644.125,2293.375,2405.125,2278.625,2716.375,1331.75,41.38,39.01
1.6,1402.375,1145.625,1472.625,1252.875,1644.125,2293.375,2405.125,2278.625,2716.375,1331.625,41.38,39.06
1.7,1402.375,1145.625,1472.625,1252.875,1644.125,2293.375,2405.25,2278.625,2716.375,1331.75,41.37,39.05
1.8,1402.375,1145.75,1472.625,1252.875,1644.125,2293.375,2405.25,2278.625,2716.375,1331.625,41.37,39.05
1.9,1402.375,1145.75,1472.625,1252.875,1644.125,2293.375,2405.25,2278.5,2716.375,1331.5,41.37,38.97
2.0,1402.375,1145.875,1472.625,1252.875,1644.25,2293.375,2405.25,2278.5,2716.375,1331.625,41.35,39.03
2.1,1402.375,1145.875,1472.625,1252.875,1644.125,2293.5,2405.25,2278.5,2716.375,1331.625,41.41,39.05
2.2,1402.375,1145.875,1472.625,1252.875,1644.25,2293.375,2405.25,2278.5,2716.375,1331.5,41.38,39.05
2.3,1402.5,1146,1472.625,1253,1644.25,2293.5,2405.25,2278.5,2716.375,1331.5,41.38,39.05
2.4,1402.5,1146,1472.75,1252.875,1644.25,2293.5,2405.25,2278.5,2716.375,1331.5,41.35,39.06
2.5,1402.5,1146,1472.625,1252.875,1644.125,2293.5,2405.25,2278.5,2716.5,1331.5,41.37,39.03
2.6,1402.5,1146.125,1472.625,1253,1644.25,2293.5,2405.375,2278.375,2716.375,1331.5,41.37,39.02
2.7,1402.5,1146.25,1472.625,1253,1644.25,2293.5,2405.25,2278.375,2716.375,1331.5,41.38,39.06
2.8,1402.5,1146.375,1472.625,1253,1644.375,2293.5,2405.25,2278.375,2716.375,1331.5,41.4,39.02
2.9,1402.625,1146.375,1472.625,1253,1644.25,2293.5,2405.25,2278.375,2716.375,1331.5,41.38,39.03
3.0,1402.625,1146.5,1472.75,1253,1644.375,2293.5,2405.375,2278.375,2716.375,1331.5,41.4,39.02
3.1,1402.75,1146.625,1472.625,1253.125,1644.375,2293.5,2405.25,2278.375,2716.375,1331.5,41.41,39.04
3.2,1402.625,1146.75,1472.75,1253.125,1644.375,2293.5,2405.375,2278.375,2716.5,1331.625,41.41,39.05
