time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1289.125,969.5,1444.875,1141.25,1617.875,2292.75,2390.75,1831.625,2509.875,767.75,40.36,39.82
0.1,1289,969.5,1444.875,1141.25,1618,2292.75,2390.75,1831.625,2509.875,767.75,40.37,39.82
0.2,1289,969.5,1444.875,1141.375,1618,2292.75,2390.75,1831.625,2509.875,767.75,40.36,39.86
0.3,1289.125,969.5,1444.875,1141.25,1617.875,2292.75,2390.75,1831.625,2509.875,767.75,40.39,39.88
0.4,1289.125,969.5,1444.875,1141.375,1617.875,2292.75,2390.75,1831.625,2509.875,767.75,40.37,39.88
0.5,1289,969.5,1444.875,1141.25,1617.875,2292.875,2390.75,1831.5,2509.875,767.75,40.37,39.83
0.6,1289,969.5,1444.875,1141.25,1618,2292.75,2390.75,1831.5,2509.875,767.75,40.36,39.83
0.7,1289.125,969.5,1444.875,1141.25,1617.875,2292.75,2390.75,1831.5,2509.875,767.75,40.36,39.86
0.8,1289.125,969.5,1445,1141.25,1617.875,2292.75,2390.75,1831.5,2509.875,767.75,40.37,39.83
0.9,1289,969.375,1444.875,1141.25,1618,2292.75,2390.625,1831.5,2509.875,767.75,40.39,39.86
1.0,1289,969.375,1445,1141.25,1617.875,2292.75,2390.75,1831.5,2509.75,767.75,40.39,39.82
1.1,1289,969.375,1444.875,1141.25,1618,2292.75,2390.75,1831.5,2509.875,767.75,40.39,39.81
1.2,1289,969.375,1445,1141.25,1618,2292.75,2390.75,1831.5,2509.75,767.75,40.37,39.85
1.3,1289,969.5,1444.875,1141.25,1617.875,2292.75,2390.75,1831.5,2509.875,767.75,40.39,39.84
1.4,1289,969.375,1445,1141.25,1617.875,2292.75,2390.75,1831.5,2509.875,767.75,40.4,39.84
1.5,1289,969.375,1444.875,1141.25,1617.875,2292.75,2390.75,1831.375,2509.875,767.75,40.42,39.82
1.6,1289,969.375,1445,1141.25,1617.875,2292.75,2390.75,1831.375,2509.875,767.75,40.37,39.79
1.7,1289,969.5,1445,1141.25,1617.875,2292.75,2390.625,1831.5,2509.75,767.75,40.39,39.82
1.8,1288.875,969.375,1445,1141.25,1617.875,2292.75,2390.75,1831.375,2509.75,767.75,40.4,39.84
