time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1278.125,969.375,1448.625,1129.25,1621.375,2296.75,2394.25,1747.5,2508.375,890.25,40.86,39.2
0.1,1278.125,969.375,1448.625,1129.25,1621.375,2296.75,2394.375,1747.5,2508.375,890.25,40.84,39.21
0.2,1278.125,969.375,1448.625,1129.25,1621.375,2296.75,2394.375,1747.5,2508.5,890.5,40.83,39.18
0.3,1278.125,969.25,1448.625,1129.25,1621.375,2296.75,2394.25,1747.5,2508.625,890.625,40.84,39.18
0.4,1278.125,969.25,1448.625,1129.25,1621.375,2296.75,2394.375,1747.5,2508.625,890.625,40.83,39.24
0.5,1278.125,969.25,1448.625,1129.25,1621.375,2296.625,2394.125,1747.5,2508.625,890.625,40.84,39.2
0.6,1278.125,969.25,1448.625,1129.25,1621.25,2296.625,2394.25,1747.5,2508.625,890.625,40.84,39.21
0.7,1278.125,969.25,1448.625,1129.25,1621.25,2296.625,2394.375,1747.5,2508.625,890.5,40.84,39.18
0.8,1278.125,969.25,1448.625,1129.25,1621.25,2296.625,2394.25,1747.5,2508.625,890.375,40.84,39.2
0.9,1278.125,969.25,1448.625,1129.25,1621.25,2296.625,2394.25,1747.375,2508.625,890.375,40.86,39.16
1.0,1278.125,969.125,1448.625,1129.25,1621.125,2296.625,2394.25,1747.375,2508.625,890.25,40.84,39.2
1.1,1278.125,969.125,1448.625,1129.25,1621.125,2296.625,2394.25,1747.375,2508.625,890.125,40.86,39.17
1.2,1278.125,969.125,1448.625,1129.25,1621.125,2296.5,2394.25,1747.375,2508.625,890,40.84,39.17
1.3,1278.125,969.125,1448.625,1129.25,1621.125,2296.5,2394.125,1747.375,2508.625,890,40.86,39.16
1.4,1278,969.125,1448.625,1129.25,1621.125,2296.5,2394.125,1747.375,2508.625,890,40.84,39.14
1.5,1278.125,969.125,1448.625,1129.25,1621.125,2296.5,2394.25,1747.375,2508.5,889.875,40.87,39.16
1.6,1278.125,969,1448.625,1129.25,1621.125,2296.5,2394.25,1747.375,2508.625,889.75,40.84,39.17
1.7,1278.125,969.125,1448.625,1129.25,1621.125,2296.5,2394.125,1747.375,2508.5,889.75,40.87,39.19
1.8,1278.125,969.125,1448.625,1129.25,1621.125,2296.5,2394.25,1747.375,2508.625,889.625,40.87,39.16
1.9,1278.125,969.125,1448.625,1129.25,1621.125,2296.5,2394.125,1747.375,2508.625,889.625,40.87,39.16
2.0,1278.125,969.125,1448.625,1129.25,1621.125,2296.5,2394.125,1747.375,2508.5,889.5,40.87,39.14
2.1,1278.125,969,1448.625,1129.25,1621.125,2296.5,2394.125,1747.25,2508.625,889.5,40.84,39.2
2.2,1278.125,969.125,1448.625,1129.25,1621.125,2296.375,2394.125,1747.375,2508.5,889.375,40.86,39.16
2.3,1278.125,969,1448.625,1129.25,1621.125,2296.5,2394,1747.25,2508.5,889.375,40.88,39.17
2.4,1278.125,969.125,1448.625,1129.25,1621,2296.375,2394.125,1747.25,2508.625,889.25,40.86,39.16
2.5,1278.125,969,1448.625,1129.25,1621,2296.5,2394.125,1747.25,2508.5,889.25,40.86,39.17
2.6,1278.125,969,1448.625,1129.25,1621,2296.5,2394.125,1747.25,2508.625,889.25,40.86,39.14
2.7,1278.125,969,1448.625,1129.25,1621.125,2296.5,2394.125,1747.25,2508.625,889.125,40.88,39.11
2.8,1278.125,969.125,1448.625,1129.25,1621.125,2296.5,2394,1747.25,2508.625,889.125,40.87,39.13
2.9,1278.125,969,1448.625,1129.25,1621,2296.5,2394.125,1747.25,2508.625,889.125,40.84,39.12
3.0,1278.25,969.125,1448.625,1129.125,1621.125,2296.5,2394,1747.25,2508.625,889,40.86,39.13
3.1,1278.25,969.125,1448.625,1129.25,1621.125,2296.375,2394,1747.25,2508.625,888.875,40.86,39.14
3.2,1278.25,969.125,1448.625,1129.125,1621.125,2296.5,2394.125,1747.125,2508.625,888.875,40.86,39.17
3.3,1278.25,969.125,1448.625,1129.125,1621.125,2296.5,2394,1747.25,2508.625,888.875,40.86,39.14
3.4,1278.25,969.125,1448.625,1129.125,1621.125,2296.5,2394,1747.25,2508.625,888.75,40.88,39.11
3.5,1278.25,969.125,1448.625,1129.125,1621.125,2296.5,2394.125,1747.125,2508.625,888.75,40.86,39.16
3.6,1278.125,969.125,1448.75,1129.125,1621,2296.375,2394,1747.125,2508.5,888.75,40.84,39.12
3.7,1278.25,969.125,1448.75,1129.125,1621.125,2296.375,2394,1747.125,2508.5,888.625,40.88,39.09
3.8,1278.125,969.125,1448.625,1129.125,1621,2296.375,2394.125,1747.125,2508.5,888.625,40.86,39.16
3.9,1278.125,969.125,1448.625,1129.125,1621.125,2296.5,2394,1747.125,2508.5,888.625,40.87,39.11
4.0,1278.125,969.125,1448.625,1129.125,1621,2296.375,2394,1747.125,2508.5,888.5,40.86,39.13
4.1,1278.25,969.125,1448.625,1129.125,1621,2296.375,2394,1747.125,2508.625,888.5,40.88,39.14
4.2,1278.25,969.125,1448.75,1129.125,1621,2296.375,2394,1747.125,2508.5,888.375,40.87,39.11
4.3,1278.25,969.125,1448.625,1129.125,1621.125,2296.375,2393.875,1747.125,2508.625,888.375,40.87,39.13
4.4,1278.125,969.125,1448.75,1129.125,1621.125,2296.375,2394,1747.125,2508.625,888.375,40.87,39.16
4.5,1278.25,969.125,1448.75,1129.125,1621,2296.375,2394,1747.125,2508.5,888.25,40.87,39.08
4.6,1278.25,969.125,1448.75,1129.125,1621,2296.375,2394,1747.125,2508.625,888.25,40.86,39.1
4.7,1278.125,969.125,1448.75,1129.125,1621,2296.25,2394,1747.125,2508.625,888.125,40.87,39.13
4.8,1278.125,969.125,1448.75,1129.25,1621,2296.375,2394.125,1747.125,2508.625,888.125,40.84,39.11
4.9,1278.125,969.125,1448.75,1129.125,1621,2296.25,2394,1747.125,2508.625,888.125,40.88,39.1
5.0,1278.25,969.125,1448.75,1129.125,1621,2296.25,2394,1747,2508.625,888.125,40.88,39.1
5.1,1278.25,969.125,1448.625,1129.125,1621,2296.25,2394,1747.125,2508.625,888,40.86,39.06
5.2,1278.25,969.25,1448.625,1129,1621,2296.25,2394,1747,2508.75,888,40.87,39.07
5.3,1278.25,969.25,1448.5,1129,1621,2296.25,2394,1747,2509,888,40.87,39.07
5.4,1278.25,969.375,1448.5,1129,1621,2296.25,2394,1747,2510,887.875,40.86,39.08
5.5,1278.375,969.5,1448.375,1129,1621.125,2296.625,2393.875,1747,2511.5,887.75,40.86,39.11
5.6,1278.375,969.625,1448.375,1129.25,1621.125,2297.375,2394.25,1747,2513.5,887.75,40.87,39.06
5.7,1278.375,970,1448.375,1129.875,1621.5,2298.875,2394.75,1747.25,2516.125,888,40.88,39.11
5.8,1278.625,970.625,1448.375,1131.125,1622.125,2301.5,2395.625,1747.75,2519.125,888.5,40.87,39.07
5.9,1278.875,971.5,1448.375,1133.625,1623.25,2305.25,2396.375,1749.125,2522.75,889,40.87,39.07
6.0,1279.625,972.75,1448.625,1137.75,1625,2310.125,2397.625,1752.125,2527,889.75,40.87,39.08
