time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1337.375,1049.25,1529.125,1198.875,1600.5,2261.75,2367.75,2121.75,2556.125,1062.5,39.29,40.62
0.1,1337.375,1049.25,1529.125,1198.875,1600.5,2261.625,2367.75,2121.75,2556.125,1062.5,39.31,40.63
0.2,1337.25,1049.25,1529.125,1198.875,1600.5,2261.75,2367.75,2121.75,2556.125,1062.5,39.33,40.66
0.3,1337.375,1049.25,1529.125,1198.875,1600.5,2261.75,2367.625,2121.875,2556.125,1062.5,39.28,40.58
0.4,1337.375,1049.375,1529.125,1198.875,1600.5,2261.75,2367.75,2121.75,2556.125,1062.5,39.33,40.66
0.5,1337.375,1049.25,1529.125,1199,1600.5,2261.75,2367.75,2121.75,2556.125,1062.625,39.29,40.59
0.6,1337.375,1049.375,1529.125,1198.875,1600.5,2261.75,2367.75,2121.75,2556.125,1062.625,39.31,40.63
0.7,1337.375,1049.375,1529.125,1198.875,1600.5,2261.75,2367.625,2121.875,2556.125,1062.5,39.32,40.64
0.8,1337.375,1049.5,1529.125,1199,1600.5,2261.75,2367.75,2121.875,2556.125,1062.5,39.31,40.61
0.9,1337.375,1049.5,1529.125,1199,1600.625,2261.75,2367.75,2121.875,2556.125,1062.625,39.31,40.67
1.0,1337.375,1049.5,1529.125,1199,1600.625,2261.625,2367.75,2121.875,2556.125,1062.5,39.31,40.63
1.1,1337.375,1049.5,1529.125,1199,1600.625,2261.75,2367.875,2121.875,2556.125,1062.625,39.32,40.6
1.2,1337.5,1049.5,1529.125,1199,1600.625,2261.625,2367.75,2121.875,2556.125,1062.625,39.33,40.6
1.3,1337.5,1049.625,1529.125,1199,1600.5,2261.625,2367.75,2121.875,2556.125,1062.625,39.32,40.57
1.4,1337.5,1049.625,1529.125,1199,1600.5,2261.75,2367.75,2122,2556.125,1062.5,39.33,40.63
1.5,1337.5,1049.625,1529.125,1199,1600.5,2261.625,2367.75,2122,2556.125,1062.625,39.29,40.58
1.6,1337.5,1049.625,1529.125,1199,1600.5,2261.625,2367.625,2122,2556.125,1062.625,39.33,40.6
1.7,1337.5,1049.625,1529.125,1199,1600.625,2261.625,2367.625,2122,2556.125,1062.625,39.33,40.58
1.8,1337.375,1049.625,1529.125,1199,1600.625,2261.625,2367.75,2122,2556.125,1062.625,39.33,40.6
1.9,1337.5,1049.75,1529.125,1199,1600.625,2261.75,2367.625,2122.125,2556.125,1062.625,39.33,40.6
2.0,1337.375,1049.625,1529,1199,1600.5,2261.625,2367.75,2122.125,2556.125,1062.625,39.35,40.57
2.1,1337.375,1049.75,1529.125,1199,1600.5,2261.625,2367.75,2122.125,2556.25,1062.625,39.33,40.6
2.2,1337.375,1049.75,1529.125,1199,1600.625,2261.625,2367.625,2122.125,2556.125,1062.625,39.33,40.6
2.3,1337.375,1049.75,1529.125,1199,1600.625,2261.625,2367.75,2122.125,2556.25,1062.625,39.35,40.61
2.4,1337.375,1049.75,1529.125,1199,1600.625,2261.625,2367.75,2122.125,2556.125,1062.625,39.33,40.61
2.5,1337.375,1049.75,1529.125,1199,1600.5,2261.625,2367.75,2122.125,2556.125,1062.625,39.32,40.58
2.6,1337.375,1049.75,1529.125,1199,1600.5,2261.625,2367.75,2122.125,2556.125,1062.625,39.32,40.58
2.7,1337.375,1049.75,1529,1199,1600.625,2261.625,2367.75,2122.125,2556.125,1062.625,39.32,40.61
2.8,1337.375,1049.75,1529,1199,1600.5,2261.625,2367.75,2122.125,2556.125,1062.625,39.32,40.63
2.9,1337.375,1049.875,1529,1199,1600.625,2261.625,2367.75,2122.25,2556.125,1062.625,39.33,40.6
3.0,1337.5,1049.875,1529,1199,1600.625,2261.625,2367.75,2122.25,2556.125,1062.625,39.33,40.61
3.1,1337.375,1049.875,1529,1199.125,1600.5,2261.625,2367.75,2122.25,2556.125,1062.625,39.32,40.6
3.2,1337.375,1050,1529,1199.125,1600.625,2261.625,2367.75,2122.25,2556.25,1062.625,39.33,40.6
3.3,1337.5,1050,1529,1199.125,1600.625,2261.625,2367.75,2122.25,2556.125,1062.75,39.33,40.58
3.4,1337.5,1050,1529.125,1199.125,1600.625,2261.625,2367.75,2122.25,2556.25,1062.75,39.33,40.6
3.5,1337.5,1050,1529,1199.125,1600.625,2261.625,2367.625,2122.25,2556.25,1062.625,39.35,40.57
3.6,1337.5,1050.125,1529,1199.125,1600.625,2261.625,2367.75,2122.25,2556.25,1062.75,39.35,40.63
