time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1459,1414.125,1509.875,1322.75,1618.875,2273.125,2368.125,2604.375,2700.75,1645.375,39.75,39.54
0.1,1458.875,1414,1509.75,1322.75,1618.875,2273.125,2368.125,2604.375,2700.75,1645.25,39.73,39.48
0.2,1458.875,1414,1509.875,1322.75,1618.875,2273.125,2368.125,2604.25,2700.75,1645.125,39.75,39.44
0.3,1458.875,1414,1509.75,1322.75,1618.875,2273.125,2368.125,2604.125,2700.75,1645,39.76,39.48
0.4,1458.875,1413.875,1509.875,1322.625,1618.875,2273.125,2368,2604.125,2700.75,1644.875,39.76,39.48
0.5,1458.875,1413.875,1509.75,1322.625,1618.875,2273.125,2368.125,2604,2700.875,1644.75,39.75,39.44
0.6,1458.75,1413.75,1509.75,1322.625,1618.875,2273.125,2368,2604,2700.75,1644.75,39.76,39.49
0.7,1458.75,1413.75,1509.875,1322.5,1618.875,2273.125,2368,2603.875,2700.875,1644.625,39.75,39.49
0.8,1458.75,1413.75,1509.75,1322.5,1618.875,2273.125,2368.125,2603.75,2700.875,1644.625,39.76,39.49
0.9,1458.625,1413.625,1509.75,1322.5,1618.875,2273.125,2368.125,2603.625,2700.875,1644.5,39.77,39.46
1.0,1458.625,1413.625,1509.75,1322.375,1618.875,2273.125,2368,2603.625,2701,1644.5,39.75,39.52
1.1,1458.625,1413.625,1509.75,1322.375,1618.875,2273.125,2368,2603.625,2701,1644.375,39.77,39.48
1.2,1458.625,1413.5,1509.75,1322.375,1618.875,2273.125,2368.125,2603.5,2701,1644.375,39.76,39.45
1.3,1458.5,1413.5,1509.75,1322.375,1618.875,2273.125,2368,2603.5,2701.125,1644.25,39.77,39.44
1.4,1458.5,1413.5,1509.75,1322.375,1618.875,2273.125,2368,2603.5,2701,1644.25,39.76,39.48
1.5,1458.5,1413.375,1509.75,1322.25,1618.875,2273.125,2368,2603.375,2701,1644.125,39.79,39.47
1.6,1458.5,1413.375,1509.75,1322.25,1618.875,2273.125,2368.125,2603.25,2701.125,1644.125,39.77,39.46
1.7,1458.5,1413.375,1509.75,1322.25,1618.875,2273.125,2368,2603.25,2701.125,1644.125,39.77,39.5
1.8,1458.375,1413.25,1509.75,1322.25,1618.875,2273.125,2368.125,2603.25,2701.125,1644.125,39.79,39.47
1.9,1458.375,1413.25,1509.75,1322.25,1618.75,2273.125,2368.125,2603.125,2701.125,1644.125,39.76,39.47
2.0,1458.375,1413.25,1509.75,1322.125,1618.875,2273.125,2368,2603,2701.25,1644,39.77,39.5
2.1,1458.25,1413.25,1509.75,1322.125,1618.875,2273.125,2368,2603,2701.25,1644,39.79,39.5
2.2,1458.25,1413.25,1509.625,1322.125,1618.875,2273.125,2368,2603,2701.25,1643.875,39.76,39.49
2.3,1458.25,1413.25,1509.625,1322,1618.875,2273.125,2368,2602.875,2701.375,1643.875,39.76,39.45
2.4,1458.25,1413.125,1509.625,1322,1618.875,2273.125,2368,2602.75,2701.375,1643.875,39.75,39.44
2.5,1458.25,1413.125,1509.625,1322.125,1618.875,2273.125,2368,2602.75,2701.375,1643.875,39.76,39.45
2.6,1458.125,1413.125,1509.625,1322,1618.875,2273,2368,2602.625,2701.5,1643.75,39.76,39.49
2.7,1458.125,1413.125,1509.625,1322,1618.875,2273.125,2368,2602.625,2701.5,1643.875,39.77,39.43
2.8,1458.125,1413.125,1509.625,1322,1618.875,2273.125,2368,2602.625,2701.5,1643.75,39.77,39.46
2.9,1458.125,1413,1509.625,1322,1618.875,2273.125,2368,2602.5,2701.625,1643.75,39.79,39.44
3.0,1458.125,1413,1509.625,1322,1618.75,2273.125,2368,2602.5,2701.625,1643.75,39.79,39.41
