time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1347.375,1160.875,1485.25,1207,1602.25,2265.625,2367.5,2224.375,2605.375,1412.25,39.82,39.15
0.1,1347.25,1160.75,1485.25,1206.875,1602.125,2265.625,2367.5,2224.25,2605.25,1412.125,39.83,39.14
0.2,1347.25,1160.75,1485.25,1206.875,1602.125,2265.625,2367.5,2224.25,2605.25,1412,39.83,39.11
0.3,1347.25,1160.625,1485.25,1206.875,1602.125,2265.625,2367.5,2224.125,2605.25,1411.875,39.83,39.16
0.4,1347.125,1160.5,1485.25,1206.875,1602.125,2265.625,2367.5,2224.125,2605.25,1411.75,39.82,39.11
0.5,1347.125,1160.375,1485.25,1206.75,1602.125,2265.625,2367.5,2224,2605.25,1411.75,39.85,39.1
0.6,1347.125,1160.375,1485.25,1206.75,1602.125,2265.5,2367.5,2223.875,2605.125,1411.625,39.83,39.1
0.7,1347.125,1160.25,1485.25,1206.75,1602,2265.5,2367.5,2223.875,2605.125,1411.5,39.83,39.1
0.8,1347.125,1160.125,1485.25,1206.625,1602,2265.625,2367.375,2223.75,2605.125,1411.5,39.86,39.15
0.9,1347.125,1160.125,1485.25,1206.625,1602,2265.625,2367.5,2223.75,2605.125,1411.375,39.83,39.07
1.0,1347,1160,1485.25,1206.625,1602,2265.625,2367.375,2223.75,2605.125,1411.25,39.85,39.06
1.1,1347,1160,1485.125,1206.5,1602,2265.5,2367.375,2223.625,2605.125,1411.25,39.82,39.1
1.2,1347,1159.875,1485.125,1206.5,1601.875,2265.5,2367.5,2223.5,2605,1411.125,39.83,39.08
1.3,1347,1159.875,1485.125,1206.5,1601.875,2265.625,2367.5,2223.375,2605,1411.125,39.85,39.11
1.4,1347,1159.75,1485.125,1206.5,1601.875,2265.625,2367.375,2223.375,2605,1411,39.86,39.09
1.5,1347,1159.625,1485.125,1206.375,1602,2265.625,2367.5,2223.25,2604.875,1411,39.85,39.1
1.6,1347,1159.625,1485.125,1206.375,1602,2265.625,2367.5,2223.25,2604.875,1410.875,39.86,39.03
1.7,1346.875,1159.5,1485.125,1206.375,1602,2265.625,2367.375,2223.125,2604.875,1410.75,39.83,39.13
1.8,1346.875,1159.5,1485.125,1206.375,1601.875,2265.625,2367.5,2223,2604.875,1410.75,39.85,39.06
1.9,1346.875,1159.5,1485.125,1206.25,1601.875,2265.625,2367.375,2223,2604.875,1410.75,39.85,39.08
2.0,1346.875,1159.375,1485.125,1206.25,1601.875,2265.625,2367.375,2222.875,2604.75,1410.625,39.83,39.07
2.1,1346.75,1159.375,1485.125,1206.25,1601.875,2265.625,2367.5,2222.875,2604.75,1410.5,39.85,39.04
2.2,1346.75,1159.25,1485.125,1206.25,1601.875,2265.625,2367.5,2222.75,2604.75,1410.5,39.85,39.07
2.3,1346.75,1159.25,1485.125,1206.125,1601.875,2265.625,2367.5,2222.75,2604.75,1410.375,39.85,39.06
2.4,1346.75,1159.125,1485.125,1206.125,1601.875,2265.75,2367.375,2222.625,2604.75,1410.375,39.85,39.04
2.5,1346.75,1159.125,1485.125,1206.125,1601.875,2265.75,2367.5,2222.625,2604.75,1410.25,39.86,39.09
2.6,1346.75,1159,1485.125,1206.125,1601.875,2265.625,2367.5,2222.5,2604.75,1410.25,39.86,39.07
2.7,1346.625,1159,1485.125,1206.125,1601.875,2265.625,2367.5,2222.5,2604.625,1410.125,39.88,39.04
2.8,1346.625,1159,1485.125,1206,1601.875,2265.75,2367.5,2222.375,2604.75,1410.125,39.83,39.07
2.9,1346.625,1158.875,1485.125,1206,1601.875,2265.75,2367.5,2222.25,2604.625,1410.125,39.85,39.06
3.0,1346.625,1158.875,1485.125,1206,1601.875,2265.75,2367.5,2222.25,2604.625,1410,39.86,39.07
3.1,1346.625,1158.875,1485.125,1206,1601.875,2265.75,2367.5,2222.25,2604.625,1410,39.85,39.04
3.2,1346.625,1158.875,1485,1206,1601.875,2265.75,2367.625,2222.25,2604.625,1410,39.86,39.04
