time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1265,1010.625,1434.125,1132.125,1595.375,2279.625,2372.125,1864.375,2507.375,968.625,40.71,36.87
0.1,1265,1010.75,1434.125,1132.25,1595.375,2279.625,2372.125,1864.375,2507.375,968.5,40.71,36.95
0.2,1265,1010.75,1434.125,1132.25,1595.375,2279.625,2372.125,1864.375,2507.375,968.375,40.71,36.87
0.3,1265,1010.75,1434.125,1132.25,1595.375,2279.625,2372.125,1864.5,2507.375,968.25,40.73,36.87
0.4,1265.125,1010.75,1434.125,1132.25,1595.375,2279.625,2372.125,1864.375,2507.25,968.125,40.71,36.92
0.5,1265.125,1010.625,1434.125,1132.25,1595.375,2279.625,2372,1864.375,2507.375,968,40.73,36.89
0.6,1265.125,1010.625,1434.125,1132.25,1595.375,2279.625,2372.125,1864.375,2507.25,968,40.73,36.89
0.7,1265.125,1010.625,1434.125,1132.25,1595.375,2279.625,2372.125,1864.5,2507.25,967.875,40.7,36.87
0.8,1265.125,1010.625,1434.125,1132.25,1595.375,2279.625,2372.125,1864.375,2507.25,967.75,40.74,36.87
0.9,1265.125,1010.625,1434.125,1132.25,1595.375,2279.625,2372.125,1864.375,2507.125,967.75,40.71,36.87
1.0,1265.125,1010.625,1434.125,1132.25,1595.5,2279.625,2372.125,1864.375,2507.25,967.5,40.74,36.85
1.1,1265.125,1010.625,1434.125,1132.25,1595.375,2279.75,2372.125,1864.5,2507.25,967.5,40.76,36.92
1.2,1265.125,1010.625,1434.125,1132.25,1595.5,2279.625,2372.125,1864.375,2507.25,967.375,40.76,36.93
1.3,1265.125,1010.5,1434.125,1132.25,1595.375,2279.75,2372.125,1864.5,2507.25,967.25,40.76,36.91
1.4,1265.125,1010.5,1434.125,1132.25,1595.375,2279.625,2372.125,1864.375,2507.25,967.25,40.74,36.86
1.5,1265.125,1010.625,1434.125,1132.25,1595.5,2279.625,2372.125,1864.375,2507.125,967.125,40.73,36.86
1.6,1265.125,1010.5,1434.125,1132.25,1595.5,2279.75,2372.125,1864.375,2507.125,967,40.74,36.82
1.7,1265.125,1010.5,1434.125,1132.25,1595.375,2279.625,2372.125,1864.375,2507.25,967,40.74,36.85
1.8,1265.125,1010.5,1434.125,1132.25,1595.375,2279.625,2372.125,1864.375,2507.125,966.875,40.76,36.86
1.9,1265.25,1010.5,1434.125,1132.375,1595.5,2279.75,2372.125,1864.375,2507.125,966.75,40.74,36.87
2.0,1265.25,1010.5,1434.125,1132.25,1595.5,2279.75,2372.125,1864.375,2507.25,966.625,40.73,36.86
2.1,1265.25,1010.375,1434.125,1132.375,1595.5,2279.75,2372.125,1864.375,2507.25,966.625,40.74,36.87
2.2,1265.25,1010.5,1434.125,1132.25,1595.5,2279.625,2372.25,1864.375,2507.125,966.5,40.74,36.83
2.3,1265.25,1010.5,1434.125,1132.375,1595.375,2279.625,2372.25,1864.5,2507.125,966.5,40.73,36.84
2.4,1265.25,1010.375,1434.125,1132.375,1595.5,2279.625,2372.125,1864.375,2507.125,966.375,40.76,36.86
2.5,1265.25,1010.375,1434.125,1132.375,1595.5,2279.75,2372.125,1864.375,2507.125,966.25,40.71,36.89
2.6,1265.25,1010.375,1434.125,1132.375,1595.5,2279.75,2372.125,1864.375,2507.25,966.25,40.76,36.86
2.7,1265.125,1010.375,1434.25,1132.375,1595.5,2279.75,2372.125,1864.375,2507.25,966.125,40.73,36.87
2.8,1265.25,1010.375,1434.125,1132.375,1595.5,2279.75,2372.125,1864.375,2507.25,966.125,40.76,36.88
2.9,1265.25,1010.25,1434.125,1132.375,1595.5,2279.75,2372.25,1864.375,2507.25,966,40.74,36.85
3.0,1265.25,1010.25,1434.125,1132.375,1595.5,2279.75,2372.125,1864.375,2507.125,966,40.74,36.86
3.1,1265.25,1010.25,1434.25,1132.375,1595.5,2279.75,2372.125,1864.375,2507.125,965.875,40.76,36.86
3.2,1265.25,1010.25,1434.125,1132.375,1595.5,2279.75,2372.125,1864.375,2507.125,965.75,40.76,36.89
3.3,1265.25,1010.25,1434.125,1132.375,1595.5,2279.75,2372.125,1864.375,2507.125,965.75,40.74,36.83
3.4,1265.25,1010.125,1434.125,1132.375,1595.5,2279.75,2372.25,1864.375,2507.25,965.625,40.74,36.87
3.5,1265.25,1010.125,1434.125,1132.375,1595.5,2279.75,2372.125,1864.375,2507.125,965.5,40.73,36.86
3.6,1265.25,1010.125,1434.125,1132.375,1595.5,2279.75,2372.25,1864.375,2507.25,965.5,40.74,36.87
3.7,1265.25,1010.125,1434.25,1132.375,1595.5,2279.75,2372.125,1864.375,2507.125,965.5,40.76,36.83
3.8,1265.25,1010.125,1434.125,1132.375,1595.5,2279.75,2372.25,1864.375,2507.125,965.375,40.76,36.89
3.9,1265.25,1010.125,1434.125,1132.5,1595.5,2279.625,2372.25,1864.375,2507.125,965.375,40.74,36.85
4.0,1265.25,1010.125,1434.25,1132.5,1595.5,2279.75,2372.25,1864.5,2507.125,965.25,40.74,36.83
4.1,1265.375,1010.125,1434.25,1132.5,1595.5,2279.75,2372.25,1864.375,2507.125,965.25,40.76,36.85
4.2,1265.25,1010.125,1434.125,1132.5,1595.625,2279.75,2372.25,1864.375,2507.25,965.125,40.74,36.85
4.3,1265.375,1010.125,1434.25,1132.5,1595.5,2279.75,2372.25,1864.375,2507.125,965.125,40.76,36.85
4.4,1265.375,1010.125,1434.25,1132.5,1595.5,2279.75,2372.25,1864.375,2507.25,965,40.76,36.85
4.5,1265.375,1010.125,1434.25,1132.5,1595.625,2279.75,2372.25,1864.375,2507.25,965,40.74,36.86
4.6,1265.375,1010.125,1434.25,1132.5,1595.625,2279.75,2372.25,1864.375,2507.25,965,40.74,36.82
