time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1274,1002.375,1437.625,1140.25,1598.875,2283.625,2374.5,1829.625,2529.25,912,41.42,35.57
0.1,1274.125,1002.375,1437.625,1140.375,1598.875,2283.5,2374.5,1829.875,2529.25,911.875,41.44,35.56
0.2,1274.25,1002.375,1437.75,1140.5,1598.875,2283.5,2374.375,1830,2529.25,911.875,41.44,35.63
0.3,1274.375,1002.375,1437.625,1140.625,1598.875,2283.5,2374.375,1830.125,2529.125,911.75,41.47,35.57
0.4,1274.5,1002.5,1437.625,1140.625,1598.875,2283.375,2374.375,1830.5,2529.125,911.875,41.44,35.61
0.5,1274.5,1002.5,1437.75,1140.75,1598.875,2283.375,2374.375,1830.625,2529.25,911.75,41.44,35.61
0.6,1274.625,1002.5,1437.625,1141,1598.875,2283.25,2374.375,1830.875,2529.25,911.75,41.42,35.54
0.7,1274.75,1002.5,1437.75,1141.125,1598.875,2283.25,2374.25,1831.125,2529.25,911.625,41.42,35.58
0.8,1274.875,1002.5,1437.75,1141.25,1598.875,2283.25,2374.25,1831.25,2529.25,911.625,41.45,35.63
0.9,1274.875,1002.5,1437.75,1141.375,1598.875,2283.25,2374.25,1831.5,2529.25,911.625,41.47,35.62
1.0,1275,1002.625,1437.75,1141.5,1598.875,2283.125,2374.25,1831.75,2529.375,911.5,41.44,35.57
1.1,1275.125,1002.5,1437.75,1141.625,1598.875,2283.125,2374.25,1832,2529.25,911.5,41.47,35.57
1.2,1275.25,1002.625,1437.875,1141.75,1598.875,2283.125,2374.125,1832.125,2529.375,911.5,41.45,35.61
1.3,1275.375,1002.625,1437.75,1141.875,1598.875,2283.125,2374.125,1832.375,2529.25,911.5,41.47,35.6
1.4,1275.5,1002.625,1437.875,1141.875,1598.875,2283,2374.125,1832.625,2529.375,911.5,41.48,35.56
1.5,1275.5,1002.625,1437.875,1142,1598.75,2283,2374.125,1832.75,2529.375,911.375,41.45,35.58
1.6,1275.625,1002.625,1437.875,1142.125,1598.75,2283,2374.125,1833,2529.375,911.375,41.47,35.56
1.7,1275.75,1002.625,1437.875,1142.375,1598.75,2283,2374,1833.25,2529.5,911.375,41.47,35.62
1.8,1275.875,1002.625,1437.875,1142.375,1598.75,2283,2374.125,1833.5,2529.5,911.25,41.45,35.56
1.9,1276,1002.625,1437.875,1142.5,1598.75,2283,2374.125,1833.625,2529.5,911.25,41.45,35.56
2.0,1276,1002.625,1437.875,1142.625,1598.75,2283,2374.125,1833.875,2529.375,911.25,41.45,35.54
2.1,1276.125,1002.75,1437.875,1142.625,1598.75,2283,2374.125,1834.125,2529.5,911.25,41.45,35.56
2.2,1276.25,1002.75,1437.875,1142.75,1598.75,2283,2374,1834.25,2529.625,911.25,41.47,35.56
2.3,1276.375,1002.75,1437.875,1142.875,1598.75,2283,2374,1834.5,2529.5,911.125,41.45,35.56
2.4,1276.5,1002.75,1437.875,1143,1598.75,2282.875,2374.125,1834.625,2529.5,911.125,41.47,35.54
2.5,1276.625,1002.875,1437.875,1143,1598.75,2283,2374.125,1834.875,2529.5,911.125,41.47,35.57
2.6,1276.75,1002.875,1437.875,1143.125,1598.75,2282.875,2374,1835.125,2529.5,911.125,41.47,35.5
2.7,1276.75,1002.875,1437.875,1143.25,1598.75,2283,2374.125,1835.25,2529.625,911.125,41.47,35.53
2.8,1277,1002.875,1437.875,1143.375,1598.75,2283,2374.125,1835.5,2529.75,911,41.47,35.5
2.9,1277,1003,1437.875,1143.375,1598.75,2283,2374.125,1835.625,2529.75,911,41.47,35.57
3.0,1277.125,1003,1437.875,1143.5,1598.75,2283,2374,1835.875,2529.75,911,41.47,35.53
3.1,1277.25,1002.875,1437.875,1143.625,1598.75,2283,2374.125,1836.125,2529.75,911,41.47,35.51
3.2,1277.375,1003,1437.875,1143.75,1598.75,2283,2374.125,1836.25,2529.75,911,41.47,35.54
3.3,1277.375,1003,1437.875,1143.75,1598.75,2283,2374.125,1836.375,2529.75,910.875,41.47,35.56
3.4,1277.5,1003,1437.875,1143.875,1598.75,2283,2374.125,1836.625,2529.875,910.875,41.47,35.51
3.5,1277.5,1003,1437.875,1144,1598.75,2283,2374.125,1836.875,2529.75,910.875,41.47,35.51
3.6,1277.625,1003.125,1437.875,1144,1598.75,2283,2374.125,1837,2529.875,910.875,41.47,35.56
3.7,1277.75,1003.125,1437.875,1144.125,1598.75,2283,2374.125,1837.125,2529.875,910.75,41.48,35.53
3.8,1277.875,1003.125,1437.875,1144.125,1598.75,2283,2374.125,1837.375,2529.75,910.75,41.47,35.51
3.9,1277.875,1003.125,1437.875,1144.25,1598.75,2283,2374.125,1837.5,2529.875,910.75,41.48,35.53
4.0,1278,1003.125,1437.875,1144.25,1598.75,2283,2374.125,1837.625,2529.875,910.75,41.48,35.48
4.1,1278.125,1003.125,1437.875,1144.375,1598.75,2283,2374.125,1837.875,2529.875,910.75,41.48,35.51
4.2,1278.125,1003.125,1437.875,1144.375,1598.875,2283,2374.125,1838,2529.875,910.75,41.45,35.52
4.3,1278.125,1003.125,1437.875,1144.5,1598.75,2283,2374.125,1838.25,2529.875,910.75,41.47,35.5
4.4,1278.25,1003.125,1437.875,1144.625,1598.75,2283,2374.125,1838.375,2529.875,910.75,41.49,35.53
4.5,1278.25,1003.125,1437.875,1144.625,1598.75,2283,2374.125,1838.5,2529.875,910.625,41.47,35.5
4.6,1278.375,1003.125,1437.875,1144.625,1598.75,2283,2374.125,1838.625,2530,910.625,41.47,35.51
4.7,1278.5,1003.25,1437.875,1144.625,1598.75,2283,2374.125,1838.875,2530,910.625,41.47,35.51
4.8,1278.5,1003.125,1437.875,1144.75,1598.75,2283,2374.125,1839,2529.875,910.5,41.47,35.48
4.9,1278.5,1003.125,1437.875,1144.75,1598.75,2283,2374.125,1839.125,2529.875,910.625,41.48,35.54
5.0,1278.625,1003.25,1437.875,1144.875,1598.75,2283,2374.125,1839.25,2530,910.5,41.47,35.56
5.1,1278.625,1003.125,1437.75,1144.875,1598.75,2283,2374.125,1839.375,2530,910.5,41.45,35.52
5.2,1278.75,1003.125,1437.75,1144.75,1598.75,2283,2374,1839.5,2530,910.375,41.48,35.47
5.3,1278.75,1003.25,1437.625,1144.75,1598.75,2283,2374,1839.625,2530.375,910.375,41.48,35.46
5.4,1278.875,1003.25,1437.625,1144.875,1598.75,2283,2374,1839.875,2531.625,910.375,41.47,35.48
5.5,1278.875,1003.25,1437.625,1144.875,1598.875,2283.25,2374.25,1839.875,2533.125,910.375,41.47,35.48
5.6,1279,1003.375,1437.5,1144.875,1598.875,2283.5,2374.625,1840.125,2534.625,910.375,41.48,35.53
5.7,1279,1003.625,1437.5,1145,1599,2284.25,2375.25,1840.25,2536.375,910.625,41.47,35.5
5.8,1279.125,1004,1437.5,1145,1599.125,2285.125,2376.125,1840.625,2538.25,911.125,41.45,35.48
5.9,1279.125,1004.5,1437.5,1145.25,1599.375,2286.625,2377.125,1840.875,2540,911.875,41.48,35.48
6.0,1279.25,1005.375,1437.375,1145.375,1599.75,2288.375,2378.5,1841.25,2542,912.625,41.47,35.51
6.1,1279.5,1006.625,1437.375,1145.75,1600.125,2290.625,2380,1841.625,2544.375,913.625,41.48,35.5
6.2,1279.625,1008.25,1437.375,1146.125,1600.75,2293.25,2381.75,1842.25,2546.875,914.75,41.47,35.5
6.3,1279.875,1010.375,1437.375,1146.625,1601.5,2296.25,2383.625,1843,2549.25,916.375,41.47,35.48
6.4,1280.25,1013,1437.5,1147.25,1602.375,2299.5,2385.75,1843.875,2551.25,918.125,41.48,35.44
6.5,1280.625,1016.125,1437.5,1147.875,1603.5,2303.25,2387.875,1844.875,2553.5,920.125,41.47,35.47
6.6,1281.125,1019.75,1437.625,1148.75,1604.625,2307.125,2390.125,1846.125,2555.875,922.375,41.47,35.5
6.7,1281.625,1023.75,1437.625,1149.625,1606.125,2311,2392.375,1847.5,2558.5,924.625,41.48,35.47
6.8,1282.25,1028.375,1437.625,1150.875,1607.875,2315.125,2394.75,1849.125,2561,927.25,41.44,35.52
6.9,1283,1033.375,1437.75,1152,1609.625,2319.125,2397,1851,2563.375,930,41.45,35.52
7.0,1283.75,1038.875,1437.875,1153.375,1611.75,2323.25,2399.375,1852.875,2565.75,932.75,41.47,35.51
7.1,1284.625,1044.75,1438,1155,1614,2327.375,2401.75,1855,2568.375,935.75,41.47,35.56
7.2,1285.625,1051.125,1438.125,1156.625,1616.5,2331.5,2404,1857.25,2571.25,939,41.48,35.53
7.3,1286.75,1057.75,1438.25,1158.375,1619,2335.625,2406.25,1859.75,2574,942.125,41.47,35.59
7.4,1287.875,1065,1438.375,1160.375,1621.75,2339.625,2408.625,1862.25,2576.875,945.5,41.45,35.54
7.5,1289.125,1072.5,1438.625,1162.375,1624.5,2343.625,2410.75,1865.125,2579.75,949,41.47,35.63
7.6,1290.5,1080.25,1438.75,1164.625,1627.375,2347.5,2412.875,1868,2582.5,952.625,41.45,35.66
7.7,1292,1088.5,1438.875,1166.875,1630.5,2351.125,2415,1871.125,2585.125,956.375,41.45,35.73
7.8,1293.5,1097,1439.125,1169.375,1633.5,2354.875,2417,1874.5,2587.625,960.125,41.47,35.7
7.9,1295,1105.625,1439.375,1171.875,1636.625,2358.375,2419,1877.875,2590.25,964,41.45,35.74
8.0,1296.75,1114.625,1439.625,1174.5,1639.875,2361.75,2420.875,1881.375,2592.75,968,41.48,35.81
8.1,1298.5,1123.875,1439.75,1177.375,1643,2365,2422.75,1885.125,2595.25,972.125,41.47,35.85
8.2,1300.375,1133.25,1440,1180.375,1646.25,2368.125,2424.625,1888.875,2597.75,976.125,41.45,35.89
8.3,1302.25,1142.875,1440.25,1183.25,1649.625,2371.25,2426.25,1892.875,2600,980.25,41.45,36.01
8.4,1304.25,1152.625,1440.5,1186.375,1652.875,2374.125,2428.125,1897,2602.25,984.25,41.45,36.08
8.5,1306.25,1162.5,1440.75,1189.625,1656.125,2376.875,2429.75,1901.125,2604.875,988.25,41.45,36.11
8.6,1308.5,1172.5,1441.125,1193,1659.375,2379.625,2431.25,1905.5,2607.25,992.375,41.45,36.23
8.7,1310.625,1182.75,1441.375,1196.375,1662.75,2382.25,2432.75,1909.875,2609.625,996.625,41.47,36.3
8.8,1313,1192.875,1441.75,1199.875,1666,2384.75,2434.375,1914.375,2611.875,1000.75,41.47,36.34
8.9,1315.375,1203.25,1442,1203.5,1669.125,2387.25,2435.875,1919,2614.125,1005,41.47,36.49
9.0,1317.75,1213.625,1442.375,1207.125,1672.375,2389.625,2437.125,1923.75,2616.5,1009.375,41.45,36.53
9.1,1320.125,1224,1442.75,1210.875,1675.625,2391.875,2438.5,1928.5,2618.875,1013.5,41.45,36.59
9.2,1322.75,1234.5,1443,1214.625,1678.75,2394,2439.75,1933.375,2621.125,1017.875,41.47,36.72
9.3,1325.375,1245,1443.375,1218.5,1682,2396,2441,1938.375,2623.5,1022.25,41.47,36.78
9.4,1328,1255.375,1443.75,1222.375,1685,2398,2442.375,1943.375,2625.75,1026.5,41.45,36.93
9.5,1330.625,1265.75,1444.125,1226.375,1688.125,2399.75,2443.375,1948.5,2628.125,1030.875,41.48,36.97
9.6,1333.375,1276,1444.5,1230.375,1691.25,2401.625,2444.625,1953.625,2630.5,1035,41.47,37.12
9.7,1336.25,1286.5,1444.875,1234.375,1694.125,2403.25,2445.625,1958.875,2632.75,1039.125,41.45,37.19
9.8,1339.125,1296.875,1445.25,1238.5,1697.25,2405,2446.75,1964.125,2635,1043.5,41.48,37.34
9.9,1341.875,1307.125,1445.625,1242.625,1700.125,2406.625,2447.75,1969.5,2636.875,1047.75,41.47,37.4
10.0,1344.875,1317.375,1446.125,1246.75,1703,2408.125,2448.75,1975,2639.125,1052.125,41.45,37.54
10.1,1347.875,1327.625,1446.5,1251,1705.875,2409.625,2449.875,1980.5,2641.125,1056.625,41.45,37.6
10.2,1350.75,1337.5,1447,1255.125,1708.625,2411,2450.75,1986,2643.125,1060.875,41.47,37.71
10.3,1353.875,1347.5,1447.375,1259.375,1711.25,2412.375,2451.75,1991.5,2645.375,1065.25,41.45,37.83
10.4,1357,1357.5,1447.875,1263.5,1714.125,2413.75,2452.625,1997.125,2647.5,1069.5,41.48,37.9
10.5,1360,1367.25,1448.375,1267.75,1716.75,2415,2453.375,2002.75,2649.625,1073.75,41.45,38.01
10.6,1363.125,1376.875,1448.75,1272,1719.375,2416.125,2454.25,2008.5,2651.75,1078.125,41.45,38.09
10.7,1366.375,1386.375,1449.25,1276.25,1721.875,2417.25,2455.125,2014.25,2653.875,1082.25,41.47,38.15
