time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1275.5,993.875,1476.25,1139.875,1624.75,2313.125,2396.75,1853.625,2519.625,820.875,41.58,38.33
0.1,1275.375,994,1476.25,1139.875,1624.75,2313,2396.75,1853.5,2519.5,820.75,41.56,38.38
0.2,1275.5,994,1476.25,1139.75,1624.75,2313,2396.75,1853.5,2519.5,820.625,41.58,38.4
0.3,1275.5,994,1476.25,1139.875,1624.75,2313,2396.75,1853.5,2519.375,820.5,41.55,38.39
0.4,1275.375,994,1476.25,1139.875,1624.75,2313,2396.75,1853.5,2519.375,820.375,41.61,38.37
0.5,1275.375,994,1476.25,1139.875,1624.625,2313.125,2396.625,1853.5,2519.375,820.25,41.61,38.43
0.6,1275.375,994,1476.25,1139.875,1624.75,2313.125,2396.75,1853.5,2519.375,820,41.59,38.38
0.7,1275.375,994,1476.25,1139.875,1624.625,2313.125,2396.75,1853.5,2519.25,819.875,41.59,38.37
0.8,1275.375,994,1476.25,1139.75,1624.625,2313.125,2396.75,1853.5,2519.25,819.75,41.59,38.4
0.9,1275.25,994,1476.25,1139.875,1624.625,2313.125,2396.75,1853.5,2519.25,819.625,41.59,38.37
1.0,1275.375,994,1476.25,1139.75,1624.625,2313.125,2396.75,1853.375,2519.125,819.5,41.59,38.37
1.1,1275.375,994,1476.25,1139.75,1624.625,2313,2396.625,1853.375,2519.125,819.375,41.61,38.4
1.2,1275.375,994,1476.25,1139.75,1624.625,2313,2396.625,1853.375,2519.125,819.25,41.61,38.37
1.3,1275.25,993.875,1476.25,1139.75,1624.625,2313.125,2396.75,1853.375,2519,819.25,41.61,38.37
1.4,1275.375,993.875,1476.25,1139.75,1624.625,2313.125,2396.75,1853.375,2519,819.125,41.59,38.33
1.5,1275.375,994,1476.25,1139.75,1624.625,2313.125,2396.75,1853.375,2519,819,41.59,38.4
1.6,1275.25,993.875,1476.25,1139.75,1624.625,2313.125,2396.75,1853.375,2519,818.875,41.59,38.31
1.7,1275.25,994,1476.25,1139.75,1624.625,2313.125,2396.75,1853.375,2518.875,818.75,41.59,38.4
1.8,1275.25,993.875,1476.25,1139.75,1624.625,2313.125,2396.75,1853.375,2519,818.625,41.58,38.34
