time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1281.25,1009.625,1473.875,1142.625,1628.625,2317.625,2400.125,1883.125,2557.875,901.25,42.07,37.51
0.1,1281.25,1009.625,1473.875,1142.625,1628.5,2317.625,2400.125,1883.125,2557.75,901.125,42.07,37.5
0.2,1281.25,1009.625,1473.875,1142.625,1628.625,2317.625,2400.125,1883.125,2557.75,901.125,42.07,37.51
0.3,1281.25,1009.625,1473.875,1142.625,1628.625,2317.625,2400.125,1883.125,2557.75,901,42.09,37.51
0.4,1281.25,1009.625,1473.875,1142.625,1628.625,2317.625,2400.125,1883,2557.75,900.875,42.11,37.51
0.5,1281.25,1009.625,1473.875,1142.625,1628.625,2317.625,2400.125,1883,2557.625,900.75,42.11,37.5
0.6,1281.125,1009.625,1474,1142.625,1628.5,2317.625,2400.125,1882.875,2557.625,900.75,42.11,37.56
0.7,1281.125,1009.625,1474,1142.625,1628.5,2317.625,2400.125,1882.875,2557.625,900.625,42.09,37.56
0.8,1281.125,1009.625,1473.875,1142.625,1628.5,2317.625,2400.125,1882.875,2557.625,900.625,42.09,37.53
0.9,1281.125,1009.625,1473.875,1142.625,1628.5,2317.625,2400.125,1882.75,2557.5,900.5,42.11,37.51
1.0,1281.125,1009.5,1474,1142.625,1628.5,2317.75,2400.125,1882.75,2557.5,900.375,42.12,37.54
1.1,1281.125,1009.5,1473.875,1142.625,1628.5,2317.625,2400.25,1882.625,2557.5,900.375,42.12,37.54
1.2,1281.125,1009.5,1474,1142.625,1628.5,2317.75,2400.125,1882.625,2557.5,900.25,42.11,37.5
1.3,1281.125,1009.5,1473.875,1142.5,1628.625,2317.625,2400.25,1882.625,2557.5,900.25,42.12,37.5
1.4,1281.125,1009.5,1473.875,1142.625,1628.5,2317.75,2400.25,1882.625,2557.375,900.125,42.12,37.53
1.5,1281.125,1009.5,1474,1142.625,1628.5,2317.75,2400.125,1882.5,2557.375,900.125,42.09,37.5
1.6,1281,1009.5,1474,1142.625,1628.625,2317.75,2400.125,1882.5,2557.375,900,42.12,37.5
1.7,1281.125,1009.5,1474,1142.5,1628.5,2317.75,2400.25,1882.375,2557.375,900,42.11,37.47
1.8,1281,1009.5,1474,1142.5,1628.5,2317.75,2400.25,1882.375,2557.375,899.875,42.12,37.47
1.9,1281.125,1009.5,1474,1142.5,1628.5,2317.75,2400.25,1882.375,2557.25,899.875,42.12,37.53
2.0,1281.125,1009.5,1473.875,1142.5,1628.5,2317.75,2400.125,1882.25,2557.25,899.875,42.14,37.52
2.1,1281.125,1009.5,1474,1142.5,1628.625,2317.75,2400.25,1882.25,2557.25,899.75,42.11,37.48
2.2,1281.125,1009.5,1473.875,1142.5,1628.5,2317.75,2400.25,1882.25,2557.25,899.75,42.12,37.52
2.3,1281.125,1009.5,1474,1142.5,1628.625,2317.75,2400.25,1882.125,2557.125,899.625,42.12,37.49
2.4,1281.125,1009.5,1473.875,1142.5,1628.625,2317.75,2400.25,1882,2557.25,899.5,42.11,37.5
2.5,1281.125,1009.5,1473.875,1142.5,1628.5,2317.875,2400.375,1882,2557.125,899.5,42.12,37.5
2.6,1281.125,1009.625,1474,1142.5,1628.625,2317.75,2400.375,1882,2557.125,899.5,42.12,37.52
2.7,1281,1009.5,1474,1142.5,1628.625,2317.875,2400.25,1881.875,2557.125,899.5,42.14,37.52
2.8,1281,1009.5,1473.875,1142.5,1628.625,2317.875,2400.375,1881.875,2557.125,899.375,42.14,37.53
2.9,1281.125,1009.5,1473.875,1142.5,1628.625,2317.875,2400.25,1881.875,2557.125,899.375,42.14,37.52
3.0,1281.125,1009.5,1473.875,1142.5,1628.625,2317.875,2400.25,1881.875,2557.125,899.25,42.09,37.51
3.1,1281.125,1009.5,1474,1142.5,1628.625,2317.875,2400.25,1881.75,2557,899.25,42.14,37.54
3.2,1281.125,1009.625,1473.875,1142.5,1628.625,2317.875,2400.25,1881.75,2557,899.25,42.11,37.51
3.3,1281.125,1009.625,1473.875,1142.5,1628.625,2317.875,2400.25,1881.625,2556.875,899.125,42.11,37.47
3.4,1281.125,1009.625,1474,1142.5,1628.625,2317.875,2400.25,1881.625,2557,899,42.12,37.5
3.5,1281.125,1009.625,1473.875,1142.5,1628.625,2317.875,2400.25,1881.625,2556.875,899,42.12,37.53
