time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1332,1094.125,1456.75,1198.625,1603.75,2285.125,2371,2237.125,2640,1108.375,39.61,40.9
0.1,1332,1094.125,1456.75,1198.625,1603.75,2285,2371,2237.125,2640,1108.25,39.65,40.91
0.2,1332,1094.125,1456.625,1198.625,1603.75,2285.125,2371,2237.25,2639.875,1108.25,39.63,40.94
0.3,1332,1094.25,1456.625,1198.625,1603.75,2285.125,2371.125,2237.25,2639.875,1108.125,39.65,40.92
0.4,1332,1094.25,1456.625,1198.625,1603.75,2285.125,2371,2237.375,2639.875,1108.125,39.65,40.95
0.5,1332.125,1094.25,1456.75,1198.625,1603.75,2285.125,2371,2237.375,2639.875,1108,39.63,40.95
0.6,1332.125,1094.375,1456.625,1198.625,1603.75,2285.125,2371.125,2237.5,2639.875,1108,39.65,40.92
0.7,1332.125,1094.375,1456.625,1198.625,1603.75,2285,2371,2237.5,2639.875,1108,39.66,40.94
0.8,1332.125,1094.5,1456.625,1198.75,1603.75,2285.125,2371,2237.625,2639.75,1107.875,39.68,40.91
0.9,1332.125,1094.5,1456.75,1198.75,1603.75,2285.125,2371,2237.625,2639.875,1107.875,39.63,40.94
1.0,1332.25,1094.5,1456.625,1198.75,1603.75,2285.125,2371,2237.75,2639.875,1107.875,39.63,40.94
1.1,1332.25,1094.625,1456.75,1198.75,1603.75,2285.125,2371,2237.75,2639.75,1107.75,39.68,40.95
1.2,1332.25,1094.625,1456.75,1198.75,1603.75,2285.125,2371,2237.875,2639.75,1107.75,39.66,40.95
1.3,1332.25,1094.625,1456.75,1198.875,1603.75,2285.125,2371,2238,2639.75,1107.625,39.66,40.89
1.4,1332.25,1094.75,1456.625,1198.75,1603.75,2285.125,2371.125,2238,2639.75,1107.75,39.65,40.94
1.5,1332.375,1094.75,1456.625,1198.875,1603.75,2285.125,2371,2238.125,2639.75,1107.625,39.66,40.94
1.6,1332.25,1094.75,1456.625,1198.875,1603.75,2285.125,2371,2238.125,2639.75,1107.625,39.65,40.91
1.7,1332.375,1094.875,1456.625,1198.875,1603.75,2285.125,2371.125,2238.125,2639.75,1107.625,39.63,40.9
1.8,1332.375,1094.875,1456.625,1198.875,1603.75,2285.125,2371,2238.25,2639.875,1107.5,39.68,40.93
1.9,1332.375,1094.875,1456.625,1198.875,1603.75,2285.125,2371,2238.25,2639.75,1107.5,39.65,40.88
2.0,1332.375,1095,1456.625,1198.875,1603.75,2285.125,2371,2238.25,2639.75,1107.5,39.63,40.89
2.1,1332.375,1095,1456.625,1198.875,1603.75,2285.125,2371,2238.375,2639.75,1107.5,39.66,40.91
2.2,1332.5,1095.125,1456.625,1198.875,1603.75,2285.125,2371,2238.5,2639.75,1107.5,39.65,40.88
2.3,1332.5,1095.125,1456.625,1199,1603.75,2285.125,2371,2238.5,2639.75,1107.5,39.65,40.92
2.4,1332.5,1095.125,1456.625,1199,1603.75,2285.125,2371,2238.5,2639.875,1107.5,39.65,40.89
2.5,1332.5,1095.25,1456.625,1199,1603.75,2285.125,2370.875,2238.625,2639.875,1107.375,39.65,40.88
2.6,1332.625,1095.25,1456.625,1199,1603.75,2285.125,2371,2238.625,2639.875,1107.375,39.66,40.85
2.7,1332.625,1095.25,1456.625,1199,1603.75,2285.125,2371,2238.75,2639.875,1107.375,39.66,40.89
2.8,1332.625,1095.375,1456.625,1199,1603.75,2285.125,2371,2238.75,2639.875,1107.375,39.65,40.86
2.9,1332.625,1095.375,1456.625,1199.125,1603.875,2285.125,2371,2238.875,2639.875,1107.375,39.66,40.88
3.0,1332.625,1095.375,1456.625,1199.125,1603.875,2285.25,2371,2238.875,2639.875,1107.375,39.63,40.86
3.1,1332.625,1095.5,1456.625,1199.125,1603.875,2285.25,2371,2239,2639.875,1107.375,39.68,40.88
3.2,1332.75,1095.5,1456.625,1199.125,1603.875,2285.25,2371,2239.125,2639.875,1107.375,39.68,40.87
3.3,1332.75,1095.5,1456.625,1199.125,1603.875,2285.25,2371,2239.125,2639.875,1107.375,39.69,40.87
3.4,1332.75,1095.625,1456.625,1199.125,1603.875,2285.25,2371.125,2239.125,2640,1107.375,39.68,40.87
3.5,1332.875,1095.625,1456.625,1199.125,1603.875,2285.25,2371,2239.25,2640,1107.375,39.66,40.85
3.6,1332.875,1095.625,1456.75,1199.25,1603.875,2285.25,2371.125,2239.25,2640,1107.375,39.68,40.91
3.7,1332.875,1095.75,1456.625,1199.25,1603.875,2285.25,2371.125,2239.25,2640,1107.375,39.69,40.85
3.8,1332.875,1095.75,1456.625,1199.25,1604,2285.25,2371.125,2239.375,2640,1107.375,39.66,40.85
3.9,1332.875,1095.75,1456.625,1199.25,1604,2285.25,2371,2239.5,2640,1107.375,39.66,40.86
4.0,1332.875,1095.75,1456.625,1199.25,1604,2285.25,2371.125,2239.5,2640,1107.375,39.66,40.86
4.1,1332.875,1095.875,1456.625,1199.25,1604,2285.375,2371.125,2239.5,2640,1107.375,39.65,40.85
4.2,1332.875,1095.875,1456.625,1199.375,1604,2285.375,2371.125,2239.5,2640.125,1107.375,39.66,40.88
4.3,1332.875,1095.875,1456.625,1199.375,1604,2285.375,2371.125,2239.625,2640,1107.375,39.66,40.88
4.4,1333,1096,1456.625,1199.375,1604,2285.375,2371.125,2239.75,2640.125,1107.375,39.69,40.85
4.5,1333,1096,1456.625,1199.375,1604,2285.375,2371.125,2239.75,2640.125,1107.375,39.69,40.87
4.6,1333,1096,1456.625,1199.375,1604,2285.375,2371.25,2239.875,2640.125,1107.375,39.68,40.9
4.7,1333,1096.125,1456.625,1199.375,1604,2285.375,2371.25,2239.875,2640.25,1107.375,39.65,40.83
4.8,1333.125,1096.125,1456.625,1199.375,1604,2285.375,2371.125,2239.875,2640.25,1107.5,39.68,40.81
4.9,1333.125,1096.125,1456.625,1199.375,1604.125,2285.375,2371.125,2240,2640.25,1107.375,39.68,40.82
5.0,1333.125,1096.25,1456.625,1199.375,1604.125,2285.375,2371.25,2240.125,2640.25,1107.375,39.68,40.85
5.1,1333.25,1096.25,1456.5,1199.375,1604.125,2285.375,2371.25,2240.125,2640.25,1107.375,39.66,40.85
5.2,1333.25,1096.375,1456.375,1199.25,1604.125,2285.375,2371,2240.125,2640.25,1107.375,39.69,40.87
5.3,1333.25,1096.375,1456.375,1199.25,1604.125,2285.375,2371,2240.125,2640.625,1107.375,39.68,40.82
