time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1345.625,1142.125,1451.875,1206.25,1613.625,2300.5,2380.125,2225.125,2682.5,1215.125,41.15,37.93
0.1,1345.625,1142.125,1451.875,1206.375,1613.625,2300.5,2380.125,2225.125,2682.625,1215.125,41.18,37.94
0.2,1345.625,1142.125,1451.875,1206.375,1613.5,2300.375,2380.125,2225.125,2682.5,1215.125,41.18,37.98
0.3,1345.625,1142.25,1451.875,1206.375,1613.5,2300.5,2380,2225.125,2682.5,1215.125,41.17,37.93
0.4,1345.75,1142.25,1451.875,1206.5,1613.5,2300.5,2380.125,2225.25,2682.5,1215.125,41.17,37.99
0.5,1345.75,1142.25,1451.875,1206.5,1613.5,2300.375,2380.125,2225.25,2682.5,1215.125,41.15,37.99
0.6,1345.75,1142.375,1451.875,1206.5,1613.5,2300.5,2380.125,2225.375,2682.5,1215.125,41.18,37.98
0.7,1345.75,1142.5,1451.875,1206.5,1613.5,2300.375,2380.125,2225.25,2682.5,1215.125,41.2,37.97
0.8,1345.75,1142.5,1451.75,1206.5,1613.5,2300.375,2380.125,2225.375,2682.5,1215.125,41.18,37.96
0.9,1345.875,1142.5,1451.75,1206.625,1613.625,2300.375,2380,2225.375,2682.625,1215.25,41.18,37.96
1.0,1345.875,1142.5,1451.75,1206.625,1613.625,2300.375,2380.125,2225.375,2682.5,1215.25,41.2,37.94
1.1,1345.875,1142.5,1451.75,1206.625,1613.5,2300.375,2380.125,2225.375,2682.5,1215.25,41.17,37.92
1.2,1345.875,1142.625,1451.75,1206.625,1613.5,2300.375,2380,2225.5,2682.625,1215.25,41.17,37.95
1.3,1345.875,1142.625,1451.875,1206.625,1613.5,2300.375,2380.125,2225.5,2682.5,1215.25,41.18,37.95
1.4,1346,1142.625,1451.75,1206.75,1613.5,2300.375,2380.125,2225.5,2682.5,1215.25,41.2,37.91
1.5,1346,1142.625,1451.75,1206.625,1613.5,2300.375,2380,2225.5,2682.5,1215.25,41.18,37.95
1.6,1346,1142.75,1451.875,1206.625,1613.5,2300.375,2380.125,2225.625,2682.5,1215.25,41.2,37.95
1.7,1346.125,1142.75,1451.875,1206.75,1613.5,2300.375,2380,2225.625,2682.5,1215.25,41.2,37.95
1.8,1346.125,1142.75,1451.75,1206.75,1613.625,2300.375,2380.125,2225.625,2682.625,1215.375,41.2,37.94
1.9,1346.125,1142.75,1451.75,1206.75,1613.5,2300.375,2380.125,2225.625,2682.5,1215.25,41.2,37.94
2.0,1346.125,1142.875,1451.875,1206.875,1613.625,2300.375,2380.125,2225.75,2682.5,1215.25,41.2,37.91
2.1,1346.125,1142.875,1451.75,1206.75,1613.5,2300.375,2380.125,2225.75,2682.625,1215.375,41.2,37.95
2.2,1346.25,1142.875,1451.75,1206.875,1613.5,2300.375,2380.125,2225.75,2682.5,1215.25,41.2,37.92
2.3,1346.25,1143,1451.75,1206.875,1613.5,2300.375,2380.125,2225.75,2682.5,1215.375,41.18,37.94
2.4,1346.25,1143,1451.75,1206.875,1613.5,2300.375,2380.125,2225.75,2682.5,1215.375,41.22,37.92
2.5,1346.375,1143.125,1451.75,1206.875,1613.5,2300.375,2380.125,2225.875,2682.5,1215.375,41.2,37.94
2.6,1346.375,1143.125,1451.75,1206.875,1613.625,2300.375,2380,2225.875,2682.5,1215.375,41.2,37.92
2.7,1346.375,1143.125,1451.75,1206.875,1613.5,2300.375,2380.125,2225.875,2682.5,1215.375,41.2,37.97
2.8,1346.375,1143.125,1451.75,1206.875,1613.5,2300.375,2380.125,2226,2682.5,1215.375,41.21,37.92
2.9,1346.375,1143.125,1451.75,1207,1613.625,2300.375,2380.125,2226,2682.5,1215.375,41.2,37.94
3.0,1346.375,1143.25,1451.75,1207,1613.625,2300.375,2380.125,2226.125,2682.5,1215.375,41.21,37.94
3.1,1346.5,1143.125,1451.75,1207,1613.625,2300.375,2380.125,2226.125,2682.5,1215.375,41.18,37.95
3.2,1346.5,1143.125,1451.75,1207,1613.5,2300.375,2380,2226.125,2682.625,1215.375,41.2,37.91
3.3,1346.5,1143.25,1451.75,1207,1613.5,2300.375,2380,2226.125,2682.5,1215.375,41.2,37.92
3.4,1346.5,1143.25,1451.75,1207.125,1613.5,2300.375,2380.125,2226.125,2682.5,1215.375,41.21,37.89
3.5,1346.5,1143.25,1451.75,1207,1613.5,2300.375,2380.125,2226.25,2682.5,1215.375,41.21,37.89
3.6,1346.5,1143.375,1451.75,1207.125,1613.625,2300.375,2380,2226.25,2682.5,1215.375,41.21,37.92
3.7,1346.625,1143.5,1451.75,1207.125,1613.5,2300.375,2380,2226.25,2682.5,1215.5,41.21,37.91
3.8,1346.75,1143.5,1451.75,1207.125,1613.625,2300.375,2380,2226.25,2682.5,1215.5,41.21,37.89
3.9,1346.625,1143.5,1451.75,1207.25,1613.625,2300.375,2380.125,2226.25,2682.5,1215.375,41.21,37.91
4.0,1346.75,1143.5,1451.75,1207.25,1613.625,2300.375,2380.125,2226.375,2682.5,1215.5,41.2,37.94
4.1,1346.75,1143.5,1451.75,1207.25,1613.625,2300.25,2380.125,2226.375,2682.5,1215.5,41.2,37.92
4.2,1346.75,1143.625,1451.75,1207.25,1613.625,2300.375,2380,2226.375,2682.5,1215.5,41.21,37.91
4.3,1346.75,1143.625,1451.75,1207.25,1613.625,2300.375,2380,2226.375,2682.5,1215.5,41.22,37.91
4.4,1346.75,1143.625,1451.75,1207.25,1613.625,2300.375,2380,2226.5,2682.5,1215.5,41.21,37.95
4.5,1346.875,1143.625,1451.75,1207.25,1613.625,2300.375,2380.125,2226.5,2682.5,1215.5,41.2,37.89
4.6,1346.875,1143.75,1451.75,1207.375,1613.625,2300.375,2380,2226.5,2682.5,1215.5,41.22,37.96
4.7,1346.875,1143.75,1451.75,1207.375,1613.625,2300.375,2380,2226.5,2682.5,1215.5,41.22,37.9
4.8,1346.875,1143.75,1451.75,1207.375,1613.625,2300.375,2380.125,2226.5,2682.5,1215.5,41.2,37.92
4.9,1346.875,1143.75,1451.75,1207.375,1613.625,2300.375,2380,2226.625,2682.5,1215.625,41.2,37.92
5.0,1346.875,1143.75,1451.75,1207.375,1613.625,2300.375,2380,2226.625,2682.5,1215.625,41.2,37.91
5.1,1347,1143.875,1451.625,1207.375,1613.625,2300.375,2380,2226.625,2682.5,1215.5,41.2,37.88
5.2,1347,1143.875,1451.625,1207.25,1613.75,2300.25,2380,2226.625,2682.5,1215.625,41.21,37.89
5.3,1347.125,1144,1451.5,1207.25,1613.625,2300.25,2380,2226.625,2682.75,1215.5,41.21,37.89
5.4,1347.125,1144,1451.5,1207.25,1613.75,2300.25,2380,2226.625,2683.5,1215.625,41.21,37.88
5.5,1347.25,1144.125,1451.375,1207.25,1613.75,2300.5,2380.125,2226.625,2684.5,1215.625,41.24,37.88
5.6,1347.375,1144.25,1451.375,1207.375,1613.75,2300.75,2380.375,2226.75,2685.75,1215.625,41.2,37.89
5.7,1347.375,1144.5,1451.375,1207.375,1614,2301.375,2380.625,2226.75,2687.25,1215.875,41.21,37.97
5.8,1347.5,1144.875,1451.375,1207.75,1614.25,2302.25,2381.25,2226.875,2689,1216.25,41.22,37.91
