time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1459.875,1076.375,1504,1311.25,1640,2324.125,2395.875,2402.75,2716.75,1240.5,40.36,42.32
0.1,1459.875,1076.375,1503.875,1311.25,1640,2324,2395.875,2402.75,2716.75,1240.5,40.36,42.26
0.2,1459.875,1076.375,1503.875,1311.25,1640,2324.125,2395.75,2402.75,2716.75,1240.5,40.34,42.29
0.3,1460,1076.5,1503.875,1311.25,1640,2324,2395.875,2402.75,2716.75,1240.5,40.34,42.26
0.4,1460,1076.5,1503.875,1311.25,1640,2324,2395.875,2402.75,2716.625,1240.5,40.37,42.23
0.5,1460,1076.5,1503.75,1311.375,1640,2324,2395.75,2402.75,2716.75,1240.5,40.37,42.26
0.6,1460,1076.5,1503.75,1311.375,1640.125,2324,2395.875,2402.75,2716.75,1240.5,40.33,42.2
0.7,1460.125,1076.5,1503.75,1311.375,1640.125,2324,2395.75,2402.875,2716.75,1240.375,40.36,42.31
0.8,1460.125,1076.625,1503.75,1311.375,1640.125,2324,2395.75,2402.875,2716.75,1240.5,40.36,42.28
0.9,1460.125,1076.625,1503.75,1311.375,1640.125,2324,2395.75,2402.875,2716.75,1240.375,40.36,42.28
1.0,1460.125,1076.625,1503.625,1311.375,1640.125,2324,2395.75,2402.875,2716.75,1240.5,40.37,42.28
1.1,1460.25,1076.625,1503.625,1311.375,1640.125,2324,2395.75,2403,2716.75,1240.375,40.36,42.25
1.2,1460.25,1076.625,1503.625,1311.375,1640.125,2324,2395.75,2403,2716.75,1240.375,40.33,42.21
1.3,1460.25,1076.625,1503.625,1311.375,1640.125,2324,2395.75,2403,2716.625,1240.375,40.36,42.32
1.4,1460.25,1076.625,1503.625,1311.375,1640.125,2323.875,2395.75,2403,2716.75,1240.375,40.37,42.26
1.5,1460.375,1076.625,1503.625,1311.375,1640.125,2323.875,2395.75,2403.125,2716.75,1240.375,40.36,42.26
1.6,1460.375,1076.75,1503.5,1311.375,1640.125,2323.875,2395.75,2403,2716.75,1240.375,40.36,42.25
1.7,1460.375,1076.75,1503.5,1311.5,1640.125,2323.875,2395.75,2403.125,2716.75,1240.25,40.36,42.25
1.8,1460.375,1076.75,1503.5,1311.5,1640.125,2324,2395.75,2403.125,2716.75,1240.25,40.36,42.25
1.9,1460.375,1076.75,1503.5,1311.5,1640.125,2323.875,2395.75,2403.125,2716.75,1240.25,40.37,42.23
2.0,1460.5,1076.75,1503.5,1311.5,1640.125,2323.875,2395.75,2403.125,2716.75,1240.375,40.37,42.28
