time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1326.125,978.75,1453,1183.125,1614.375,2301,2382.625,1969.625,2524.25,829.875,41.27,38.18
0.1,1326.25,978.75,1453,1183.125,1614.375,2301,2382.625,1969.625,2524.125,829.75,41.28,38.13
0.2,1326.25,978.875,1453,1183.125,1614.375,2301,2382.625,1969.625,2524.125,829.5,41.28,38.13
0.3,1326.25,978.75,1453,1183.125,1614.375,2301,2382.625,1969.625,2524,829.25,41.28,38.1
0.4,1326.25,978.75,1453,1183.125,1614.375,2301,2382.625,1969.5,2523.875,829.125,41.27,38.13
0.5,1326.25,978.75,1453,1183.125,1614.375,2301,2382.5,1969.5,2523.875,828.875,41.27,38.13
0.6,1326.125,978.75,1453,1183.125,1614.375,2301,2382.5,1969.5,2523.875,828.75,41.28,38.15
0.7,1326.25,978.75,1453,1183.125,1614.375,2301,2382.5,1969.625,2523.875,828.5,41.3,38.14
0.8,1326.25,978.75,1453,1183.125,1614.375,2300.875,2382.625,1969.5,2523.75,828.25,41.25,38.1
0.9,1326.125,978.75,1453,1183.125,1614.375,2300.875,2382.5,1969.5,2523.75,828.125,41.27,38.16
1.0,1326.25,978.75,1453,1183.125,1614.25,2300.875,2382.5,1969.5,2523.75,828,41.28,38.09
1.1,1326.25,978.75,1453,1183.125,1614.375,2300.875,2382.5,1969.5,2523.75,827.75,41.3,38.12
1.2,1326.25,978.75,1453,1183.125,1614.375,2300.75,2382.5,1969.5,2523.625,827.625,41.28,38.15
1.3,1326.25,978.75,1453,1183.125,1614.375,2300.75,2382.5,1969.5,2523.625,827.5,41.3,38.17
1.4,1326.25,978.75,1453,1183.125,1614.375,2300.75,2382.5,1969.5,2523.625,827.375,41.28,38.12
1.5,1326.25,978.75,1453,1183.125,1614.25,2300.75,2382.5,1969.5,2523.625,827.125,41.32,38.05
1.6,1326.25,978.75,1453,1183.125,1614.25,2300.75,2382.5,1969.5,2523.625,827,41.28,38.12
1.7,1326.25,978.75,1453,1183.125,1614.375,2300.75,2382.375,1969.5,2523.625,826.75,41.3,38.11
1.8,1326.25,978.75,1453,1183.125,1614.375,2300.75,2382.5,1969.375,2523.5,826.625,41.28,38.12
1.9,1326.375,978.75,1453,1183.125,1614.25,2300.75,2382.5,1969.375,2523.625,826.5,41.3,38.08
2.0,1326.25,978.625,1453,1183.125,1614.375,2300.75,2382.5,1969.5,2523.5,826.375,41.28,38.1
2.1,1326.25,978.75,1453,1183.125,1614.375,2300.75,2382.375,1969.375,2523.5,826.25,41.31,38.09
2.2,1326.375,978.75,1453,1183.125,1614.375,2300.75,2382.375,1969.375,2523.5,826.125,41.3,38.12
2.3,1326.25,978.75,1453,1183.125,1614.25,2300.75,2382.5,1969.375,2523.5,826,41.3,38.11
2.4,1326.25,978.75,1453,1183.125,1614.375,2300.75,2382.375,1969.375,2523.5,825.875,41.3,38.12
2.5,1326.25,978.75,1453,1183.125,1614.375,2300.75,2382.5,1969.375,2523.5,825.75,41.3,38.11
2.6,1326.25,978.75,1453,1183.125,1614.375,2300.75,2382.5,1969.375,2523.5,825.625,41.3,38.14
2.7,1326.25,978.75,1453,1183.125,1614.375,2300.75,2382.375,1969.375,2523.5,825.5,41.28,38.07
2.8,1326.25,978.75,1453,1183.125,1614.25,2300.75,2382.5,1969.375,2523.625,825.375,41.3,38.11
2.9,1326.375,978.75,1453,1183.125,1614.375,2300.875,2382.5,1969.375,2523.5,825.25,41.3,38.09
3.0,1326.25,978.75,1453,1183.125,1614.25,2300.875,2382.375,1969.375,2523.5,825.125,41.3,38.12
3.1,1326.25,978.75,1453,1183.125,1614.375,2300.75,2382.5,1969.375,2523.5,825,41.3,38.08
3.2,1326.375,978.75,1453,1183.125,1614.375,2300.75,2382.5,1969.375,2523.5,824.875,41.28,38.05
3.3,1326.375,978.75,1453,1183.125,1614.375,2300.875,2382.5,1969.375,2523.5,824.875,41.3,38.06
3.4,1326.25,978.75,1453,1183,1614.375,2300.75,2382.5,1969.25,2523.375,824.75,41.31,38.11
3.5,1326.375,978.75,1453,1183,1614.375,2300.75,2382.5,1969.375,2523.5,824.625,41.3,38.08
3.6,1326.375,978.75,1453,1183.125,1614.375,2300.75,2382.5,1969.25,2523.5,824.5,41.31,38.06
3.7,1326.375,978.75,1453,1183,1614.375,2300.875,2382.375,1969.25,2523.5,824.375,41.31,38.08
