time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1325.375,998.5,1449.625,1180,1614.625,2302.125,2383,1961.5,2589.75,944.5,41.65,37.21
0.1,1325.375,998.5,1449.625,1180.125,1614.75,2302.25,2383.125,1961.625,2589.75,944.5,41.68,37.17
0.2,1325.375,998.5,1449.625,1180.125,1614.625,2302.25,2383.125,1961.5,2589.75,944.5,41.65,37.15
0.3,1325.375,998.375,1449.625,1180.125,1614.75,2302.25,2383,1961.5,2589.75,944.5,41.63,37.21
0.4,1325.5,998.375,1449.625,1180.125,1614.625,2302.25,2383.125,1961.5,2589.75,944.5,41.67,37.18
0.5,1325.5,998.375,1449.625,1180.125,1614.75,2302.25,2383.125,1961.5,2589.625,944.375,41.68,37.15
0.6,1325.5,998.375,1449.625,1180.25,1614.75,2302.375,2383.125,1961.5,2589.75,944.375,41.63,37.16
0.7,1325.5,998.375,1449.625,1180.25,1614.75,2302.375,2383.125,1961.5,2589.625,944.375,41.68,37.2
0.8,1325.375,998.375,1449.625,1180.25,1614.875,2302.375,2383.25,1961.5,2589.625,944.375,41.68,37.24
0.9,1325.5,998.375,1449.625,1180.25,1614.75,2302.375,2383.25,1961.5,2589.625,944.375,41.68,37.17
1.0,1325.5,998.375,1449.625,1180.25,1614.875,2302.375,2383.25,1961.5,2589.625,944.25,41.68,37.21
1.1,1325.5,998.25,1449.625,1180.25,1614.875,2302.5,2383.25,1961.5,2589.625,944.25,41.69,37.21
1.2,1325.5,998.25,1449.625,1180.375,1614.875,2302.5,2383.25,1961.5,2589.625,944.25,41.68,37.2
1.3,1325.625,998.25,1449.75,1180.375,1614.875,2302.5,2383.25,1961.5,2589.625,944.25,41.69,37.21
1.4,1325.5,998.25,1449.75,1180.375,1614.875,2302.5,2383.25,1961.5,2589.625,944.25,41.68,37.18
1.5,1325.625,998.25,1449.625,1180.375,1615,2302.5,2383.25,1961.5,2589.625,944.25,41.65,37.18
