time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1374.875,1007.875,1461,1226.75,1627.5,2312.875,2391.625,2070.75,2612.375,949,41.95,37.66
0.1,1374.75,1007.75,1461,1226.75,1627.5,2313,2391.625,2070.75,2612.375,949,41.91,37.61
0.2,1374.875,1007.75,1461,1226.75,1627.5,2312.875,2391.625,2070.875,2612.375,949,41.92,37.61
0.3,1374.875,1007.875,1461,1226.75,1627.375,2312.875,2391.5,2070.875,2612.375,948.875,41.91,37.61
0.4,1374.875,1007.875,1461,1226.75,1627.375,2313,2391.625,2071,2612.25,948.875,41.94,37.57
0.5,1374.875,1007.875,1461,1226.75,1627.375,2312.875,2391.625,2071,2612.25,948.875,41.95,37.6
0.6,1374.875,1007.875,1461,1226.75,1627.375,2312.875,2391.625,2071,2612.25,948.875,41.96,37.6
0.7,1375,1007.75,1461,1226.75,1627.5,2312.875,2391.5,2071.125,2612.25,948.875,41.92,37.57
0.8,1374.875,1007.875,1461,1226.75,1627.375,2312.875,2391.5,2071.125,2612.125,948.875,41.94,37.59
0.9,1375,1007.875,1461,1226.75,1627.375,2312.875,2391.5,2071.125,2612.25,948.75,41.94,37.61
1.0,1375,1007.875,1461,1226.875,1627.375,2312.875,2391.375,2071.25,2612.125,948.75,41.94,37.56
1.1,1375,1007.875,1461,1226.875,1627.375,2312.875,2391.5,2071.25,2612.125,948.75,41.95,37.59
1.2,1375,1007.875,1461,1226.875,1627.375,2312.875,2391.5,2071.25,2612.125,948.75,41.92,37.57
1.3,1375,1007.875,1461,1226.75,1627.375,2312.875,2391.5,2071.25,2612,948.75,41.94,37.56
1.4,1375,1007.875,1461,1226.875,1627.25,2312.875,2391.5,2071.375,2612.125,948.625,41.95,37.6
1.5,1375.125,1007.875,1461,1226.875,1627.375,2312.75,2391.5,2071.375,2612.125,948.625,41.95,37.6
1.6,1375,1007.75,1461,1226.875,1627.375,2312.75,2391.375,2071.5,2612.125,948.5,41.95,37.54
1.7,1375,1007.75,1461,1226.875,1627.375,2312.75,2391.375,2071.5,2612.125,948.625,41.94,37.57
1.8,1375.125,1007.875,1460.875,1226.875,1627.375,2312.75,2391.5,2071.5,2612.125,948.625,41.95,37.56
1.9,1375.125,1007.75,1461,1226.875,1627.375,2312.75,2391.375,2071.625,2612.125,948.5,41.94,37.56
2.0,1375.125,1007.875,1461,1226.875,1627.25,2312.75,2391.375,2071.625,2612,948.5,41.95,37.59
2.1,1375.125,1007.75,1461,1226.875,1627.25,2312.625,2391.375,2071.625,2612,948.5,41.92,37.52
2.2,1375.125,1007.875,1461,1226.875,1627.375,2312.75,2391.5,2071.75,2612,948.5,41.96,37.6
2.3,1375.125,1007.875,1461,1226.875,1627.25,2312.75,2391.375,2071.75,2612,948.5,41.95,37.56
2.4,1375.125,1007.75,1461,1227,1627.25,2312.625,2391.5,2071.75,2612,948.375,41.94,37.57
2.5,1375.125,1007.875,1461,1227,1627.375,2312.625,2391.375,2071.875,2612,948.375,41.95,37.5
2.6,1375.125,1007.875,1461,1227,1627.25,2312.625,2391.375,2071.875,2612,948.375,41.95,37.51
2.7,1375.125,1007.875,1461,1227,1627.25,2312.625,2391.375,2071.875,2611.875,948.375,41.94,37.56
2.8,1375.125,1007.75,1460.875,1227,1627.25,2312.625,2391.375,2072,2612,948.25,41.96,37.54
2.9,1375.125,1007.75,1461,1227,1627.25,2312.625,2391.375,2072,2611.875,948.375,41.96,37.56
3.0,1375.25,1007.75,1460.875,1227,1627.25,2312.625,2391.375,2072,2611.875,948.375,41.95,37.57
3.1,1375.25,1007.875,1460.875,1227,1627.25,2312.625,2391.375,2072,2611.875,948.25,41.94,37.56
3.2,1375.25,1007.875,1461,1227,1627.25,2312.625,2391.375,2072.125,2611.875,948.25,41.94,37.54
3.3,1375.25,1007.75,1461,1227,1627.25,2312.625,2391.375,2072.125,2611.875,948.25,41.94,37.5
3.4,1375.25,1007.875,1461,1227,1627.25,2312.625,2391.375,2072.25,2611.875,948.25,41.94,37.54
3.5,1375.375,1007.875,1460.875,1227,1627.25,2312.625,2391.375,2072.25,2611.875,948.25,41.96,37.53
3.6,1375.25,1007.875,1461,1227,1627.25,2312.625,2391.375,2072.25,2611.875,948.25,41.95,37.54
3.7,1375.375,1007.875,1460.875,1227.125,1627.25,2312.625,2391.375,2072.375,2611.875,948.125,41.94,37.51
3.8,1375.375,1007.875,1460.875,1227,1627.25,2312.625,2391.25,2072.375,2611.875,948.125,41.96,37.54
3.9,1375.5,1007.875,1461,1227.125,1627.125,2312.625,2391.375,2072.375,2611.75,948.125,41.94,37.53
4.0,1375.5,1007.875,1461,1227.125,1627.25,2312.625,2391.375,2072.375,2611.75,948.125,41.94,37.54
4.1,1375.5,1007.875,1461,1227.125,1627.25,2312.625,2391.375,2072.5,2611.75,948.125,41.94,37.54
4.2,1375.5,1007.875,1460.875,1227.125,1627.25,2312.625,2391.375,2072.5,2611.75,948.125,41.94,37.48
4.3,1375.5,1007.875,1460.875,1227.125,1627.25,2312.625,2391.375,2072.5,2611.75,948,41.94,37.5
4.4,1375.5,1008,1460.875,1227.125,1627.25,2312.625,2391.25,2072.625,2611.75,948,41.95,37.5
4.5,1375.5,1007.875,1461,1227.125,1627.25,2312.625,2391.375,2072.625,2611.75,948,41.95,37.53
4.6,1375.5,1007.875,1461,1227.25,1627.25,2312.625,2391.375,2072.625,2611.75,948,41.94,37.54
4.7,1375.5,1007.875,1460.875,1227.25,1627.25,2312.625,2391.375,2072.625,2611.75,948,41.94,37.48
4.8,1375.5,1008,1461,1227.125,1627.25,2312.625,2391.375,2072.75,2611.75,948,41.96,37.47
4.9,1375.625,1008,1460.875,1227.125,1627.25,2312.625,2391.25,2072.75,2611.75,947.875,41.95,37.5
5.0,1375.625,1008,1461,1227.125,1627.375,2312.625,2391.375,2072.875,2612.125,948,41.95,37.47
5.1,1375.625,1008,1461,1227.125,1627.25,2312.5,2391.25,2072.875,2612,947.5,41.95,37.56
5.2,1375.75,1008,1460.875,1227.125,1627.25,2312.625,2391.375,2072.875,2612,946.875,41.92,37.5
5.3,1375.75,1008,1460.875,1227.125,1627.375,2312.625,2391.25,2073,2612.25,946.25,41.95,37.54
5.4,1375.75,1008,1460.75,1227.125,1627.375,2312.625,2391.375,2073,2612.875,945.75,41.96,37.52
5.5,1375.75,1008.125,1460.75,1227.25,1627.5,2313,2391.625,2073.125,2613.375,945.375,41.95,37.53
5.6,1375.875,1008.25,1460.625,1227.375,1627.625,2313.75,2392.125,2073.375,2614.625,945.25,41.94,37.53
5.7,1375.875,1008.75,1460.625,1227.75,1627.75,2314.875,2392.75,2073.625,2616.625,945.25,41.96,37.52
5.8,1376.125,1009.5,1460.625,1228.25,1628.25,2316.375,2393.625,2074.125,2619,945.625,41.95,37.53
5.9,1376.5,1010.75,1460.625,1229.125,1628.875,2318.5,2394.875,2074.875,2621.75,946.375,41.95,37.53
6.0,1376.875,1012.5,1460.625,1230.375,1629.875,2320.875,2396.125,2076,2624.5,947.625,41.95,37.51
6.1,1377.5,1015,1460.75,1232,1631,2323.75,2397.75,2077.375,2627.5,949.125,41.94,37.5
6.2,1378.375,1018,1461,1234,1632.5,2327,2399.5,2079.375,2630.625,951.25,41.96,37.47
6.3,1379.375,1021.75,1461.25,1236.25,1634.125,2330.5,2401.5,2081.875,2634,953.625,41.92,37.48
6.4,1380.75,1026.125,1461.5,1239,1636,2334.375,2403.5,2084.875,2637.25,956.375,41.98,37.52
6.5,1382.375,1031.25,1461.875,1242.125,1638.125,2338.5,2405.625,2088.5,2640.625,959.5,41.95,37.51
6.6,1384.25,1037.125,1462.375,1245.625,1640.375,2342.75,2407.75,2092.5,2643.625,963.125,41.92,37.55
6.7,1386.375,1043.75,1462.75,1249.5,1642.75,2347.25,2410,2097.125,2646.5,967,41.92,37.54
6.8,1388.75,1051.125,1463.375,1253.625,1645.375,2351.75,2412.375,2102.25,2649.5,971.125,41.92,37.54
6.9,1391.25,1059.125,1464,1258,1648,2356.25,2414.5,2107.625,2652.5,975.375,41.94,37.53
7.0,1394.125,1067.75,1464.625,1262.75,1650.75,2360.75,2416.75,2113.625,2655.875,979.875,41.94,37.59
7.1,1397.25,1077,1465.375,1267.875,1653.875,2365.25,2418.875,2120,2659.375,984.5,41.95,37.57
7.2,1400.5,1086.75,1466,1273.25,1656.75,2369.625,2420.875,2126.75,2662.75,989.375,41.95,37.59
7.3,1404,1097.125,1466.75,1279,1660,2374,2423.125,2133.75,2666.25,994.25,41.89,37.64
7.4,1407.875,1107.875,1467.5,1285,1663.25,2378.125,2425.125,2141.125,2669.75,999.375,41.94,37.66
7.5,1411.625,1119.125,1468.375,1291.125,1666.625,2382.25,2427.125,2148.875,2673.25,1004.875,41.94,37.72
7.6,1415.875,1130.875,1469.125,1297.625,1670,2386.25,2429.125,2156.875,2676.75,1010.5,41.92,37.73
7.7,1420.25,1142.875,1469.875,1304.25,1673.375,2390.125,2431,2165.25,2680.125,1016.125,41.95,37.82
7.8,1424.625,1155.125,1470.625,1311.125,1676.875,2393.75,2432.875,2173.75,2683.5,1021.875,41.94,37.85
7.9,1429.375,1167.875,1471.5,1318.125,1680.375,2397.5,2434.625,2182.625,2687.125,1027.75,41.92,37.92
8.0,1434.25,1180.875,1472.25,1325.375,1684,2401,2436.5,2191.75,2690.625,1033.75,41.94,37.96
8.1,1439.25,1194,1473.125,1332.75,1687.5,2404.375,2438.125,2201,2694.25,1039.75,41.92,38.02
8.2,1444.375,1207.5,1473.875,1340.25,1691.125,2407.625,2439.75,2210.5,2697.75,1046,41.91,38.05
8.3,1449.5,1221,1474.75,1347.875,1694.625,2410.75,2441.375,2220.125,2701.25,1052.25,41.92,38.17
8.4,1455,1234.75,1475.5,1355.75,1698.25,2413.75,2442.875,2230,2704.625,1058.75,41.91,38.24
8.5,1460.5,1248.625,1476.25,1363.625,1701.875,2416.75,2444.5,2240,2708,1065.125,41.94,38.33
8.6,1466.125,1262.375,1477,1371.5,1705.375,2419.5,2445.875,2250.125,2711.5,1071.5,41.92,38.39
8.7,1471.875,1276.375,1477.75,1379.625,1708.875,2422.25,2447.25,2260.5,2714.875,1077.875,41.94,38.46
8.8,1477.75,1290.375,1478.5,1387.625,1712.375,2424.875,2448.625,2271,2718.25,1084.5,41.92,38.55
8.9,1483.625,1304.125,1479.125,1395.75,1715.875,2427.25,2449.875,2281.375,2721.625,1091.125,41.94,38.65
9.0,1489.625,1318,1479.875,1404,1719.375,2429.625,2451.125,2292.125,2725.125,1097.875,41.94,38.75
9.1,1495.75,1331.875,1480.5,1412.125,1722.875,2431.875,2452.375,2302.875,2728.625,1104.75,41.92,38.79
9.2,1501.875,1345.5,1481.25,1420.375,1726.125,2434.125,2453.625,2313.5,2732,1111.625,41.92,38.9
9.3,1508,1359.25,1481.875,1428.625,1729.5,2436.125,2454.625,2324.375,2735.375,1118.375,41.92,39.1
9.4,1514.375,1372.75,1482.625,1436.875,1732.875,2438.125,2455.75,2335.25,2738.5,1125.125,41.94,39.17
9.5,1520.5,1385.875,1483.25,1445,1736,2440,2456.875,2346.125,2741.5,1131.75,41.95,39.24
9.6,1526.875,1399.125,1483.875,1453.25,1739.25,2441.75,2457.875,2357.125,2744.75,1138.5,41.92,39.35
9.7,1533.25,1412.125,1484.5,1461.375,1742.5,2443.625,2458.875,2368.125,2748,1145.375,41.95,39.38
9.8,1539.5,1425,1485.125,1469.375,1745.625,2445.25,2459.875,2379.125,2751.125,1152.25,41.94,39.54
9.9,1546,1437.625,1485.75,1477.5,1748.625,2447,2460.75,2390.25,2754.25,1159,41.92,39.67
10.0,1552.375,1450.25,1486.25,1485.5,1751.625,2448.5,2461.625,2401.25,2757.125,1165.875,41.92,39.76
10.1,1558.75,1462.625,1486.875,1493.375,1754.625,2450,2462.5,2412.25,2760.125,1172.625,41.92,39.88
10.2,1565.125,1474.875,1487.375,1501.125,1757.5,2451.5,2463.375,2423.375,2763.25,1179.375,41.94,39.98
10.3,1571.625,1487,1488,1508.75,1760.375,2452.75,2464.25,2434.375,2766.375,1186,41.94,40.11
10.4,1577.875,1498.75,1488.5,1516.375,1763.125,2454.125,2464.875,2445.25,2769.375,1192.5,41.92,40.2
10.5,1584.375,1510.5,1489,1524,1765.875,2455.375,2465.75,2456.25,2772.5,1199.25,41.94,40.3
10.6,1590.75,1522.125,1489.625,1531.625,1768.75,2456.5,2466.5,2467.25,2775.5,1205.875,41.92,40.47
10.7,1597,1533.375,1490.125,1538.875,1771.25,2457.625,2467.125,2478,2778.375,1212.375,41.94,40.51
10.8,1603.375,1544.625,1490.625,1546.125,1773.875,2458.875,2467.875,2489,2781.25,1218.75,41.92,40.68
