time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1355,1000.875,1464.25,1205.125,1629.75,2315,2394.375,2017,2592.625,980.25,42.11,37.45
0.1,1355,1000.75,1464.25,1205.125,1629.75,2315,2394.375,2017,2592.625,980.125,42.12,37.49
0.2,1355,1000.75,1464.125,1205.125,1629.75,2315,2394.375,2016.875,2592.625,980.125,42.09,37.54
0.3,1355,1000.75,1464.25,1205,1629.75,2315,2394.375,2016.875,2592.5,980.125,42.12,37.49
0.4,1355,1000.75,1464.25,1205,1629.75,2314.875,2394.375,2016.875,2592.5,980,42.14,37.49
0.5,1355,1000.75,1464.25,1205,1629.75,2314.875,2394.375,2016.75,2592.5,980,42.14,37.53
0.6,1355,1000.625,1464.25,1205,1629.625,2314.875,2394.25,2016.75,2592.375,980,42.11,37.47
0.7,1355,1000.625,1464.25,1205,1629.625,2314.875,2394.25,2016.625,2592.375,979.875,42.14,37.49
0.8,1355,1000.625,1464.25,1205,1629.625,2314.875,2394.25,2016.625,2592.25,979.875,42.11,37.47
0.9,1354.875,1000.625,1464.25,1205,1629.625,2314.75,2394.25,2016.625,2592.25,979.875,42.15,37.52
1.0,1355,1000.625,1464.25,1204.875,1629.625,2314.75,2394.25,2016.625,2592.25,979.75,42.14,37.52
1.1,1354.875,1000.625,1464.25,1204.875,1629.625,2314.75,2394.125,2016.5,2592.25,979.75,42.11,37.44
1.2,1354.875,1000.625,1464.25,1204.875,1629.5,2314.75,2394.25,2016.5,2592.25,979.75,42.14,37.47
1.3,1354.875,1000.625,1464.25,1204.875,1629.625,2314.75,2394.25,2016.5,2592.25,979.75,42.12,37.43
1.4,1354.875,1000.625,1464.25,1204.875,1629.5,2314.625,2394.25,2016.375,2592.125,979.625,42.11,37.44
1.5,1354.875,1000.625,1464.125,1204.875,1629.625,2314.75,2394.25,2016.375,2592.125,979.5,42.12,37.46
1.6,1354.875,1000.5,1464.125,1204.75,1629.5,2314.75,2394.25,2016.375,2592.125,979.625,42.12,37.44
1.7,1354.75,1000.5,1464.25,1204.75,1629.5,2314.625,2394.125,2016.25,2592.125,979.5,42.14,37.46
1.8,1354.875,1000.5,1464.25,1204.75,1629.5,2314.75,2394.25,2016.25,2592.125,979.5,42.12,37.47
1.9,1354.75,1000.5,1464.125,1204.75,1629.5,2314.75,2394.125,2016.25,2592.125,979.375,42.14,37.41
2.0,1354.75,1000.5,1464.125,1204.75,1629.5,2314.75,2394.125,2016.125,2592,979.375,42.12,37.43
2.1,1354.75,1000.375,1464.125,1204.625,1629.375,2314.625,2394.125,2016.125,2592,979.25,42.15,37.5
2.2,1354.75,1000.375,1464.125,1204.75,1629.5,2314.625,2394.25,2016.125,2592,979.25,42.15,37.49
2.3,1354.75,1000.375,1464.125,1204.625,1629.5,2314.75,2394.125,2016,2592,979.25,42.15,37.45
2.4,1354.75,1000.375,1464.125,1204.625,1629.5,2314.75,2394.25,2016,2592,979.25,42.12,37.43
2.5,1354.75,1000.375,1464.125,1204.625,1629.375,2314.625,2394.125,2016,2592,979.125,42.11,37.42
2.6,1354.625,1000.375,1464.125,1204.625,1629.375,2314.625,2394,2016,2591.875,979.125,42.09,37.44
2.7,1354.625,1000.375,1464.125,1204.625,1629.375,2314.625,2394.125,2016,2591.875,979.125,42.12,37.44
2.8,1354.625,1000.375,1464.125,1204.625,1629.375,2314.625,2394,2015.875,2591.875,979,42.12,37.44
2.9,1354.625,1000.25,1464.125,1204.625,1629.375,2314.625,2394.125,2015.875,2591.75,979,42.12,37.44
3.0,1354.625,1000.25,1464.125,1204.5,1629.375,2314.625,2394.125,2015.75,2591.75,979,42.12,37.4
3.1,1354.625,1000.25,1464.125,1204.5,1629.375,2314.625,2394,2015.75,2591.75,978.875,42.11,37.42
3.2,1354.625,1000.25,1464.125,1204.5,1629.375,2314.5,2394,2015.75,2591.625,978.875,42.12,37.46
3.3,1354.625,1000.25,1464.125,1204.5,1629.25,2314.5,2394,2015.625,2591.75,978.875,42.12,37.41
3.4,1354.625,1000.125,1464.125,1204.375,1629.25,2314.5,2394,2015.625,2591.625,978.75,42.14,37.43
3.5,1354.5,1000.125,1464.125,1204.5,1629.25,2314.5,2394.125,2015.5,2591.625,978.75,42.14,37.38
