time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1388.5,1041.5,1464.5,1237.125,1630.5,2327,2392.75,2267.75,2624.375,917.125,42.19,37.6
0.1,1388.375,1041.5,1464.625,1237.125,1630.375,2327,2392.75,2267.75,2624.25,917.125,42.2,37.67
0.2,1388.375,1041.5,1464.5,1237.125,1630.5,2327,2392.75,2267.75,2624.25,917.125,42.19,37.62
0.3,1388.375,1041.375,1464.5,1237.125,1630.5,2327,2392.75,2267.625,2624.25,917.125,42.22,37.6
0.4,1388.375,1041.375,1464.625,1237.125,1630.5,2327,2392.75,2267.625,2624.25,917.125,42.19,37.62
0.5,1388.25,1041.375,1464.5,1237,1630.5,2327,2392.75,2267.625,2624.25,917.25,42.23,37.63
0.6,1388.25,1041.375,1464.5,1237.125,1630.5,2327,2392.75,2267.625,2624.25,917.25,42.2,37.62
0.7,1388.25,1041.375,1464.625,1237.125,1630.5,2327,2392.875,2267.5,2624.25,917.125,42.19,37.61
0.8,1388.25,1041.25,1464.625,1237,1630.5,2327,2392.875,2267.5,2624.25,917.25,42.2,37.58
0.9,1388.25,1041.25,1464.625,1237,1630.5,2327,2392.875,2267.5,2624.25,917.125,42.2,37.62
1.0,1388.25,1041.25,1464.625,1237,1630.5,2327,2392.875,2267.5,2624.125,917.25,42.22,37.6
1.1,1388.125,1041.25,1464.625,1237.125,1630.5,2327,2392.75,2267.375,2624.125,917.25,42.2,37.62
1.2,1388.125,1041.125,1464.625,1237,1630.5,2327,2392.875,2267.375,2624,917.25,42.2,37.61
1.3,1388.125,1041.125,1464.625,1237,1630.5,2327,2392.875,2267.375,2624,917.25,42.22,37.57
1.4,1388.25,1041.125,1464.625,1237,1630.5,2327,2392.875,2267.25,2624,917.25,42.19,37.64
1.5,1388.125,1041.125,1464.625,1237,1630.5,2327,2392.875,2267.375,2624,917.25,42.22,37.58
1.6,1388.125,1041.125,1464.5,1237,1630.5,2327.125,2392.875,2267.25,2624,917.25,42.22,37.6
1.7,1388.125,1041.125,1464.625,1237,1630.5,2327.125,2392.875,2267.25,2624,917.25,42.22,37.58
1.8,1388.125,1041,1464.5,1236.875,1630.5,2327.125,2392.75,2267.25,2624,917.25,42.23,37.57
1.9,1388.125,1041.125,1464.625,1236.875,1630.5,2327.125,2392.875,2267.125,2624,917.25,42.2,37.62
2.0,1388,1041,1464.5,1236.875,1630.5,2327.125,2392.875,2267.125,2623.875,917.25,42.22,37.6
2.1,1388,1041,1464.625,1236.875,1630.5,2327.125,2392.875,2267.125,2623.875,917.25,42.22,37.61
2.2,1388,1041,1464.625,1236.875,1630.5,2327,2392.875,2267.125,2623.875,917.25,42.22,37.57
2.3,1388,1041,1464.625,1236.875,1630.625,2327.125,2392.75,2267.125,2624,917.25,42.23,37.6
2.4,1388,1041,1464.625,1236.875,1630.5,2327.125,2392.875,2267,2623.875,917.25,42.22,37.6
2.5,1388,1041,1464.625,1236.875,1630.5,2327.125,2392.875,2267,2623.875,917.25,42.23,37.6
2.6,1388,1041,1464.625,1236.875,1630.625,2327.125,2392.875,2267,2623.875,917.25,42.25,37.59
2.7,1388,1041,1464.625,1236.875,1630.625,2327.125,2392.875,2267,2623.875,917.25,42.22,37.6
2.8,1388,1041,1464.625,1236.75,1630.5,2327.125,2392.875,2266.875,2623.75,917.25,42.22,37.58
2.9,1387.875,1040.875,1464.625,1236.75,1630.625,2327.125,2392.875,2266.875,2623.75,917.25,42.22,37.58
3.0,1387.875,1040.875,1464.625,1236.75,1630.625,2327.125,2392.875,2266.875,2623.75,917.375,42.22,37.54
3.1,1388,1041,1464.625,1236.75,1630.625,2327.125,2392.875,2266.875,2623.75,917.375,42.2,37.6
3.2,1388,1041,1464.625,1236.75,1630.625,2327.125,2393,2266.75,2623.75,917.25,42.25,37.62
3.3,1388,1041,1464.625,1236.75,1630.625,2327.125,2392.875,2266.75,2623.75,917.375,42.25,37.6
3.4,1387.875,1041,1464.625,1236.75,1630.625,2327.125,2393,2266.75,2623.75,917.375,42.22,37.58
3.5,1387.875,1040.875,1464.625,1236.75,1630.625,2327.125,2392.875,2266.75,2623.625,917.25,42.22,37.61
3.6,1388,1040.875,1464.625,1236.75,1630.625,2327.125,2392.875,2266.75,2623.625,917.375,42.23,37.61
3.7,1387.875,1040.875,1464.625,1236.625,1630.625,2327.125,2393,2266.625,2623.625,917.375,42.25,37.57
3.8,1387.875,1040.875,1464.625,1236.625,1630.75,2327.125,2392.875,2266.625,2623.625,917.25,42.23,37.57
3.9,1387.875,1040.875,1464.625,1236.625,1630.625,2327.125,2392.875,2266.625,2623.625,917.375,42.22,37.58
4.0,1387.875,1040.875,1464.625,1236.625,1630.625,2327.125,2392.875,2266.625,2623.625,917.375,42.25,37.59
4.1,1387.875,1040.875,1464.625,1236.625,1630.625,2327.125,2392.875,2266.5,2623.5,917.375,42.22,37.57
4.2,1387.875,1040.875,1464.625,1236.625,1630.625,2327.125,2392.875,2266.5,2623.625,917.375,42.23,37.58
4.3,1387.875,1040.875,1464.625,1236.5,1630.625,2327.125,2393,2266.5,2623.5,917.375,42.25,37.59
4.4,1387.875,1040.875,1464.625,1236.625,1630.625,2327.125,2392.875,2266.375,2623.5,917.375,42.23,37.57
4.5,1387.875,1040.875,1464.625,1236.5,1630.625,2327.125,2392.875,2266.375,2623.5,917.375,42.25,37.62
4.6,1387.75,1040.875,1464.625,1236.625,1630.625,2327.125,2392.875,2266.375,2623.5,917.375,42.25,37.59
4.7,1387.75,1040.875,1464.625,1236.5,1630.625,2327.125,2392.875,2266.375,2623.5,917.375,42.23,37.55
4.8,1387.75,1040.75,1464.625,1236.625,1630.75,2327.25,2393,2266.25,2623.5,917.5,42.2,37.61
4.9,1387.75,1040.75,1464.625,1236.5,1630.75,2327.125,2392.875,2266.25,2623.375,917.375,42.2,37.55
5.0,1387.75,1040.75,1464.5,1236.5,1630.625,2327.125,2392.875,2266.25,2623.375,917.375,42.22,37.61
5.1,1387.75,1040.75,1464.5,1236.375,1630.625,2327.125,2392.875,2266.25,2623.25,916.875,42.23,37.57
5.2,1387.75,1040.75,1464.375,1236.375,1630.625,2327,2392.875,2266.125,2623,916.375,42.22,37.55
5.3,1387.75,1040.75,1464.375,1236.375,1630.625,2327,2393,2266.125,2622.875,915.75,42.22,37.58
5.4,1387.75,1040.75,1464.375,1236.25,1630.75,2327.125,2392.875,2266.125,2623.125,915.25,42.22,37.61
5.5,1387.625,1040.75,1464.25,1236.25,1630.75,2327.125,2393,2266,2623.75,914.625,42.22,37.55
5.6,1387.75,1040.875,1464.25,1236.25,1630.75,2327.5,2393.125,2266,2624.375,914.125,42.23,37.58
5.7,1387.75,1041,1464.125,1236.375,1630.875,2328,2393.375,2266,2625.25,913.625,42.23,37.55
5.8,1387.75,1041.125,1464.125,1236.625,1631.125,2328.875,2394,2266,2626.5,913.25,42.22,37.58
5.9,1387.875,1041.375,1464.125,1237.125,1631.5,2330.125,2394.75,2266.25,2628,913.125,42.23,37.63
6.0,1388,1041.875,1464.25,1237.875,1632,2331.875,2395.625,2266.75,2629.875,913.125,42.25,37.62
6.1,1388.25,1042.625,1464.25,1238.875,1632.75,2334.125,2397,2267.5,2631.75,913.25,42.25,37.56
6.2,1388.75,1043.625,1464.375,1240.25,1633.625,2337,2398.625,2268.625,2634.125,913.5,42.22,37.6
6.3,1389.25,1044.875,1464.625,1242,1634.75,2340.125,2400.375,2270.25,2636.75,913.875,42.25,37.62
6.4,1390.25,1046.375,1464.75,1244.125,1636.25,2343.875,2402.375,2272.375,2639.25,914.5,42.23,37.58
6.5,1391.25,1048.125,1465.25,1246.625,1637.875,2347.75,2404.625,2274.75,2641.5,915.375,42.23,37.55
6.6,1392.5,1050.25,1465.625,1249.5,1639.75,2352.125,2406.875,2277.75,2643.75,916.25,42.25,37.59
6.7,1394,1052.5,1466.125,1252.75,1642,2356.75,2409.25,2281.125,2646,917.375,42.22,37.57
6.8,1395.875,1055.125,1466.75,1256.25,1644.5,2361.5,2411.625,2285,2648.5,918.5,42.23,37.58
6.9,1398,1058,1467.375,1260.125,1647.125,2366.375,2414.25,2289.25,2651.125,919.75,42.22,37.58
7.0,1400.25,1060.875,1468.125,1264.375,1650,2371.375,2416.875,2293.75,2654,921.125,42.22,37.55
7.1,1402.875,1064.25,1469,1269,1653.125,2376.375,2419.25,2298.75,2656.75,922.625,42.23,37.64
7.2,1405.75,1067.75,1469.875,1273.875,1656.5,2381.25,2421.625,2304,2659.375,924.25,42.22,37.58
7.3,1408.75,1071.5,1470.75,1279,1659.75,2386.25,2424.25,2309.625,2662.25,926,42.2,37.62
7.4,1412,1075.375,1471.625,1284.25,1663.25,2391,2426.625,2315.375,2665.125,927.625,42.22,37.67
7.5,1415.5,1079.625,1472.625,1289.875,1667,2395.75,2429,2321.375,2668.125,929.375,42.23,37.63
7.6,1419.125,1084,1473.625,1295.625,1670.75,2400.5,2431.5,2327.75,2670.875,931.25,42.22,37.71
7.7,1422.875,1088.625,1474.625,1301.625,1674.625,2405.125,2433.875,2334.125,2673.5,933.125,42.2,37.74
7.8,1426.875,1093.375,1475.75,1307.75,1678.625,2409.625,2436.25,2340.875,2676.375,935.125,42.22,37.71
7.9,1431,1098.375,1476.75,1314.125,1682.75,2414,2438.5,2347.75,2679.125,937.125,42.19,37.8
8.0,1435.375,1103.375,1477.875,1320.5,1686.875,2418.25,2440.625,2354.75,2681.75,939,42.22,37.85
8.1,1439.75,1108.625,1479,1327,1691,2422.375,2442.875,2361.875,2684.625,940.875,42.2,37.83
8.2,1444.375,1114,1480,1333.75,1695.125,2426.375,2445,2369.25,2687.375,943,42.22,37.92
8.3,1449.125,1119.5,1481.125,1340.5,1699.375,2430.25,2447,2376.5,2690.25,945.125,42.22,37.99
8.4,1454,1125,1482.25,1347.375,1703.5,2433.875,2449.125,2384.125,2693.125,947.25,42.22,38.01
8.5,1458.875,1130.625,1483.25,1354.25,1707.75,2437.5,2451,2391.5,2696,949.375,42.22,38.08
8.6,1463.875,1136.375,1484.375,1361.25,1711.875,2440.875,2452.875,2399.125,2698.75,951.625,42.22,38.14
8.7,1469.125,1142.375,1485.5,1368.375,1716.125,2444.125,2454.625,2406.875,2701.5,953.875,42.22,38.19
8.8,1474.25,1148.125,1486.625,1375.375,1720.25,2447.25,2456.5,2414.625,2704.125,956.125,42.22,38.24
8.9,1479.5,1154,1487.625,1382.5,1724.375,2450.25,2458.25,2422.375,2706.625,958.375,42.23,38.37
9.0,1484.875,1160,1488.75,1389.75,1728.5,2453.25,2460,2430.25,2709.25,960.625,42.23,38.4
9.1,1490.25,1166,1489.875,1396.75,1732.5,2456,2461.5,2438.125,2711.875,962.875,42.22,38.5
9.2,1495.75,1172,1490.875,1404,1736.5,2458.75,2463.25,2446.125,2714.5,965.125,42.19,38.59
9.3,1501.25,1178.125,1492,1411.125,1740.5,2461.375,2464.75,2454.125,2717,967.5,42.19,38.66
9.4,1506.75,1184.125,1493,1418.375,1744.375,2463.75,2466.25,2462,2719.5,969.75,42.22,38.75
9.5,1512.375,1190.25,1494.125,1425.625,1748.25,2466.25,2467.75,2470,2721.875,972.125,42.2,38.85
9.6,1518,1196.375,1495.125,1432.75,1752.125,2468.5,2469.25,2478,2724.375,974.375,42.22,38.95
9.7,1523.625,1202.375,1496.125,1439.875,1755.875,2470.75,2470.625,2486,2726.75,976.75,42.2,39.06
9.8,1529.25,1208.375,1497.25,1446.875,1759.5,2472.75,2472,2494,2729.125,979,42.2,39.16
9.9,1535.125,1214.5,1498.25,1454,1763.25,2474.875,2473.25,2502,2731.625,981.375,42.2,39.26
10.0,1540.625,1220.375,1499.25,1461,1766.875,2476.875,2474.5,2509.875,2734.25,983.75,42.2,39.33
