time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1405,1030,1454.625,1245.25,1633.25,2290,2392.875,2212.625,2587.125,946.875,41.49,38.61
0.1,1405,1030,1454.625,1245.25,1633.25,2289.875,2392.875,2212.625,2587.125,946.875,41.48,38.61
0.2,1405,1030,1454.625,1245.25,1633.25,2289.875,2392.875,2212.625,2587.125,946.875,41.48,38.59
0.3,1405,1029.875,1454.625,1245.125,1633.125,2290,2392.875,2212.625,2587,946.75,41.49,38.59
0.4,1405,1029.875,1454.625,1245.25,1633.25,2289.875,2392.875,2212.625,2587.125,946.75,41.48,38.59
0.5,1405,1029.875,1454.625,1245.25,1633.25,2290,2393,2212.5,2587,946.625,41.47,38.62
0.6,1405,1029.875,1454.625,1245.25,1633.25,2290,2392.875,2212.5,2587,946.625,41.49,38.63
0.7,1405,1029.875,1454.625,1245.25,1633.125,2289.875,2393,2212.5,2587,946.625,41.49,38.58
0.8,1405,1029.875,1454.625,1245.125,1633.25,2289.875,2392.875,2212.5,2587,946.625,41.51,38.6
0.9,1404.875,1029.75,1454.625,1245.125,1633.25,2290,2392.875,2212.5,2587,946.5,41.51,38.6
1.0,1404.875,1029.75,1454.625,1245.125,1633.25,2290,2392.875,2212.5,2587,946.5,41.48,38.58
1.1,1404.875,1029.75,1454.625,1245.125,1633.25,2289.875,2392.875,2212.375,2587,946.5,41.51,38.62
1.2,1404.875,1029.75,1454.625,1245.125,1633.125,2289.875,2392.875,2212.375,2587,946.5,41.49,38.62
1.3,1404.875,1029.625,1454.625,1245.125,1633.25,2289.875,2392.875,2212.375,2587,946.5,41.52,38.58
1.4,1404.875,1029.625,1454.625,1245.125,1633.125,2289.875,2392.875,2212.375,2587,946.375,41.48,38.59
1.5,1404.875,1029.625,1454.625,1245.125,1633.25,2289.875,2392.875,2212.375,2587,946.375,41.48,38.59
1.6,1404.875,1029.5,1454.625,1245.125,1633.125,2289.875,2392.875,2212.25,2587,946.375,41.51,38.61
1.7,1404.875,1029.5,1454.625,1245.125,1633.125,2289.875,2392.875,2212.25,2586.875,946.25,41.48,38.56
1.8,1404.875,1029.5,1454.625,1245,1633.125,2289.875,2392.875,2212.25,2587,946.25,41.49,38.62
1.9,1404.875,1029.5,1454.625,1245,1633.125,2289.875,2392.875,2212.25,2586.875,946.25,41.49,38.56
2.0,1404.875,1029.5,1454.625,1245,1633.125,2289.875,2392.875,2212.25,2586.875,946.25,41.48,38.59
2.1,1404.875,1029.5,1454.625,1245,1633.125,2289.875,2392.875,2212.25,2586.875,946.125,41.51,38.57
2.2,1404.75,1029.375,1454.625,1245,1633.125,2289.875,2392.75,2212.25,2586.875,946.125,41.51,38.57
2.3,1404.875,1029.375,1454.625,1245,1633.125,2289.875,2392.875,2212.125,2586.875,946.125,41.51,38.58
2.4,1404.875,1029.375,1454.625,1245,1633.125,2289.875,2392.75,2212.125,2586.875,946.125,41.51,38.58
2.5,1404.75,1029.25,1454.625,1244.875,1633.125,2289.75,2392.75,2212.125,2586.875,946,41.51,38.57
2.6,1404.75,1029.25,1454.625,1245,1633.125,2289.75,2392.75,2212.125,2586.875,946,41.51,38.57
2.7,1404.875,1029.25,1454.625,1244.875,1633.125,2289.75,2392.75,2212,2586.875,946,41.51,38.6
2.8,1404.75,1029.25,1454.625,1244.875,1633.125,2289.875,2392.75,2212,2586.875,945.875,41.54,38.57
2.9,1404.875,1029.25,1454.625,1244.875,1633.125,2289.875,2392.75,2212,2586.875,945.875,41.49,38.53
3.0,1404.875,1029.25,1454.625,1244.875,1633.125,2289.875,2392.75,2212,2586.875,945.875,41.52,38.6
