time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1390.5,1054.25,1442.625,1227.25,1630.625,2291.125,2391.75,2168.25,2608.625,997.25,42.57,35.88
0.1,1390.625,1054.25,1442.75,1227.25,1630.5,2291.125,2391.75,2168.25,2608.625,997.25,42.63,35.88
0.2,1390.5,1054.25,1442.75,1227.25,1630.5,2291.125,2391.75,2168.25,2608.625,997.125,42.63,35.9
0.3,1390.5,1054.25,1442.625,1227.25,1630.5,2291.125,2391.75,2168,2608.5,997.125,42.61,35.94
0.4,1390.5,1054.375,1442.75,1227.25,1630.625,2291.125,2391.75,2168,2608.5,997.125,42.63,35.9
0.5,1390.5,1054.25,1442.625,1227.25,1630.625,2291.125,2391.75,2168,2608.5,997,42.61,35.88
0.6,1390.5,1054.375,1442.75,1227.25,1630.625,2291.125,2391.75,2167.875,2608.5,997,42.6,35.88
0.7,1390.5,1054.375,1442.625,1227.25,1630.625,2291.125,2391.75,2167.75,2608.375,996.875,42.6,35.89
0.8,1390.5,1054.25,1442.625,1227.25,1630.5,2291.125,2391.75,2167.625,2608.375,996.875,42.63,35.91
0.9,1390.375,1054.25,1442.625,1227.125,1630.5,2291.125,2391.875,2167.625,2608.375,996.875,42.63,35.91
1.0,1390.375,1054.375,1442.625,1227.125,1630.625,2291.125,2391.75,2167.5,2608.375,996.75,42.61,35.91
1.1,1390.5,1054.375,1442.625,1227.125,1630.5,2291.25,2391.875,2167.5,2608.375,996.75,42.61,35.91
1.2,1390.375,1054.25,1442.625,1227.125,1630.625,2291.125,2391.75,2167.375,2608.25,996.75,42.64,35.91
1.3,1390.375,1054.25,1442.625,1227.125,1630.625,2291.125,2391.875,2167.25,2608.25,996.75,42.64,35.84
1.4,1390.375,1054.25,1442.625,1227.125,1630.625,2291.25,2391.75,2167.25,2608.25,996.75,42.64,35.85
1.5,1390.375,1054.25,1442.75,1227.125,1630.625,2291.25,2391.875,2167.125,2608.25,996.625,42.66,35.96
1.6,1390.375,1054.25,1442.625,1227.125,1630.625,2291.125,2391.875,2167.125,2608.25,996.5,42.64,35.9
1.7,1390.375,1054.25,1442.625,1227.125,1630.625,2291.25,2391.75,2167,2608.125,996.5,42.64,35.87
1.8,1390.375,1054.25,1442.625,1227.125,1630.625,2291.125,2391.875,2166.875,2608.125,996.5,42.64,35.93
1.9,1390.25,1054.25,1442.625,1227.125,1630.625,2291.125,2391.875,2166.875,2608.125,996.375,42.63,35.88
2.0,1390.375,1054.25,1442.625,1227,1630.625,2291.25,2391.75,2166.75,2608.125,996.375,42.6,35.89
2.1,1390.375,1054.125,1442.625,1227,1630.625,2291.125,2391.875,2166.625,2608.125,996.375,42.63,35.9
2.2,1390.375,1054.25,1442.625,1227,1630.625,2291.125,2391.75,2166.625,2608,996.25,42.66,35.9
2.3,1390.25,1054.25,1442.5,1227,1630.625,2291.125,2391.75,2166.5,2608,996.25,42.64,35.9
2.4,1390.25,1054.125,1442.5,1227,1630.625,2291.125,2391.75,2166.375,2608,996.25,42.64,35.9
2.5,1390.25,1054.125,1442.625,1227,1630.625,2291.125,2391.875,2166.375,2608,996.125,42.63,35.94
2.6,1390.25,1054.125,1442.625,1227,1630.625,2291.125,2391.875,2166.25,2607.875,996.125,42.64,35.91
2.7,1390.25,1054.125,1442.5,1227,1630.625,2291.125,2391.75,2166.125,2607.875,996,42.66,35.85
2.8,1390.25,1054.125,1442.5,1226.875,1630.625,2291.125,2391.875,2166,2607.875,995.875,42.64,35.83
2.9,1390.25,1054.125,1442.5,1226.875,1630.625,2291.125,2391.875,2166,2607.875,996,42.64,35.87
3.0,1390.25,1054.125,1442.5,1226.875,1630.625,2291.125,2391.875,2165.875,2607.75,995.875,42.64,35.88
3.1,1390.25,1054.125,1442.5,1226.875,1630.625,2291.125,2391.875,2165.875,2607.75,995.875,42.63,35.87
3.2,1390.25,1054,1442.5,1226.875,1630.625,2291.125,2391.875,2165.75,2607.75,995.75,42.63,35.9
3.3,1390.25,1054,1442.5,1226.875,1630.625,2291.125,2391.75,2165.625,2607.625,995.75,42.63,35.84
3.4,1390.25,1054,1442.5,1226.75,1630.625,2291.125,2391.875,2165.5,2607.625,995.75,42.63,35.91
3.5,1390.25,1054,1442.5,1226.75,1630.625,2291.125,2391.875,2165.5,2607.625,995.625,42.64,35.84
