time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1423.75,1089.125,1448.75,1262.375,1641.875,2299.75,2398.25,2256.25,2609.375,1027.125,42.43,36.98
0.1,1423.75,1089.125,1448.875,1262.375,1641.875,2299.625,2398.25,2256.375,2609.375,1027.125,42.46,36.98
0.2,1423.75,1089.25,1448.75,1262.375,1641.875,2299.625,2398.25,2256.25,2609.375,1027.125,42.43,36.93
0.3,1423.75,1089.125,1448.75,1262.375,1641.875,2299.625,2398.125,2256.25,2609.25,1027,42.45,36.98
0.4,1423.75,1089.125,1448.75,1262.375,1641.875,2299.625,2398.25,2256.375,2609.25,1027,42.47,36.95
0.5,1423.75,1089.25,1448.875,1262.375,1641.875,2299.625,2398.125,2256.375,2609.25,1026.875,42.47,36.93
0.6,1423.75,1089.25,1448.75,1262.375,1641.75,2299.625,2398.25,2256.375,2609.25,1026.875,42.47,36.95
0.7,1423.75,1089.25,1448.75,1262.375,1641.875,2299.5,2398.125,2256.375,2609.125,1026.75,42.47,36.95
0.8,1423.75,1089.125,1448.75,1262.375,1641.75,2299.5,2398.125,2256.375,2609.125,1026.75,42.47,36.95
0.9,1423.75,1089.25,1448.75,1262.375,1641.75,2299.5,2398.125,2256.5,2609.125,1026.75,42.46,36.96
1.0,1423.75,1089.25,1448.75,1262.375,1641.75,2299.375,2398.125,2256.5,2609,1026.625,42.49,36.99
1.1,1423.75,1089.25,1448.75,1262.375,1641.75,2299.375,2398.125,2256.5,2609,1026.625,42.49,36.88
1.2,1423.75,1089.25,1448.75,1262.375,1641.75,2299.375,2398.125,2256.5,2609,1026.625,42.47,36.95
1.3,1423.75,1089.125,1448.75,1262.375,1641.75,2299.375,2397.875,2256.5,2609,1026.5,42.47,36.93
1.4,1423.75,1089.125,1448.75,1262.375,1641.625,2299.25,2397.875,2256.625,2608.875,1026.5,42.43,36.93
1.5,1423.75,1089.25,1448.75,1262.375,1641.625,2299.25,2398,2256.625,2608.875,1026.5,42.46,36.98
1.6,1423.75,1089.25,1448.75,1262.5,1641.625,2299.25,2397.875,2256.625,2608.875,1026.375,42.47,36.93
1.7,1423.75,1089.125,1448.75,1262.375,1641.625,2299.25,2397.875,2256.625,2608.75,1026.375,42.46,36.93
1.8,1423.75,1089.125,1448.75,1262.375,1641.625,2299.125,2397.875,2256.625,2608.75,1026.375,42.47,36.91
1.9,1423.75,1089.125,1448.75,1262.375,1641.5,2299.125,2397.75,2256.625,2608.75,1026.375,42.46,36.87
2.0,1423.75,1089.125,1448.75,1262.375,1641.5,2299.125,2397.75,2256.625,2608.75,1026.25,42.47,36.98
2.1,1423.75,1089.125,1448.75,1262.375,1641.5,2299,2397.75,2256.625,2608.625,1026.25,42.47,36.96
2.2,1423.75,1089.125,1448.75,1262.375,1641.5,2299,2397.75,2256.625,2608.625,1026.25,42.47,36.92
2.3,1423.75,1089.125,1448.75,1262.375,1641.375,2299,2397.75,2256.625,2608.625,1026.125,42.47,36.95
2.4,1423.75,1089.125,1448.75,1262.375,1641.375,2299,2397.75,2256.625,2608.625,1026,42.49,36.91
2.5,1423.75,1089.125,1448.75,1262.375,1641.375,2298.875,2397.75,2256.75,2608.5,1026,42.47,36.92
2.6,1423.75,1089,1448.75,1262.375,1641.375,2298.875,2397.625,2256.625,2608.5,1026,42.5,36.92
2.7,1423.75,1089,1448.75,1262.375,1641.25,2298.875,2397.75,2256.75,2608.5,1026,42.47,36.91
2.8,1423.75,1089,1448.75,1262.375,1641.25,2298.875,2397.625,2256.75,2608.5,1025.875,42.46,36.92
2.9,1423.75,1089.125,1448.75,1262.375,1641.25,2298.75,2397.625,2256.75,2608.375,1025.875,42.49,36.91
3.0,1423.75,1089,1448.75,1262.375,1641.25,2298.75,2397.625,2256.75,2608.375,1025.875,42.5,36.92
3.1,1423.75,1089,1448.75,1262.375,1641.25,2298.625,2397.625,2256.75,2608.375,1025.875,42.47,36.87
3.2,1423.75,1089,1448.75,1262.375,1641.25,2298.625,2397.625,2256.75,2608.375,1025.75,42.5,36.87
3.3,1423.75,1089,1448.75,1262.375,1641.25,2298.75,2397.5,2256.75,2608.25,1025.75,42.46,36.89
3.4,1423.75,1089,1448.625,1262.375,1641.125,2298.625,2397.5,2256.75,2608.25,1025.75,42.49,36.86
3.5,1423.75,1089,1448.625,1262.375,1641.125,2298.625,2397.5,2256.75,2608.25,1025.75,42.47,36.87
3.6,1423.75,1089,1448.75,1262.375,1641.125,2298.5,2397.5,2256.75,2608.25,1025.625,42.5,36.87
3.7,1423.75,1089,1448.75,1262.375,1641.125,2298.5,2397.5,2256.75,2608.125,1025.625,42.47,36.89
3.8,1423.75,1089,1448.75,1262.375,1641.125,2298.5,2397.375,2256.75,2608.125,1025.625,42.49,36.88
3.9,1423.75,1089,1448.75,1262.375,1641.125,2298.5,2397.375,2256.75,2608.25,1025.5,42.49,36.91
4.0,1423.75,1089,1448.75,1262.375,1641.125,2298.5,2397.375,2256.875,2608.125,1025.625,42.49,36.88
4.1,1423.75,1089.125,1448.75,1262.375,1641.125,2298.5,2397.375,2256.875,2608.125,1025.625,42.47,36.86
