time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1413.875,1052.25,1451.375,1253.875,1636.5,2293.875,2394.625,2225.75,2602.375,945,41.96,37.76
0.1,1413.875,1052.25,1451.375,1253.875,1636.5,2293.875,2394.625,2225.875,2602.375,945,41.95,37.73
0.2,1413.875,1052.25,1451.375,1253.875,1636.5,2293.875,2394.625,2225.875,2602.25,945,41.95,37.72
0.3,1413.875,1052.25,1451.375,1254,1636.5,2293.75,2394.625,2225.875,2602.25,945,41.94,37.73
0.4,1413.875,1052.375,1451.375,1253.875,1636.5,2293.75,2394.5,2226,2602.25,945,41.95,37.7
0.5,1413.875,1052.375,1451.375,1254,1636.5,2293.75,2394.5,2226,2602.25,945,41.95,37.73
0.6,1413.875,1052.375,1451.375,1254,1636.5,2293.75,2394.5,2225.875,2602.25,945,41.96,37.75
0.7,1413.875,1052.375,1451.375,1254,1636.375,2293.625,2394.5,2226,2602.25,945,41.98,37.72
0.8,1414,1052.5,1451.375,1254,1636.5,2293.625,2394.5,2226.125,2602.25,945,41.96,37.72
0.9,1414,1052.5,1451.375,1254,1636.5,2293.625,2394.375,2226.125,2602.25,945,41.98,37.72
1.0,1414,1052.5,1451.375,1254,1636.5,2293.625,2394.5,2226.125,2602.25,945,41.95,37.72
1.1,1414,1052.5,1451.375,1254,1636.5,2293.625,2394.375,2226.25,2602.125,945.125,41.98,37.71
1.2,1414,1052.625,1451.375,1254,1636.375,2293.625,2394.375,2226.25,2602.125,945,41.98,37.71
1.3,1414.125,1052.625,1451.375,1254,1636.375,2293.5,2394.375,2226.375,2602.125,945.125,41.96,37.7
1.4,1414.125,1052.625,1451.375,1254.125,1636.5,2293.5,2394.5,2226.375,2602.125,945.125,41.98,37.74
1.5,1414.125,1052.625,1451.375,1254.125,1636.375,2293.5,2394.375,2226.5,2602.125,945.125,41.96,37.72
1.6,1414.125,1052.75,1451.375,1254.125,1636.375,2293.5,2394.375,2226.375,2602.25,945.375,41.96,37.69
1.7,1414.125,1052.75,1451.25,1254.125,1636.375,2293.5,2394.375,2226.5,2602.5,945.875,41.96,37.67
1.8,1414.125,1052.75,1451.375,1254.125,1636.375,2293.5,2394.375,2226.5,2602.75,946.5,41.95,37.72
1.9,1414.25,1052.875,1451.375,1254.125,1636.375,2293.5,2394.375,2226.625,2603.125,947.125,41.96,37.66
2.0,1414.25,1052.875,1451.25,1254.125,1636.375,2293.5,2394.375,2226.625,2603.25,947.5,41.94,37.73
2.1,1414.25,1052.875,1451.25,1254.125,1636.375,2293.5,2394.375,2226.625,2603.375,947.625,41.95,37.67
2.2,1414.25,1053,1451.25,1254.125,1636.375,2293.5,2394.375,2226.625,2603.375,947.625,41.94,37.72
2.3,1414.375,1053,1451.25,1254.25,1636.375,2293.5,2394.375,2226.75,2603.375,947.625,41.96,37.7
2.4,1414.375,1053,1451.25,1254.125,1636.5,2293.5,2394.375,2226.75,2603.375,947.5,41.96,37.66
2.5,1414.375,1053.125,1451.25,1254.25,1636.375,2293.5,2394.25,2226.75,2603.375,947.5,41.98,37.66
2.6,1414.375,1053.125,1451.25,1254.25,1636.5,2293.5,2394.375,2226.75,2603.25,947.5,41.98,37.69
2.7,1414.375,1053.125,1451.25,1254.25,1636.375,2293.5,2394.375,2226.875,2603.25,947.5,41.96,37.67
2.8,1414.375,1053.25,1451.25,1254.25,1636.375,2293.5,2394.375,2226.875,2603.25,947.375,41.96,37.67
2.9,1414.5,1053.25,1451.25,1254.25,1636.5,2293.5,2394.375,2227,2603.125,947.375,41.96,37.67
3.0,1414.5,1053.25,1451.25,1254.25,1636.375,2293.5,2394.375,2227,2603.125,947.25,41.98,37.69
3.1,1414.5,1053.375,1451.25,1254.25,1636.5,2293.5,2394.375,2227,2603.125,947.25,41.96,37.66
3.2,1414.5,1053.375,1451.25,1254.375,1636.5,2293.625,2394.25,2227,2603,947.25,41.96,37.69
3.3,1414.625,1053.5,1451.25,1254.375,1636.5,2293.625,2394.375,2227.125,2603,947.25,41.99,37.65
3.4,1414.625,1053.5,1451.25,1254.375,1636.5,2293.5,2394.375,2227.125,2603,947.25,41.98,37.65
3.5,1414.625,1053.5,1451.25,1254.375,1636.5,2293.625,2394.375,2227.25,2603,947.25,41.96,37.66
3.6,1414.625,1053.5,1451.25,1254.375,1636.5,2293.5,2394.375,2227.25,2603,947.25,41.98,37.66
3.7,1414.625,1053.625,1451.25,1254.375,1636.5,2293.5,2394.375,2227.25,2602.875,947.125,41.96,37.67
3.8,1414.625,1053.625,1451.25,1254.375,1636.5,2293.5,2394.375,2227.375,2602.875,947.125,41.96,37.62
3.9,1414.625,1053.625,1451.25,1254.5,1636.5,2293.625,2394.375,2227.375,2603,947.125,41.98,37.65
4.0,1414.75,1053.75,1451.25,1254.5,1636.5,2293.625,2394.25,2227.375,2603,947.125,41.96,37.64
4.1,1414.75,1053.75,1451.25,1254.5,1636.5,2293.5,2394.375,2227.375,2603,947.125,41.99,37.66
4.2,1414.75,1053.75,1451.25,1254.5,1636.5,2293.625,2394.375,2227.5,2602.875,947.125,41.99,37.66
4.3,1414.75,1053.75,1451.25,1254.5,1636.5,2293.625,2394.25,2227.5,2602.875,947.125,41.98,37.66
4.4,1414.75,1053.75,1451.25,1254.5,1636.5,2293.625,2394.25,2227.5,2602.875,947,41.96,37.66
4.5,1414.75,1053.875,1451.25,1254.5,1636.5,2293.5,2394.25,2227.625,2602.875,947,41.99,37.63
4.6,1414.75,1053.875,1451.25,1254.5,1636.5,2293.625,2394.375,2227.625,2602.875,947,41.98,37.65
4.7,1414.75,1053.875,1451.25,1254.5,1636.5,2293.5,2394.25,2227.75,2602.875,947,41.96,37.64
4.8,1414.875,1054,1451.25,1254.5,1636.5,2293.5,2394.375,2227.75,2602.875,947,41.96,37.69
4.9,1414.875,1054,1451.25,1254.625,1636.5,2293.5,2394.375,2227.75,2602.75,947,41.98,37.69
5.0,1414.875,1054,1451.125,1254.5,1636.625,2293.5,2394.375,2227.75,2603,947,41.98,37.63
5.1,1415,1054.125,1451.125,1254.5,1636.625,2293.5,2394.375,2227.75,2603,947,41.99,37.68
5.2,1415,1054.125,1451,1254.5,1636.625,2293.5,2394.25,2227.75,2603,946.875,41.96,37.66
5.3,1415.125,1054.25,1451.125,1254.375,1636.625,2293.5,2394.25,2227.875,2603.625,946.875,41.98,37.63
5.4,1415.125,1054.25,1451,1254.375,1636.75,2293.5,2394.375,2227.875,2604.25,946.875,41.98,37.66
5.5,1415.25,1054.375,1450.875,1254.375,1636.875,2293.625,2394.5,2228,2605,946.875,41.96,37.63
5.6,1415.25,1054.375,1450.75,1254.375,1636.875,2294,2394.75,2228.125,2606,947,41.96,37.66
5.7,1415.25,1054.5,1450.75,1254.375,1637,2294.5,2395.25,2228.125,2607.125,947.25,42,37.63
5.8,1415.375,1054.875,1450.75,1254.5,1637.125,2295.25,2395.875,2228.25,2608.625,947.5,41.96,37.66
5.9,1415.375,1055.375,1450.75,1254.75,1637.375,2296.5,2396.75,2228.5,2610.125,947.875,41.98,37.62
6.0,1415.5,1056.25,1450.75,1255,1637.75,2298,2397.625,2228.625,2611.625,948.5,41.99,37.68
