time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1428.375,1080.25,1451.125,1266.875,1638.625,2296.5,2395.875,2287,2618.375,1022.625,42.29,37.09
0.1,1428.25,1080.25,1451.25,1266.875,1638.625,2296.375,2395.75,2287,2618.25,1022.5,42.29,37.15
0.2,1428.375,1080.25,1451.25,1266.875,1638.625,2296.375,2395.75,2287,2618.25,1022.5,42.3,37.05
0.3,1428.25,1080.125,1451.25,1266.875,1638.5,2296.375,2395.75,2287,2618.25,1022.5,42.29,37.09
0.4,1428.25,1080.125,1451.125,1266.875,1638.625,2296.375,2395.75,2286.875,2618.25,1022.375,42.27,37.08
0.5,1428.375,1080.125,1451.25,1266.875,1638.625,2296.375,2395.875,2286.875,2618.125,1022.25,42.29,37.11
0.6,1428.375,1080.125,1451.125,1266.875,1638.625,2296.375,2395.875,2286.75,2618.125,1022.25,42.29,37.14
0.7,1428.375,1080.125,1451.125,1266.875,1638.5,2296.375,2395.75,2286.875,2618.125,1022.125,42.3,37.09
0.8,1428.25,1080.125,1451.125,1266.875,1638.5,2296.25,2395.75,2286.75,2618,1022.125,42.29,37.07
0.9,1428.25,1080.125,1451.25,1266.75,1638.625,2296.375,2395.875,2286.75,2618,1022,42.27,37.1
1.0,1428.25,1080,1451.125,1266.75,1638.5,2296.25,2395.75,2286.625,2618,1022,42.29,37.08
1.1,1428.25,1080,1451.125,1266.75,1638.5,2296.25,2395.75,2286.625,2618,1021.875,42.27,37.09
1.2,1428.25,1079.875,1451.125,1266.75,1638.5,2296.25,2395.75,2286.625,2618,1021.875,42.29,37.11
1.3,1428.25,1080,1451.125,1266.75,1638.5,2296.25,2395.625,2286.5,2617.875,1021.75,42.27,37.1
1.4,1428.25,1079.875,1451.125,1266.75,1638.5,2296.125,2395.75,2286.625,2617.875,1021.75,42.27,37.12
1.5,1428.25,1079.875,1451.125,1266.625,1638.5,2296.25,2395.75,2286.625,2617.75,1021.75,42.27,37.08
1.6,1428.25,1079.875,1451.125,1266.625,1638.5,2296.25,2395.75,2286.5,2617.875,1021.625,42.29,37.09
1.7,1428.25,1079.875,1451.125,1266.75,1638.5,2296.25,2395.75,2286.5,2617.75,1021.625,42.29,37.09
1.8,1428.125,1079.875,1451.25,1266.625,1638.5,2296.25,2395.625,2286.5,2617.75,1021.625,42.29,37.11
1.9,1428.25,1079.875,1451.125,1266.625,1638.5,2296.125,2395.75,2286.375,2617.75,1021.5,42.27,37.09
2.0,1428.125,1079.875,1451.125,1266.625,1638.5,2296.125,2395.75,2286.375,2617.75,1021.5,42.26,37.09
2.1,1428.125,1079.75,1451.125,1266.625,1638.5,2296.25,2395.75,2286.375,2617.75,1021.5,42.29,37.09
2.2,1428.125,1079.75,1451.125,1266.5,1638.5,2296.125,2395.75,2286.25,2617.625,1021.375,42.27,37.08
2.3,1428.125,1079.75,1451.125,1266.5,1638.5,2296.125,2395.75,2286.25,2617.625,1021.25,42.29,37.08
2.4,1428.125,1079.75,1451.125,1266.625,1638.5,2296.125,2395.75,2286.25,2617.625,1021.25,42.3,37.02
2.5,1428.125,1079.75,1451.125,1266.5,1638.5,2296.125,2395.625,2286.25,2617.625,1021.25,42.3,37.09
2.6,1428.125,1079.75,1451.25,1266.5,1638.375,2296.125,2395.75,2286.125,2617.625,1021.125,42.27,37.09
2.7,1428.125,1079.75,1451.125,1266.5,1638.5,2296.125,2395.625,2286.125,2617.5,1021.125,42.27,37.09
2.8,1428.125,1079.75,1451.125,1266.5,1638.5,2296.125,2395.75,2286.125,2617.5,1021.125,42.29,37.11
2.9,1428,1079.75,1451.125,1266.5,1638.5,2296.125,2395.75,2286.125,2617.5,1021,42.29,37.14
3.0,1428,1079.75,1451.125,1266.5,1638.5,2296.125,2395.625,2286,2617.5,1021,42.26,37.12
3.1,1428.125,1079.75,1451.125,1266.5,1638.5,2296.125,2395.625,2286,2617.5,1021,42.27,37.09
3.2,1428.125,1079.75,1451.125,1266.5,1638.5,2296.125,2395.625,2286,2617.5,1020.875,42.29,37.05
3.3,1428.125,1079.75,1451.125,1266.5,1638.5,2296.125,2395.625,2286,2617.5,1020.875,42.29,37.08
3.4,1428.125,1079.625,1451.125,1266.5,1638.5,2296.125,2395.625,2285.875,2617.375,1020.875,42.29,37.07
3.5,1428,1079.625,1451.125,1266.375,1638.5,2296.125,2395.625,2285.875,2617.375,1020.875,42.29,37.08
3.6,1428,1079.625,1451.125,1266.375,1638.5,2296.125,2395.75,2285.875,2617.375,1020.75,42.29,37.11
3.7,1428,1079.625,1451.125,1266.375,1638.5,2296.125,2395.625,2285.875,2617.375,1020.75,42.29,37.11
3.8,1428,1079.625,1451.125,1266.375,1638.5,2296.125,2395.625,2285.75,2617.25,1020.75,42.29,37.07
3.9,1428,1079.625,1451.125,1266.375,1638.5,2296.125,2395.75,2285.75,2617.25,1020.625,42.27,37.09
4.0,1428,1079.625,1451.125,1266.375,1638.5,2296.125,2395.625,2285.75,2617.375,1020.625,42.29,37.08
4.1,1428,1079.625,1451.125,1266.375,1638.5,2296.125,2395.625,2285.75,2617.375,1020.625,42.29,37.05
4.2,1428,1079.625,1451.25,1266.375,1638.5,2296.125,2395.625,2285.625,2617.375,1020.625,42.27,37.09
4.3,1427.875,1079.5,1451.125,1266.375,1638.5,2296.125,2395.625,2285.625,2617.25,1020.5,42.29,37.07
4.4,1427.875,1079.625,1451.125,1266.375,1638.5,2296.125,2395.625,2285.625,2617.375,1020.5,42.27,37.08
4.5,1427.875,1079.625,1451.125,1266.375,1638.5,2296.125,2395.625,2285.625,2617.25,1020.5,42.29,37.07
4.6,1427.875,1079.625,1451.125,1266.375,1638.5,2296.125,2395.625,2285.625,2617.25,1020.375,42.27,37.09
4.7,1427.875,1079.625,1451.125,1266.375,1638.5,2296.125,2395.625,2285.5,2617.25,1020.5,42.29,37.05
4.8,1427.875,1079.625,1451.125,1266.25,1638.625,2296.125,2395.625,2285.5,2617.25,1020.375,42.29,37.07
4.9,1427.875,1079.5,1451.125,1266.25,1638.625,2296.125,2395.75,2285.5,2617.125,1020.375,42.29,37.11
5.0,1428,1079.5,1451.125,1266.25,1638.5,2296.125,2395.625,2285.5,2617.25,1020.375,42.29,37.05
5.1,1427.875,1079.625,1451.125,1266.25,1638.5,2296.125,2395.625,2285.5,2617.125,1020.25,42.29,37.05
5.2,1427.875,1079.5,1451.125,1266.25,1638.5,2296.125,2395.625,2285.5,2617.125,1020.25,42.3,37.12
5.3,1427.875,1079.5,1451.125,1266.25,1638.5,2296.125,2395.625,2285.375,2617.125,1020.125,42.27,37.12
5.4,1428,1079.5,1451.125,1266.25,1638.5,2296.125,2395.625,2285.25,2617.125,1020.125,42.29,37.11
5.5,1427.875,1079.5,1451.125,1266.25,1638.5,2296.125,2395.5,2285.375,2617.125,1020.125,42.27,37.06
5.6,1427.875,1079.5,1451.125,1266.25,1638.625,2296.125,2395.75,2285.375,2617.125,1020.125,42.27,37.06
5.7,1427.875,1079.5,1451.125,1266.25,1638.625,2296.125,2395.625,2285.25,2617.125,1020.125,42.29,37.12
5.8,1427.875,1079.5,1451.125,1266.25,1638.625,2296.125,2395.625,2285.25,2617,1020.125,42.29,37.11
5.9,1427.75,1079.5,1451.125,1266.25,1638.625,2296.125,2395.625,2285.25,2617,1020,42.27,37.06
6.0,1427.875,1079.5,1451.125,1266.125,1638.625,2296.125,2395.625,2285.125,2617,1020,42.29,37.09
6.1,1427.875,1079.5,1451,1266.125,1638.625,2296.125,2395.75,2285.25,2617,1020,42.27,37.05
6.2,1427.75,1079.5,1451,1266.125,1638.625,2296.125,2395.625,2285.125,2617,1020,42.29,37.09
6.3,1427.875,1079.5,1451,1266.125,1638.625,2296.125,2395.625,2285.125,2617,1020,42.27,37.06
6.4,1427.75,1079.5,1451,1266.125,1638.625,2296.125,2395.625,2285.125,2617,1019.875,42.27,37.09
6.5,1427.75,1079.375,1451,1266.125,1638.5,2296.125,2395.625,2285,2617,1019.875,42.3,37.07
6.6,1427.75,1079.5,1451,1266.125,1638.5,2296.125,2395.625,2285,2617,1019.875,42.29,37.12
6.7,1427.75,1079.375,1451,1266.125,1638.5,2296.125,2395.625,2285,2617,1019.875,42.3,37.07
6.8,1427.625,1079.375,1451,1266.125,1638.625,2296.125,2395.625,2285,2617,1019.75,42.27,37.08
