time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1397.5,1060.875,1470,1239.125,1637.25,2297.375,2392.625,2233.875,2601.75,903,41.95,38.07
0.1,1397.5,1061.125,1469.875,1239.25,1637.25,2297.375,2392.75,2234,2601.75,903.125,41.94,38.01
0.2,1397.625,1061.25,1469.875,1239.25,1637.25,2297.375,2392.75,2234.125,2601.75,903.25,41.96,38.06
0.3,1397.75,1061.375,1469.75,1239.25,1637.25,2297.25,2392.625,2234.25,2601.75,903.25,41.95,38.04
0.4,1397.875,1061.625,1469.75,1239.25,1637.25,2297.25,2392.75,2234.375,2601.75,903.375,41.96,38.01
0.5,1397.875,1061.625,1469.75,1239.25,1637.25,2297.25,2392.625,2234.5,2601.75,903.5,41.96,38.08
0.6,1398,1061.875,1469.625,1239.375,1637.375,2297.125,2392.625,2234.5,2601.75,903.625,41.98,38.07
0.7,1398.125,1062,1469.625,1239.375,1637.375,2297.125,2392.625,2234.625,2601.75,903.75,41.98,38
0.8,1398.125,1062.125,1469.625,1239.375,1637.375,2297.125,2392.625,2234.75,2601.875,903.75,41.95,38.07
0.9,1398.25,1062.25,1469.5,1239.375,1637.375,2297.125,2392.5,2234.875,2601.75,903.875,41.98,38.06
1.0,1398.25,1062.375,1469.5,1239.375,1637.375,2297.125,2392.5,2235,2601.875,904,41.98,38.04
1.1,1398.375,1062.625,1469.5,1239.375,1637.375,2297,2392.5,2235.125,2601.875,904.125,41.98,38.06
1.2,1398.375,1062.75,1469.5,1239.375,1637.375,2297,2392.5,2235.25,2602,904.25,41.99,38.06
1.3,1398.5,1062.875,1469.375,1239.5,1637.375,2297,2392.5,2235.375,2602,904.375,41.99,38.03
1.4,1398.5,1063.125,1469.375,1239.5,1637.375,2297,2392.375,2235.5,2602,904.5,41.98,38.03
1.5,1398.625,1063.25,1469.375,1239.5,1637.375,2297,2392.375,2235.625,2602,904.625,41.96,38.06
1.6,1398.75,1063.375,1469.375,1239.5,1637.375,2297,2392.375,2235.75,2602.125,904.625,41.98,38.03
1.7,1398.875,1063.625,1469.375,1239.625,1637.375,2297,2392.375,2236,2602.125,904.75,42,38.03
1.8,1398.875,1063.75,1469.25,1239.625,1637.375,2297,2392.375,2236,2602.125,904.875,41.98,38.03
1.9,1399,1063.875,1469.25,1239.625,1637.5,2297,2392.375,2236.125,2602.25,905,41.98,38.03
2.0,1399,1064.125,1469.25,1239.75,1637.375,2297,2392.375,2236.25,2602.25,905.125,41.99,38.03
2.1,1399.125,1064.25,1469.25,1239.75,1637.5,2296.875,2392.5,2236.5,2602.25,905.25,41.98,38.04
2.2,1399.125,1064.5,1469.25,1239.75,1637.5,2296.875,2392.375,2236.625,2602.25,905.375,41.96,38.03
2.3,1399.25,1064.625,1469.25,1239.875,1637.5,2297,2392.375,2236.75,2602.375,905.5,42.02,38.05
2.4,1399.375,1064.875,1469.25,1239.875,1637.5,2296.875,2392.375,2236.875,2602.375,905.75,41.99,38.03
2.5,1399.5,1065,1469.25,1240,1637.5,2297,2392.375,2237,2602.375,905.75,41.96,38.04
2.6,1399.625,1065.25,1469.25,1240,1637.5,2296.875,2392.375,2237.125,2602.375,906,42,38
2.7,1399.625,1065.375,1469.25,1240.125,1637.625,2296.875,2392.375,2237.25,2602.375,906.125,41.99,38.01
2.8,1399.625,1065.625,1469.25,1240.125,1637.625,2296.875,2392.375,2237.375,2602.5,906.25,41.99,38.01
2.9,1399.75,1065.75,1469.25,1240.25,1637.625,2296.875,2392.25,2237.5,2602.5,906.375,41.99,38.01
3.0,1399.875,1065.875,1469.125,1240.25,1637.625,2296.875,2392.25,2237.625,2602.5,906.5,41.99,38.03
3.1,1399.875,1066.125,1469.125,1240.375,1637.625,2296.875,2392.375,2237.875,2602.5,906.5,41.99,38.01
3.2,1400,1066.25,1469.125,1240.375,1637.625,2296.875,2392.375,2238,2602.625,906.75,41.99,38
3.3,1400.125,1066.5,1469.125,1240.5,1637.625,2296.875,2392.25,2238.125,2602.625,906.875,41.99,38.01
3.4,1400.125,1066.625,1469.125,1240.5,1637.625,2296.875,2392.25,2238.25,2602.75,907,41.96,37.98
3.5,1400.25,1066.75,1469.125,1240.625,1637.625,2296.875,2392.25,2238.375,2602.75,907.125,41.96,37.98
3.6,1400.25,1067,1469.125,1240.625,1637.75,2296.875,2392.25,2238.5,2602.75,907.25,41.98,38
3.7,1400.375,1067.125,1469.125,1240.75,1637.625,2296.875,2392.375,2238.625,2602.75,907.375,41.98,37.97
3.8,1400.375,1067.375,1469.125,1240.75,1637.75,2296.875,2392.25,2238.875,2602.875,907.625,41.99,37.94
3.9,1400.5,1067.5,1469.125,1240.875,1637.75,2296.875,2392.125,2239,2602.875,907.625,41.96,38.03
4.0,1400.5,1067.625,1469.125,1240.875,1637.75,2296.875,2392.25,2239.125,2602.875,907.875,41.98,37.98
4.1,1400.625,1067.875,1469.125,1241,1637.75,2296.875,2392.25,2239.25,2602.875,908,41.99,37.98
4.2,1400.75,1068,1469.125,1241,1637.75,2296.875,2392.25,2239.375,2602.875,908.125,41.98,37.91
4.3,1400.75,1068.25,1469.125,1241.125,1637.75,2296.75,2392.25,2239.625,2603,908.25,41.98,37.98
4.4,1400.875,1068.375,1469.125,1241.25,1637.75,2296.75,2392.25,2239.75,2603,908.375,41.99,37.96
4.5,1400.875,1068.5,1469.125,1241.25,1637.75,2296.875,2392.25,2239.875,2603.125,908.5,42,37.97
4.6,1401,1068.625,1469.125,1241.375,1637.75,2296.75,2392.25,2240.125,2603.125,908.625,41.98,37.95
4.7,1401,1068.875,1469.125,1241.5,1637.75,2296.75,2392.25,2240.125,2603.125,908.75,41.99,37.94
4.8,1401.125,1069,1469.125,1241.5,1637.75,2296.75,2392.25,2240.375,2603.125,908.875,42,37.98
4.9,1401.25,1069.25,1469.125,1241.625,1637.75,2296.75,2392.25,2240.5,2603.25,909,41.99,37.97
5.0,1401.25,1069.375,1469,1241.625,1637.75,2296.75,2392.25,2240.625,2603.25,909.125,42,37.94
5.1,1401.375,1069.625,1468.875,1241.625,1637.75,2296.75,2392.125,2240.75,2603.25,909.25,41.99,38.01
5.2,1401.5,1069.75,1469,1241.625,1637.875,2296.75,2392.125,2240.875,2603.375,909.375,41.99,37.97
5.3,1401.625,1069.875,1468.875,1241.75,1637.875,2296.75,2392.25,2241,2603.625,909.5,41.98,37.97
5.4,1401.75,1070.125,1468.75,1241.75,1638,2296.75,2392.25,2241.125,2604.25,909.625,41.99,37.97
5.5,1401.875,1070.375,1468.75,1241.875,1638.125,2297,2392.25,2241.25,2605.375,909.625,41.99,37.97
5.6,1402,1070.625,1468.75,1242,1638.125,2297.5,2392.5,2241.5,2606.75,909.875,42,37.94
5.7,1402.125,1070.875,1468.625,1242.5,1638.375,2298.5,2392.875,2241.75,2608.375,910,42,37.98
5.8,1402.25,1071.375,1468.625,1243.25,1638.75,2300.125,2393.375,2242,2610.375,910.375,42.02,37.99
5.9,1402.5,1072.125,1468.75,1244.75,1639.5,2302.375,2394.25,2242.75,2613,910.75,42,37.96
6.0,1403,1073.25,1468.75,1247,1640.5,2305.375,2395.375,2244.125,2616.125,911.375,42,37.96
6.1,1403.75,1074.875,1469,1250.125,1641.875,2308.875,2396.625,2246.5,2619.25,912.125,42.02,37.96
6.2,1405,1077.125,1469.375,1254.25,1643.75,2313.25,2398.375,2250,2623,913.25,41.99,37.96
6.3,1406.875,1079.875,1469.875,1259.25,1646,2318.125,2400.125,2255,2626.75,914.625,41.99,37.96
6.4,1409.375,1083.375,1470.75,1265.25,1648.75,2323.5,2402,2261,2630.875,916.375,41.99,37.92
6.5,1412.625,1087.75,1471.875,1272.375,1652.125,2329.25,2404.25,2268.5,2635.375,918.375,41.98,37.94
6.6,1416.625,1092.75,1473.25,1280.625,1655.875,2335.375,2406.5,2277.125,2640.125,920.375,41.99,37.94
6.7,1421.25,1098.5,1474.75,1289.75,1660.125,2341.75,2408.875,2287,2644.625,922.75,41.99,37.94
