time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1432.5,1030.125,1493.625,1275.25,1621.5,2278.25,2372.25,2334.375,2636,1099.625,39.32,43.37
0.1,1432.375,1030.125,1493.625,1275.375,1621.625,2278.375,2372.25,2334.375,2636,1099.75,39.32,43.32
0.2,1432.5,1030.25,1493.625,1275.375,1621.5,2278.25,2372.25,2334.375,2635.875,1099.625,39.35,43.41
0.3,1432.5,1030.25,1493.75,1275.375,1621.5,2278.25,2372.25,2334.5,2635.875,1099.625,39.35,43.4
0.4,1432.5,1030.375,1493.625,1275.5,1621.625,2278.25,2372.25,2334.5,2636,1099.75,39.33,43.37
0.5,1432.5,1030.375,1493.625,1275.5,1621.5,2278.25,2372.125,2334.5,2636,1099.625,39.33,43.37
0.6,1432.5,1030.375,1493.625,1275.5,1621.5,2278.25,2372.125,2334.5,2636,1099.75,39.35,43.37
0.7,1432.5,1030.5,1493.625,1275.5,1621.625,2278.25,2372.125,2334.5,2635.875,1099.75,39.35,43.35
0.8,1432.5,1030.5,1493.75,1275.5,1621.5,2278.25,2372.25,2334.5,2636,1099.75,39.33,43.38
0.9,1432.5,1030.625,1493.625,1275.625,1621.5,2278.375,2372.125,2334.625,2635.875,1099.75,39.35,43.38
1.0,1432.5,1030.75,1493.625,1275.625,1621.5,2278.375,2372.125,2334.625,2635.875,1099.75,39.33,43.38
1.1,1432.5,1030.875,1493.625,1275.625,1621.5,2278.25,2372.125,2334.625,2635.875,1099.75,39.37,43.36
1.2,1432.625,1030.875,1493.625,1275.75,1621.5,2278.25,2372.125,2334.625,2635.875,1099.875,39.35,43.41
1.3,1432.5,1030.875,1493.625,1275.75,1621.5,2278.25,2372.25,2334.625,2636,1099.875,39.35,43.35
1.4,1432.625,1031,1493.625,1275.75,1621.5,2278.25,2372.25,2334.75,2636,1099.875,39.35,43.34
1.5,1432.5,1031,1493.625,1275.875,1621.625,2278.25,2372.125,2334.75,2636,1100,39.37,43.34
1.6,1432.625,1031.125,1493.625,1275.875,1621.5,2278.25,2372.125,2334.75,2636.25,1100.5,39.37,43.36
1.7,1432.625,1031.125,1493.625,1275.875,1621.5,2278.25,2372.25,2334.75,2636.375,1101.125,39.37,43.36
1.8,1432.625,1031.125,1493.625,1275.875,1621.5,2278.25,2372.125,2334.75,2636.625,1101.75,39.35,43.34
1.9,1432.75,1031.25,1493.625,1275.875,1621.5,2278.25,2372.125,2334.875,2636.875,1102.25,39.37,43.34
2.0,1432.625,1031.375,1493.625,1276,1621.5,2278.25,2372.125,2334.875,2637.125,1102.875,39.37,43.37
2.1,1432.75,1031.375,1493.625,1276,1621.5,2278.375,2372.25,2334.875,2637.25,1103.125,39.37,43.37
2.2,1432.75,1031.5,1493.625,1276,1621.5,2278.375,2372.125,2335,2637.375,1103.125,39.35,43.34
2.3,1432.75,1031.5,1493.625,1276,1621.5,2278.375,2372.25,2335,2637.25,1103,39.37,43.33
2.4,1432.75,1031.625,1493.625,1276,1621.5,2278.375,2372.25,2335,2637.25,1103,39.37,43.33
