time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1434,1060.375,1501,1277.375,1616.25,2272.125,2366.875,2362,2646.25,1180.375,39.04,43.45
0.1,1434.125,1060.375,1501,1277.375,1616.125,2272.125,2366.75,2362,2646.125,1180.375,39.07,43.41
0.2,1434,1060.375,1501,1277.375,1616.125,2272.25,2366.875,2361.875,2646,1180.375,39.07,43.4
0.3,1434.125,1060.375,1501,1277.375,1616.125,2272.25,2366.875,2362,2646.125,1180.375,39.08,43.38
0.4,1434.125,1060.375,1501,1277.375,1616.125,2272.125,2366.75,2362,2646,1180.25,39.08,43.41
0.5,1434,1060.375,1501,1277.375,1616.125,2272.125,2366.875,2361.875,2646,1180.25,39.07,43.4
0.6,1434.125,1060.375,1501,1277.375,1616.125,2272.25,2366.875,2361.875,2646,1180.25,39.08,43.4
0.7,1434,1060.25,1501,1277.375,1616.125,2272.25,2366.875,2361.875,2646,1180.25,39.08,43.44
0.8,1434.125,1060.375,1501,1277.375,1616.125,2272.125,2366.875,2361.875,2645.875,1180.125,39.05,43.42
0.9,1434.125,1060.375,1501,1277.375,1616.125,2272.25,2367,2361.875,2645.875,1180.125,39.05,43.39
1.0,1434.125,1060.25,1501,1277.375,1616.125,2272.125,2366.75,2361.875,2645.875,1180.125,39.08,43.43
1.1,1434,1060.25,1501,1277.375,1616.125,2272.25,2367,2361.875,2645.75,1180.125,39.07,43.43
1.2,1434,1060.125,1501,1277.375,1616.125,2272.125,2366.875,2361.75,2645.75,1180.125,39.09,43.43
1.3,1434,1060.125,1501,1277.25,1616.125,2272.125,2366.875,2361.75,2645.625,1180,39.07,43.41
1.4,1434,1060.125,1500.875,1277.25,1616.125,2272.125,2366.875,2361.75,2645.625,1179.875,39.09,43.38
1.5,1434.125,1060.125,1501,1277.25,1616.125,2272.25,2366.875,2361.75,2645.625,1179.875,39.09,43.37
1.6,1434,1060,1500.875,1277.25,1616.125,2272.125,2366.75,2361.625,2645.5,1179.875,39.07,43.43
1.7,1434,1060,1500.875,1277.25,1616.125,2272.25,2366.875,2361.75,2645.5,1179.75,39.09,43.4
1.8,1434,1060,1500.875,1277.25,1616.125,2272.25,2366.75,2361.625,2645.5,1179.75,39.08,43.35
1.9,1434,1059.875,1500.875,1277.25,1616,2272.25,2366.875,2361.625,2645.5,1179.75,39.09,43.37
2.0,1434,1059.875,1500.875,1277.125,1616,2272.25,2366.875,2361.5,2645.375,1179.625,39.08,43.35
2.1,1434,1059.75,1500.875,1277.125,1616.125,2272.25,2366.875,2361.5,2645.375,1179.625,39.08,43.35
2.2,1433.875,1059.625,1500.875,1277.125,1616,2272.125,2366.875,2361.5,2645.25,1179.5,39.08,43.37
2.3,1433.875,1059.625,1500.875,1277.125,1616.125,2272.125,2366.875,2361.5,2645.25,1179.5,39.08,43.4
