time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1459.125,1097.5,1515.875,1304.125,1615.125,2268.75,2363.5,2441.125,2647.75,1222.25,38.71,43.94
0.1,1459.25,1097.5,1516,1304.125,1615.125,2268.75,2363.5,2441,2647.625,1222.125,38.71,43.91
0.2,1459.25,1097.375,1515.875,1304.25,1615.125,2268.75,2363.625,2441.125,2647.625,1222.125,38.7,43.92
0.3,1459.25,1097.375,1516,1304.125,1615.125,2268.75,2363.5,2441.125,2647.625,1222.125,38.73,43.95
0.4,1459.25,1097.25,1515.875,1304.125,1615.125,2268.75,2363.625,2441.125,2647.625,1222.125,38.71,43.94
0.5,1459.25,1097.25,1515.875,1304.125,1615.125,2268.875,2363.625,2441.125,2647.5,1222,38.71,43.91
0.6,1459.25,1097.125,1516,1304.125,1615.125,2268.75,2363.625,2441.125,2647.5,1222,38.73,43.94
0.7,1459.25,1097,1516,1304.125,1615.125,2268.875,2363.625,2441.125,2647.5,1222,38.75,43.92
0.8,1459.25,1096.875,1516,1304.125,1615.125,2268.875,2363.5,2441.25,2647.375,1221.875,38.75,43.98
0.9,1459.25,1096.75,1515.875,1304,1615.125,2268.875,2363.625,2441.25,2647.5,1221.875,38.73,43.92
1.0,1459.25,1096.75,1515.875,1304.125,1615.125,2268.75,2363.625,2441.25,2647.375,1221.75,38.74,43.91
1.1,1459.25,1096.625,1515.875,1304.125,1615.125,2268.875,2363.625,2441.25,2647.375,1221.75,38.73,43.91
1.2,1459.25,1096.5,1515.875,1304,1615,2268.75,2363.625,2441.25,2647.25,1221.625,38.74,43.98
1.3,1459.25,1096.375,1515.875,1304,1615.125,2268.875,2363.5,2441.125,2647.375,1221.625,38.74,43.97
1.4,1459.25,1096.375,1515.875,1304,1615,2268.875,2363.5,2441.25,2647.25,1221.5,38.73,43.92
1.5,1459.375,1096.125,1515.875,1304,1615.125,2268.875,2363.5,2441.25,2647.25,1221.5,38.74,43.88
1.6,1459.375,1096,1515.875,1304,1615,2268.875,2363.5,2441.25,2647.25,1221.375,38.74,43.91
1.7,1459.375,1095.875,1516,1304,1615,2268.875,2363.625,2441.25,2647.25,1221.375,38.73,43.92
1.8,1459.25,1095.75,1515.875,1304,1615.125,2268.75,2363.625,2441.125,2647.125,1221.25,38.74,43.92
1.9,1459.375,1095.625,1515.875,1304,1615.125,2268.875,2363.625,2441.25,2647.125,1221.25,38.73,43.94
2.0,1459.25,1095.5,1516,1304,1615,2268.875,2363.625,2441.25,2647,1221.125,38.73,43.94
2.1,1459.25,1095.375,1515.875,1304,1615.125,2268.875,2363.625,2441.25,2647,1221,38.75,43.92
2.2,1459.25,1095.25,1515.875,1304,1615,2268.875,2363.5,2441.25,2647,1220.875,38.75,43.92
2.3,1459.375,1095,1515.875,1303.875,1615,2268.75,2363.625,2441.125,2647,1220.75,38.74,43.97
2.4,1459.25,1094.875,1515.875,1303.875,1615,2268.875,2363.625,2441.125,2646.875,1220.75,38.75,43.9
2.5,1459.25,1094.75,1515.875,1303.875,1615,2268.75,2363.75,2441.125,2646.875,1220.625,38.75,43.88
2.6,1459.25,1094.5,1515.875,1303.875,1615,2268.875,2363.625,2441.125,2646.875,1220.625,38.75,43.95
2.7,1459.25,1094.375,1515.875,1303.875,1615,2268.875,2363.75,2441.125,2646.75,1220.5,38.74,43.95
2.8,1459.25,1094.25,1515.875,1303.75,1615,2268.875,2363.75,2441.125,2646.75,1220.375,38.74,43.89
2.9,1459.25,1094,1515.875,1303.75,1615,2268.875,2363.75,2441.125,2646.75,1220.25,38.75,43.88
3.0,1459.25,1093.875,1515.875,1303.75,1615,2268.875,2363.75,2441.125,2646.75,1220.25,38.77,43.88
3.1,1459.25,1093.75,1515.875,1303.75,1615,2268.875,2363.75,2441,2646.625,1220.125,38.75,43.91
3.2,1459.125,1093.5,1515.875,1303.625,1615,2268.875,2363.75,2441,2646.625,1220,38.74,43.92
3.3,1459.125,1093.375,1515.75,1303.625,1615,2268.875,2363.625,2440.875,2646.625,1219.875,38.74,43.95
3.4,1459.125,1093.125,1515.875,1303.625,1615,2268.875,2363.75,2441,2646.625,1219.75,38.77,43.85
3.5,1459.125,1093,1515.875,1303.625,1615,2268.875,2363.75,2440.875,2646.5,1219.75,38.74,43.91
3.6,1459,1092.75,1515.875,1303.625,1615,2268.875,2363.625,2440.875,2646.5,1219.625,38.74,43.89
3.7,1459,1092.625,1515.75,1303.5,1615,2268.875,2363.625,2440.875,2646.375,1219.5,38.74,43.89
3.8,1459,1092.375,1515.875,1303.5,1615,2268.875,2363.75,2440.875,2646.375,1219.375,38.75,43.95
3.9,1459,1092.25,1515.875,1303.5,1615,2268.875,2363.875,2440.75,2646.375,1219.375,38.75,43.91
4.0,1459,1092.125,1515.875,1303.375,1614.875,2268.875,2363.75,2440.75,2646.25,1219.25,38.74,43.94
4.1,1459,1091.875,1515.875,1303.375,1614.875,2268.875,2363.75,2440.75,2646.25,1219,38.75,43.91
4.2,1459,1091.75,1515.75,1303.375,1615,2268.875,2363.75,2440.625,2646.125,1219,38.75,43.88
4.3,1458.875,1091.625,1515.75,1303.375,1614.875,2268.875,2363.75,2440.625,2646.125,1218.875,38.77,43.91
4.4,1458.875,1091.375,1515.75,1303.375,1614.875,2268.875,2363.75,2440.625,2646.125,1218.75,38.75,43.91
4.5,1458.875,1091.25,1515.75,1303.25,1614.875,2268.875,2363.625,2440.625,2646.125,1218.625,38.78,43.91
4.6,1458.875,1091,1515.75,1303.25,1614.875,2268.875,2363.75,2440.5,2646,1218.625,38.77,43.88
4.7,1458.875,1090.75,1515.75,1303.125,1614.875,2268.75,2363.75,2440.5,2646,1218.375,38.77,43.93
4.8,1458.75,1090.625,1515.75,1303.125,1614.875,2268.75,2363.75,2440.375,2646,1218.25,38.74,43.94
4.9,1458.75,1090.5,1515.75,1303.125,1614.875,2268.75,2363.75,2440.375,2645.875,1218.25,38.73,43.89
5.0,1458.75,1090.25,1515.75,1303.125,1615,2268.75,2363.75,2440.375,2645.875,1218,38.74,43.95
5.1,1458.75,1090.125,1515.625,1303,1614.875,2268.625,2363.75,2440.375,2645.625,1217.375,38.75,43.91
5.2,1458.625,1090,1515.625,1302.875,1614.875,2268.75,2363.75,2440.25,2645.375,1216.75,38.75,43.88
5.3,1458.75,1089.75,1515.5,1302.75,1614.875,2268.625,2363.75,2440.125,2645.25,1215.875,38.75,43.88
5.4,1458.625,1089.625,1515.5,1302.625,1614.875,2268.625,2363.75,2440.125,2645.375,1215.25,38.75,43.92
5.5,1458.625,1089.5,1515.375,1302.625,1614.875,2268.75,2363.625,2440,2645.875,1214.5,38.74,43.85
5.6,1458.625,1089.375,1515.375,1302.625,1614.875,2269.125,2363.875,2440,2646.375,1213.875,38.77,43.91
5.7,1458.625,1089.5,1515.375,1302.875,1615,2269.875,2364.125,2440,2647.25,1213.25,38.75,43.92
5.8,1458.625,1089.5,1515.375,1303.375,1615.375,2270.875,2364.5,2440.125,2648.5,1212.875,38.74,43.91
5.9,1458.75,1089.75,1515.375,1304.25,1615.75,2272.5,2365.125,2440.625,2650,1212.5,38.74,43.89
6.0,1459,1090.125,1515.5,1305.5,1616.375,2274.625,2366.125,2441.5,2651.625,1212.5,38.75,43.92
6.1,1459.5,1090.875,1515.625,1307.5,1617.25,2277.375,2367.25,2443,2653.5,1212.5,38.75,43.85
6.2,1460.375,1091.875,1516,1310,1618.5,2280.5,2368.5,2445.125,2655.875,1212.5,38.75,43.91
6.3,1461.5,1093.25,1516.5,1313.25,1620,2284.125,2369.875,2448,2658.5,1212.875,38.75,43.91
