time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1490.625,1068.875,1475.125,1330,1633.75,2289.625,2379.5,2454.75,2690.625,1191.25,39.75,42.98
0.1,1490.625,1068.875,1475.125,1330,1633.75,2289.625,2379.5,2454.75,2690.625,1191.375,39.77,42.95
0.2,1490.625,1069,1475.125,1330.125,1633.75,2289.5,2379.5,2454.75,2690.625,1191.375,39.79,42.97
0.3,1490.75,1069,1475.125,1330.125,1633.625,2289.5,2379.5,2454.875,2690.5,1191.375,39.75,42.96
0.4,1490.75,1069.125,1475.125,1330.125,1633.75,2289.625,2379.625,2454.875,2690.5,1191.5,39.76,43
0.5,1490.75,1069.25,1475.125,1330.125,1633.75,2289.5,2379.5,2454.875,2690.375,1191.5,39.75,42.96
0.6,1490.75,1069.25,1475.125,1330.125,1633.625,2289.5,2379.5,2455,2690.375,1191.625,39.76,42.94
0.7,1490.875,1069.375,1475.125,1330.25,1633.75,2289.5,2379.375,2455,2690.375,1191.625,39.77,42.94
0.8,1490.875,1069.375,1475.125,1330.25,1633.75,2289.5,2379.5,2455,2690.375,1191.75,39.76,42.98
0.9,1490.875,1069.5,1475.125,1330.25,1633.75,2289.5,2379.5,2455.125,2690.25,1191.625,39.77,42.98
1.0,1491,1069.5,1475.125,1330.25,1633.75,2289.5,2379.375,2455.125,2690.125,1191.25,39.76,42.98
1.1,1491,1069.625,1475.125,1330.25,1633.75,2289.5,2379.375,2455.125,2689.875,1190.75,39.77,42.89
1.2,1491,1069.625,1475.125,1330.375,1633.75,2289.5,2379.375,2455.25,2689.5,1190.125,39.76,42.94
1.3,1491.125,1069.75,1475.125,1330.375,1633.75,2289.5,2379.375,2455.25,2689.25,1189.625,39.75,43.04
1.4,1491.125,1069.75,1475.125,1330.375,1633.75,2289.5,2379.375,2455.375,2689,1189,39.76,42.96
1.5,1491.125,1069.875,1475.125,1330.375,1633.75,2289.5,2379.5,2455.375,2688.625,1188.5,39.77,42.95
1.6,1491.25,1070,1475,1330.375,1633.75,2289.5,2379.375,2455.375,2688.375,1187.875,39.79,42.97
1.7,1491.25,1070.125,1475,1330.375,1633.875,2289.5,2379.375,2455.375,2688.125,1187.25,39.79,42.94
1.8,1491.25,1070.125,1475,1330.5,1633.875,2289.5,2379.375,2455.5,2687.875,1186.875,39.77,42.98
1.9,1491.375,1070.25,1475,1330.5,1633.875,2289.5,2379.5,2455.5,2687.625,1186.375,39.79,42.98
2.0,1491.375,1070.25,1475.125,1330.5,1633.875,2289.5,2379.5,2455.5,2687.375,1185.875,39.76,42.94
2.1,1491.375,1070.25,1475,1330.5,1633.875,2289.5,2379.375,2455.625,2687.125,1185.375,39.77,43
2.2,1491.375,1070.375,1475,1330.5,1633.875,2289.5,2379.375,2455.625,2686.875,1184.875,39.77,42.91
2.3,1491.375,1070.5,1475,1330.625,1633.875,2289.5,2379.375,2455.625,2686.75,1184.375,39.79,42.98
2.4,1491.375,1070.5,1475,1330.5,1633.875,2289.5,2379.375,2455.625,2686.5,1184,39.8,42.91
2.5,1491.5,1070.625,1475,1330.625,1633.875,2289.5,2379.375,2455.75,2686.25,1183.625,39.79,42.97
2.6,1491.5,1070.625,1475,1330.625,1633.875,2289.5,2379.375,2455.75,2686.125,1183.125,39.79,42.94
2.7,1491.5,1070.75,1475,1330.625,1633.875,2289.5,2379.375,2455.75,2686,1182.75,39.8,42.96
2.8,1491.5,1070.75,1475,1330.75,1633.875,2289.5,2379.375,2455.875,2685.75,1182.375,39.79,42.95
2.9,1491.5,1070.875,1475,1330.75,1633.875,2289.375,2379.375,2455.875,2685.5,1182,39.8,42.96
3.0,1491.625,1070.875,1475,1330.75,1633.875,2289.5,2379.375,2455.875,2685.375,1181.5,39.79,42.94
3.1,1491.625,1071,1475,1330.875,1633.875,2289.375,2379.375,2456,2685.25,1181.25,39.77,42.92
3.2,1491.625,1071,1475,1330.875,1633.875,2289.375,2379.375,2456,2685.125,1180.875,39.77,42.95
3.3,1491.625,1071.125,1475,1330.875,1634,2289.375,2379.375,2456.125,2685,1180.5,39.79,42.97
3.4,1491.625,1071.125,1475,1330.875,1634,2289.375,2379.375,2456.125,2684.75,1180.125,39.79,42.97
3.5,1491.75,1071.125,1475,1330.875,1633.875,2289.5,2379.375,2456.125,2684.625,1179.875,39.79,42.98
3.6,1491.75,1071.25,1475,1331,1633.875,2289.375,2379.375,2456.125,2684.5,1179.5,39.79,42.97
3.7,1491.75,1071.25,1475,1331,1633.875,2289.5,2379.375,2456.25,2684.375,1179.125,39.77,42.98
3.8,1491.75,1071.375,1475,1331,1633.875,2289.375,2379.375,2456.25,2684.125,1178.875,39.8,42.9
3.9,1491.75,1071.375,1475,1331,1633.875,2289.375,2379.375,2456.375,2684.125,1178.625,39.8,42.93
4.0,1491.75,1071.5,1475,1331.125,1633.875,2289.375,2379.375,2456.375,2684,1178.25,39.77,42.91
4.1,1491.75,1071.625,1475,1331.125,1634,2289.375,2379.25,2456.375,2683.875,1178,39.77,42.91
4.2,1491.875,1071.625,1475,1331.125,1633.875,2289.375,2379.25,2456.375,2683.875,1177.625,39.8,42.88
4.3,1491.875,1071.625,1475,1331.125,1633.875,2289.375,2379.25,2456.5,2683.625,1177.5,39.79,42.9
4.4,1491.875,1071.75,1475,1331.125,1633.875,2289.375,2379.25,2456.5,2683.625,1177.125,39.8,42.96
4.5,1491.875,1071.75,1475,1331.125,1633.875,2289.375,2379.25,2456.625,2683.5,1176.875,39.82,42.93
4.6,1491.875,1071.75,1475,1331.25,1633.875,2289.375,2379.125,2456.625,2683.375,1176.625,39.8,42.96
4.7,1491.875,1071.875,1475,1331.25,1633.875,2289.25,2379.125,2456.625,2683.25,1176.375,39.79,42.92
4.8,1491.875,1071.875,1475,1331.25,1633.875,2289.25,2379.125,2456.625,2683.25,1176.125,39.79,42.94
4.9,1491.875,1071.875,1475,1331.25,1633.875,2289.25,2379.25,2456.75,2683.125,1175.875,39.8,42.94
5.0,1492,1072,1475,1331.25,1633.75,2289.25,2379.25,2456.75,2683.125,1175.75,39.8,42.93
5.1,1492,1072.125,1474.875,1331.25,1633.75,2289.25,2379.25,2456.875,2683,1175.375,39.82,42.94
5.2,1492,1072.125,1474.75,1331.125,1633.875,2289.125,2379.125,2456.75,2682.875,1175.125,39.82,42.94
5.3,1492,1072.25,1474.75,1331.125,1633.875,2289.125,2379.125,2456.75,2682.875,1175,39.79,42.92
5.4,1492.125,1072.25,1474.625,1331.125,1633.875,2289.125,2379.125,2456.875,2683.125,1174.75,39.79,42.94
5.5,1492.25,1072.375,1474.625,1331.125,1633.875,2289.125,2379.125,2456.875,2683.75,1174.5,39.77,42.91
5.6,1492.25,1072.5,1474.5,1331.125,1633.875,2289.375,2379.25,2456.875,2684.5,1174.375,39.8,42.93
5.7,1492.25,1072.5,1474.5,1331.25,1634,2289.75,2379.5,2457,2685.25,1174.25,39.79,42.94
5.8,1492.25,1072.75,1474.5,1331.5,1634.125,2290.375,2379.875,2457.125,2686.375,1174.25,39.82,42.94
5.9,1492.375,1073.125,1474.5,1332,1634.375,2291.5,2380.375,2457.5,2687.75,1174.375,39.77,42.91
6.0,1492.625,1073.625,1474.5,1332.625,1634.75,2293,2381.25,2458,2689.5,1174.75,39.79,42.94
6.1,1492.875,1074.5,1474.5,1333.75,1635.25,2295,2382.25,2458.75,2691.5,1175.125,39.8,42.9
6.2,1493.375,1075.5,1474.75,1335.25,1636,2297.375,2383.5,2460,2693.5,1175.75,39.79,42.91
