time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1306.75,954.75,1431.5,1159.5,1598.875,2281.625,2361.375,2005.75,2529.75,723,40.43,39.46
0.1,1306.75,954.75,1431.625,1159.5,1599,2281.625,2361.5,2005.625,2529.75,723,40.43,39.43
0.2,1306.75,954.75,1431.5,1159.5,1598.875,2281.625,2361.375,2005.625,2529.75,723,40.42,39.4
0.3,1306.875,954.875,1431.5,1159.5,1598.875,2281.625,2361.375,2005.625,2529.75,723,40.43,39.46
0.4,1306.75,954.75,1431.5,1159.5,1598.875,2281.625,2361.5,2005.625,2529.75,723,40.43,39.42
0.5,1306.75,954.875,1431.5,1159.5,1599,2281.625,2361.375,2005.625,2529.75,723,40.44,39.41
0.6,1306.75,954.75,1431.625,1159.5,1599,2281.625,2361.375,2005.625,2529.75,723,40.44,39.41
0.7,1306.875,954.75,1431.5,1159.5,1598.875,2281.625,2361.375,2005.625,2529.75,723,40.46,39.41
0.8,1306.875,954.75,1431.625,1159.5,1599,2281.625,2361.375,2005.625,2529.875,723,40.44,39.44
0.9,1306.875,954.75,1431.5,1159.5,1599,2281.625,2361.375,2005.625,2529.875,723,40.44,39.44
1.0,1306.875,954.875,1431.625,1159.5,1599,2281.75,2361.5,2005.5,2529.75,722.875,40.43,39.42
1.1,1306.875,954.875,1431.5,1159.5,1599,2281.625,2361.5,2005.625,2529.875,723,40.46,39.47
1.2,1306.875,954.875,1431.5,1159.5,1599,2281.625,2361.5,2005.5,2529.875,723,40.43,39.43
1.3,1306.875,954.875,1431.5,1159.5,1599,2281.625,2361.375,2005.625,2529.875,723,40.43,39.4
1.4,1306.875,954.875,1431.5,1159.5,1599.125,2281.75,2361.5,2005.5,2529.75,723,40.44,39.49
1.5,1306.875,954.875,1431.5,1159.625,1599,2281.625,2361.375,2005.625,2529.875,723,40.43,39.45
1.6,1306.875,954.875,1431.5,1159.625,1599,2281.625,2361.5,2005.5,2529.75,723,40.44,39.44
1.7,1306.875,954.875,1431.5,1159.625,1599,2281.625,2361.5,2005.5,2529.875,722.875,40.46,39.44
1.8,1306.875,954.875,1431.5,1159.5,1599,2281.625,2361.5,2005.5,2529.875,722.875,40.44,39.39
1.9,1306.875,954.875,1431.5,1159.5,1599,2281.625,2361.5,2005.5,2529.75,722.875,40.46,39.42
2.0,1306.875,954.875,1431.5,1159.625,1599.125,2281.625,2361.5,2005.625,2529.75,723,40.47,39.44
