time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1378.75,987.375,1456.875,1224.375,1599.25,2285,2357.125,2262.25,2628.25,892.625,39.33,41.83
0.1,1378.625,987.375,1456.875,1224.375,1599.375,2285,2357.25,2262.25,2628.25,892.625,39.33,41.87
0.2,1378.625,987.375,1456.875,1224.25,1599.375,2285.125,2357.25,2262.125,2628.25,892.625,39.35,41.91
0.3,1378.625,987.375,1456.875,1224.25,1599.375,2285,2357.25,2262.125,2628.25,892.625,39.33,41.9
0.4,1378.625,987.375,1456.875,1224.25,1599.25,2285,2357.25,2262.125,2628.125,892.625,39.33,41.87
0.5,1378.625,987.375,1456.875,1224.375,1599.25,2285,2357.125,2262.125,2628.125,892.625,39.33,41.87
0.6,1378.625,987.375,1456.875,1224.375,1599.25,2285,2357.25,2262.125,2628.125,892.5,39.33,41.9
0.7,1378.625,987.375,1456.875,1224.25,1599.25,2285.125,2357.25,2262.125,2628.125,892.5,39.35,41.86
0.8,1378.625,987.375,1456.875,1224.375,1599.25,2285,2357.25,2262.125,2628.125,892.5,39.35,41.85
0.9,1378.625,987.25,1456.875,1224.25,1599.25,2285,2357.125,2262,2628.125,892.5,39.38,41.88
1.0,1378.625,987.375,1456.875,1224.375,1599.25,2285,2357.125,2262,2628.125,892.5,39.35,41.91
1.1,1378.625,987.25,1456.875,1224.25,1599.25,2285,2357.25,2262,2628.125,892.5,39.37,41.89
1.2,1378.625,987.25,1456.875,1224.25,1599.25,2285.125,2357.25,2262,2628.25,892.5,39.37,41.91
1.3,1378.5,987.25,1456.875,1224.25,1599.25,2285.125,2357.25,2262,2628.125,892.5,39.38,41.89
1.4,1378.5,987.25,1456.875,1224.25,1599.25,2285.125,2357.25,2262,2628.25,892.5,39.33,41.87
1.5,1378.5,987.25,1456.875,1224.25,1599.25,2285.125,2357.25,2262,2628.125,892.375,39.35,41.86
1.6,1378.5,987.25,1456.875,1224.25,1599.25,2285.125,2357.25,2262,2628.125,892.375,39.37,41.85
1.7,1378.5,987.25,1456.75,1224.25,1599.25,2285,2357.25,2262,2628.125,892.375,39.35,41.83
1.8,1378.5,987.125,1456.75,1224.25,1599.25,2285,2357.25,2262,2628.125,892.375,39.37,41.86
1.9,1378.5,987.125,1456.875,1224.25,1599.25,2285.125,2357.25,2261.875,2628.125,892.375,39.35,41.92
2.0,1378.5,987.125,1456.75,1224.25,1599.25,2285.125,2357.25,2261.875,2628.125,892.375,39.41,41.82
2.1,1378.5,987.125,1456.75,1224.25,1599.25,2285.125,2357.25,2261.875,2628.125,892.375,39.35,41.89
2.2,1378.5,987.125,1456.75,1224.25,1599.25,2285.125,2357.125,2261.875,2628.125,892.25,39.38,41.86
2.3,1378.5,987.125,1456.875,1224.25,1599.25,2285.125,2357.25,2261.875,2628.125,892.375,39.37,41.85
2.4,1378.5,987.125,1456.75,1224.25,1599.25,2285.125,2357.25,2261.75,2628.125,892.375,39.37,41.85
2.5,1378.5,987,1456.875,1224.25,1599.25,2285,2357.25,2261.75,2628.125,892.25,39.37,41.85
2.6,1378.5,987.125,1456.875,1224.25,1599.125,2285,2357.125,2261.75,2628,892.25,39.38,41.85
2.7,1378.5,987.125,1456.75,1224.25,1599.25,2285.125,2357.25,2261.75,2628,892.25,39.37,41.85
2.8,1378.5,987.125,1456.75,1224.25,1599.125,2285.125,2357.125,2261.75,2628,892.25,39.38,41.85
2.9,1378.375,987.125,1456.75,1224.25,1599.125,2285,2357.25,2261.625,2628,892.25,39.35,41.85
3.0,1378.5,987,1456.75,1224.125,1599.25,2285.125,2357.25,2261.625,2628,892.125,39.37,41.82
3.1,1378.5,987,1456.75,1224.125,1599.125,2285.125,2357.25,2261.625,2628,892.125,39.35,41.85
3.2,1378.375,987,1456.75,1224.125,1599.25,2285.25,2357.25,2261.625,2628,892.125,39.38,41.85
3.3,1378.375,987,1456.75,1224.25,1599.125,2285.25,2357.125,2261.625,2628,892.125,39.37,41.82
3.4,1378.375,987,1456.75,1224.125,1599.125,2285.25,2357.125,2261.625,2628,892.125,39.35,41.89
3.5,1378.375,986.875,1456.75,1224.125,1599.125,2285.25,2357.25,2261.625,2628,892.125,39.37,41.82
3.6,1378.375,987,1456.75,1224.125,1599.125,2285,2357.125,2261.625,2628,892.125,39.35,41.83
3.7,1378.375,987,1456.75,1224.125,1599.125,2285,2357.25,2261.5,2628,892.125,39.38,41.82
3.8,1378.375,986.875,1456.75,1224.125,1599.125,2285,2357.25,2261.5,2628,892.125,39.38,41.81
3.9,1378.375,986.875,1456.75,1224.125,1599.125,2285,2357.125,2261.5,2628,892,39.35,41.82
4.0,1378.5,986.875,1456.75,1224.125,1599.125,2285,2357.125,2261.5,2628,892,39.38,41.83
4.1,1378.375,986.875,1456.75,1224.125,1599.125,2285,2357.25,2261.5,2628,892,39.38,41.82
4.2,1378.375,986.875,1456.75,1224.125,1599.125,2285,2357.125,2261.5,2628,892,39.35,41.82
4.3,1378.375,986.875,1456.75,1224.125,1599.125,2285,2357.125,2261.375,2627.875,891.875,39.37,41.79
4.4,1378.375,987,1456.75,1224.125,1599.125,2285,2357.125,2261.5,2628,892,39.39,41.84
4.5,1378.375,986.875,1456.75,1224.125,1599.125,2285,2357.125,2261.5,2628,891.875,39.37,41.82
4.6,1378.5,986.875,1456.875,1224.125,1599.125,2285,2357.125,2261.375,2628,892,39.37,41.81
4.7,1378.5,986.875,1456.75,1224.125,1599.125,2285,2357.125,2261.375,2627.875,891.875,39.37,41.83
4.8,1378.5,987,1456.75,1224.125,1599.125,2285,2357.125,2261.375,2627.875,891.875,39.37,41.79
4.9,1378.5,986.875,1456.75,1224.125,1599.125,2285,2357.125,2261.375,2627.875,891.875,39.39,41.81
5.0,1378.5,986.875,1456.75,1224,1599.125,2285,2357.25,2261.375,2627.875,891.875,39.37,41.81
5.1,1378.5,987,1456.625,1224,1599.25,2285,2357.125,2261.25,2627.875,891.75,39.37,41.83
5.2,1378.625,987,1456.5,1224,1599.25,2285,2357.25,2261.25,2627.875,891.75,39.39,41.87
5.3,1378.625,987,1456.5,1223.875,1599.25,2285,2357.125,2261.25,2628.125,891.75,39.35,41.82
5.4,1378.625,987.125,1456.375,1223.75,1599.25,2285,2357.125,2261.125,2628.625,891.625,39.38,41.79
5.5,1378.625,987.125,1456.375,1223.75,1599.375,2285.125,2357.125,2261.125,2629.5,891.625,39.37,41.79
5.6,1378.75,987.25,1456.375,1223.875,1599.5,2285.5,2357.375,2261.125,2630.5,891.625,39.38,41.83
5.7,1378.75,987.375,1456.25,1224,1599.625,2286.125,2357.625,2261.125,2631.875,891.75,39.38,41.82
5.8,1378.75,987.625,1456.25,1224.625,1599.875,2287.25,2358.125,2261.375,2633.5,891.875,39.38,41.81
5.9,1378.875,988.125,1456.25,1225.5,1600.25,2289,2358.75,2261.75,2635.625,892.125,39.38,41.79
6.0,1379.125,989,1456.375,1227,1600.875,2291.375,2359.75,2262.625,2637.875,892.75,39.38,41.81
6.1,1379.625,990.25,1456.5,1229.125,1601.75,2294.375,2361,2264.125,2640.25,893.375,39.39,41.78
6.2,1380.5,991.875,1456.75,1232,1603.125,2298,2362.625,2266.375,2643.125,894.375,39.38,41.79
6.3,1381.75,994,1457.25,1235.5,1604.75,2302.125,2364.25,2269.5,2646.125,895.5,39.37,41.83
6.4,1383.375,996.75,1457.875,1239.625,1606.75,2306.75,2366.25,2273.5,2649,897,39.37,41.76
6.5,1385.5,1000,1458.625,1244.5,1609.25,2311.875,2368.375,2278.5,2652.125,898.75,39.39,41.81
6.6,1388.125,1003.75,1459.5,1250,1612.125,2317.375,2370.75,2284.375,2655.5,900.75,39.37,41.81
6.7,1391.375,1008.125,1460.75,1256.25,1615.375,2323.25,2373,2291.125,2659.25,903,39.38,41.79
6.8,1395.125,1013,1462,1263.125,1619.125,2329.125,2375.5,2298.625,2663,905.375,39.37,41.81
6.9,1399.25,1018.5,1463.5,1270.625,1623.125,2335,2377.875,2306.875,2666.875,907.875,39.37,41.77
7.0,1403.875,1024.5,1465,1278.75,1627.625,2341,2380.5,2315.875,2670.75,910.5,39.38,41.78
7.1,1409,1031.125,1466.625,1287.375,1632.375,2347.125,2383,2325.5,2674.875,913.5,39.38,41.81
7.2,1414.5,1038.25,1468.375,1296.625,1637.375,2353.375,2385.625,2335.75,2679.125,916.625,39.38,41.82
7.3,1420.5,1045.875,1470.25,1306.25,1642.625,2359.375,2388.125,2346.5,2683.375,920,39.37,41.83
7.4,1426.875,1054,1472.125,1316.25,1648.125,2365.375,2390.75,2357.75,2687.375,923.5,39.35,41.86
7.5,1433.625,1062.5,1474.125,1326.875,1653.875,2371.25,2393.25,2369.5,2691.25,927.125,39.35,41.88
7.6,1440.75,1071.5,1476.125,1337.75,1659.875,2377,2395.75,2381.625,2695.5,930.875,39.35,41.91
7.7,1448.125,1080.875,1478.125,1348.75,1666,2382.5,2398.25,2394,2699.75,934.75,39.37,41.93
7.8,1455.875,1090.625,1480.125,1360.375,1672.25,2388.125,2400.625,2407,2703.875,938.75,39.37,41.97
7.9,1464,1100.625,1482.125,1372.125,1678.75,2393.5,2403,2420.25,2708.125,942.875,39.35,41.95
8.0,1472.25,1110.875,1484.125,1384.125,1685.125,2398.625,2405.375,2433.625,2712.25,947,39.39,42
8.1,1481,1121.5,1486.25,1396.375,1691.625,2403.625,2407.625,2447.25,2716.625,951.25,39.35,42.08
8.2,1489.75,1132.375,1488.25,1408.875,1698.25,2408.5,2409.875,2461.25,2720.875,955.625,39.37,42.1
8.3,1498.875,1143.375,1490.375,1421.25,1704.875,2413.125,2412,2475.125,2725.125,959.875,39.35,42.09
8.4,1508.125,1154.625,1492.375,1434,1711.375,2417.625,2414.125,2489.375,2729.5,964.5,39.37,42.17
8.5,1517.5,1166,1494.375,1446.625,1718,2422,2416.25,2503.625,2733.875,969.125,39.37,42.26
8.6,1527,1177.5,1496.25,1459.375,1724.5,2426.125,2418.25,2517.875,2738.125,973.75,39.35,42.28
