time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1394.5,1005.875,1453.75,1238.25,1605.125,2291,2361.25,2289.625,2661,939.25,39.85,40.97
0.1,1394.5,1005.875,1453.75,1238.25,1605.125,2291.125,2361.375,2289.5,2661,939.125,39.85,41
0.2,1394.5,1005.875,1453.75,1238.25,1605.125,2291,2361.25,2289.5,2661,939.125,39.85,40.99
0.3,1394.5,1005.875,1453.75,1238.25,1605.25,2291,2361.25,2289.625,2661,939.125,39.85,40.99
0.4,1394.5,1005.875,1453.75,1238.25,1605.25,2291,2361.125,2289.5,2661,939.125,39.86,41
0.5,1394.5,1005.875,1453.75,1238.25,1605.125,2291.125,2361.25,2289.5,2661,939.125,39.86,41
0.6,1394.5,1005.875,1453.75,1238.25,1605.25,2291.125,2361.25,2289.5,2660.875,939.125,39.85,40.99
0.7,1394.5,1005.875,1453.75,1238.125,1605.25,2291.125,2361.25,2289.5,2660.875,939.125,39.86,40.97
0.8,1394.5,1005.875,1453.625,1238.125,1605.25,2291.125,2361.25,2289.5,2660.875,939,39.86,40.97
0.9,1394.5,1005.875,1453.75,1238.25,1605.25,2291.125,2361.25,2289.5,2660.875,939,39.86,40.99
1.0,1394.5,1005.75,1453.625,1238.25,1605.25,2291.125,2361.25,2289.5,2660.875,939,39.86,40.97
1.1,1394.5,1005.75,1453.625,1238.125,1605.125,2291.125,2361.25,2289.5,2660.875,939,39.86,40.99
1.2,1394.5,1005.75,1453.75,1238.25,1605.25,2291.125,2361.25,2289.375,2660.875,939.125,39.88,40.99
1.3,1394.375,1005.75,1453.625,1238.25,1605.25,2291,2361.25,2289.5,2660.875,939,39.86,41
1.4,1394.375,1005.875,1453.625,1238.25,1605.25,2291.125,2361.25,2289.5,2660.875,939,39.86,41
1.5,1394.375,1005.75,1453.625,1238.25,1605.25,2291.125,2361.375,2289.375,2660.875,939,39.85,40.97
1.6,1394.375,1005.75,1453.625,1238.125,1605.25,2291.125,2361.375,2289.5,2660.875,939,39.85,40.96
1.7,1394.375,1005.75,1453.625,1238.25,1605.125,2291.125,2361.25,2289.375,2660.75,938.875,39.85,40.97
1.8,1394.375,1005.875,1453.625,1238.25,1605.125,2291.125,2361.25,2289.375,2660.875,939,39.86,40.96
1.9,1394.375,1005.75,1453.625,1238.125,1605.25,2291.125,2361.375,2289.375,2660.875,939,39.85,40.91
2.0,1394.375,1005.875,1453.625,1238.25,1605.25,2291.125,2361.25,2289.375,2660.75,938.875,39.86,41.02
2.1,1394.5,1005.875,1453.625,1238.125,1605.25,2291.125,2361.375,2289.375,2660.875,938.875,39.86,40.97
2.2,1394.5,1005.875,1453.625,1238.125,1605.25,2291.125,2361.25,2289.375,2660.75,938.875,39.86,40.97
2.3,1394.5,1005.875,1453.625,1238.25,1605.25,2291.125,2361.25,2289.375,2660.75,938.875,39.86,40.96
2.4,1394.5,1005.875,1453.625,1238.25,1605.25,2291.125,2361.25,2289.25,2660.75,938.875,39.85,40.96
2.5,1394.5,1005.875,1453.625,1238.25,1605.25,2291.125,2361.25,2289.25,2660.75,938.875,39.86,40.97
2.6,1394.5,1005.875,1453.625,1238.25,1605.375,2291.25,2361.25,2289.25,2660.75,938.875,39.86,40.97
2.7,1394.5,1005.875,1453.625,1238.25,1605.375,2291.125,2361.375,2289.25,2660.75,938.875,39.86,40.97
2.8,1394.5,1005.875,1453.625,1238.25,1605.375,2291.25,2361.25,2289.25,2660.875,938.875,39.88,40.99
2.9,1394.5,1005.875,1453.625,1238.125,1605.375,2291.25,2361.25,2289.25,2660.75,938.875,39.86,40.96
3.0,1394.5,1005.875,1453.625,1238.125,1605.375,2291.25,2361.25,2289.25,2660.75,938.75,39.86,40.96
3.1,1394.375,1005.875,1453.625,1238.125,1605.375,2291.25,2361.25,2289.25,2660.75,938.75,39.85,40.96
3.2,1394.5,1005.875,1453.625,1238.125,1605.375,2291.25,2361.25,2289.25,2660.75,938.75,39.88,40.95
3.3,1394.5,1005.875,1453.625,1238.25,1605.375,2291.25,2361.375,2289.125,2660.75,938.75,39.86,40.93
3.4,1394.5,1005.875,1453.625,1238.25,1605.375,2291.25,2361.375,2289.25,2660.75,938.75,39.85,40.94
3.5,1394.375,1005.875,1453.625,1238.25,1605.375,2291.25,2361.375,2289.125,2660.75,938.75,39.85,40.96
3.6,1394.375,1005.875,1453.625,1238.125,1605.375,2291.25,2361.25,2289.125,2660.625,938.625,39.89,41.02
3.7,1394.375,1005.875,1453.625,1238.125,1605.375,2291.25,2361.375,2289.125,2660.75,938.75,39.88,40.99
3.8,1394.375,1005.875,1453.5,1238.125,1605.375,2291.25,2361.25,2289.125,2660.625,938.75,39.85,40.93
3.9,1394.375,1005.875,1453.625,1238.125,1605.375,2291.25,2361.375,2289.125,2660.625,938.625,39.88,40.98
4.0,1394.375,1005.875,1453.625,1238.125,1605.375,2291.25,2361.375,2289.125,2660.75,938.625,39.89,40.96
4.1,1394.375,1005.875,1453.5,1238.125,1605.375,2291.25,2361.375,2289.125,2660.625,938.625,39.86,40.96
4.2,1394.375,1005.875,1453.625,1238.125,1605.375,2291.25,2361.375,2289.125,2660.75,938.625,39.86,40.96
4.3,1394.375,1005.75,1453.5,1238.125,1605.375,2291.375,2361.375,2289.125,2660.625,938.625,39.86,40.91
4.4,1394.25,1005.75,1453.5,1238.125,1605.25,2291.25,2361.25,2289.125,2660.625,938.625,39.86,40.94
4.5,1394.25,1005.625,1453.5,1238.125,1605.25,2291.375,2361.375,2289.125,2660.75,938.5,39.86,40.91
4.6,1394.25,1005.625,1453.625,1238.125,1605.375,2291.375,2361.375,2289,2660.625,938.625,39.85,40.93
4.7,1394.25,1005.625,1453.5,1238.125,1605.375,2291.375,2361.375,2289,2660.625,938.5,39.88,40.93
4.8,1394.25,1005.625,1453.5,1238.125,1605.25,2291.375,2361.5,2289,2660.625,938.5,39.88,40.99
4.9,1394.125,1005.625,1453.5,1238.125,1605.375,2291.25,2361.5,2289,2660.625,938.5,39.86,40.94
5.0,1394.25,1005.625,1453.5,1238,1605.25,2291.375,2361.375,2289,2660.75,938.5,39.88,40.93
5.1,1394.25,1005.625,1453.375,1238,1605.375,2291.375,2361.375,2289,2660.625,938.375,39.86,40.94
5.2,1394.375,1005.625,1453.375,1237.875,1605.375,2291.375,2361.375,2289,2660.625,938.375,39.86,40.9
5.3,1394.375,1005.625,1453.25,1237.875,1605.375,2291.25,2361.375,2288.875,2660.875,938.375,39.86,40.93
5.4,1394.375,1005.75,1453.25,1237.875,1605.5,2291.375,2361.375,2288.875,2661.375,938.375,39.89,40.95
5.5,1394.375,1005.75,1453.125,1237.875,1605.5,2291.375,2361.375,2288.875,2662.375,938.25,39.88,40.96
5.6,1394.5,1005.875,1453.125,1237.875,1605.5,2291.625,2361.625,2288.875,2663.375,938.25,39.89,40.96
5.7,1394.5,1006,1453,1237.875,1605.625,2292.25,2361.875,2288.875,2664.625,938.375,39.86,40.97
5.8,1394.625,1006.5,1453,1238.25,1605.875,2293,2362.375,2289,2666,938.625,39.85,40.91
5.9,1394.625,1007,1453,1238.625,1606.125,2294.375,2363.125,2289.125,2667.625,939,39.85,40.96
6.0,1394.875,1008,1453,1239.5,1606.75,2296.125,2364,2289.75,2669.375,939.625,39.86,40.97
