time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1404.125,1003.375,1446.25,1247.5,1607.625,2294.125,2363.875,2299.125,2661.5,944.625,39.92,41.02
0.1,1404.125,1003.375,1446.25,1247.5,1607.625,2294.125,2363.875,2299.125,2661.5,944.625,39.92,41.07
0.2,1404.125,1003.375,1446.125,1247.5,1607.625,2294.125,2363.875,2299.125,2661.5,944.5,39.92,41.08
0.3,1404.125,1003.375,1446.125,1247.5,1607.625,2294.125,2364,2299.125,2661.5,944.5,39.92,41.07
0.4,1404.125,1003.375,1446.25,1247.5,1607.625,2294.125,2364,2299.125,2661.375,944.5,39.93,41.04
0.5,1404.125,1003.375,1446.125,1247.5,1607.625,2294,2363.875,2299,2661.375,944.5,39.93,41.08
0.6,1404.125,1003.375,1446.125,1247.5,1607.625,2294,2364,2299.125,2661.375,944.375,39.93,41.07
0.7,1404.125,1003.375,1446.125,1247.5,1607.625,2294,2364,2299.125,2661.5,944.375,39.92,41.12
0.8,1404.125,1003.375,1446.125,1247.5,1607.625,2294.125,2364,2299.125,2661.375,944.375,39.93,41.04
0.9,1404.125,1003.375,1446.25,1247.5,1607.625,2294,2364,2299,2661.375,944.375,39.93,41.02
1.0,1404.125,1003.375,1446.25,1247.5,1607.625,2294.125,2364,2299.125,2661.375,944.375,39.93,41.07
1.1,1404.125,1003.375,1446.25,1247.5,1607.625,2294.125,2363.875,2299,2661.375,944.25,39.95,41.05
1.2,1404.125,1003.375,1446.25,1247.5,1607.625,2294.125,2364,2299,2661.375,944.25,39.95,41.07
1.3,1404.125,1003.375,1446.25,1247.5,1607.625,2294.125,2363.875,2299,2661.375,944.25,39.91,41.02
1.4,1404.125,1003.375,1446.125,1247.5,1607.625,2294.125,2363.875,2299,2661.375,944.25,39.95,41.03
1.5,1404.125,1003.25,1446.125,1247.5,1607.625,2294,2364,2299,2661.375,944.25,39.95,41.01
1.6,1404.125,1003.25,1446.25,1247.5,1607.625,2294.125,2364,2299,2661.25,944.125,39.96,41.07
1.7,1404.125,1003.25,1446.125,1247.5,1607.625,2294,2364,2299,2661.375,944.125,39.93,41.04
1.8,1404.125,1003.25,1446.125,1247.625,1607.625,2294.125,2364,2299,2661.25,944.25,39.93,41.01
1.9,1404.125,1003.25,1446.125,1247.625,1607.625,2294,2364,2299,2661.25,944.125,39.95,41.07
2.0,1404.125,1003.25,1446.125,1247.5,1607.625,2294,2363.875,2299,2661.25,944.125,39.95,41.13
2.1,1404.125,1003.25,1446.125,1247.625,1607.625,2294,2364,2299,2661.25,944.125,39.93,41.04
2.2,1404.125,1003.25,1446.125,1247.5,1607.75,2294,2363.875,2299,2661.25,944,39.93,41.02
2.3,1404.125,1003.25,1446.125,1247.5,1607.625,2294.125,2364,2299,2661.25,944,39.95,41.1
2.4,1404.125,1003.25,1446.125,1247.5,1607.625,2294,2364,2299,2661.25,944,39.95,41.05
2.5,1404.125,1003.25,1446.25,1247.5,1607.625,2294.125,2363.875,2299,2661.25,944,39.96,41.04
2.6,1404.125,1003.25,1446.125,1247.5,1607.625,2294,2364,2299,2661.25,944,39.95,41
2.7,1404.125,1003.25,1446.125,1247.625,1607.625,2294.125,2364,2299,2661.25,944,39.95,41.07
2.8,1404.125,1003.25,1446.125,1247.5,1607.625,2294.125,2364,2299,2661.25,943.875,39.95,41.04
2.9,1404.125,1003.25,1446.125,1247.625,1607.625,2294.125,2364,2299,2661.25,943.875,39.93,41.02
3.0,1404.125,1003.25,1446.125,1247.625,1607.625,2294.125,2364,2299,2661.125,943.875,39.96,41.01
3.1,1404.125,1003.25,1446.125,1247.5,1607.75,2294.125,2364,2299,2661.125,943.875,39.95,41.04
3.2,1404.125,1003.25,1446.125,1247.5,1607.625,2294.125,2363.875,2299,2661.125,943.875,39.95,41.05
3.3,1404.125,1003.25,1446.125,1247.625,1607.625,2294.125,2363.875,2299,2661.125,943.75,39.96,41.03
3.4,1404.125,1003.25,1446.125,1247.625,1607.625,2294.125,2364,2299,2661.125,943.75,39.93,41.04
3.5,1404.125,1003.25,1446.125,1247.5,1607.75,2294.125,2364,2299,2661.125,943.75,39.95,41.01
3.6,1404.125,1003.25,1446.25,1247.625,1607.625,2294.125,2364,2299,2661.125,943.75,39.96,41.03
3.7,1404.25,1003.25,1446.25,1247.625,1607.625,2294.125,2364,2299,2661.125,943.75,39.95,41.04
3.8,1404.25,1003.25,1446.125,1247.625,1607.75,2294.125,2364,2299,2661.125,943.75,39.96,41.03
3.9,1404.25,1003.125,1446.125,1247.625,1607.625,2294.125,2363.875,2299,2661.125,943.625,39.96,41.04
4.0,1404.25,1003.125,1446.125,1247.625,1607.625,2294,2364,2299,2661.125,943.625,39.95,41.03
4.1,1404.125,1003.25,1446.125,1247.625,1607.625,2294,2363.875,2299,2661,943.625,39.96,41
4.2,1404.25,1003.125,1446.125,1247.625,1607.75,2294,2363.875,2299,2661,943.5,39.96,41.04
4.3,1404.125,1003.125,1446.125,1247.625,1607.625,2294,2364,2299,2661.125,943.5,39.96,41.01
4.4,1404.25,1003.125,1446.125,1247.625,1607.625,2294,2363.875,2299,2661,943.5,39.95,41.03
4.5,1404.125,1003.125,1446.125,1247.625,1607.625,2294,2363.875,2298.875,2661,943.375,39.96,41
4.6,1404.125,1003.125,1446.125,1247.625,1607.625,2294,2364,2299,2661.125,943.375,39.96,41.03
