time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1301,955.5,1429.625,1147.25,1612.125,2306.25,2375.875,1947,2520.375,691,40.86,39.77
0.1,1301,955.5,1429.625,1147.25,1612.125,2306.25,2375.875,1947,2520.5,691,40.93,39.76
0.2,1301,955.5,1429.625,1147.25,1612.125,2306.25,2375.875,1947,2520.375,691,40.91,39.85
0.3,1301,955.5,1429.625,1147.25,1612.125,2306.25,2375.875,1947,2520.5,691.125,40.9,39.83
0.4,1301,955.5,1429.625,1147.25,1612.125,2306.25,2376,1947,2520.5,691.125,40.93,39.83
0.5,1301,955.5,1429.625,1147.25,1612.125,2306.25,2376,1947,2520.5,691.125,40.91,39.82
0.6,1301,955.5,1429.625,1147.25,1612.125,2306.25,2376,1947,2520.5,691.125,40.91,39.77
0.7,1301,955.5,1429.625,1147.25,1612.125,2306.25,2376,1947,2520.5,691.125,40.91,39.77
0.8,1301,955.5,1429.625,1147.25,1612.125,2306.25,2376,1947,2520.5,691.125,40.91,39.8
0.9,1301,955.5,1429.625,1147.375,1612.125,2306.375,2376.125,1947,2520.5,691.125,40.88,39.8
1.0,1301,955.5,1429.625,1147.375,1612.125,2306.375,2376,1947,2520.5,691.125,40.91,39.82
1.1,1301,955.5,1429.625,1147.375,1612.25,2306.375,2375.875,1947,2520.375,691.125,40.91,39.83
1.2,1301,955.5,1429.625,1147.25,1612.125,2306.25,2375.875,1947,2520.5,691.125,40.91,39.82
1.3,1301,955.5,1429.625,1147.375,1612.25,2306.25,2376,1947.125,2520.375,691.125,40.93,39.79
1.4,1301,955.5,1429.625,1147.375,1612.25,2306.25,2376,1947.125,2520.375,691.125,40.91,39.8
1.5,1301,955.5,1429.625,1147.375,1612.125,2306.25,2375.875,1947.125,2520.375,691.125,40.94,39.79
1.6,1301,955.5,1429.625,1147.375,1612.125,2306.25,2375.875,1947.125,2520.375,691.25,40.91,39.79
