time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1316.75,971.75,1432.875,1159.875,1619.375,2312.75,2380.875,1980.375,2581.625,815.5,41.42,39.17
0.1,1316.625,971.75,1432.875,1159.875,1619.375,2312.75,2380.875,1980.375,2581.625,815.5,41.42,39.18
0.2,1316.75,971.75,1432.875,1159.875,1619.25,2312.75,2380.875,1980.25,2581.625,815.375,41.42,39.2
0.3,1316.75,971.75,1432.875,1159.875,1619.25,2312.75,2380.875,1980.375,2581.5,815.375,41.44,39.11
0.4,1316.75,971.75,1432.875,1159.875,1619.25,2312.625,2380.875,1980.25,2581.5,815.375,41.45,39.17
0.5,1316.75,971.75,1432.875,1159.875,1619.25,2312.625,2380.875,1980.25,2581.5,815.375,41.45,39.14
0.6,1316.75,971.875,1432.875,1159.875,1619.25,2312.625,2380.75,1980.25,2581.375,815.25,41.44,39.18
0.7,1316.75,971.75,1432.875,1159.875,1619.25,2312.625,2380.75,1980.25,2581.5,815.25,41.45,39.14
0.8,1316.75,971.875,1432.75,1159.75,1619.25,2312.625,2380.75,1980.25,2581.375,815.375,41.45,39.14
0.9,1316.875,971.875,1432.875,1159.875,1619.25,2312.5,2380.75,1980.25,2581.375,815.25,41.45,39.17
1.0,1316.875,971.875,1432.875,1159.875,1619.25,2312.5,2380.75,1980.25,2581.375,815.25,41.45,39.14
1.1,1316.875,971.875,1432.75,1159.875,1619.25,2312.5,2380.625,1980.25,2581.375,815.25,41.44,39.17
1.2,1316.875,971.875,1432.875,1159.875,1619.25,2312.5,2380.75,1980.25,2581.375,815.125,41.45,39.13
1.3,1316.875,972,1432.875,1159.875,1619.25,2312.375,2380.625,1980.25,2581.375,815.125,41.44,39.17
1.4,1316.875,972,1432.875,1159.75,1619.25,2312.375,2380.625,1980.25,2581.375,815.125,41.45,39.13
1.5,1316.875,972,1432.75,1159.875,1619.25,2312.375,2380.625,1980.25,2581.375,815.125,41.45,39.19
1.6,1316.875,972,1432.75,1159.875,1619.25,2312.375,2380.625,1980.25,2581.375,815.125,41.44,39.11
1.7,1316.875,972,1432.75,1159.75,1619.25,2312.375,2380.625,1980.25,2581.375,815,41.45,39.14
1.8,1317,972,1432.875,1159.75,1619.25,2312.375,2380.625,1980.25,2581.375,815,41.45,39.13
1.9,1317,972,1432.75,1159.75,1619.25,2312.375,2380.625,1980.25,2581.25,815,41.47,39.11
2.0,1317,972,1432.75,1159.75,1619.25,2312.375,2380.5,1980.25,2581.375,815.125,41.44,39.08
2.1,1316.875,972,1432.75,1159.75,1619.25,2312.375,2380.625,1980.125,2581.375,815,41.45,39.09
2.2,1317,972.125,1432.75,1159.75,1619.25,2312.375,2380.625,1980.25,2581.375,815,41.45,39.11
2.3,1317,972,1432.75,1159.75,1619.25,2312.375,2380.625,1980.125,2581.375,815,41.47,39.09
2.4,1317,972.125,1432.75,1159.75,1619.25,2312.375,2380.625,1980.25,2581.375,815,41.45,39.13
2.5,1317.125,972.125,1432.75,1159.75,1619.25,2312.375,2380.625,1980.125,2581.25,815,41.44,39.1
2.6,1317,972.125,1432.875,1159.75,1619.25,2312.375,2380.5,1980.25,2581.25,815,41.47,39.13
2.7,1317,972.125,1432.75,1159.75,1619.25,2312.375,2380.625,1980.125,2581.25,815,41.48,39.16
2.8,1317.125,972.125,1432.75,1159.75,1619.25,2312.375,2380.625,1980.125,2581.25,814.875,41.47,39.1
2.9,1317.125,972.125,1432.75,1159.75,1619.25,2312.375,2380.625,1980.125,2581.25,814.875,41.47,39.11
3.0,1317.125,972.25,1432.75,1159.75,1619.25,2312.375,2380.625,1980.125,2581.25,814.875,41.47,39.11
3.1,1317,972.25,1432.75,1159.75,1619.25,2312.375,2380.625,1980.125,2581.25,814.875,41.47,39.1
3.2,1317.125,972.25,1432.75,1159.75,1619.25,2312.375,2380.5,1980.125,2581.25,814.875,41.45,39.16
3.3,1317.125,972.25,1432.75,1159.75,1619.25,2312.375,2380.5,1980.125,2581.25,814.875,41.48,39.1
3.4,1317.125,972.25,1432.75,1159.75,1619.25,2312.25,2380.5,1980.125,2581.25,814.875,41.47,39.11
3.5,1317,972.25,1432.75,1159.75,1619.25,2312.375,2380.625,1980.125,2581.25,814.75,41.45,39.1
3.6,1317,972.125,1432.75,1159.75,1619.25,2312.25,2380.625,1980.125,2581.125,814.875,41.47,39.07
3.7,1317,972.125,1432.75,1159.75,1619.25,2312.375,2380.5,1980.125,2581.125,814.875,41.44,39.08
3.8,1317,972.25,1432.875,1159.75,1619.25,2312.25,2380.625,1980.125,2581.125,814.75,41.47,39.04
3.9,1317.125,972.25,1432.75,1159.75,1619.25,2312.375,2380.625,1980.125,2581,814.875,41.47,39.09
4.0,1317,972.25,1432.75,1159.75,1619.25,2312.25,2380.625,1980.125,2581.125,814.75,41.48,39.06
4.1,1317,972.25,1432.75,1159.75,1619.25,2312.25,2380.625,1980.125,2581.125,814.75,41.47,39.09
4.2,1317.125,972.125,1432.75,1159.75,1619.25,2312.25,2380.625,1980.125,2581,814.75,41.45,39.1
4.3,1317,972.25,1432.75,1159.75,1619.25,2312.25,2380.5,1980.125,2581.125,814.625,41.47,39.1
4.4,1317,972.25,1432.875,1159.75,1619.125,2312.25,2380.5,1980.125,2581.125,814.75,41.47,39.1
4.5,1317,972.25,1432.875,1159.75,1619.25,2312.25,2380.5,1980,2581,814.625,41.47,39.03
4.6,1317,972.25,1432.75,1159.625,1619.25,2312.25,2380.5,1980,2581,814.75,41.47,39.06
4.7,1317,972.25,1432.75,1159.75,1619.25,2312.25,2380.5,1980.125,2581,814.625,41.45,39.01
4.8,1317,972.25,1432.75,1159.625,1619.25,2312.25,2380.625,1980,2581,814.625,41.45,39.09
4.9,1317,972.25,1432.875,1159.625,1619.25,2312.25,2380.5,1980.125,2581,814.625,41.47,39.09
5.0,1317,972.25,1432.75,1159.625,1619.25,2312.25,2380.5,1980.125,2581.5,814.75,41.47,38.99
5.1,1317.125,972.25,1432.75,1159.625,1619.25,2312.125,2380.5,1980.125,2581.625,814.75,41.45,39.07
5.2,1317.125,972.25,1432.75,1159.625,1619.25,2312.125,2380.5,1980.125,2581.75,814.625,41.47,39.09
5.3,1317.125,972.25,1432.625,1159.5,1619.25,2312.125,2380.5,1980.125,2582.25,814.625,41.49,39.03
5.4,1317.25,972.375,1432.625,1159.5,1619.375,2312.25,2380.5,1980.125,2583,814.75,41.47,39.06
5.5,1317.25,972.5,1432.5,1159.625,1619.5,2312.75,2380.75,1980.25,2584.125,815,41.45,39.04
5.6,1317.375,972.625,1432.5,1159.875,1619.625,2313.75,2381.25,1980.375,2585.75,815.375,41.47,39.04
5.7,1317.5,973.25,1432.5,1160.375,1620,2315.5,2381.875,1980.875,2588.375,816,41.47,39.06
5.8,1317.75,974.25,1432.5,1161.5,1620.75,2317.875,2382.875,1981.75,2591.25,817.125,41.47,39.03
5.9,1318.375,975.875,1432.5,1163.125,1621.75,2321,2384.125,1983.375,2594.125,818.5,41.45,39.07
6.0,1319.25,978.125,1432.75,1165.375,1623.125,2324.5,2385.75,1985.75,2597.75,820.25,41.45,39.06
6.1,1320.5,981.125,1433,1168.5,1625.125,2328.625,2387.5,1989,2601.625,822.25,41.45,39.09
6.2,1322.25,984.875,1433.375,1172.25,1627.25,2333.25,2389.625,1993.25,2605.75,824.625,41.47,39.07
6.3,1324.5,989.375,1434,1176.75,1629.75,2338.125,2391.75,1998.25,2610,827.375,41.48,39.03
6.4,1327.125,994.625,1434.625,1182,1632.875,2343.25,2394,2004,2614.375,830.25,41.45,39.07
6.5,1330.25,1000.875,1435.5,1188,1636.25,2348.625,2396.5,2010.75,2618.875,833.25,41.48,39.04
6.6,1333.75,1007.75,1436.5,1194.625,1639.875,2354.125,2398.875,2018.25,2623,836.625,41.47,39.07
6.7,1337.875,1015.5,1437.5,1201.875,1644,2359.75,2401.5,2026.625,2627.125,840.25,41.45,39.04
6.8,1342.375,1024,1438.75,1209.625,1648.125,2365.625,2404.125,2035.625,2631.5,844,41.47,39.04
