time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1345.875,989,1448.25,1188.75,1603.875,2251.75,2364.125,2118.625,2487,788.25,41.35,37.09
0.1,1345.875,989,1448.25,1188.75,1603.75,2251.625,2364.25,2118.625,2487,788.25,41.34,37.05
0.2,1345.875,989,1448.25,1188.75,1603.75,2251.75,2364.25,2118.625,2487,788.125,41.34,37.05
0.3,1345.75,988.875,1448.125,1188.75,1603.75,2251.625,2364.25,2118.625,2486.875,788.25,41.37,37.05
0.4,1345.75,988.875,1448.25,1188.75,1603.75,2251.625,2364.125,2118.5,2486.875,788.25,41.35,37.08
0.5,1345.75,988.875,1448.25,1188.625,1603.75,2251.625,2364.125,2118.5,2487,788.25,41.34,37.07
0.6,1345.75,988.875,1448.25,1188.625,1603.75,2251.625,2364.25,2118.5,2486.875,788.25,41.35,37.08
0.7,1345.75,988.75,1448.25,1188.625,1603.75,2251.625,2364.125,2118.5,2486.875,788.125,41.34,37.07
0.8,1345.75,988.875,1448.25,1188.625,1603.75,2251.625,2364.25,2118.5,2486.875,788.125,41.35,37.05
0.9,1345.75,988.875,1448.125,1188.625,1603.75,2251.625,2364.125,2118.5,2486.875,788.125,41.34,37.03
1.0,1345.75,988.875,1448.125,1188.5,1603.75,2251.5,2364.125,2118.5,2487,788.125,41.35,37.08
1.1,1345.75,988.75,1448.125,1188.5,1603.75,2251.5,2364.125,2118.375,2487,788.125,41.34,37.02
1.2,1345.75,988.75,1448.125,1188.5,1603.625,2251.5,2364.125,2118.5,2487,788.125,41.34,37.07
1.3,1345.75,988.75,1448.125,1188.5,1603.75,2251.625,2364.125,2118.375,2487,788.125,41.32,37.07
1.4,1345.75,988.75,1448.25,1188.5,1603.75,2251.625,2364.125,2118.375,2487,788.125,41.35,37.02
1.5,1345.75,988.75,1448.125,1188.5,1603.75,2251.625,2364.125,2118.375,2487,788.125,41.35,37.02
1.6,1345.75,988.75,1448.125,1188.5,1603.625,2251.625,2364.125,2118.375,2487,788.125,41.38,37.05
1.7,1345.75,988.75,1448.25,1188.5,1603.75,2251.625,2364.25,2118.375,2487,788.125,41.35,37.02
1.8,1345.75,988.75,1448.125,1188.375,1603.75,2251.75,2364.25,2118.375,2487,788.125,41.38,37.01
1.9,1345.625,988.625,1448.125,1188.375,1603.75,2251.75,2364.125,2118.375,2487,788.125,41.37,37.02
2.0,1345.625,988.625,1448.25,1188.5,1603.75,2251.75,2364.25,2118.25,2487,788.125,41.37,37.01
2.1,1345.75,988.75,1448.125,1188.375,1603.625,2251.75,2364.25,2118.25,2487,788.125,41.37,37.06
2.2,1345.75,988.625,1448.125,1188.375,1603.75,2251.75,2364.125,2118.25,2487,788.125,41.35,37.01
2.3,1345.75,988.625,1448.125,1188.375,1603.75,2251.875,2364.25,2118.25,2487,788.125,41.38,37.02
2.4,1345.75,988.625,1448.125,1188.375,1603.75,2251.75,2364.25,2118.25,2487,788.125,41.34,36.98
2.5,1345.75,988.625,1448.125,1188.375,1603.75,2251.75,2364.25,2118.25,2487.125,788.125,41.35,37.05
2.6,1345.625,988.625,1448.125,1188.375,1603.75,2251.75,2364.25,2118.25,2487,788.125,41.35,36.96
2.7,1345.625,988.625,1448.125,1188.375,1603.75,2251.75,2364.25,2118.25,2487.125,788.125,41.37,37.03
2.8,1345.625,988.625,1448.125,1188.375,1603.75,2251.75,2364.25,2118.25,2487.125,788.125,41.37,36.99
2.9,1345.625,988.625,1448.125,1188.375,1603.75,2251.75,2364.25,2118.25,2487.125,788.125,41.35,36.99
3.0,1345.625,988.625,1448.125,1188.375,1603.875,2251.75,2364.375,2118.125,2487.125,788.125,41.35,36.99
3.1,1345.625,988.625,1448.125,1188.375,1603.875,2251.75,2364.25,2118.25,2487.125,788.125,41.34,37
3.2,1345.75,988.625,1448.125,1188.375,1603.875,2251.875,2364.375,2118.25,2487.125,788,41.38,37.05
3.3,1345.625,988.625,1448.125,1188.375,1603.875,2251.875,2364.375,2118.25,2487.125,788.125,41.35,36.99
3.4,1345.625,988.625,1448.125,1188.375,1603.875,2251.875,2364.375,2118.125,2487.125,788,41.38,36.98
3.5,1345.625,988.5,1448.125,1188.375,1603.875,2251.875,2364.375,2118.25,2487.125,788,41.37,37.01
3.6,1345.625,988.5,1448.125,1188.375,1603.875,2252,2364.5,2118.25,2487.125,788,41.37,36.98
3.7,1345.625,988.625,1448.125,1188.375,1603.875,2251.875,2364.375,2118.125,2487.125,788.125,41.34,37.02
3.8,1345.625,988.5,1448.125,1188.375,1603.875,2252,2364.375,2118.125,2487.125,788,41.37,37.02
3.9,1345.625,988.5,1448.25,1188.375,1603.875,2251.875,2364.5,2118.125,2487.125,788,41.35,37.01
4.0,1345.5,988.5,1448.125,1188.375,1603.875,2251.875,2364.25,2118.125,2487.125,788.125,41.35,37.01
4.1,1345.5,988.375,1448.125,1188.375,1603.875,2252,2364.5,2118.25,2487.125,788,41.35,36.98
4.2,1345.5,988.375,1448.25,1188.375,1603.875,2252,2364.375,2118.125,2487.25,788,41.4,36.99
4.3,1345.5,988.375,1448.125,1188.25,1603.875,2252,2364.375,2118.125,2487.125,788,41.37,36.95
4.4,1345.5,988.375,1448.25,1188.375,1603.875,2252,2364.375,2118.125,2487.125,788,41.38,36.99
4.5,1345.5,988.375,1448.25,1188.375,1603.875,2252,2364.375,2118.125,2487.125,788,41.38,36.98
4.6,1345.5,988.25,1448.25,1188.375,1603.875,2252,2364.375,2118.125,2487.25,788,41.38,37.02
4.7,1345.5,988.375,1448.25,1188.375,1603.875,2252,2364.5,2118.125,2487.125,788,41.35,36.96
4.8,1345.5,988.375,1448.25,1188.375,1603.875,2252,2364.5,2118.125,2487.25,788,41.38,36.98
4.9,1345.375,988.375,1448.25,1188.375,1603.875,2252,2364.5,2118.125,2487.25,788,41.37,36.99
5.0,1345.5,988.25,1448.125,1188.25,1603.875,2252,2364.5,2118.125,2487.25,788,41.35,36.96
5.1,1345.5,988.25,1448.125,1188.25,1603.875,2252.125,2364.375,2118.125,2487.25,788,41.37,37.01
5.2,1345.5,988.375,1448,1188.125,1604,2252,2364.375,2118.125,2487.25,788,41.38,36.98
5.3,1345.625,988.375,1448,1188.125,1604,2252,2364.5,2118,2487.625,787.875,41.38,36.96
5.4,1345.625,988.375,1447.875,1188,1604,2252.125,2364.5,2118,2488.75,787.875,41.4,36.99
5.5,1345.625,988.5,1447.875,1188.125,1604.125,2252.5,2364.625,2118,2490.375,787.875,41.38,36.96
5.6,1345.625,988.5,1447.875,1188.375,1604.25,2253.5,2364.875,2118,2492.5,788,41.35,36.98
5.7,1345.625,988.75,1447.75,1189.125,1604.75,2255.375,2365.5,2118.125,2495.5,788.125,41.38,36.96
5.8,1345.75,989.25,1447.75,1190.875,1605.5,2258.625,2366.25,2118.75,2499.125,788.375,41.38,36.98
5.9,1346.125,990,1447.875,1194,1607,2263.125,2367.375,2120.375,2503.375,788.75,41.37,36.95
6.0,1347,991.125,1448.25,1198.875,1609.125,2268.875,2368.625,2123.625,2508.625,789.375,41.38,36.95
6.1,1348.625,992.75,1448.875,1205.75,1611.875,2275.625,2370.25,2129,2514.875,790.25,41.38,36.98
6.2,1351.375,995,1450,1215,1615.5,2283.25,2372,2137.25,2522,791.25,41.4,36.98
6.3,1355.5,997.625,1451.5,1226.75,1619.875,2291.625,2374.25,2148.625,2529.625,792.625,41.38,37.01
6.4,1361.125,1000.875,1453.75,1240.625,1625.375,2300.375,2376.625,2163,2537.5,794,41.4,37.01
6.5,1368.625,1004.5,1456.625,1257.375,1631.875,2309.625,2379.125,2180.625,2545.625,795.5,41.38,36.99
6.6,1377.875,1008.875,1460.125,1276.5,1639.25,2319.125,2381.625,2201.25,2554,797.375,41.37,36.95
6.7,1388.875,1013.625,1464.25,1297.625,1647.375,2328.625,2384.25,2224.5,2562.5,799.25,41.38,36.96
6.8,1401.75,1018.875,1468.875,1321.25,1656.5,2338.5,2387.125,2250.375,2571.25,801.625,41.35,36.99
6.9,1416.25,1024.75,1474,1346.75,1666.125,2348.125,2389.75,2278.25,2579.875,803.875,41.38,36.93
7.0,1432.625,1031,1479.75,1374.125,1676.375,2357.875,2392.625,2308.375,2588.75,806.375,41.37,36.98
7.1,1450.5,1037.75,1485.625,1403,1687.25,2367.5,2395.5,2340.5,2598,809.125,41.38,37.01
7.2,1469.5,1044.75,1491.875,1433,1698.5,2376.875,2398.125,2373.625,2607.625,811.75,41.37,37.05
7.3,1490,1052.25,1498.375,1464.375,1710.25,2386,2401,2408.625,2617,814.5,41.37,37.06
7.4,1511.875,1060.125,1505,1496.75,1722.375,2394.75,2403.75,2444.375,2626.25,817.375,41.37,37.06
7.5,1534.5,1068.25,1511.625,1529.5,1734.5,2403.125,2406.375,2480.5,2635.625,820.25,41.4,37.14
7.6,1558.375,1076.75,1518.25,1562.75,1746.875,2411.5,2409,2517.875,2645.125,823.375,41.37,37.17
7.7,1583.125,1085.5,1524.75,1596.25,1759.375,2419.375,2411.625,2555.5,2654.625,826.5,41.35,37.2
7.8,1608.375,1094.5,1531.25,1629.25,1771.625,2427,2414,2592.875,2664.25,829.75,41.37,37.24
7.9,1634.5,1103.75,1537.5,1662.75,1784.125,2434.5,2416.5,2630.625,2674.125,833.125,41.37,37.25
8.0,1661.125,1113.125,1543.75,1695.875,1796.25,2441.5,2418.875,2668,2683.75,836.5,41.35,37.3
8.1,1687.75,1122.75,1549.625,1728.5,1808.125,2448.25,2421.125,2704.75,2693.125,839.75,41.37,37.4
8.2,1714.75,1132.5,1555.375,1760.875,1819.875,2454.625,2423.5,2741.375,2702.625,843,41.35,37.44
8.3,1742,1142.5,1560.875,1792.5,1831.375,2460.75,2425.625,2777.5,2711.875,846.25,41.37,37.53
8.4,1768.875,1152.375,1566.125,1823,1842.375,2466.375,2427.875,2812.625,2721.375,849.5,41.37,37.54
8.5,1796,1162.625,1571.125,1853,1853.375,2471.875,2429.875,2847.375,2731,852.75,41.37,37.72
8.6,1822.875,1172.875,1576,1882,1864,2477.25,2432,2881.25,2740.25,856.375,41.37,37.78
8.7,1849.25,1183.125,1580.5,1910,1874.125,2482.25,2433.875,2913.875,2749.375,859.75,41.35,37.85
8.8,1875.5,1193.625,1584.875,1937.375,1884,2487.125,2435.75,2945.875,2758.375,863,41.38,38.01
8.9,1901.5,1204,1589.125,1963.875,1893.5,2491.75,2437.625,2977,2767.25,866.5,41.34,38.09
9.0,1926.625,1214.25,1593.125,1989.125,1902.5,2496,2439.5,3006.75,2775.75,869.875,41.35,38.2
9.1,1951.5,1224.625,1596.875,2013.625,1911.375,2500.125,2441.25,3036.125,2784.25,873.375,41.37,38.29
9.2,1975.875,1235,1600.5,2037.125,1919.875,2504.125,2442.875,3064.375,2792.75,876.75,41.37,38.41
9.3,1999.375,1245.25,1604,2059.5,1928.125,2507.875,2444.625,3091.5,2801.25,880.25,41.37,38.55
9.4,2022.625,1255.375,1607.375,2081.375,1936.125,2511.5,2446.375,3117.625,2809.625,883.75,41.38,38.67
9.5,2045.125,1265.625,1610.5,2102.375,1943.75,2515,2447.875,3142.875,2817.875,887.25,41.37,38.74
9.6,2066.875,1275.625,1613.5,2122.25,1951,2518.25,2449.375,3166.875,2825.75,890.625,41.37,38.89
9.7,2088.25,1285.625,1616.375,2141.625,1958.125,2521.375,2451,3190.25,2833.625,894,41.35,39.02
9.8,2109.125,1295.5,1619.125,2160.25,1965,2524.5,2452.5,3212.625,2841.5,897.5,41.35,39.13
9.9,2129,1305.375,1621.625,2177.875,1971.625,2527.375,2453.75,3233.875,2849.25,900.875,41.38,39.3
10.0,2148.5,1315.125,1624.125,2195,1977.875,2530,2455.25,3254.375,2857.125,904.375,41.38,39.41
10.1,2167.25,1324.625,1626.5,2211.25,1983.75,2532.75,2456.5,3273.875,2864.625,907.75,41.35,39.54
10.2,2185.5,1334.25,1628.75,2227,1989.625,2535.25,2457.625,3292.625,2872.125,911.25,41.37,39.69
10.3,2203.25,1343.75,1631,2242.25,1995.125,2537.625,2459,3310.5,2879.5,914.625,41.37,39.79
10.4,2220.25,1353,1632.875,2256.75,2000.375,2539.875,2460.375,3327.625,2886.5,917.875,41.38,39.94
10.5,2236.75,1362.125,1634.875,2270.75,2005.375,2542.125,2461.5,3344,2893.5,921.25,41.35,40.13
10.6,2252.75,1371.25,1636.875,2284.25,2010.25,2544.25,2462.625,3359.625,2900.375,924.5,41.37,40.24
10.7,2268.125,1380.125,1638.625,2297,2014.875,2546.375,2463.75,3374.625,2907.25,927.75,41.37,40.36
