time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1348.625,1011.5,1448.375,1188.875,1603.5,2252.5,2364,2128.25,2565,866.375,41.83,36
0.1,1348.625,1011.5,1448.375,1188.875,1603.5,2252.5,2364,2128.25,2565,866.25,41.82,35.97
0.2,1348.625,1011.375,1448.375,1188.875,1603.5,2252.5,2364,2128.25,2565,866.25,41.82,36
0.3,1348.625,1011.5,1448.375,1188.875,1603.5,2252.5,2364.125,2128.125,2565,866.25,41.88,35.99
0.4,1348.625,1011.5,1448.375,1188.875,1603.5,2252.5,2364,2128.125,2565,866.25,41.85,35.97
0.5,1348.625,1011.375,1448.25,1188.75,1603.5,2252.625,2364.125,2128,2564.875,866.125,41.85,36
0.6,1348.625,1011.375,1448.375,1188.75,1603.5,2252.625,2364,2128,2564.875,866.125,41.85,36
0.7,1348.5,1011.375,1448.375,1188.75,1603.625,2252.5,2364,2128,2564.875,866.125,41.83,35.94
0.8,1348.5,1011.375,1448.375,1188.75,1603.5,2252.625,2364.125,2127.875,2564.875,866.125,41.86,35.94
0.9,1348.5,1011.375,1448.375,1188.75,1603.5,2252.5,2364,2127.875,2564.875,866.125,41.83,35.94
1.0,1348.5,1011.375,1448.375,1188.75,1603.5,2252.625,2364,2127.75,2564.875,866.125,41.83,35.9
1.1,1348.5,1011.25,1448.375,1188.75,1603.5,2252.625,2364,2127.75,2564.875,866,41.88,35.93
1.2,1348.5,1011.25,1448.375,1188.75,1603.5,2252.625,2364,2127.75,2564.75,866,41.85,35.96
1.3,1348.5,1011.25,1448.375,1188.625,1603.5,2252.625,2364.125,2127.625,2564.75,866,41.85,35.96
1.4,1348.5,1011.25,1448.375,1188.75,1603.5,2252.625,2364,2127.625,2564.625,866,41.85,35.99
1.5,1348.375,1011.25,1448.375,1188.75,1603.5,2252.625,2364.125,2127.625,2564.625,865.875,41.86,35.97
1.6,1348.5,1011.25,1448.375,1188.625,1603.5,2252.5,2364,2127.5,2564.625,865.875,41.86,35.91
1.7,1348.375,1011.125,1448.25,1188.625,1603.5,2252.625,2364,2127.5,2564.5,865.875,41.83,35.99
1.8,1348.375,1011.125,1448.375,1188.625,1603.5,2252.625,2364,2127.5,2564.5,865.875,41.83,35.94
1.9,1348.375,1011.125,1448.375,1188.625,1603.5,2252.625,2364,2127.375,2564.5,865.75,41.86,35.91
2.0,1348.375,1011.125,1448.375,1188.625,1603.5,2252.625,2364.125,2127.375,2564.5,865.75,41.86,35.93
2.1,1348.375,1011.125,1448.375,1188.5,1603.5,2252.5,2364.125,2127.375,2564.375,865.75,41.85,35.94
2.2,1348.375,1011.125,1448.375,1188.5,1603.5,2252.625,2364,2127.25,2564.375,865.75,41.86,35.93
2.3,1348.375,1011.125,1448.375,1188.5,1603.5,2252.5,2364,2127.25,2564.375,865.75,41.86,35.97
2.4,1348.375,1011.125,1448.375,1188.5,1603.5,2252.5,2364,2127.125,2564.375,865.75,41.85,35.91
2.5,1348.25,1011.125,1448.25,1188.5,1603.5,2252.5,2364,2127.125,2564.375,865.625,41.85,35.9
2.6,1348.375,1011.125,1448.375,1188.5,1603.5,2252.5,2364,2127,2564.375,865.625,41.83,35.94
2.7,1348.375,1011.125,1448.375,1188.5,1603.5,2252.5,2364,2127,2564.25,865.625,41.86,35.97
2.8,1348.25,1011.125,1448.375,1188.375,1603.5,2252.5,2364,2127,2564.25,865.625,41.86,35.91
2.9,1348.25,1011.125,1448.25,1188.375,1603.5,2252.5,2364,2127,2564.25,865.625,41.86,35.93
3.0,1348.25,1011.125,1448.375,1188.375,1603.625,2252.5,2364,2127,2564.125,865.5,41.85,35.91
3.1,1348.25,1011.125,1448.25,1188.375,1603.5,2252.5,2363.875,2126.875,2564.125,865.5,41.85,35.99
3.2,1348.25,1011.125,1448.375,1188.375,1603.5,2252.5,2364,2126.75,2564.25,865.5,41.88,35.93
3.3,1348.25,1011.125,1448.25,1188.375,1603.5,2252.5,2364,2126.875,2564.125,865.5,41.86,35.91
3.4,1348.25,1011,1448.25,1188.375,1603.5,2252.5,2364,2126.75,2564.125,865.5,41.86,35.9
3.5,1348.25,1011,1448.375,1188.375,1603.5,2252.375,2364,2126.75,2564,865.375,41.85,35.97
3.6,1348.25,1011.125,1448.25,1188.375,1603.5,2252.5,2364,2126.625,2564,865.375,41.86,35.91
3.7,1348.25,1011.125,1448.25,1188.375,1603.5,2252.5,2364,2126.625,2564,865.375,41.86,35.9
3.8,1348.25,1011.125,1448.25,1188.25,1603.625,2252.5,2363.875,2126.5,2564,865.375,41.85,35.93
3.9,1348.25,1011.125,1448.25,1188.375,1603.625,2252.5,2364,2126.5,2564,865.25,41.88,35.94
