time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1378.125,1053.625,1449.625,1224,1600.75,2270.5,2359.375,2301,2574.25,1080.25,40.14,39.72
0.1,1378.125,1053.625,1449.625,1224,1600.75,2270.5,2359.25,2301,2574.25,1080.25,40.17,39.73
0.2,1378.125,1053.625,1449.625,1224,1600.75,2270.5,2359.375,2301,2574.375,1080.25,40.17,39.64
0.3,1378.125,1053.625,1449.625,1224,1600.75,2270.5,2359.375,2301,2574.375,1080.125,40.17,39.69
0.4,1378.125,1053.625,1449.625,1224,1600.75,2270.5,2359.25,2301,2574.375,1080.125,40.19,39.73
0.5,1378.125,1053.625,1449.625,1224,1600.75,2270.5,2359.375,2301,2574.375,1080.125,40.2,39.72
0.6,1378.125,1053.625,1449.625,1224,1600.75,2270.5,2359.25,2301,2574.5,1080.125,40.19,39.69
0.7,1378.25,1053.625,1449.625,1224,1600.75,2270.5,2359.375,2301,2574.5,1080.125,40.2,39.67
0.8,1378.25,1053.625,1449.625,1224,1600.75,2270.5,2359.25,2301,2574.625,1080,40.17,39.64
0.9,1378.125,1053.625,1449.625,1224,1600.75,2270.5,2359.25,2301,2574.625,1080,40.19,39.66
1.0,1378.25,1053.625,1449.625,1224,1600.75,2270.5,2359.375,2301,2574.625,1080,40.19,39.7
1.1,1378.125,1053.625,1449.625,1224,1600.75,2270.5,2359.375,2301,2574.625,1080,40.17,39.69
1.2,1378.125,1053.625,1449.625,1224,1600.75,2270.5,2359.25,2301,2574.75,1079.875,40.22,39.72
1.3,1378.125,1053.625,1449.625,1224,1600.75,2270.375,2359.25,2301,2574.75,1080,40.19,39.73
1.4,1378.25,1053.625,1449.625,1224,1600.75,2270.5,2359.25,2301,2574.75,1079.875,40.2,39.67
1.5,1378.25,1053.625,1449.625,1224,1600.75,2270.375,2359.375,2301,2574.875,1079.875,40.2,39.66
1.6,1378.25,1053.625,1449.625,1224,1600.75,2270.5,2359.25,2301,2574.875,1079.875,40.19,39.67
1.7,1378.125,1053.5,1449.625,1224,1600.75,2270.5,2359.25,2301,2574.875,1079.75,40.2,39.67
1.8,1378.25,1053.625,1449.625,1224,1600.75,2270.375,2359.25,2301,2575,1079.75,40.19,39.71
1.9,1378.25,1053.625,1449.625,1224,1600.75,2270.5,2359.375,2301,2575,1079.75,40.19,39.66
2.0,1378.25,1053.625,1449.625,1224,1600.75,2270.5,2359.375,2301,2575,1079.75,40.2,39.73
2.1,1378.25,1053.625,1449.625,1224,1600.75,2270.5,2359.25,2301,2575,1079.75,40.2,39.69
2.2,1378.25,1053.625,1449.625,1224,1600.75,2270.5,2359.375,2301,2575,1079.625,40.2,39.67
2.3,1378.25,1053.625,1449.625,1224,1600.875,2270.5,2359.375,2301,2575.125,1079.625,40.2,39.64
2.4,1378.25,1053.625,1449.625,1224,1600.75,2270.5,2359.375,2301,2575.125,1079.625,40.2,39.64
2.5,1378.375,1053.625,1449.625,1224,1600.75,2270.5,2359.25,2301,2575.25,1079.625,40.17,39.7
2.6,1378.375,1053.625,1449.625,1224,1600.75,2270.5,2359.25,2301,2575.25,1079.625,40.19,39.61
2.7,1378.375,1053.625,1449.625,1224,1600.75,2270.5,2359.375,2301,2575.25,1079.5,40.2,39.63
2.8,1378.375,1053.625,1449.625,1224,1600.75,2270.5,2359.25,2301,2575.25,1079.625,40.17,39.69
2.9,1378.375,1053.625,1449.625,1224,1600.875,2270.5,2359.25,2301,2575.375,1079.625,40.19,39.69
3.0,1378.375,1053.625,1449.625,1224,1600.875,2270.5,2359.25,2301,2575.375,1079.5,40.2,39.66
3.1,1378.375,1053.625,1449.625,1224,1600.875,2270.5,2359.375,2301,2575.375,1079.5,40.2,39.7
3.2,1378.375,1053.75,1449.5,1224,1600.875,2270.5,2359.375,2301,2575.375,1079.5,40.2,39.66
3.3,1378.375,1053.75,1449.625,1224,1600.875,2270.5,2359.375,2301,2575.5,1079.5,40.22,39.69
3.4,1378.375,1053.75,1449.625,1224,1600.875,2270.5,2359.375,2301,2575.5,1079.5,40.22,39.64
3.5,1378.375,1053.75,1449.625,1224,1600.875,2270.5,2359.25,2301,2575.5,1079.5,40.2,39.7
3.6,1378.5,1053.75,1449.625,1224,1600.875,2270.5,2359.375,2301,2575.5,1079.5,40.2,39.6
3.7,1378.375,1053.75,1449.625,1224,1600.875,2270.5,2359.25,2301,2575.625,1079.375,40.2,39.66
3.8,1378.5,1053.75,1449.625,1224,1600.875,2270.5,2359.375,2301.125,2575.625,1079.375,40.2,39.69
3.9,1378.375,1053.75,1449.5,1224,1600.875,2270.5,2359.375,2301.125,2575.75,1079.375,40.22,39.61
4.0,1378.5,1053.75,1449.5,1224,1600.875,2270.625,2359.25,2301.125,2575.75,1079.375,40.22,39.66
4.1,1378.375,1053.75,1449.5,1224,1600.875,2270.5,2359.25,2301,2575.75,1079.5,40.19,39.64
4.2,1378.375,1053.75,1449.5,1224,1600.875,2270.5,2359.25,2301,2575.75,1079.375,40.16,39.67
4.3,1378.375,1053.75,1449.625,1224,1600.875,2270.5,2359.25,2301.125,2575.75,1079.375,40.19,39.64
4.4,1378.375,1053.75,1449.5,1224,1600.875,2270.5,2359.25,2301.125,2575.875,1079.375,40.2,39.67
4.5,1378.375,1053.75,1449.625,1224,1600.875,2270.5,2359.25,2301.125,2575.875,1079.375,40.2,39.6
4.6,1378.375,1053.75,1449.625,1224.125,1600.875,2270.5,2359.375,2301,2576,1079.375,40.22,39.64
4.7,1378.375,1053.75,1449.5,1224,1600.875,2270.5,2359.25,2301.125,2575.875,1079.25,40.19,39.66
4.8,1378.375,1053.625,1449.5,1224,1600.875,2270.5,2359.25,2301.125,2576,1079.25,40.22,39.64
4.9,1378.375,1053.75,1449.625,1224,1600.875,2270.5,2359.375,2301.125,2576,1079.25,40.22,39.63
5.0,1378.375,1053.75,1449.5,1224,1600.875,2270.5,2359.375,2301.125,2576.375,1079.375,40.2,39.63
5.1,1378.5,1053.75,1449.5,1224,1600.875,2270.5,2359.25,2301,2576.375,1079.375,40.2,39.63
5.2,1378.5,1053.75,1449.5,1223.875,1600.875,2270.5,2359.25,2301,2576.5,1079.375,40.22,39.64
5.3,1378.5,1053.75,1449.375,1223.875,1600.875,2270.375,2359.25,2301,2576.875,1079.375,40.22,39.64
5.4,1378.5,1053.75,1449.375,1223.875,1601,2270.5,2359.25,2301.125,2577.625,1079.25,40.22,39.67
5.5,1378.5,1053.75,1449.25,1223.75,1601,2270.625,2359.5,2301.125,2578.625,1079.375,40.22,39.63
5.6,1378.5,1053.875,1449.25,1223.875,1601.125,2271,2359.625,2301.125,2579.625,1079.5,40.23,39.69
5.7,1378.625,1054,1449.25,1224,1601.25,2271.625,2360,2301.25,2581,1079.75,40.19,39.69
5.8,1378.75,1054.375,1449.25,1224.375,1601.5,2272.625,2360.625,2301.25,2583,1080.125,40.17,39.66
5.9,1378.75,1054.75,1449.25,1224.75,1601.75,2274,2361.625,2301.5,2585.375,1080.625,40.22,39.64
6.0,1378.875,1055.375,1449.25,1225.375,1602.375,2275.75,2362.75,2302,2587.625,1081.25,40.2,39.63
6.1,1379.25,1056.375,1449.25,1226.125,1603.125,2278.125,2364.25,2302.625,2589.625,1082.25,40.19,39.63
6.2,1379.625,1057.625,1449.25,1227.25,1604.125,2280.875,2365.875,2303.5,2592.125,1083.25,40.2,39.64
6.3,1380.25,1059.125,1449.5,1228.5,1605.375,2284.125,2367.75,2304.75,2594.625,1084.625,40.22,39.61
6.4,1381,1061,1449.625,1230.125,1606.75,2287.625,2369.875,2306.375,2597.375,1086.125,40.22,39.67
6.5,1381.875,1063.125,1449.875,1231.875,1608.5,2291.625,2372.125,2308.25,2600.125,1087.75,40.2,39.67
6.6,1382.875,1065.625,1450.125,1233.875,1610.5,2295.75,2374.375,2310.5,2603,1089.625,40.2,39.6
6.7,1384.125,1068.5,1450.5,1236.125,1612.75,2300.25,2376.875,2313,2605.875,1091.75,40.23,39.63
6.8,1385.625,1071.5,1450.875,1238.625,1615,2304.875,2379.25,2315.75,2608.5,1093.75,40.24,39.69
6.9,1387.125,1074.875,1451.375,1241.25,1617.625,2309.75,2381.625,2318.875,2611.375,1096.125,40.22,39.6
7.0,1389,1078.5,1451.875,1244.25,1620.25,2314.5,2384.125,2322.25,2614.125,1098.25,40.19,39.63
