time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1479.625,1115.5,1437.125,1314.75,1614.5,2286.125,2365.25,2530.5,2682.375,1102.5,40.33,39.82
0.1,1479.625,1115.5,1437.125,1314.75,1614.5,2286.125,2365.375,2530.5,2682.375,1102.5,40.36,39.79
0.2,1479.625,1115.5,1437.125,1314.875,1614.5,2286.125,2365.25,2530.625,2682.5,1102.5,40.33,39.8
0.3,1479.75,1115.5,1437.125,1314.75,1614.5,2286.125,2365.25,2530.625,2682.375,1102.5,40.32,39.81
0.4,1479.75,1115.5,1437.125,1314.875,1614.375,2286.125,2365.375,2530.625,2682.375,1102.625,40.34,39.82
0.5,1479.75,1115.5,1437.125,1314.875,1614.375,2286.125,2365.25,2530.625,2682.5,1102.625,40.33,39.82
0.6,1479.75,1115.5,1437.125,1314.875,1614.5,2286.125,2365.25,2530.625,2682.5,1102.75,40.33,39.8
0.7,1479.75,1115.5,1437.125,1314.875,1614.5,2286.125,2365.25,2530.75,2682.5,1102.625,40.34,39.77
0.8,1479.75,1115.5,1437.125,1314.875,1614.375,2286.125,2365.25,2530.875,2682.5,1102.75,40.36,39.79
0.9,1479.875,1115.625,1437.125,1314.875,1614.5,2286.125,2365.375,2530.875,2682.625,1102.75,40.33,39.77
1.0,1479.75,1115.625,1437.125,1314.875,1614.5,2286.125,2365.25,2530.875,2682.5,1102.875,40.34,39.76
1.1,1479.875,1115.5,1437.125,1314.875,1614.375,2286.125,2365.25,2531,2682.625,1102.875,40.36,39.75
1.2,1479.875,1115.5,1437.125,1314.875,1614.5,2286.125,2365.25,2531,2682.5,1102.875,40.34,39.82
1.3,1479.875,1115.5,1437.125,1315,1614.375,2286.125,2365.375,2531.125,2682.625,1103,40.36,39.82
1.4,1479.875,1115.5,1437.125,1314.875,1614.375,2286.125,2365.25,2531.125,2682.625,1103,40.34,39.76
1.5,1480,1115.625,1437.125,1314.875,1614.375,2286.125,2365.125,2531.125,2682.625,1103,40.34,39.76
1.6,1480,1115.625,1437.125,1315,1614.375,2286.125,2365.125,2531.125,2682.625,1103,40.36,39.75
1.7,1479.875,1115.5,1437.125,1315,1614.375,2286.125,2365.125,2531.25,2682.625,1103.125,40.34,39.83
1.8,1480,1115.625,1437.125,1315,1614.375,2286.125,2365.25,2531.25,2682.625,1103.25,40.37,39.72
1.9,1480,1115.625,1437.125,1315,1614.375,2286.125,2365.25,2531.25,2682.625,1103.125,40.34,39.73
2.0,1480,1115.625,1437.125,1315,1614.375,2286,2365.125,2531.375,2682.625,1103.125,40.37,39.75
2.1,1480,1115.625,1437.125,1315,1614.375,2286,2365.125,2531.375,2682.625,1103.25,40.36,39.78
2.2,1480,1115.625,1437.125,1315,1614.375,2286,2365.125,2531.375,2682.625,1103.25,40.36,39.76
2.3,1480,1115.625,1437.125,1315.125,1614.375,2286,2365.25,2531.5,2682.625,1103.375,40.34,39.77
2.4,1480,1115.625,1437.125,1315,1614.375,2286,2365.25,2531.5,2682.625,1103.375,40.34,39.77
2.5,1480,1115.625,1437.125,1315,1614.375,2285.875,2365.125,2531.625,2682.625,1103.375,40.34,39.75
2.6,1480,1115.625,1437.25,1315.125,1614.375,2285.875,2365,2531.625,2682.5,1103.375,40.34,39.77
2.7,1480,1115.5,1437.125,1315.125,1614.25,2285.875,2365,2531.625,2682.5,1103.375,40.34,39.77
2.8,1480.125,1115.5,1437.125,1315.125,1614.25,2285.875,2365,2531.625,2682.5,1103.375,40.37,39.75
2.9,1480.125,1115.5,1437.125,1315.125,1614.25,2285.75,2365,2531.75,2682.5,1103.5,40.34,39.75
3.0,1480.125,1115.5,1437.125,1315.125,1614.25,2285.75,2365,2531.75,2682.375,1103.375,40.34,39.75
3.1,1480.125,1115.5,1437.25,1315.125,1614.25,2285.625,2365,2531.75,2682.375,1103.5,40.36,39.75
3.2,1480.125,1115.5,1437.125,1315.125,1614.25,2285.625,2364.875,2531.75,2682.375,1103.5,40.34,39.73
3.3,1480.125,1115.5,1437.25,1315.125,1614.25,2285.625,2364.875,2531.875,2682.375,1103.375,40.36,39.72
3.4,1480.125,1115.5,1437.25,1315.125,1614.125,2285.5,2364.875,2531.875,2682.375,1103.5,40.37,39.8
3.5,1480.125,1115.5,1437.25,1315.125,1614.125,2285.5,2364.875,2531.875,2682.375,1103.5,40.33,39.7
3.6,1480.125,1115.5,1437.25,1315.125,1614.125,2285.5,2364.75,2532,2682.375,1103.5,40.36,39.76
3.7,1480.25,1115.5,1437.25,1315.125,1614,2285.375,2364.75,2532,2682.375,1103.5,40.36,39.72
3.8,1480.25,1115.375,1437.25,1315.125,1614,2285.25,2364.75,2532,2682.375,1103.5,40.37,39.73
3.9,1480.25,1115.375,1437.25,1315.125,1614,2285.25,2364.625,2532.125,2682.375,1103.5,40.37,39.76
4.0,1480.25,1115.375,1437.25,1315.125,1614,2285.25,2364.75,2532.125,2682.375,1103.5,40.34,39.77
4.1,1480.25,1115.375,1437.25,1315.125,1614,2285.125,2364.625,2532.125,2682.25,1103.5,40.36,39.67
4.2,1480.25,1115.375,1437.25,1315.125,1614,2285.125,2364.75,2532.125,2682.375,1103.5,40.37,39.76
4.3,1480.25,1115.375,1437.25,1315.125,1614,2285.125,2364.625,2532.25,2682.25,1103.5,40.36,39.69
4.4,1480.25,1115.375,1437.25,1315,1613.875,2285,2364.5,2532.25,2682.25,1103.5,40.36,39.69
4.5,1480.25,1115.375,1437.25,1315.125,1613.875,2285,2364.5,2532.25,2682.25,1103.625,40.36,39.69
4.6,1480.25,1115.25,1437.25,1315.125,1613.875,2284.875,2364.5,2532.25,2682.125,1103.625,40.37,39.69
4.7,1480.25,1115.25,1437.25,1315.125,1613.875,2284.875,2364.5,2532.25,2682.125,1103.5,40.34,39.71
4.8,1480.25,1115.25,1437.25,1315.125,1613.875,2284.875,2364.5,2532.375,2682,1103.625,40.39,39.68
4.9,1480.375,1115.125,1437.25,1315,1613.75,2284.875,2364.5,2532.375,2682.125,1103.5,40.39,39.71
5.0,1480.25,1115.25,1437.125,1315,1613.75,2284.75,2364.375,2532.375,2682,1103.5,40.37,39.72
5.1,1480.375,1115.125,1437,1314.875,1613.625,2284.625,2364.25,2532.375,2682,1103.5,40.34,39.64
5.2,1480.375,1115.125,1437,1314.875,1613.625,2284.625,2364.25,2532.375,2682,1103.5,40.34,39.7
5.3,1480.375,1115.125,1437,1314.625,1613.625,2284.5,2364.125,2532.375,2682.125,1103.5,40.37,39.76
5.4,1480.5,1115.125,1436.875,1314.75,1613.625,2284.5,2364.125,2532.375,2682.75,1103.375,40.39,39.69
5.5,1480.5,1115.125,1436.875,1314.75,1613.625,2284.5,2364.125,2532.375,2683.625,1103.375,40.37,39.7
5.6,1480.5,1115.125,1436.875,1314.625,1613.625,2284.75,2364.375,2532.375,2685,1103.375,40.39,39.68
5.7,1480.5,1115.25,1436.75,1314.625,1613.75,2285.25,2364.875,2532.5,2686.625,1103.5,40.36,39.67
5.8,1480.5,1115.625,1436.75,1314.625,1613.875,2286.25,2365.625,2532.5,2688.375,1103.875,40.39,39.65
5.9,1480.5,1116.25,1436.75,1314.75,1614,2287.625,2366.75,2532.625,2690,1104.5,40.36,39.61
6.0,1480.625,1117.125,1436.625,1314.875,1614.375,2289.5,2368.25,2532.75,2691.5,1105.375,40.37,39.69
6.1,1480.75,1118.375,1436.75,1315,1614.875,2292,2370,2533,2693.5,1106.375,40.37,39.66
6.2,1480.875,1120,1436.75,1315.375,1615.625,2294.875,2371.75,2533.25,2695.5,1107.875,40.37,39.66
6.3,1481,1122,1436.625,1315.75,1616.5,2298.125,2374,2533.625,2698,1109.5,40.37,39.6
6.4,1481.125,1124.25,1436.625,1316.25,1617.5,2301.875,2376.125,2534.125,2700.5,1111.375,40.36,39.69
6.5,1481.375,1126.875,1436.75,1316.75,1618.75,2305.75,2378.375,2534.875,2703,1113.375,40.36,39.61
6.6,1481.625,1130,1436.625,1317.375,1620.25,2309.75,2380.625,2535.5,2705.25,1115.5,40.37,39.65
6.7,1481.875,1133.375,1436.625,1318,1622,2314,2383.125,2536.25,2707.625,1117.875,40.36,39.69
6.8,1482.25,1137.25,1436.625,1318.875,1624,2318.375,2385.5,2537.25,2709.875,1120.375,40.37,39.63
6.9,1482.75,1141.375,1436.75,1319.75,1626,2322.75,2388,2538.125,2712.125,1123.125,40.37,39.67
7.0,1483.25,1145.875,1436.75,1320.75,1628.25,2327,2390.25,2539.375,2714.375,1125.75,40.34,39.69
7.1,1483.75,1150.75,1436.875,1321.75,1630.625,2331.5,2392.75,2540.5,2716.875,1128.625,40.39,39.68
7.2,1484.375,1156,1436.875,1322.875,1633.125,2335.75,2395,2541.75,2719.375,1131.375,40.37,39.69
7.3,1485,1161.375,1436.875,1324.25,1635.75,2340,2397.5,2543.25,2721.875,1134.375,40.36,39.69
7.4,1485.625,1167.25,1437,1325.5,1638.5,2344.375,2399.75,2544.75,2724,1137.5,40.36,39.73
7.5,1486.5,1173.25,1437,1327,1641.375,2348.5,2402,2546.375,2726.25,1140.75,40.36,39.7
7.6,1487.25,1179.5,1437.125,1328.375,1644.25,2352.5,2404.125,2548,2728.125,1144,40.36,39.7
7.7,1488.125,1186.125,1437.25,1330,1647.25,2356.5,2406.25,2549.875,2730.125,1147.25,40.34,39.77
7.8,1489,1193,1437.25,1331.75,1650.25,2360.375,2408.5,2551.625,2732.25,1150.625,40.34,39.86
7.9,1490,1199.875,1437.5,1333.5,1653.5,2364,2410.5,2553.625,2734.5,1154,40.36,39.89
8.0,1491,1207.125,1437.625,1335.375,1656.625,2367.625,2412.5,2555.625,2736.375,1157.5,40.34,39.96
8.1,1492.125,1214.5,1437.75,1337.375,1659.875,2371.125,2414.5,2557.75,2738.25,1161.125,40.36,39.99
8.2,1493.25,1222,1437.875,1339.375,1663,2374.5,2416.375,2560,2740.125,1164.625,40.34,40.09
8.3,1494.5,1229.5,1438.125,1341.5,1666.25,2377.75,2418.25,2562.25,2742,1168.125,40.34,40.11
8.4,1495.75,1237.25,1438.25,1343.625,1669.5,2380.875,2420.125,2564.625,2744.125,1171.625,40.33,40.22
8.5,1497,1245.125,1438.5,1345.875,1672.75,2383.875,2421.75,2567.125,2746.125,1175.125,40.36,40.29
8.6,1498.375,1253,1438.75,1348.25,1676.125,2386.875,2423.375,2569.625,2747.875,1178.875,40.37,40.37
8.7,1499.75,1260.75,1438.875,1350.5,1679.375,2389.625,2425,2572.125,2749.625,1182.5,40.37,40.46
8.8,1501.125,1268.75,1439.25,1353,1682.625,2392.375,2426.625,2574.75,2751.5,1186.125,40.36,40.53
8.9,1502.625,1276.875,1439.5,1355.5,1685.75,2395,2428.125,2577.375,2753.5,1189.625,40.33,40.67
9.0,1504.125,1284.75,1439.75,1358,1689,2397.375,2429.625,2580.125,2755.5,1193.125,40.34,40.67
9.1,1505.75,1292.875,1440,1360.625,1692.125,2399.875,2431,2582.875,2757.25,1196.875,40.34,40.86
9.2,1507.375,1300.875,1440.375,1363.125,1695.375,2402.125,2432.375,2585.75,2759,1200.5,40.34,40.94
9.3,1509,1308.875,1440.625,1365.75,1698.5,2404.25,2433.75,2588.625,2760.75,1204.125,40.36,41.04
9.4,1510.75,1317,1441,1368.5,1701.625,2406.375,2435.125,2591.5,2762.5,1207.75,40.34,41.14
9.5,1512.375,1325,1441.375,1371.25,1704.75,2408.375,2436.375,2594.375,2764.25,1211.375,40.36,41.23
9.6,1514.25,1332.875,1441.625,1373.875,1707.875,2410.25,2437.5,2597.375,2766,1214.875,40.34,41.34
9.7,1516,1340.875,1442.125,1376.75,1710.875,2412.125,2438.75,2600.25,2767.625,1218.25,40.39,41.49
9.8,1517.875,1348.75,1442.375,1379.5,1713.875,2413.875,2439.875,2603.25,2769.25,1221.75,40.36,41.62
9.9,1519.625,1356.5,1442.875,1382.25,1716.75,2415.5,2441,2606.375,2770.875,1225.125,40.37,41.75
10.0,1521.5,1364.125,1443.25,1385.125,1719.75,2417.25,2442,2609.375,2772.5,1228.5,40.34,41.85
10.1,1523.5,1371.875,1443.625,1387.875,1722.5,2418.75,2443.125,2612.5,2774,1232,40.34,41.97
10.2,1525.375,1379.375,1444.125,1390.75,1725.375,2420.25,2444.25,2615.625,2775.25,1235.375,40.34,42.12
10.3,1527.5,1387,1444.625,1393.625,1728.125,2421.75,2445.25,2618.75,2776.875,1238.875,40.36,42.23
10.4,1529.5,1394.5,1445,1396.5,1730.875,2423.25,2446.125,2621.875,2778.375,1242.25,40.34,42.38
10.5,1531.5,1401.75,1445.5,1399.375,1733.5,2424.5,2447,2625,2779.875,1245.625,40.37,42.5
10.6,1533.5,1409.125,1446,1402.25,1736.125,2425.875,2448,2628.125,2781.25,1249,40.36,42.6
10.7,1535.5,1416.375,1446.5,1405.125,1738.625,2427.125,2448.875,2631.375,2782.75,1252.375,40.36,42.75
10.8,1537.625,1423.5,1447,1407.875,1741.125,2428.375,2449.75,2634.625,2784.25,1255.5,40.36,42.9
10.9,1539.625,1430.5,1447.5,1410.75,1743.625,2429.5,2450.625,2637.75,2785.75,1258.75,40.37,42.96
11.0,1541.75,1437.5,1448.125,1413.75,1746.125,2430.625,2451.375,2641,2787,1262,40.34,43.07
11.1,1543.875,1444.375,1448.625,1416.5,1748.5,2431.625,2452.125,2644.25,2788.375,1265.125,40.34,43.22
11.2,1546,1451.125,1449.125,1419.25,1750.75,2432.625,2452.875,2647.5,2789.75,1268.25,40.36,43.38
11.3,1548.25,1457.875,1449.75,1422.125,1753,2433.625,2453.625,2650.625,2791.125,1271.375,40.36,43.44
11.4,1550.375,1464.5,1450.25,1424.875,1755.25,2434.625,2454.375,2653.875,2792.375,1274.5,40.37,43.61
11.5,1552.5,1471,1450.875,1427.75,1757.375,2435.5,2455,2657.125,2793.625,1277.5,40.36,43.76
11.6,1554.625,1477.5,1451.375,1430.375,1759.5,2436.375,2455.75,2660.25,2795,1280.5,40.34,43.86
11.7,1556.875,1483.875,1452,1433.125,1761.625,2437.125,2456.25,2663.5,2796.375,1283.5,40.32,43.97
11.8,1559,1490.25,1452.625,1435.875,1763.75,2438,2457,2666.75,2797.625,1286.5,40.36,44.09
11.9,1561.25,1496.25,1453.25,1438.625,1765.75,2438.75,2457.625,2669.875,2798.75,1289.375,40.36,44.21
12.0,1563.5,1502.375,1453.875,1441.25,1767.625,2439.625,2458.25,2673.25,2800.125,1292.375,40.33,44.31
12.1,1565.625,1508.5,1454.5,1444,1769.5,2440.375,2458.875,2676.375,2801.375,1295.25,40.34,44.46
12.2,1567.875,1514.375,1455.125,1446.625,1771.375,2441,2459.375,2679.5,2802.5,1298.125,40.36,44.57
12.3,1570.125,1520.25,1455.75,1449.125,1773.25,2441.75,2459.875,2682.75,2803.75,1301,40.36,44.66
12.4,1572.375,1526.125,1456.5,1451.875,1775.125,2442.375,2460.375,2686,2805,1303.875,40.33,44.79
12.5,1574.5,1531.625,1457.125,1454.375,1776.75,2443,2461,2689.125,2806.125,1306.625,40.37,44.9
12.6,1576.75,1537.25,1457.75,1457,1778.5,2443.5,2461.5,2692.25,2807.375,1309.25,40.34,44.98
12.7,1579,1542.875,1458.5,1459.5,1780.25,2444.125,2461.875,2695.375,2808.625,1312,40.36,45.09
