time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1497,1098.625,1440.125,1331.125,1616.625,2288.125,2366.375,2549.375,2696.875,1100,40.67,39.01
0.1,1497.125,1098.75,1440.125,1331.125,1616.625,2288,2366.25,2549.5,2697,1100.125,40.66,39.02
0.2,1497.125,1098.75,1440.125,1331.25,1616.625,2288,2366.375,2549.625,2697,1100.125,40.67,39.06
0.3,1497.25,1098.75,1440.125,1331.25,1616.625,2288,2366.25,2549.75,2697,1100.125,40.67,39.08
0.4,1497.25,1098.875,1440.25,1331.375,1616.625,2288,2366.25,2549.875,2697,1100.25,40.67,39.02
0.5,1497.375,1099,1440.125,1331.375,1616.625,2287.875,2366.25,2550,2697,1100.25,40.7,39.01
0.6,1497.375,1099,1440.125,1331.375,1616.625,2287.875,2366.25,2550,2697,1100.25,40.67,39.06
0.7,1497.375,1099,1440.125,1331.5,1616.625,2287.875,2366.25,2550.125,2697,1100.25,40.68,39.02
0.8,1497.5,1099,1440.125,1331.5,1616.625,2287.75,2366.125,2550.25,2697,1100.375,40.67,39.05
0.9,1497.5,1099,1440.125,1331.5,1616.5,2287.75,2366.25,2550.375,2697,1100.375,40.7,39.03
1.0,1497.625,1099.125,1440.125,1331.5,1616.625,2287.75,2366.125,2550.5,2697,1100.375,40.67,39.08
1.1,1497.625,1099.125,1440.125,1331.5,1616.625,2287.75,2366.125,2550.625,2697.125,1100.375,40.7,39.04
1.2,1497.625,1099.125,1440.125,1331.625,1616.5,2287.625,2366.125,2550.75,2697,1100.5,40.68,39.02
1.3,1497.625,1099.125,1440.125,1331.625,1616.5,2287.625,2366.125,2550.875,2697,1100.5,40.68,39.04
1.4,1497.75,1099.125,1440.125,1331.625,1616.5,2287.625,2366.125,2551,2697.125,1100.625,40.66,39.05
1.5,1497.75,1099.25,1440.125,1331.625,1616.5,2287.5,2366.125,2551.125,2697,1100.625,40.68,39.04
1.6,1497.75,1099.25,1440.125,1331.625,1616.5,2287.5,2366.125,2551.125,2697.125,1100.625,40.68,39.04
1.7,1497.875,1099.25,1440.125,1331.625,1616.5,2287.5,2366,2551.25,2697.125,1100.625,40.67,39.04
1.8,1497.875,1099.25,1440.125,1331.625,1616.5,2287.5,2366.125,2551.375,2697.125,1100.75,40.68,39.04
1.9,1498,1099.25,1440.125,1331.75,1616.5,2287.5,2366.125,2551.5,2697.125,1100.75,40.71,39.08
2.0,1498,1099.375,1440.125,1331.75,1616.375,2287.375,2366,2551.625,2697.25,1100.75,40.7,39.05
2.1,1498,1099.375,1440.125,1331.75,1616.5,2287.5,2366,2551.75,2697.125,1100.75,40.68,39.02
2.2,1498,1099.25,1440.125,1331.75,1616.5,2287.5,2366,2551.75,2697.125,1100.75,40.7,39.01
2.3,1498.125,1099.375,1440.125,1331.75,1616.375,2287.375,2366,2551.875,2697.125,1100.875,40.7,39.04
2.4,1498.125,1099.375,1440.125,1331.75,1616.375,2287.375,2366.125,2552,2697.125,1100.875,40.68,39.02
2.5,1498.125,1099.375,1440.125,1331.75,1616.375,2287.375,2366,2552,2697.125,1100.875,40.71,39.05
2.6,1498.25,1099.375,1440.125,1331.75,1616.375,2287.375,2366,2552.125,2697.25,1101,40.68,39.01
2.7,1498.25,1099.375,1440,1331.875,1616.375,2287.25,2366,2552.25,2697.25,1101,40.7,39.03
2.8,1498.25,1099.5,1440.125,1331.75,1616.375,2287.25,2366,2552.375,2697.25,1101,40.7,39.03
2.9,1498.25,1099.375,1440.125,1331.875,1616.375,2287.25,2365.875,2552.5,2697.25,1101.125,40.67,39.01
3.0,1498.25,1099.375,1440.125,1331.875,1616.25,2287.25,2365.875,2552.5,2697.25,1101.125,40.7,39
3.1,1498.25,1099.5,1440.125,1331.875,1616.375,2287.25,2365.875,2552.625,2697.25,1101.125,40.71,39.03
3.2,1498.25,1099.375,1440,1331.875,1616.25,2287.25,2365.875,2552.75,2697.25,1101.125,40.7,39.03
3.3,1498.375,1099.375,1440.125,1331.875,1616.25,2287.25,2365.875,2552.875,2697.25,1101.25,40.7,39.04
3.4,1498.375,1099.375,1440,1331.875,1616.25,2287.125,2365.875,2552.875,2697.25,1101.25,40.71,39
3.5,1498.375,1099.375,1440.125,1331.875,1616.25,2287.125,2366,2553,2697.25,1101.25,40.7,39.03
3.6,1498.5,1099.375,1440,1331.875,1616.25,2287.125,2365.75,2553.125,2697.25,1101.25,40.71,39.01
3.7,1498.5,1099.375,1440.125,1331.875,1616.25,2287.125,2365.875,2553.125,2697.125,1101.375,40.7,38.95
3.8,1498.5,1099.375,1440,1332,1616.125,2287.125,2365.75,2553.25,2697.25,1101.375,40.7,39.01
3.9,1498.5,1099.375,1440,1332,1616.125,2287,2365.625,2553.375,2697.25,1101.25,40.71,39.05
4.0,1498.5,1099.375,1440,1332,1616.125,2287,2365.75,2553.375,2697.25,1101.375,40.71,38.98
4.1,1498.625,1099.375,1440,1332,1616.125,2287,2365.75,2553.5,2697.25,1101.375,40.73,39.03
4.2,1498.625,1099.375,1440,1332,1616.125,2287,2365.75,2553.625,2697.25,1101.375,40.7,39
4.3,1498.625,1099.375,1440,1332,1616.125,2287,2365.625,2553.625,2697.25,1101.375,40.71,38.94
4.4,1498.625,1099.25,1440,1332,1616.125,2287,2365.75,2553.75,2697.25,1101.375,40.68,38.98
4.5,1498.625,1099.25,1440,1332,1616.125,2286.875,2365.625,2553.875,2697.25,1101.375,40.68,38.96
4.6,1498.625,1099.25,1440.125,1332,1616.125,2286.875,2365.75,2553.875,2697.25,1101.375,40.7,39.01
4.7,1498.75,1099.25,1440,1332,1616,2286.875,2365.625,2554,2697.25,1101.375,40.71,38.97
4.8,1498.75,1099.25,1440,1332,1616,2286.875,2365.625,2554.125,2697.25,1101.375,40.71,38.98
4.9,1498.75,1099.125,1440,1332,1616,2286.75,2365.625,2554.125,2697.25,1101.5,40.71,38.98
5.0,1498.75,1099.125,1440,1332,1616,2286.75,2365.625,2554.125,2697.25,1101.375,40.71,38.98
5.1,1498.875,1099.125,1439.875,1331.875,1616,2286.75,2365.625,2554.25,2697.25,1101.375,40.7,38.98
5.2,1498.875,1099.125,1439.875,1331.875,1615.875,2286.75,2365.625,2554.25,2697.25,1101.375,40.7,39.01
5.3,1498.875,1099.125,1439.75,1331.75,1616,2286.75,2365.625,2554.375,2697.375,1101.375,40.68,38.99
5.4,1498.875,1099.125,1439.75,1331.75,1616,2286.75,2365.5,2554.375,2697.875,1101.375,40.71,39.04
5.5,1499,1099.125,1439.75,1331.75,1616,2286.75,2365.5,2554.5,2698.625,1101.375,40.7,38.95
5.6,1499,1099.125,1439.625,1331.75,1616,2286.875,2365.75,2554.5,2699.625,1101.375,40.73,38.97
5.7,1499,1099.25,1439.625,1331.75,1616,2287.125,2365.875,2554.5,2700.75,1101.5,40.68,38.95
5.8,1499.125,1099.375,1439.5,1331.625,1616.125,2287.625,2366.375,2554.625,2702,1101.625,40.71,38.95
5.9,1499.125,1099.625,1439.5,1331.75,1616.25,2288.375,2367,2554.75,2703.5,1102.125,40.7,38.98
6.0,1499.25,1100.25,1439.5,1331.875,1616.375,2289.375,2367.75,2554.875,2704.875,1102.625,40.71,38.92
6.1,1499.25,1101,1439.5,1331.875,1616.625,2290.875,2368.875,2555.125,2706.375,1103.375,40.68,38.96
6.2,1499.375,1102.125,1439.5,1332.125,1617,2292.75,2370.125,2555.375,2708.375,1104.375,40.7,38.94
6.3,1499.5,1103.625,1439.5,1332.5,1617.375,2294.75,2371.75,2555.75,2710.5,1105.75,40.71,38.94
6.4,1499.625,1105.5,1439.5,1332.875,1618,2297.375,2373.375,2556.25,2712.5,1107.125,40.7,38.95
6.5,1499.875,1107.75,1439.5,1333.375,1618.625,2300.25,2375.25,2556.875,2714.625,1108.875,40.71,38.92
6.6,1500,1110.25,1439.5,1333.875,1619.5,2303.25,2377.125,2557.625,2716.375,1110.875,40.73,38.97
6.7,1500.375,1113.125,1439.5,1334.5,1620.375,2306.75,2379.125,2558.5,2718.25,1113.125,40.7,38.98
