time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1445.75,1043.125,1433.375,1277.125,1608.375,2282.625,2364,2443,2673.5,1099,40.86,38.36
0.1,1445.75,1043.125,1433.5,1277.125,1608.25,2282.625,2364.125,2442.875,2673.5,1098.875,40.87,38.33
0.2,1445.75,1043.125,1433.5,1277.125,1608.25,2282.625,2364.125,2442.875,2673.5,1098.875,40.88,38.37
0.3,1445.75,1043.125,1433.5,1277,1608.25,2282.625,2364,2442.75,2673.5,1098.75,40.88,38.36
0.4,1445.75,1043,1433.5,1277,1608.25,2282.625,2364,2442.625,2673.375,1098.625,40.9,38.36
0.5,1445.625,1043,1433.5,1276.875,1608.25,2282.625,2364,2442.625,2673.375,1098.625,40.87,38.37
0.6,1445.625,1042.875,1433.5,1276.875,1608.25,2282.625,2364,2442.5,2673.375,1098.5,40.9,38.36
0.7,1445.625,1042.875,1433.5,1276.875,1608.25,2282.625,2364,2442.375,2673.25,1098.5,40.87,38.36
0.8,1445.5,1042.75,1433.375,1276.875,1608.25,2282.625,2364,2442.375,2673.25,1098.375,40.87,38.36
0.9,1445.5,1042.75,1433.375,1276.875,1608.25,2282.625,2364,2442.25,2673.25,1098.25,40.9,38.39
1.0,1445.5,1042.75,1433.375,1276.75,1608.25,2282.625,2364,2442.125,2673.125,1098.25,40.9,38.36
1.1,1445.5,1042.75,1433.375,1276.75,1608.25,2282.5,2364,2442,2673.125,1098.125,40.9,38.36
1.2,1445.375,1042.75,1433.375,1276.75,1608.25,2282.625,2364,2441.875,2673,1098.125,40.91,38.35
1.3,1445.375,1042.625,1433.375,1276.625,1608.25,2282.625,2364,2441.875,2673,1098,40.9,38.33
1.4,1445.375,1042.625,1433.375,1276.625,1608.125,2282.5,2364,2441.75,2673,1098,40.88,38.34
1.5,1445.375,1042.625,1433.375,1276.625,1608.125,2282.625,2364,2441.625,2673,1097.875,40.91,38.35
1.6,1445.25,1042.625,1433.375,1276.5,1608.25,2282.5,2364,2441.625,2673,1097.75,40.9,38.33
1.7,1445.375,1042.5,1433.375,1276.5,1608.125,2282.5,2363.875,2441.5,2672.875,1097.75,40.88,38.36
1.8,1445.25,1042.5,1433.375,1276.5,1608.125,2282.375,2363.875,2441.375,2672.875,1097.625,40.9,38.34
1.9,1445.25,1042.5,1433.375,1276.375,1608.125,2282.375,2364,2441.25,2672.75,1097.625,40.9,38.31
2.0,1445.125,1042.375,1433.375,1276.5,1608.125,2282.375,2363.875,2441.25,2672.75,1097.5,40.9,38.31
2.1,1445.125,1042.375,1433.25,1276.375,1608.125,2282.5,2364,2441.125,2672.75,1097.375,40.9,38.27
2.2,1445.125,1042.375,1433.375,1276.5,1608.125,2282.375,2363.875,2441,2672.625,1097.375,40.91,38.36
2.3,1445.125,1042.25,1433.375,1276.375,1608.125,2282.375,2363.875,2440.875,2672.625,1097.375,40.9,38.36
2.4,1445,1042.125,1433.375,1276.25,1608.125,2282.375,2363.875,2440.875,2672.625,1097.25,40.9,38.34
2.5,1445,1042.125,1433.375,1276.25,1608.125,2282.375,2363.875,2440.75,2672.5,1097.125,40.9,38.34
2.6,1445,1042.125,1433.375,1276.25,1608.125,2282.25,2363.875,2440.625,2672.5,1097.125,40.9,38.33
2.7,1444.875,1042,1433.375,1276.25,1608,2282.375,2363.875,2440.625,2672.375,1097,40.88,38.37
