time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1451.625,1108.75,1427.75,1283.875,1612.125,2286.625,2366.125,2442.625,2685.125,1185.75,41.07,38.08
0.1,1451.625,1108.75,1427.75,1283.875,1612.125,2286.75,2366.125,2442.625,2685.125,1185.875,41.02,38.07
0.2,1451.625,1108.75,1427.75,1283.875,1612.125,2286.75,2366.125,2442.75,2685.125,1185.75,41.05,38.05
0.3,1451.75,1108.75,1427.75,1283.875,1612.125,2286.875,2366.25,2442.75,2685,1185.875,41.07,38.04
0.4,1451.75,1108.625,1427.75,1283.875,1612.125,2286.875,2366.125,2442.75,2685,1185.875,41.05,38.08
0.5,1451.75,1108.75,1427.75,1283.875,1612.125,2286.875,2366.125,2442.75,2685,1185.875,41.07,38.07
0.6,1451.625,1108.625,1427.75,1283.875,1612.125,2286.875,2366.125,2442.75,2685,1185.875,41.07,38.11
0.7,1451.625,1108.625,1427.625,1283.875,1612.25,2286.875,2366.125,2442.75,2684.875,1185.875,41.05,38.08
0.8,1451.75,1108.625,1427.75,1284,1612.25,2286.875,2366.125,2442.875,2684.875,1185.875,41.07,38.03
0.9,1451.75,1108.625,1427.625,1284,1612.25,2286.875,2366.125,2442.875,2684.875,1185.875,41.05,38.1
1.0,1451.75,1108.625,1427.625,1284,1612.25,2286.875,2366.125,2442.875,2684.875,1186,41.04,38.04
1.1,1451.75,1108.625,1427.625,1284,1612.25,2286.875,2366.125,2442.875,2684.75,1185.875,41.08,38.04
1.2,1451.75,1108.625,1427.75,1284,1612.125,2286.875,2366.125,2443,2684.75,1185.875,41.08,38.08
1.3,1451.75,1108.625,1427.625,1284,1612.125,2286.75,2366.125,2443,2684.75,1185.875,41.05,38.05
1.4,1451.75,1108.5,1427.625,1284.125,1612.125,2286.75,2366,2443,2684.75,1185.875,41.07,38.07
1.5,1451.875,1108.5,1427.75,1284,1612.125,2286.75,2366,2443,2684.75,1185.875,41.1,38.06
1.6,1451.875,1108.625,1427.625,1284,1612.125,2286.75,2366,2443,2684.625,1185.75,41.08,38.04
1.7,1451.875,1108.625,1427.625,1284.125,1612.125,2286.625,2366,2443,2684.5,1185.875,41.08,38.01
1.8,1451.875,1108.625,1427.75,1284,1612.125,2286.625,2365.875,2443.125,2684.5,1185.875,41.08,38.06
1.9,1451.875,1108.5,1427.75,1284.125,1612.125,2286.5,2366,2443.125,2684.5,1185.875,41.07,38.04
2.0,1452,1108.5,1427.625,1284.125,1612.125,2286.5,2365.875,2443.125,2684.5,1185.75,41.08,38.1
2.1,1452,1108.5,1427.625,1284.125,1612.125,2286.375,2365.875,2443.125,2684.5,1185.875,41.08,38.06
2.2,1452,1108.5,1427.75,1284.125,1612.125,2286.375,2365.875,2443.25,2684.5,1185.75,41.08,38.06
2.3,1452,1108.5,1427.625,1284.125,1612,2286.375,2365.75,2443.25,2684.375,1185.75,41.07,38.1
2.4,1451.875,1108.5,1427.75,1284.125,1612,2286.375,2365.75,2443.25,2684.375,1185.75,41.07,38.06
2.5,1451.875,1108.5,1427.75,1284.125,1612,2286.25,2365.75,2443.25,2684.375,1185.625,41.08,38.1
2.6,1451.875,1108.5,1427.75,1284.25,1612,2286.125,2365.875,2443.25,2684.25,1185.75,41.07,38.04
2.7,1451.875,1108.5,1427.625,1284.25,1612,2286.125,2365.625,2443.25,2684.375,1185.625,41.07,38.06
2.8,1451.875,1108.5,1427.75,1284.125,1612,2286.125,2365.625,2443.375,2684.25,1185.625,41.07,38.07
2.9,1452,1108.5,1427.75,1284.125,1611.875,2286,2365.625,2443.375,2684.25,1185.625,41.07,38.1
3.0,1452,1108.5,1427.75,1284.25,1611.875,2286,2365.625,2443.375,2684.25,1185.625,41.08,38.04
3.1,1452,1108.375,1427.75,1284.25,1611.875,2285.875,2365.5,2443.375,2684.25,1185.625,41.08,38.07
3.2,1452,1108.375,1427.625,1284.25,1611.875,2285.875,2365.625,2443.375,2684.125,1185.625,41.05,38.05
3.3,1452,1108.375,1427.625,1284.25,1611.875,2285.875,2365.5,2443.5,2684.125,1185.5,41.07,38.07
3.4,1452,1108.375,1427.625,1284.125,1611.875,2285.875,2365.5,2443.375,2684.125,1185.625,41.08,38.06
3.5,1452,1108.375,1427.625,1284.25,1611.875,2285.875,2365.375,2443.5,2684,1185.5,41.08,38.06
3.6,1452.125,1108.375,1427.625,1284.25,1611.75,2285.75,2365.375,2443.5,2684.125,1185.5,41.08,38.06
