time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1404.5,1179.5,1499.875,1250,1590.125,2243.5,2342.625,2423.25,2565.5,1236.5,40.93,36.37
0.1,1404.5,1179.5,1499.875,1250,1590.125,2243.5,2342.625,2423.25,2565.625,1236.5,40.93,36.38
0.2,1404.5,1179.625,1499.875,1250.125,1590.125,2243.5,2342.625,2423.25,2565.625,1236.625,40.91,36.35
0.3,1404.5,1179.625,1499.75,1250.125,1590.125,2243.5,2342.625,2423.375,2565.625,1236.75,40.9,36.33
0.4,1404.5,1179.625,1499.75,1250.125,1590.125,2243.5,2342.625,2423.375,2565.625,1236.75,40.93,36.34
0.5,1404.5,1179.75,1499.75,1250.125,1590.125,2243.5,2342.625,2423.375,2565.625,1236.75,40.94,36.34
0.6,1404.5,1179.75,1499.75,1250.125,1590.125,2243.5,2342.625,2423.5,2565.625,1236.875,40.93,36.32
0.7,1404.5,1179.625,1499.75,1250.125,1590.125,2243.5,2342.625,2423.5,2565.75,1236.875,40.94,36.38
0.8,1404.5,1179.75,1499.75,1250.125,1590.125,2243.5,2342.625,2423.5,2565.75,1237,40.94,36.34
0.9,1404.5,1179.75,1499.75,1250.125,1590.125,2243.5,2342.75,2423.5,2565.625,1237,40.9,36.32
1.0,1404.625,1179.875,1499.75,1250.125,1590.125,2243.5,2342.625,2423.625,2565.75,1237,40.96,36.33
1.1,1404.625,1179.875,1499.75,1250.25,1590.125,2243.5,2342.625,2423.625,2565.75,1237.125,40.94,36.34
1.2,1404.625,1179.875,1499.75,1250.125,1590.125,2243.5,2342.75,2423.625,2565.75,1237.125,40.91,36.38
1.3,1404.625,1179.875,1499.75,1250.25,1590.125,2243.5,2342.625,2423.625,2565.75,1237.25,40.96,36.33
1.4,1404.625,1180,1499.75,1250.25,1590.125,2243.5,2342.625,2423.75,2565.875,1237.25,40.93,36.35
1.5,1404.625,1180,1499.75,1250.25,1590.25,2243.625,2342.625,2423.75,2565.875,1237.375,40.94,36.36
1.6,1404.625,1180,1499.75,1250.25,1590.125,2243.625,2342.75,2423.875,2565.75,1237.375,40.94,36.36
1.7,1404.625,1180,1499.75,1250.25,1590.125,2243.5,2342.75,2423.875,2565.75,1237.5,40.94,36.34
