time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1412.375,1200.25,1479.375,1255.125,1594.25,2249.625,2347,2419.375,2599,1326.75,41.32,35.73
0.1,1412.375,1200.375,1479.375,1255.125,1594.375,2249.625,2346.875,2419.375,2598.875,1326.875,41.34,35.68
0.2,1412.375,1200.375,1479.375,1255.125,1594.375,2249.625,2347,2419.375,2599,1326.75,41.32,35.73
0.3,1412.5,1200.375,1479.25,1255.125,1594.375,2249.625,2347,2419.375,2599,1326.875,41.34,35.73
0.4,1412.5,1200.5,1479.25,1255,1594.375,2249.625,2347,2419.375,2598.875,1326.75,41.35,35.71
0.5,1412.5,1200.5,1479.25,1255,1594.375,2249.625,2347,2419.375,2598.875,1326.875,41.34,35.69
0.6,1412.5,1200.5,1479.125,1255,1594.375,2249.625,2347,2419.375,2598.875,1326.875,41.32,35.69
0.7,1412.5,1200.5,1479.125,1255,1594.375,2249.5,2346.875,2419.375,2598.875,1326.875,41.34,35.71
0.8,1412.5,1200.5,1479.125,1254.875,1594.375,2249.5,2347,2419.375,2598.875,1326.875,41.34,35.71
0.9,1412.625,1200.625,1479,1254.875,1594.375,2249.5,2347,2419.375,2598.875,1326.875,41.34,35.69
1.0,1412.625,1200.625,1479,1254.875,1594.375,2249.5,2346.875,2419.375,2598.875,1326.875,41.35,35.68
1.1,1412.5,1200.625,1479,1254.875,1594.375,2249.5,2346.875,2419.5,2598.875,1326.875,41.34,35.72
1.2,1412.625,1200.625,1479,1254.75,1594.375,2249.5,2346.875,2419.375,2598.875,1326.875,41.34,35.72
1.3,1412.625,1200.75,1479,1254.75,1594.375,2249.5,2346.875,2419.5,2598.875,1326.875,41.34,35.72
1.4,1412.625,1200.75,1479,1254.875,1594.375,2249.375,2346.875,2419.5,2598.875,1326.875,41.35,35.66
1.5,1412.625,1200.875,1479,1254.75,1594.375,2249.5,2346.875,2419.5,2598.875,1326.875,41.37,35.66
1.6,1412.625,1200.875,1478.875,1254.75,1594.375,2249.375,2346.875,2419.5,2598.75,1326.875,41.34,35.73
1.7,1412.625,1200.875,1478.875,1254.75,1594.375,2249.375,2346.875,2419.5,2598.75,1326.875,41.34,35.71
