time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1302.5,995.75,1431.75,1147.75,1594.5,2276.625,2361.25,2005.75,2534.375,954,41.28,36.93
0.1,1302.5,995.75,1431.75,1147.875,1594.625,2276.625,2361.25,2005.75,2534.375,954,41.25,36.95
0.2,1302.5,995.875,1431.75,1147.875,1594.5,2276.625,2361.25,2005.625,2534.375,954,41.25,36.94
0.3,1302.5,995.875,1431.75,1147.875,1594.5,2276.625,2361.25,2005.625,2534.375,953.875,41.27,36.95
0.4,1302.5,995.875,1431.75,1147.875,1594.625,2276.5,2361.25,2005.75,2534.375,953.875,41.25,36.97
0.5,1302.5,995.875,1431.75,1147.875,1594.625,2276.5,2361.25,2005.625,2534.25,953.875,41.31,36.93
0.6,1302.5,995.875,1431.75,1147.875,1594.625,2276.625,2361.25,2005.625,2534.375,953.875,41.28,36.94
0.7,1302.625,995.875,1431.75,1147.875,1594.625,2276.625,2361.25,2005.625,2534.375,953.75,41.25,36.89
0.8,1302.625,995.875,1431.75,1147.875,1594.625,2276.625,2361.25,2005.75,2534.375,953.75,41.28,36.96
0.9,1302.625,996,1431.75,1147.875,1594.625,2276.5,2361.25,2005.625,2534.375,953.75,41.27,36.98
1.0,1302.625,995.875,1431.75,1147.875,1594.625,2276.5,2361.125,2005.75,2534.375,953.625,41.27,36.97
1.1,1302.625,996,1431.75,1147.875,1594.625,2276.5,2361.125,2005.625,2534.375,953.625,41.27,36.91
1.2,1302.625,996,1431.75,1147.875,1594.75,2276.5,2361.25,2005.625,2534.25,953.625,41.28,36.93
1.3,1302.625,996,1431.75,1147.875,1594.625,2276.5,2361.125,2005.625,2534.375,953.625,41.27,36.92
1.4,1302.75,996,1431.75,1148,1594.625,2276.5,2361.125,2005.625,2534.25,953.5,41.3,36.94
1.5,1302.625,996,1431.75,1147.875,1594.625,2276.5,2361.25,2005.625,2534.375,953.5,41.3,36.91
1.6,1302.75,996,1431.75,1147.875,1594.625,2276.5,2361.25,2005.625,2534.25,953.5,41.28,36.93
1.7,1302.75,996,1431.75,1147.875,1594.75,2276.375,2361.125,2005.625,2534.375,953.5,41.27,36.94
1.8,1302.75,996.125,1431.75,1147.875,1594.625,2276.5,2361.125,2005.625,2534.375,953.375,41.28,36.9
1.9,1302.75,996.125,1431.75,1147.875,1594.75,2276.375,2361.125,2005.625,2534.375,953.5,41.3,36.98
2.0,1302.75,996.125,1431.75,1147.875,1594.75,2276.375,2361.125,2005.625,2534.375,953.25,41.3,36.98
2.1,1302.75,996.125,1431.75,1147.875,1594.75,2276.375,2361.125,2005.625,2534.375,953.375,41.3,36.96
2.2,1302.75,996.125,1431.625,1148,1594.75,2276.375,2361.125,2005.625,2534.375,953.25,41.28,36.93
2.3,1302.75,996.125,1431.75,1147.875,1594.75,2276.375,2361,2005.625,2534.375,953.25,41.3,36.96
2.4,1302.75,996.125,1431.625,1147.875,1594.75,2276.375,2361,2005.625,2534.375,953.25,41.28,36.93
2.5,1302.75,996.125,1431.625,1147.875,1594.75,2276.375,2361,2005.625,2534.375,953.25,41.3,36.94
2.6,1302.75,996.125,1431.625,1147.875,1594.625,2276.375,2361.125,2005.625,2534.375,953.125,41.28,36.94
2.7,1302.75,996.125,1431.625,1147.875,1594.625,2276.25,2361,2005.625,2534.25,953.125,41.3,36.91
2.8,1302.75,996.125,1431.625,1147.875,1594.75,2276.25,2361,2005.625,2534.375,953.125,41.28,36.91
2.9,1302.75,996.125,1431.625,1147.875,1594.625,2276.25,2361.125,2005.625,2534.25,953,41.28,36.94
3.0,1302.75,996.125,1431.75,1147.875,1594.75,2276.25,2361,2005.625,2534.25,953,41.28,36.94
3.1,1302.75,996.125,1431.625,1147.875,1594.625,2276.125,2361,2005.5,2534.25,953,41.3,36.88
3.2,1302.875,996,1431.625,1147.875,1594.625,2276.25,2361,2005.5,2534.375,953,41.28,36.93
3.3,1302.875,996.125,1431.625,1147.875,1594.75,2276.125,2361,2005.5,2534.25,952.875,41.28,36.93
3.4,1302.75,996.125,1431.625,1147.875,1594.75,2276.125,2361.125,2005.5,2534.375,952.875,41.3,36.85
3.5,1302.75,996.125,1431.625,1147.875,1594.75,2276.125,2361,2005.5,2534.375,952.875,41.31,36.9
3.6,1302.75,996.125,1431.625,1147.875,1594.625,2276.25,2361,2005.5,2534.375,952.875,41.28,36.9
3.7,1302.75,996,1431.625,1147.875,1594.625,2276.125,2361,2005.5,2534.375,952.875,41.3,36.9
3.8,1302.875,996,1431.625,1147.875,1594.625,2276.125,2360.875,2005.5,2534.25,952.75,41.28,36.93
3.9,1302.75,996,1431.625,1148,1594.625,2276.125,2361,2005.375,2534.25,952.75,41.28,36.91
4.0,1302.875,996.125,1431.625,1147.875,1594.625,2276.125,2360.875,2005.375,2534.25,952.75,41.32,36.94
4.1,1302.75,996,1431.625,1148,1594.625,2276.125,2360.875,2005.375,2534.25,952.625,41.3,36.9
4.2,1302.75,996,1431.625,1148,1594.625,2276.125,2361,2005.375,2534.25,952.625,41.28,36.9
4.3,1302.75,996,1431.625,1148,1594.5,2276.125,2361,2005.375,2534.25,952.625,41.31,36.93
4.4,1302.75,996,1431.625,1148,1594.625,2276.125,2361,2005.375,2534.25,952.625,41.28,36.88
4.5,1302.75,996,1431.625,1148,1594.625,2276.125,2361,2005.375,2534.25,952.5,41.31,36.93
4.6,1302.75,996,1431.625,1148,1594.5,2276.125,2360.875,2005.375,2534.375,952.5,41.3,36.91
4.7,1302.75,996,1431.625,1148,1594.625,2276.125,2360.875,2005.375,2534.25,952.5,41.3,36.87
4.8,1302.75,996,1431.625,1148,1594.625,2276.125,2360.875,2005.25,2534.25,952.5,41.27,36.9
4.9,1302.75,996,1431.625,1148,1594.5,2276.125,2360.875,2005.25,2534.25,952.375,41.28,36.91
5.0,1302.75,996,1431.625,1148,1594.625,2276,2360.875,2005.25,2534.5,952.5,41.28,36.87
5.1,1302.875,996,1431.625,1147.875,1594.625,2276,2360.875,2005.25,2534.5,952.5,41.3,36.9
5.2,1302.875,996,1431.5,1147.875,1594.5,2276,2360.875,2005.25,2534.625,952.375,41.31,36.91
5.3,1302.875,996,1431.375,1147.875,1594.625,2276,2360.875,2005.25,2535.125,952.25,41.3,36.85
5.4,1302.875,996,1431.375,1147.75,1594.625,2276,2361,2005.25,2535.75,952.25,41.31,36.9
5.5,1303,996.125,1431.25,1147.75,1594.625,2276.25,2361,2005.25,2536.625,952.25,41.3,36.88
5.6,1303,996.25,1431.25,1147.75,1594.75,2276.5,2361.375,2005.25,2537.375,952.5,41.3,36.88
5.7,1303,996.5,1431.25,1147.875,1594.875,2277.125,2361.75,2005.375,2538.5,952.75,41.3,36.9
5.8,1303.125,996.875,1431.25,1148.125,1595.125,2278,2362.25,2005.375,2540.125,953.125,41.3,36.87
5.9,1303.25,997.875,1431.125,1148.375,1595.5,2279.375,2363.125,2005.625,2542,953.875,41.28,36.9
6.0,1303.375,999.25,1431.125,1149,1596,2281,2364,2006,2544,954.875,41.31,36.9
6.1,1303.625,1001.25,1431.125,1149.625,1596.75,2283.125,2365.375,2006.625,2546.5,956.25,41.31,36.87
6.2,1304.125,1004.125,1431.125,1150.625,1597.625,2285.5,2366.75,2007.5,2549.125,958.125,41.31,36.88
6.3,1304.625,1007.5,1431.25,1151.75,1598.625,2288.375,2368.125,2008.75,2551.625,960.625,41.28,36.84
6.4,1305.25,1011.875,1431.375,1153.125,1600,2291.625,2369.75,2010.375,2554.125,963.25,41.27,36.9
6.5,1306.125,1017,1431.5,1154.875,1601.25,2295.125,2371.5,2012.375,2556.875,966.25,41.32,36.94
6.6,1307,1022.875,1431.75,1156.875,1602.875,2298.875,2373.375,2014.875,2559.5,969.625,41.28,36.91
6.7,1308.125,1029.5,1432,1159,1604.625,2302.875,2375.25,2017.625,2562.25,973.125,41.31,36.88
6.8,1309.5,1036.625,1432.375,1161.625,1606.5,2307,2377.125,2020.875,2565.125,977,41.28,36.91
6.9,1311.125,1044.625,1432.625,1164.375,1608.5,2311,2379,2024.5,2568.125,981.25,41.3,36.91
7.0,1312.875,1053.375,1432.875,1167.5,1610.75,2315.25,2380.875,2028.375,2571.25,985.875,41.3,36.93
7.1,1314.875,1062.625,1433.375,1170.875,1613,2319.25,2382.625,2032.75,2574.375,990.625,41.3,36.91
7.2,1317,1072.625,1433.75,1174.5,1615.5,2323.375,2384.5,2037.625,2577.5,995.75,41.3,36.91
7.3,1319.25,1083.25,1434.25,1178.375,1618,2327.375,2386.375,2042.625,2580.625,1001.125,41.31,36.97
7.4,1321.75,1094.375,1434.625,1182.5,1620.625,2331.25,2388,2048.125,2583.625,1006.75,41.3,36.97
7.5,1324.375,1106,1435.125,1187,1623.375,2335.25,2389.875,2053.875,2586.75,1012.625,41.27,36.97
7.6,1327.25,1118.25,1435.625,1191.625,1626.25,2339,2391.625,2060,2589.875,1018.75,41.3,37
7.7,1330.375,1130.625,1436.125,1196.5,1629.125,2342.875,2393.25,2066.375,2593.125,1025,41.31,37.06
7.8,1333.5,1143.5,1436.625,1201.75,1632,2346.375,2395,2073.125,2596.5,1031.25,41.3,37.1
7.9,1336.875,1156.625,1437.125,1207,1635.125,2350,2396.625,2080.125,2599.875,1037.75,41.3,37.13
8.0,1340.25,1169.875,1437.625,1212.625,1638.125,2353.375,2398.125,2087.375,2603,1044.375,41.28,37.11
8.1,1343.875,1183.625,1438.25,1218.375,1641.25,2356.75,2399.75,2094.875,2606.5,1051.125,41.28,37.19
8.2,1347.75,1197.625,1438.75,1224.25,1644.375,2359.875,2401.25,2102.625,2609.75,1058,41.28,37.23
8.3,1351.625,1211.625,1439.25,1230.375,1647.625,2363,2402.625,2110.625,2612.875,1065,41.27,37.27
8.4,1355.625,1226,1439.875,1236.625,1650.75,2366,2404.125,2118.75,2616,1072.375,41.28,37.35
8.5,1359.75,1240.5,1440.375,1242.875,1653.875,2369,2405.5,2127.25,2619.375,1079.75,41.3,37.38
8.6,1364,1255,1440.875,1249.375,1657.125,2371.75,2406.75,2135.75,2622.5,1087.25,41.31,37.48
8.7,1368.5,1269.625,1441.5,1256,1660.25,2374.5,2408.125,2144.625,2625.75,1094.75,41.31,37.48
8.8,1373.125,1284.25,1442,1262.625,1663.5,2377.125,2409.375,2153.625,2629.125,1102.375,41.3,37.55
8.9,1377.75,1298.875,1442.5,1269.375,1666.625,2379.75,2410.5,2162.625,2632.375,1109.875,41.27,37.64
9.0,1382.5,1313.5,1443,1276.375,1669.75,2382.125,2411.75,2171.75,2635.625,1117.375,41.27,37.71
9.1,1387.375,1328.25,1443.625,1283.25,1673,2384.5,2412.875,2181.25,2638.875,1124.875,41.28,37.77
9.2,1392.25,1342.75,1444.125,1290.25,1676.125,2386.625,2414,2190.625,2642.125,1132.5,41.3,37.86
9.3,1397.25,1357.375,1444.625,1297.375,1679.125,2388.875,2415.125,2200.25,2645.375,1140.25,41.28,37.9
9.4,1402.25,1371.875,1445.125,1304.375,1682.25,2390.875,2416.125,2209.875,2648.5,1148,41.28,38.02
9.5,1407.375,1386.125,1445.75,1311.5,1685.375,2392.875,2417.125,2219.5,2651.75,1155.75,41.28,38.06
9.6,1412.5,1400.5,1446.25,1318.75,1688.25,2394.75,2418.125,2229.375,2654.875,1163.625,41.28,38.1
9.7,1417.75,1414.5,1446.75,1325.875,1691.25,2396.625,2419.125,2239.25,2657.875,1171.25,41.3,38.22
9.8,1423.125,1428.625,1447.25,1333,1694.25,2398.375,2420.125,2249.125,2660.875,1178.875,41.3,38.32
9.9,1428.375,1442.625,1447.75,1340.25,1697.125,2400.125,2420.875,2259.25,2664,1186.625,41.28,38.41
10.0,1433.75,1456.25,1448.25,1347.25,1700,2401.75,2421.875,2269.25,2666.875,1194.25,41.28,38.46
10.1,1439.25,1469.75,1448.75,1354.375,1702.875,2403.375,2422.875,2279.25,2669.875,1201.875,41.28,38.56
10.2,1444.625,1483.125,1449.125,1361.5,1705.75,2404.875,2423.625,2289.5,2673,1209.375,41.28,38.64
10.3,1450.125,1496.25,1449.625,1368.5,1708.375,2406.375,2424.375,2299.625,2675.875,1217,41.28,38.69
10.4,1455.625,1509.25,1450.125,1375.5,1711.25,2407.75,2425.125,2309.75,2678.875,1224.5,41.27,38.8
10.5,1461.125,1522.125,1450.625,1382.375,1713.875,2409.125,2426,2320,2681.625,1232,41.27,38.9
10.6,1466.5,1534.625,1451,1389.125,1716.5,2410.5,2426.75,2330.125,2684.375,1239.375,41.27,38.99
10.7,1472.125,1547.125,1451.5,1395.875,1719.125,2411.75,2427.375,2340.375,2687.125,1246.875,41.25,39.02
10.8,1477.5,1559.375,1452,1402.5,1721.625,2413,2428.125,2350.5,2689.875,1254.375,41.28,39.11
10.9,1483.125,1571.375,1452.5,1409.125,1724.125,2414.125,2428.75,2360.625,2692.75,1261.5,41.27,39.18
11.0,1488.625,1583.25,1452.875,1415.625,1726.5,2415.375,2429.5,2370.875,2695.375,1268.875,41.3,39.33
11.1,1494.125,1595,1453.375,1422,1728.875,2416.375,2430,2381,2698.25,1275.875,41.27,39.39
11.2,1499.625,1606.375,1453.75,1428.375,1731.25,2417.5,2430.625,2391.125,2700.75,1283,41.28,39.43
11.3,1505.125,1617.75,1454.25,1434.625,1733.5,2418.5,2431.25,2401.125,2703.5,1290,41.31,39.57
11.4,1510.625,1628.75,1454.625,1440.75,1735.75,2419.5,2431.875,2411.25,2706.125,1297,41.28,39.61
11.5,1516,1639.5,1455.125,1447,1738,2420.375,2432.375,2421.125,2708.75,1303.75,41.27,39.68
11.6,1521.375,1650.25,1455.5,1453,1740.125,2421.375,2433,2431.125,2711.25,1310.625,41.3,39.8
11.7,1526.875,1660.75,1455.875,1459,1742.25,2422.25,2433.625,2441.125,2713.875,1317.5,41.3,39.89
11.8,1532.125,1670.875,1456.375,1464.75,1744.25,2423,2434.125,2451,2716.375,1324.25,41.28,39.96
11.9,1537.625,1681,1456.75,1470.625,1746.375,2424,2434.5,2460.75,2718.875,1330.875,41.28,40.04
12.0,1542.875,1690.875,1457.25,1476.25,1748.375,2424.75,2435.125,2470.625,2721.25,1337.5,41.3,40.08
12.1,1548,1700.5,1457.5,1481.875,1750.125,2425.5,2435.625,2480.25,2723.625,1344,41.27,40.13
12.2,1553.25,1710.125,1458,1487.375,1752.125,2426.25,2436.125,2489.875,2726,1350.375,41.3,40.26
12.3,1558.5,1719.375,1458.375,1492.75,1753.875,2427,2436.5,2499.5,2728.5,1356.75,41.25,40.28
12.4,1563.625,1728.375,1458.75,1498,1755.75,2427.75,2437,2509,2730.875,1362.875,41.27,40.4
12.5,1568.75,1737.5,1459.125,1503.25,1757.5,2428.375,2437.5,2518.375,2733.125,1369,41.28,40.48
12.6,1573.75,1746.25,1459.625,1508.375,1759.25,2429,2438,2527.75,2735.5,1375.125,41.3,40.53
12.7,1578.75,1754.75,1460,1513.5,1760.75,2429.625,2438.25,2537,2737.75,1381.25,41.28,40.56
12.8,1583.625,1763.25,1460.375,1518.375,1762.5,2430.25,2438.75,2546.25,2740,1387.25,41.28,40.7
12.9,1588.5,1771.5,1460.75,1523.375,1764,2430.875,2439.125,2555.375,2742.25,1393.125,41.28,40.74
13.0,1593.375,1779.625,1461.25,1528.25,1765.625,2431.5,2439.5,2564.375,2744.375,1399.125,41.27,40.8
13.1,1598.25,1787.625,1461.625,1532.875,1767.125,2432.125,2439.875,2573.5,2746.5,1404.875,41.3,40.85
13.2,1602.875,1795.375,1462,1537.5,1768.625,2432.625,2440.125,2582.25,2748.625,1410.625,41.27,40.93
