time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1310.875,1013.5,1431.625,1155.75,1598.25,2279.625,2363.25,2043.5,2544.625,1019.5,41.58,36.46
0.1,1310.875,1013.375,1431.5,1155.75,1598.25,2279.625,2363.25,2043.5,2544.625,1019.375,41.59,36.48
0.2,1310.875,1013.375,1431.5,1155.75,1598.25,2279.5,2363.25,2043.5,2544.625,1019.375,41.58,36.49
0.3,1310.875,1013.375,1431.625,1155.75,1598.25,2279.625,2363.375,2043.375,2544.625,1019.25,41.59,36.52
0.4,1310.875,1013.375,1431.5,1155.75,1598.25,2279.625,2363.25,2043.5,2544.625,1019.25,41.58,36.5
0.5,1310.875,1013.375,1431.5,1155.75,1598.25,2279.5,2363.25,2043.375,2544.625,1019.125,41.59,36.46
0.6,1310.875,1013.25,1431.5,1155.75,1598.25,2279.5,2363.25,2043.375,2544.625,1019.125,41.61,36.49
0.7,1310.875,1013.375,1431.625,1155.75,1598.25,2279.5,2363.25,2043.375,2544.625,1019,41.59,36.43
0.8,1311,1013.375,1431.5,1155.75,1598.25,2279.5,2363.125,2043.375,2544.625,1019,41.58,36.5
0.9,1311,1013.375,1431.625,1155.75,1598.25,2279.625,2363.25,2043.25,2544.625,1018.875,41.61,36.43
1.0,1310.875,1013.375,1431.5,1155.75,1598.25,2279.5,2363.25,2043.25,2544.625,1018.875,41.61,36.49
1.1,1311,1013.375,1431.625,1155.75,1598.25,2279.5,2363.125,2043.25,2544.75,1018.875,41.58,36.49
1.2,1310.875,1013.375,1431.5,1155.75,1598.25,2279.5,2363.25,2043.25,2544.625,1018.75,41.61,36.44
1.3,1311,1013.375,1431.5,1155.75,1598.25,2279.5,2363.25,2043.25,2544.75,1018.75,41.61,36.49
1.4,1311,1013.25,1431.5,1155.75,1598.125,2279.5,2363.25,2043.25,2544.75,1018.625,41.59,36.48
1.5,1311,1013.375,1431.5,1155.875,1598.25,2279.5,2363.25,2043.125,2544.625,1018.625,41.61,36.44
