time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1255.75,1004.375,1415.5,1104.75,1567.75,2265.875,2342.5,2038.75,2499.375,766.75,41.41,33.69
0.1,1255.75,1004.375,1415.625,1104.75,1567.625,2265.875,2342.375,2038.75,2499.5,766.75,41.42,33.75
0.2,1255.75,1004.375,1415.625,1104.75,1567.75,2265.875,2342.5,2038.75,2499.375,766.75,41.42,33.73
0.3,1255.75,1004.375,1415.625,1104.75,1567.75,2265.875,2342.5,2038.75,2499.5,766.75,41.47,33.76
0.4,1255.75,1004.375,1415.5,1104.75,1567.625,2265.875,2342.5,2038.75,2499.5,766.75,41.42,33.77
0.5,1255.75,1004.375,1415.625,1104.75,1567.625,2265.875,2342.5,2038.75,2499.5,766.75,41.44,33.71
0.6,1255.75,1004.375,1415.625,1104.875,1567.625,2265.875,2342.5,2038.75,2499.375,766.625,41.42,33.77
0.7,1255.75,1004.375,1415.5,1104.875,1567.75,2265.875,2342.5,2038.75,2499.5,766.75,41.42,33.7
0.8,1255.75,1004.375,1415.5,1104.875,1567.625,2265.875,2342.5,2038.75,2499.375,766.75,41.44,33.74
0.9,1255.75,1004.375,1415.5,1104.75,1567.625,2265.875,2342.5,2038.875,2499.5,766.75,41.47,33.76
1.0,1255.75,1004.375,1415.5,1104.75,1567.625,2265.875,2342.375,2038.875,2499.5,766.75,41.45,33.71
1.1,1255.75,1004.25,1415.5,1104.75,1567.625,2265.875,2342.5,2038.75,2499.5,766.75,41.44,33.71
1.2,1255.625,1004.25,1415.5,1104.75,1567.625,2265.875,2342.5,2038.875,2499.5,766.75,41.42,33.72
1.3,1255.625,1004.25,1415.5,1104.75,1567.625,2265.875,2342.375,2038.875,2499.5,766.625,41.45,33.69
1.4,1255.625,1004.25,1415.625,1104.75,1567.625,2265.875,2342.5,2038.875,2499.5,766.75,41.45,33.74
1.5,1255.75,1004.25,1415.625,1104.75,1567.625,2265.875,2342.5,2038.875,2499.5,766.75,41.44,33.71
1.6,1255.75,1004.25,1415.625,1104.75,1567.625,2265.875,2342.5,2038.875,2499.5,766.75,41.45,33.72
1.7,1255.75,1004.25,1415.5,1104.75,1567.625,2265.875,2342.5,2038.875,2499.5,766.75,41.47,33.71
1.8,1255.75,1004.25,1415.625,1104.75,1567.625,2266,2342.5,2038.875,2499.5,766.75,41.47,33.71
1.9,1255.75,1004.25,1415.625,1104.75,1567.625,2265.875,2342.5,2038.875,2499.5,766.75,41.44,33.69
2.0,1255.75,1004.25,1415.5,1104.75,1567.75,2265.875,2342.5,2038.875,2499.5,766.75,41.42,33.7
2.1,1255.75,1004.25,1415.5,1104.75,1567.625,2266,2342.5,2038.875,2499.5,766.625,41.47,33.69
2.2,1255.75,1004.25,1415.5,1104.625,1567.625,2266,2342.5,2038.875,2499.5,766.75,41.47,33.69
2.3,1255.75,1004.125,1415.5,1104.75,1567.625,2266,2342.5,2038.875,2499.5,766.75,41.45,33.68
2.4,1255.75,1004.25,1415.5,1104.625,1567.625,2266,2342.625,2039,2499.5,766.75,41.45,33.69
2.5,1255.75,1004.125,1415.5,1104.75,1567.625,2266,2342.5,2038.875,2499.5,766.75,41.42,33.7
2.6,1255.75,1004.25,1415.5,1104.75,1567.625,2266,2342.5,2038.875,2499.5,766.75,41.48,33.68
2.7,1255.625,1004.125,1415.5,1104.625,1567.625,2265.875,2342.5,2038.875,2499.5,766.75,41.45,33.66
2.8,1255.625,1004.125,1415.5,1104.625,1567.625,2266,2342.5,2038.875,2499.5,766.75,41.48,33.68
2.9,1255.625,1004.125,1415.5,1104.625,1567.625,2266,2342.5,2038.875,2499.375,766.625,41.47,33.66
3.0,1255.625,1004.125,1415.5,1104.625,1567.625,2265.875,2342.5,2038.875,2499.5,766.625,41.47,33.71
3.1,1255.625,1004,1415.5,1104.625,1567.625,2265.875,2342.5,2038.875,2499.5,766.75,41.45,33.66
3.2,1255.625,1004,1415.5,1104.625,1567.5,2265.875,2342.5,2038.875,2499.5,766.75,41.44,33.66
3.3,1255.625,1004,1415.5,1104.625,1567.625,2266,2342.5,2038.875,2499.5,766.625,41.45,33.68
3.4,1255.625,1004,1415.5,1104.625,1567.625,2265.875,2342.5,2038.875,2499.5,766.75,41.49,33.68
3.5,1255.625,1004,1415.5,1104.625,1567.5,2266,2342.5,2038.875,2499.5,766.75,41.48,33.69
3.6,1255.625,1004,1415.5,1104.625,1567.625,2265.875,2342.5,2038.875,2499.375,766.75,41.45,33.63
3.7,1255.625,1004,1415.5,1104.625,1567.5,2265.875,2342.5,2039,2499.375,766.75,41.45,33.6
3.8,1255.625,1004,1415.5,1104.625,1567.5,2265.875,2342.5,2038.875,2499.5,766.75,41.47,33.64
3.9,1255.625,1004,1415.5,1104.625,1567.625,2266,2342.5,2038.875,2499.375,766.625,41.45,33.68
4.0,1255.625,1004,1415.5,1104.625,1567.5,2265.875,2342.5,2039,2499.375,766.625,41.47,33.63
4.1,1255.625,1004,1415.5,1104.625,1567.5,2265.875,2342.5,2039,2499.375,766.625,41.45,33.69
4.2,1255.625,1004,1415.5,1104.625,1567.625,2265.875,2342.5,2039,2499.375,766.625,41.45,33.64
4.3,1255.625,1004,1415.5,1104.625,1567.5,2265.875,2342.375,2039,2499.375,766.625,41.45,33.64
4.4,1255.625,1004,1415.5,1104.625,1567.5,2265.875,2342.5,2039,2499.375,766.625,41.45,33.66
4.5,1255.625,1003.875,1415.5,1104.625,1567.625,2265.875,2342.375,2039,2499.375,766.625,41.47,33.72
4.6,1255.625,1003.875,1415.5,1104.625,1567.625,2265.875,2342.375,2039,2499.375,766.625,41.47,33.66
4.7,1255.625,1004,1415.5,1104.625,1567.5,2265.875,2342.375,2039,2499.375,766.625,41.47,33.66
4.8,1255.625,1003.875,1415.5,1104.625,1567.625,2265.75,2342.25,2039,2499.25,766.625,41.45,33.63
4.9,1255.625,1003.875,1415.5,1104.625,1567.5,2265.875,2342.375,2039,2499.25,766.625,41.47,33.64
5.0,1255.625,1004,1415.375,1104.625,1567.625,2265.75,2342.375,2039,2499.375,766.625,41.45,33.68
5.1,1255.75,1004,1415.375,1104.5,1567.625,2265.75,2342.375,2039,2499.375,766.625,41.47,33.63
5.2,1255.75,1004,1415.375,1104.5,1567.625,2265.75,2342.375,2039,2499.375,766.5,41.47,33.72
5.3,1255.75,1004,1415.25,1104.5,1567.625,2265.625,2342.375,2038.875,2499.75,766.5,41.45,33.69
5.4,1255.75,1004,1415.25,1104.375,1567.625,2265.75,2342.25,2038.875,2500.875,766.5,41.47,33.66
5.5,1255.75,1004.125,1415.125,1104.375,1567.625,2265.875,2342.5,2038.875,2502.375,766.5,41.47,33.63
5.6,1255.875,1004.25,1415.125,1104.5,1567.75,2266.375,2342.625,2038.875,2504.125,766.5,41.45,33.66
5.7,1255.875,1004.375,1415,1104.625,1568,2267.125,2343.125,2039,2506.25,766.625,41.47,33.68
5.8,1256,1004.75,1415,1105.125,1568.375,2268.375,2343.75,2039.125,2508.5,766.875,41.47,33.63
5.9,1256.125,1005.375,1415,1105.875,1568.875,2270.125,2344.625,2039.375,2511.25,767.25,41.47,33.61
6.0,1256.375,1006.375,1415,1107.25,1569.75,2272.5,2345.75,2040.25,2514.625,767.75,41.47,33.63
6.1,1256.75,1007.625,1415.125,1109.125,1570.75,2275.375,2347.25,2041.375,2517.875,768.5,41.47,33.66
6.2,1257.5,1009.5,1415.25,1111.5,1572,2278.875,2348.875,2043.375,2521.25,769.5,41.47,33.63
6.3,1258.375,1011.875,1415.625,1114.625,1573.75,2282.75,2350.875,2046,2525,770.875,41.48,33.63
6.4,1259.875,1014.875,1416,1118.375,1575.75,2287.125,2353,2049.5,2529.125,772.375,41.51,33.63
6.5,1261.75,1018.375,1416.625,1122.75,1578,2292.125,2355.25,2054,2533,774.125,41.45,33.64
6.6,1264.125,1022.625,1417.5,1127.75,1580.75,2297.25,2357.75,2059.375,2537.125,776.125,41.45,33.64
6.7,1266.875,1027.375,1418.375,1133.5,1583.625,2302.625,2360.375,2065.5,2541.5,778.25,41.48,33.68
6.8,1270.25,1032.75,1419.5,1139.75,1586.875,2308.25,2362.75,2072.625,2546.125,780.75,41.48,33.61
6.9,1274,1038.75,1420.75,1146.75,1590.5,2313.875,2365.375,2080.375,2551,783.375,41.48,33.66
7.0,1278.25,1045.25,1422.125,1154.125,1594.125,2319.625,2368,2088.875,2555.625,786,41.47,33.69
7.1,1283,1052.5,1423.5,1162.125,1598.125,2325.5,2370.625,2098.25,2560.125,788.875,41.47,33.71
7.2,1288.25,1060.25,1425,1170.625,1602.125,2331.25,2373.25,2108.125,2564.75,792,41.48,33.68
7.3,1293.625,1068.375,1426.625,1179.5,1606.25,2336.875,2375.75,2118.5,2569.125,795,41.45,33.74
7.4,1299.75,1077.125,1428.375,1189,1610.5,2342.5,2378.25,2129.5,2573.625,798.25,41.47,33.76
7.5,1306,1086.375,1430.125,1198.75,1614.875,2348,2380.75,2141,2578.375,801.75,41.45,33.8
7.6,1312.75,1095.875,1431.875,1208.875,1619.375,2353.375,2383.125,2152.75,2583.125,805.375,41.45,33.8
7.7,1319.75,1105.875,1433.75,1219.375,1623.75,2358.625,2385.5,2165.125,2588,809,41.45,33.88
7.8,1327.125,1116.375,1435.625,1230.25,1628.375,2363.625,2387.875,2177.75,2592.75,812.875,41.45,33.88
7.9,1334.75,1126.875,1437.375,1241.375,1633,2368.375,2390.125,2190.625,2597.25,816.5,41.42,33.99
8.0,1342.75,1138,1439.25,1252.875,1637.625,2373.125,2392.25,2203.875,2601.75,820.25,41.48,34.01
8.1,1351,1149.25,1441.125,1264.625,1642.25,2377.75,2394.375,2217.5,2606.25,824.125,41.44,34.1
8.2,1359.25,1160.5,1442.875,1276.25,1646.875,2382,2396.5,2231.125,2611,828,41.47,34.19
8.3,1368,1172.125,1444.75,1288.25,1651.625,2386.125,2398.5,2245.125,2615.75,832,41.47,34.22
8.4,1376.875,1183.875,1446.5,1300.5,1656.375,2390.125,2400.375,2259.375,2620.25,836,41.47,34.31
8.5,1385.875,1195.625,1448.25,1312.5,1661,2394,2402.25,2273.625,2624.75,840.125,41.48,34.32
8.6,1395.125,1207.625,1449.875,1324.75,1665.625,2397.625,2404.125,2288.125,2629.25,844.25,41.47,34.46
8.7,1404.375,1219.625,1451.625,1337,1670.125,2401,2405.75,2302.625,2633.625,848.625,41.47,34.52
8.8,1413.875,1231.75,1453.25,1349.375,1674.875,2404.375,2407.5,2317.375,2638,852.75,41.47,34.65
8.9,1423.5,1244,1454.875,1361.75,1679.375,2407.5,2409.25,2332.25,2642.25,857.125,41.48,34.76
9.0,1433.125,1256.25,1456.5,1374,1683.875,2410.5,2410.75,2347,2646.75,861.375,41.47,34.9
9.1,1443,1268.5,1458,1386.375,1688.375,2413.5,2412.375,2361.875,2651.125,865.75,41.48,34.99
9.2,1452.875,1280.875,1459.5,1398.625,1692.75,2416.25,2413.75,2376.875,2655.25,870.25,41.47,35.1
9.3,1462.625,1293,1460.875,1410.75,1696.875,2418.875,2415.25,2391.625,2659.375,874.625,41.47,35.22
9.4,1472.5,1305.375,1462.375,1422.875,1701.25,2421.5,2416.5,2406.625,2663.625,879.125,41.47,35.32
9.5,1482.5,1317.5,1463.75,1434.875,1705.375,2424,2417.875,2421.625,2667.875,883.5,41.47,35.44
9.6,1492.375,1329.5,1465,1446.625,1709.5,2426.375,2419.125,2436.375,2672,887.875,41.47,35.57
9.7,1502.375,1341.5,1466.25,1458.5,1713.5,2428.5,2420.375,2451.25,2676.125,892.25,41.47,35.66
9.8,1512.375,1353.5,1467.5,1470.125,1717.5,2430.75,2421.625,2466,2680,896.625,41.45,35.88
9.9,1522.25,1365.125,1468.75,1481.625,1721.25,2432.75,2422.75,2480.625,2683.875,901,41.47,35.91
10.0,1532.25,1376.875,1469.875,1493,1725,2434.75,2423.875,2495.25,2687.625,905.375,41.47,36.07
10.1,1542.125,1388.5,1471.125,1504.125,1728.75,2436.625,2425.125,2509.875,2691.5,909.75,41.47,36.18
10.2,1551.875,1399.875,1472.25,1515.125,1732.375,2438.375,2426.125,2524.25,2695.375,914.125,41.47,36.28
10.3,1561.625,1411.25,1473.25,1525.875,1735.875,2440.125,2427.125,2538.5,2699.125,918.5,41.44,36.44
10.4,1571.375,1422.5,1474.25,1536.625,1739.25,2441.75,2428.125,2552.875,2702.875,922.875,41.45,36.53
10.5,1581,1433.5,1475.25,1547,1742.625,2443.375,2429.125,2566.875,2706.5,927.125,41.45,36.69
10.6,1590.625,1444.375,1476.25,1557.375,1745.875,2444.875,2430,2580.875,2710,931.375,41.48,36.77
10.7,1600.125,1455.25,1477.25,1567.5,1749,2446.375,2431,2594.75,2713.5,935.625,41.47,36.87
10.8,1609.5,1465.875,1478.25,1577.25,1752.125,2447.625,2431.875,2608.375,2717.25,939.875,41.45,37.03
10.9,1618.75,1476.25,1479.125,1587,1755.25,2449,2432.75,2622,2720.875,944.125,41.44,37.19
11.0,1628,1486.625,1480,1596.75,1758.25,2450.25,2433.5,2635.5,2724.375,948.375,41.44,37.26
11.1,1637,1496.75,1480.75,1606,1761.125,2451.5,2434.375,2648.625,2727.875,952.5,41.45,37.41
11.2,1646.125,1506.875,1481.625,1615.25,1764,2452.625,2435,2661.875,2731.375,956.75,41.45,37.54
11.3,1655,1516.875,1482.375,1624.25,1766.75,2453.75,2435.875,2674.875,2734.75,960.875,41.45,37.67
11.4,1663.75,1526.625,1483.25,1633,1769.375,2454.875,2436.5,2687.5,2738.25,965,41.45,37.77
11.5,1672.5,1536.125,1483.875,1641.75,1772,2455.875,2437.25,2700.25,2741.5,969.25,41.47,37.85
11.6,1681,1545.625,1484.75,1650.25,1774.5,2456.875,2437.875,2712.75,2744.75,973.125,41.45,38.01
11.7,1689.375,1554.875,1485.375,1658.375,1777,2457.75,2438.5,2725,2748,977.25,41.45,38.11
11.8,1697.75,1564,1486.125,1666.625,1779.375,2458.75,2439.125,2737.25,2751.25,981.125,41.47,38.24
