time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1268.5,1003.875,1410.125,1115.25,1572.75,2272,2346.75,2057.75,2524.875,825.5,41.92,33.05
0.1,1268.625,1003.875,1410.125,1115.25,1572.75,2272,2346.75,2057.75,2524.75,825.25,41.94,33.02
0.2,1268.5,1003.875,1410.125,1115.25,1572.625,2272,2346.75,2057.75,2524.75,825.125,41.95,33.07
0.3,1268.5,1003.875,1410.125,1115.25,1572.625,2272.125,2346.75,2057.75,2524.75,825,41.94,33.07
0.4,1268.5,1003.875,1410.125,1115.25,1572.625,2272.125,2346.75,2057.75,2524.625,824.75,41.94,33.06
0.5,1268.5,1003.875,1410.125,1115.25,1572.75,2272.125,2346.75,2057.75,2524.625,824.875,41.92,32.99
0.6,1268.625,1003.875,1410.125,1115.25,1572.75,2272.125,2346.75,2057.75,2524.75,825.125,41.91,33.04
0.7,1268.625,1003.875,1410.125,1115.25,1572.75,2272.125,2346.75,2057.75,2525,825.5,41.95,33.01
0.8,1268.625,1003.875,1410.125,1115.25,1572.75,2272.125,2346.75,2057.875,2525.25,826,41.94,33.07
0.9,1268.5,1003.875,1410.125,1115.25,1572.625,2272.125,2346.875,2057.75,2525.375,826.375,41.95,33.04
1.0,1268.625,1003.875,1410.125,1115.25,1572.625,2272.125,2346.875,2057.75,2525.625,826.75,41.96,33.07
1.1,1268.5,1003.875,1410,1115.25,1572.75,2272.125,2346.75,2057.75,2525.875,827.125,41.95,33.02
1.2,1268.5,1003.875,1410,1115.25,1572.75,2272.125,2346.75,2057.75,2526.125,827.5,41.92,32.99
1.3,1268.5,1003.875,1410.125,1115.25,1572.75,2272.125,2346.75,2057.75,2526.375,827.875,41.95,33.07
1.4,1268.5,1003.875,1410,1115.25,1572.75,2272.125,2346.875,2057.75,2526.5,828.25,41.96,33.03
1.5,1268.625,1003.875,1410.125,1115.25,1572.75,2272.125,2346.875,2057.75,2526.75,828.625,41.96,33.06
1.6,1268.625,1003.875,1410,1115.25,1572.75,2272.125,2346.75,2057.75,2526.875,828.875,41.95,33.07
1.7,1268.625,1003.875,1410,1115.25,1572.75,2272.125,2346.75,2057.75,2527,829.25,41.95,32.95
1.8,1268.625,1003.875,1410,1115.25,1572.75,2272.125,2346.875,2057.75,2527.125,829.5,41.96,33.03
1.9,1268.625,1004,1410,1115.25,1572.75,2272.125,2346.75,2057.75,2527.375,829.875,41.94,33.02
2.0,1268.625,1003.875,1410,1115.25,1572.75,2272.125,2346.875,2057.75,2527.5,830.125,41.98,33.03
2.1,1268.625,1003.875,1410,1115.25,1572.75,2272.125,2346.875,2057.75,2527.625,830.375,41.94,32.98
2.2,1268.75,1003.875,1410,1115.25,1572.75,2272.125,2346.75,2057.75,2527.625,830.375,41.96,33.07
2.3,1268.625,1003.875,1410,1115.25,1572.75,2272.125,2346.75,2057.75,2527.5,830.125,41.94,33.04
2.4,1268.75,1003.875,1410,1115.25,1572.75,2272.125,2346.75,2057.75,2527.375,829.75,41.94,33.06
2.5,1268.75,1004,1410,1115.25,1572.75,2272.125,2346.75,2057.75,2527.25,829.5,41.95,32.98
2.6,1268.75,1004,1410,1115.25,1572.75,2272.125,2346.75,2057.75,2527,829.375,41.96,33
2.7,1268.75,1003.875,1410,1115.25,1572.75,2272,2346.75,2057.75,2526.875,829,41.96,33
2.8,1268.75,1003.875,1410,1115.25,1572.75,2272,2346.75,2057.75,2526.75,828.75,41.96,33.04
2.9,1268.75,1003.875,1410,1115.25,1572.75,2272,2346.75,2057.625,2526.625,828.5,41.95,33.01
3.0,1268.75,1003.875,1409.875,1115.25,1572.75,2272,2346.75,2057.75,2526.375,828.25,41.96,33
3.1,1268.75,1004,1410,1115.25,1572.75,2272,2346.75,2057.75,2526.25,828,41.95,32.98
3.2,1268.75,1004,1410,1115.25,1572.75,2272,2346.75,2057.75,2526.25,827.625,41.98,33
3.3,1268.75,1004,1409.875,1115.25,1572.75,2272,2346.875,2057.75,2526.125,827.5,41.95,33.02
3.4,1268.75,1004,1410,1115.25,1572.75,2272,2346.75,2057.75,2526,827.375,41.96,33
3.5,1268.75,1004,1410,1115.25,1572.75,2272,2346.75,2057.75,2525.75,827,41.96,33
3.6,1268.75,1004,1410,1115.25,1572.75,2272,2346.75,2057.75,2525.75,826.75,41.95,33.01
3.7,1268.75,1004,1409.875,1115.25,1572.875,2272,2346.75,2057.625,2525.5,826.625,41.95,33.01
3.8,1268.75,1004,1410,1115.375,1572.75,2272,2346.75,2057.75,2525.5,826.375,41.96,33
3.9,1268.75,1004,1410,1115.25,1572.75,2271.875,2346.75,2057.75,2525.375,826.25,41.96,33.01
4.0,1268.75,1004,1410,1115.375,1572.875,2271.875,2346.75,2057.625,2525.25,826,41.95,32.98
4.1,1268.75,1004,1410,1115.25,1572.875,2272,2346.75,2057.625,2525.25,825.875,41.96,33.01
4.2,1268.875,1004,1410,1115.375,1572.875,2272,2346.75,2057.625,2525.125,825.625,41.94,32.98
4.3,1268.75,1004,1410,1115.375,1572.875,2272,2346.75,2057.75,2525,825.5,41.96,33
4.4,1268.75,1004,1409.875,1115.375,1572.875,2272,2346.75,2057.625,2524.875,825.25,41.96,33
4.5,1268.875,1004,1410,1115.375,1572.75,2272,2346.75,2057.625,2524.75,825.125,41.98,33
4.6,1268.875,1004,1409.875,1115.25,1572.875,2272,2346.875,2057.625,2524.75,824.875,41.95,32.96
4.7,1268.875,1004,1410,1115.375,1572.875,2272,2346.75,2057.625,2524.625,824.75,41.96,32.98
