time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1356.5,1014.75,1466.5,1196.625,1603.875,2299.125,2368.875,2259.125,2589,896.75,41.35,37.25
0.1,1356.5,1014.75,1466.5,1196.625,1603.875,2299.25,2369,2259.125,2589,896.75,41.34,37.22
0.2,1356.5,1014.75,1466.625,1196.625,1603.875,2299.25,2368.875,2259.125,2589.125,896.75,41.38,37.18
0.3,1356.5,1014.75,1466.5,1196.625,1603.875,2299.25,2368.875,2259.125,2589.125,896.75,41.35,37.24
0.4,1356.5,1014.75,1466.5,1196.625,1603.875,2299.125,2368.875,2259.125,2589.125,896.75,41.35,37.17
0.5,1356.5,1014.75,1466.5,1196.75,1603.75,2299.25,2368.875,2259.25,2589.125,896.75,41.37,37.18
0.6,1356.5,1014.75,1466.5,1196.625,1603.75,2299.25,2368.875,2259.125,2589.125,896.75,41.34,37.27
0.7,1356.5,1014.75,1466.5,1196.625,1603.75,2299.25,2368.875,2259.25,2589.125,896.875,41.34,37.19
0.8,1356.5,1014.75,1466.5,1196.75,1603.75,2299.125,2369,2259.25,2589.125,896.75,41.37,37.2
0.9,1356.625,1014.75,1466.5,1196.625,1603.875,2299.125,2368.875,2259.125,2589.125,896.875,41.38,37.17
1.0,1356.5,1014.75,1466.5,1196.625,1603.75,2299.25,2368.875,2259.25,2589.125,896.875,41.38,37.21
1.1,1356.625,1014.75,1466.5,1196.75,1603.75,2299.125,2368.875,2259.125,2589.125,896.875,41.35,37.18
1.2,1356.625,1014.75,1466.5,1196.75,1603.75,2299.125,2368.875,2259.25,2589,896.875,41.4,37.17
1.3,1356.5,1014.75,1466.5,1196.625,1603.75,2299.25,2368.875,2259.125,2589.125,896.875,41.38,37.21
1.4,1356.5,1014.875,1466.5,1196.75,1603.75,2299.125,2368.875,2259.25,2589.125,896.875,41.35,37.2
1.5,1356.625,1014.875,1466.5,1196.75,1603.75,2299.125,2368.875,2259.125,2589.125,896.875,41.38,37.21
1.6,1356.625,1014.875,1466.5,1196.75,1603.75,2299.125,2368.875,2259.25,2589.125,896.875,41.37,37.2
1.7,1356.5,1014.875,1466.5,1196.75,1603.75,2299.125,2368.875,2259.25,2589.125,896.875,41.38,37.21
1.8,1356.625,1014.875,1466.5,1196.75,1603.75,2299.125,2368.875,2259.25,2589.125,896.875,41.38,37.18
1.9,1356.625,1014.875,1466.5,1196.75,1603.75,2299.25,2368.75,2259.25,2589.125,896.875,41.37,37.21
2.0,1356.625,1015,1466.375,1196.75,1603.75,2299.125,2368.875,2259.25,2589.125,896.875,41.38,37.21
2.1,1356.625,1014.875,1466.375,1196.75,1603.75,2299.125,2368.875,2259.25,2589.25,896.875,41.35,37.17
2.2,1356.625,1015,1466.375,1196.75,1603.75,2299.125,2368.875,2259.25,2589.125,897,41.37,37.18
2.3,1356.625,1015.125,1466.375,1196.75,1603.75,2299.125,2368.75,2259.25,2589.25,897,41.38,37.2
2.4,1356.75,1015,1466.375,1196.75,1603.75,2299.25,2368.75,2259.25,2589.25,896.875,41.37,37.2
2.5,1356.75,1015.125,1466.375,1196.75,1603.75,2299.125,2368.875,2259.25,2589.25,897,41.41,37.2
2.6,1356.75,1015,1466.375,1196.75,1603.75,2299.25,2368.875,2259.25,2589.25,897,41.38,37.18
2.7,1356.75,1015.125,1466.375,1196.75,1603.75,2299.125,2368.875,2259.25,2589.25,896.875,41.35,37.15
2.8,1356.75,1015.125,1466.375,1196.75,1603.75,2299.25,2368.875,2259.375,2589.25,897,41.37,37.15
2.9,1356.875,1015.125,1466.375,1196.75,1603.875,2299.125,2368.875,2259.375,2589.25,897,41.37,37.14
3.0,1356.75,1015.125,1466.375,1196.75,1603.875,2299.125,2368.875,2259.375,2589.25,897,41.4,37.21
3.1,1356.75,1015.125,1466.375,1196.75,1603.875,2299.25,2368.75,2259.375,2589.25,897,41.35,37.18
3.2,1356.75,1015.125,1466.375,1196.75,1603.75,2299.25,2368.875,2259.375,2589.375,897,41.37,37.18
3.3,1356.75,1015.25,1466.375,1196.75,1603.75,2299.125,2368.875,2259.375,2589.25,897,41.38,37.17
3.4,1356.875,1015.25,1466.5,1196.875,1603.875,2299.25,2368.875,2259.375,2589.375,897.125,41.38,37.21
3.5,1356.875,1015.25,1466.375,1196.875,1603.75,2299.125,2368.875,2259.375,2589.25,897.125,41.38,37.15
3.6,1356.75,1015.25,1466.375,1196.875,1603.75,2299.125,2368.875,2259.375,2589.375,897,41.37,37.18
3.7,1356.75,1015.25,1466.375,1196.875,1603.75,2299.125,2368.875,2259.375,2589.375,897.125,41.41,37.14
3.8,1356.75,1015.25,1466.375,1196.875,1603.75,2299.125,2368.875,2259.375,2589.375,897.125,41.4,37.13
3.9,1356.75,1015.25,1466.375,1196.875,1603.75,2299.25,2368.875,2259.375,2589.375,897.125,41.37,37.2
4.0,1356.875,1015.25,1466.375,1196.875,1603.75,2299.25,2368.875,2259.375,2589.375,897.125,41.38,37.21
4.1,1356.875,1015.25,1466.375,1196.875,1603.75,2299.25,2368.875,2259.375,2589.375,897.125,41.38,37.13
4.2,1356.75,1015.25,1466.375,1196.875,1603.75,2299.25,2368.875,2259.375,2589.375,897.125,41.4,37.2
4.3,1356.75,1015.25,1466.375,1196.875,1603.75,2299.25,2368.875,2259.375,2589.375,897.125,41.41,37.1
4.4,1356.875,1015.25,1466.375,1196.875,1603.625,2299.125,2368.875,2259.375,2589.375,897.125,41.38,37.17
4.5,1356.75,1015.25,1466.375,1196.875,1603.75,2299.125,2368.875,2259.5,2589.375,897.125,41.37,37.14
4.6,1356.75,1015.375,1466.375,1196.875,1603.75,2299.125,2369,2259.5,2589.375,897.125,41.38,37.2
4.7,1356.75,1015.25,1466.375,1196.875,1603.75,2299.125,2369,2259.5,2589.375,897.125,41.38,37.15
4.8,1356.875,1015.375,1466.375,1197,1603.75,2299.25,2368.875,2259.375,2589.375,897.125,41.37,37.17
4.9,1356.875,1015.375,1466.375,1196.875,1603.75,2299.25,2368.875,2259.5,2589.375,897.125,41.37,37.18
5.0,1356.875,1015.375,1466.375,1196.875,1603.75,2299.25,2368.875,2259.5,2589.5,897.125,41.37,37.12
5.1,1356.875,1015.375,1466.25,1196.875,1603.75,2299.125,2368.75,2259.5,2589.5,897.25,41.37,37.14
5.2,1356.875,1015.5,1466.25,1196.875,1603.75,2299.125,2368.875,2259.5,2589.5,897.125,41.4,37.15
5.3,1357,1015.5,1466.125,1196.75,1603.75,2299.125,2368.875,2259.5,2589.75,897.125,41.4,37.15
5.4,1357,1015.5,1466.125,1196.75,1603.875,2299.125,2368.875,2259.375,2590.5,897.125,41.37,37.18
5.5,1357,1015.625,1466,1196.75,1603.875,2299.25,2368.875,2259.375,2591.625,897.125,41.37,37.2
5.6,1357,1015.625,1466,1196.75,1603.875,2299.625,2369.125,2259.375,2592.625,897.125,41.38,37.15
5.7,1357,1015.75,1465.875,1196.75,1604,2299.875,2369.375,2259.5,2593.75,897.25,41.38,37.15
5.8,1357.125,1016,1466,1197,1604.125,2300.5,2369.75,2259.5,2595.25,897.5,41.38,37.17
5.9,1357.125,1016.375,1465.875,1197.125,1604.375,2301.5,2370.5,2259.625,2597,897.75,41.4,37.15
6.0,1357.25,1017,1465.875,1197.5,1604.75,2302.625,2371.25,2259.875,2598.75,898.125,41.41,37.18
6.1,1357.375,1017.875,1465.875,1198,1605.25,2304.25,2372.25,2260.25,2600.625,898.75,41.4,37.11
6.2,1357.5,1019,1465.875,1198.5,1605.75,2306.25,2373.625,2260.75,2602.625,899.625,41.4,37.2
6.3,1357.75,1020.5,1466,1199.25,1606.5,2308.625,2375,2261.5,2604.875,900.625,41.4,37.18
6.4,1358.25,1022.25,1466.125,1200.125,1607.375,2311.375,2376.75,2262.375,2607.25,901.75,41.4,37.15
6.5,1358.75,1024.375,1466.125,1201.25,1608.375,2314.375,2378.375,2263.625,2609.5,903.125,41.4,37.15
6.6,1359.25,1026.875,1466.375,1202.5,1609.5,2317.625,2380.125,2265.125,2611.75,904.375,41.4,37.14
6.7,1360,1029.75,1466.5,1203.875,1610.875,2321.25,2382,2266.875,2614.375,905.875,41.37,37.14
6.8,1360.875,1032.875,1466.75,1205.5,1612.375,2324.75,2384,2268.625,2617.25,907.375,41.4,37.17
6.9,1361.875,1036.5,1467,1207.375,1614,2328.5,2386,2270.875,2619.875,909.25,41.41,37.14
7.0,1363,1040.25,1467.25,1209.375,1615.625,2332.25,2388,2273.125,2622.125,911,41.4,37.14
7.1,1364.25,1044.5,1467.625,1211.375,1617.5,2336,2390,2275.625,2623.875,913,41.38,37.18
7.2,1365.5,1049,1467.875,1213.75,1619.5,2339.875,2392,2278.5,2626.125,914.875,41.4,37.17
7.3,1367,1053.875,1468.25,1216.25,1621.5,2343.75,2394,2281.5,2628.625,917.125,41.41,37.23
7.4,1368.625,1058.875,1468.625,1218.875,1623.625,2347.5,2396,2284.5,2631.125,919.25,41.4,37.21
7.5,1370.25,1064.25,1469,1221.5,1625.875,2351.25,2398,2287.75,2633.75,921.375,41.38,37.27
7.6,1372,1070,1469.375,1224.375,1628.125,2354.875,2399.875,2291.25,2636.25,923.625,41.38,37.27
7.7,1374,1075.75,1469.75,1227.375,1630.5,2358.375,2401.75,2294.875,2638.5,926,41.38,37.27
7.8,1376,1081.875,1470.125,1230.375,1632.875,2362,2403.625,2298.625,2640.75,928.5,41.4,37.3
7.9,1378,1088.25,1470.625,1233.625,1635.375,2365.375,2405.5,2302.625,2642.75,931,41.4,37.4
8.0,1380.25,1094.75,1471,1236.875,1637.75,2368.75,2407.25,2306.5,2644.875,933.5,41.37,37.43
8.1,1382.5,1101.5,1471.5,1240.375,1640.25,2372,2409,2310.75,2647.125,935.875,41.38,37.45
8.2,1384.875,1108.25,1471.875,1243.875,1642.875,2375.25,2410.625,2315,2649.5,938.25,41.38,37.52
8.3,1387.375,1115.25,1472.25,1247.5,1645.5,2378.25,2412.25,2319.375,2651.875,940.625,41.4,37.6
8.4,1389.875,1122.5,1472.75,1251.25,1648,2381.25,2413.875,2323.75,2654,943.125,41.38,37.65
8.5,1392.5,1129.625,1473.125,1255.125,1650.625,2384.125,2415.375,2328.375,2656.25,945.75,41.38,37.71
8.6,1395.125,1137,1473.5,1259,1653.125,2386.75,2416.875,2332.875,2658.25,948.25,41.38,37.71
8.7,1397.875,1144.375,1474,1263,1655.75,2389.5,2418.5,2337.625,2660.375,950.875,41.4,37.88
8.8,1400.625,1151.75,1474.5,1267,1658.25,2392,2419.875,2342.375,2662.5,953.5,41.37,37.91
8.9,1403.5,1159.25,1474.875,1271,1660.75,2394.375,2421.25,2347.25,2664.625,956.125,41.38,37.98
9.0,1406.375,1166.75,1475.25,1275,1663.25,2396.875,2422.75,2352.125,2666.5,958.75,41.38,38.12
9.1,1409.25,1174.375,1475.75,1279.25,1665.875,2399.125,2424,2357.125,2668.5,961.25,41.37,38.19
9.2,1412.25,1182.125,1476.125,1283.375,1668.375,2401.25,2425.25,2362.125,2670.5,963.875,41.4,38.28
9.3,1415.375,1189.75,1476.5,1287.75,1670.875,2403.375,2426.5,2367.125,2672.5,966.5,41.4,38.36
9.4,1418.375,1197.5,1477,1291.875,1673.25,2405.375,2427.75,2372.25,2674.75,969.125,41.38,38.46
9.5,1421.5,1205.25,1477.375,1296.25,1675.75,2407.375,2429,2377.5,2676.75,971.875,41.37,38.55
9.6,1424.75,1213,1477.875,1300.625,1678.125,2409.125,2430.125,2382.625,2678.75,974.375,41.4,38.66
9.7,1427.875,1220.75,1478.25,1304.875,1680.375,2410.875,2431.25,2387.875,2680.5,977,41.38,38.79
9.8,1431.125,1228.5,1478.625,1309.25,1682.75,2412.625,2432.375,2393.125,2682.375,979.625,41.37,38.91
9.9,1434.375,1236.125,1479,1313.625,1685,2414.375,2433.25,2398.375,2684.25,982.125,41.38,38.92
10.0,1437.75,1243.75,1479.5,1318,1687.25,2415.875,2434.375,2403.625,2686.125,984.75,41.37,39.03
10.1,1441,1251.375,1479.875,1322.375,1689.5,2417.375,2435.25,2409,2688,987.25,41.37,39.18
10.2,1444.375,1258.875,1480.25,1326.625,1691.75,2418.875,2436.375,2414.375,2690,989.875,41.38,39.24
10.3,1447.75,1266.375,1480.625,1331,1693.875,2420.25,2437.25,2419.75,2691.625,992.375,41.4,39.41
10.4,1451.125,1273.875,1481,1335.375,1696,2421.625,2438.25,2425.125,2693.375,995,41.4,39.52
10.5,1454.5,1281.25,1481.375,1339.75,1698.125,2423,2439.125,2430.5,2695,997.5,41.4,39.6
10.6,1457.875,1288.625,1481.75,1344.125,1700.25,2424.25,2439.875,2435.875,2696.75,1000,41.38,39.72
10.7,1461.375,1296,1482.125,1348.375,1702.25,2425.5,2440.75,2441.375,2698.5,1002.5,41.4,39.84
10.8,1464.75,1303.125,1482.5,1352.75,1704.25,2426.625,2441.5,2446.75,2700.125,1005,41.4,39.97
10.9,1468.25,1310.125,1482.875,1357,1706.25,2427.75,2442.375,2452.125,2701.875,1007.5,41.41,40.07
11.0,1471.625,1317.25,1483.25,1361.25,1708.125,2428.875,2443.125,2457.625,2703.75,1010,41.38,40.16
11.1,1475,1324.25,1483.625,1365.5,1710,2429.875,2443.875,2463,2705.5,1012.375,41.38,40.32
11.2,1478.5,1331,1484,1369.625,1711.875,2431,2444.625,2468.5,2707.25,1014.75,41.38,40.36
11.3,1482,1337.875,1484.375,1373.875,1713.625,2432,2445.25,2473.875,2709,1017.25,41.4,40.49
11.4,1485.375,1344.625,1484.75,1378,1715.5,2432.875,2446,2479.25,2710.5,1019.625,41.38,40.59
11.5,1488.75,1351.25,1485.125,1382.125,1717.25,2433.875,2446.625,2484.625,2712.125,1022,41.4,40.74
11.6,1492.25,1357.875,1485.375,1386.25,1719,2434.75,2447.375,2490,2713.625,1024.375,41.38,40.83
11.7,1495.625,1364.5,1485.75,1390.25,1720.75,2435.625,2447.875,2495.375,2715.125,1026.75,41.38,40.89
11.8,1499,1370.875,1486.125,1394.25,1722.375,2436.5,2448.625,2500.625,2716.75,1029.125,41.38,41.05
11.9,1502.5,1377.25,1486.5,1398.25,1724,2437.25,2449.125,2506,2718.375,1031.5,41.38,41.13
12.0,1505.875,1383.5,1486.875,1402.25,1725.625,2438,2449.625,2511.375,2720,1033.875,41.4,41.21
12.1,1509.25,1389.625,1487.125,1406,1727.125,2438.75,2450.25,2516.625,2721.5,1036.125,41.38,41.29
12.2,1512.625,1395.75,1487.5,1409.875,1728.75,2439.5,2450.875,2522,2723,1038.5,41.38,41.41
12.3,1516,1401.75,1487.875,1413.625,1730.25,2440.25,2451.375,2527.25,2724.5,1040.75,41.41,41.56
12.4,1519.375,1407.75,1488.125,1417.375,1731.75,2440.875,2452,2532.5,2726,1043,41.4,41.6
12.5,1522.75,1413.75,1488.5,1421.25,1733.125,2441.5,2452.375,2537.75,2727.5,1045.25,41.38,41.73
12.6,1526.125,1419.5,1488.875,1424.875,1734.5,2442.125,2452.875,2542.875,2729,1047.5,41.37,41.8
12.7,1529.375,1425.25,1489.125,1428.5,1735.875,2442.75,2453.375,2548.125,2730.5,1049.75,41.37,41.92
12.8,1532.75,1430.875,1489.5,1432.125,1737.375,2443.375,2453.875,2553.375,2731.875,1051.875,41.4,42.01
12.9,1535.875,1436.375,1489.875,1435.625,1738.625,2444,2454.375,2558.375,2733.25,1054,41.37,42.08
13.0,1539.25,1441.875,1490.125,1439.125,1739.875,2444.5,2454.75,2563.625,2734.625,1056.125,41.38,42.19
13.1,1542.5,1447.25,1490.5,1442.625,1741.125,2445.125,2455.25,2568.75,2736.125,1058.25,41.38,42.31
13.2,1545.625,1452.5,1490.875,1446,1742.375,2445.625,2455.625,2573.75,2737.5,1060.375,41.38,42.37
13.3,1548.875,1457.75,1491.125,1449.5,1743.5,2446.125,2456,2578.875,2738.875,1062.625,41.4,42.48
13.4,1552,1463,1491.5,1452.75,1744.75,2446.625,2456.5,2583.875,2740.125,1064.625,41.38,42.59
13.5,1555.25,1468,1491.75,1456,1745.875,2447,2456.875,2588.875,2741.5,1066.75,41.38,42.64
13.6,1558.375,1473,1492.125,1459.25,1747,2447.5,2457.25,2593.875,2742.875,1068.875,41.4,42.71
13.7,1561.5,1478,1492.375,1462.5,1748,2448,2457.625,2598.75,2744.125,1070.875,41.42,42.81
13.8,1564.625,1482.875,1492.625,1465.625,1749.25,2448.5,2458,2603.625,2745.375,1073,41.4,42.9
13.9,1567.75,1487.625,1493,1468.75,1750.25,2448.875,2458.375,2608.625,2746.75,1075,41.41,42.93
14.0,1570.75,1492.375,1493.25,1471.875,1751.375,2449.25,2458.75,2613.5,2748,1077,41.4,43.06
14.1,1573.75,1497,1493.625,1474.875,1752.375,2449.625,2459,2618.25,2749.25,1079,41.4,43.12
14.2,1576.75,1501.625,1493.875,1477.875,1753.375,2450.125,2459.375,2623,2750.625,1081,41.4,43.18
14.3,1579.75,1506.125,1494.25,1480.875,1754.375,2450.5,2459.75,2627.875,2751.875,1082.875,41.4,43.29
14.4,1582.625,1510.625,1494.5,1483.875,1755.375,2450.875,2460,2632.625,2753.125,1084.875,41.38,43.32
14.5,1585.625,1514.875,1494.875,1486.75,1756.25,2451.25,2460.375,2637.25,2754.25,1086.875,41.38,43.38
14.6,1588.5,1519.25,1495.125,1489.625,1757.25,2451.625,2460.625,2642,2755.5,1088.75,41.4,43.41
14.7,1591.375,1523.5,1495.5,1492.5,1758,2451.875,2461,2646.625,2756.625,1090.75,41.38,43.53
