time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1287.125,930.625,1461.875,1133.875,1585.75,2270.375,2353.5,1949.25,2466.625,819,39.69,39.82
0.1,1287.125,930.625,1461.875,1133.875,1585.75,2270.375,2353.5,1949.25,2466.5,818.875,39.69,39.82
0.2,1287.125,930.5,1461.875,1133.875,1585.75,2270.25,2353.5,1949.125,2466.5,818.625,39.69,39.79
0.3,1287.125,930.625,1461.875,1133.875,1585.75,2270.25,2353.5,1949.125,2466.375,818.375,39.71,39.82
0.4,1287.125,930.5,1462,1133.875,1585.75,2270.375,2353.5,1949.25,2466.25,818.125,39.72,39.86
0.5,1287.125,930.5,1461.875,1133.875,1585.75,2270.25,2353.5,1949.25,2466.25,818,39.69,39.84
0.6,1287.125,930.625,1461.875,1133.875,1585.75,2270.375,2353.5,1949.25,2466.25,817.75,39.69,39.82
0.7,1287.125,930.5,1461.875,1133.875,1585.75,2270.375,2353.625,1949.25,2466.25,817.625,39.71,39.81
0.8,1287.125,930.5,1461.875,1133.875,1585.625,2270.375,2353.5,1949.25,2466.125,817.375,39.71,39.86
0.9,1287.125,930.625,1461.875,1133.875,1585.75,2270.375,2353.5,1949.25,2466.125,817.25,39.72,39.8
1.0,1287.125,930.5,1461.875,1133.875,1585.75,2270.25,2353.5,1949.25,2466.125,817,39.71,39.77
1.1,1287.125,930.5,1461.875,1133.875,1585.75,2270.375,2353.5,1949.25,2466.125,816.875,39.71,39.86
1.2,1287.125,930.5,1461.875,1134,1585.75,2270.375,2353.625,1949.25,2466.125,816.75,39.72,39.82
1.3,1287.125,930.5,1461.875,1133.875,1585.75,2270.375,2353.5,1949.25,2466,816.5,39.71,39.8
1.4,1287.125,930.5,1461.875,1133.875,1585.75,2270.375,2353.5,1949.25,2466,816.5,39.71,39.86
1.5,1287.125,930.5,1461.875,1133.875,1585.75,2270.375,2353.625,1949.25,2465.875,816.25,39.73,39.8
1.6,1287,930.5,1461.875,1133.875,1585.75,2270.375,2353.5,1949.25,2466,816,39.71,39.81
1.7,1287.125,930.5,1461.875,1133.875,1585.75,2270.375,2353.5,1949.25,2465.875,815.875,39.71,39.84
1.8,1287.125,930.5,1461.875,1133.875,1585.75,2270.375,2353.5,1949.25,2465.875,815.75,39.71,39.84
1.9,1287,930.5,1461.875,1133.875,1585.75,2270.375,2353.625,1949.25,2465.75,815.625,39.73,39.81
2.0,1287.125,930.5,1461.875,1133.875,1585.75,2270.375,2353.625,1949.25,2465.75,815.5,39.71,39.78
2.1,1287.125,930.5,1461.875,1133.875,1585.625,2270.375,2353.5,1949.25,2465.75,815.25,39.71,39.82
2.2,1287,930.375,1461.875,1133.875,1585.625,2270.375,2353.5,1949.25,2465.75,815.25,39.72,39.86
2.3,1287.125,930.375,1461.875,1133.875,1585.625,2270.375,2353.5,1949.25,2465.75,815,39.72,39.81
2.4,1287,930.375,1461.875,1133.875,1585.75,2270.375,2353.625,1949.25,2465.75,814.875,39.72,39.81
2.5,1287,930.375,1461.875,1133.875,1585.625,2270.375,2353.5,1949.25,2465.75,814.75,39.72,39.86
2.6,1287,930.375,1461.875,1134,1585.625,2270.375,2353.5,1949.25,2465.75,814.625,39.75,39.81
2.7,1287.125,930.375,1461.875,1133.875,1585.625,2270.375,2353.625,1949.25,2465.75,814.5,39.73,39.83
2.8,1287,930.375,1461.875,1133.875,1585.625,2270.375,2353.5,1949.25,2465.625,814.375,39.75,39.83
2.9,1287,930.375,1461.875,1133.875,1585.625,2270.375,2353.625,1949.25,2465.75,814.25,39.73,39.8
3.0,1287,930.375,1461.875,1133.875,1585.75,2270.5,2353.625,1949.25,2465.625,814.125,39.72,39.8
3.1,1287,930.375,1461.875,1133.875,1585.625,2270.375,2353.5,1949.25,2465.75,814,39.72,39.81
3.2,1287,930.375,1461.875,1133.875,1585.625,2270.375,2353.5,1949.25,2465.625,813.875,39.73,39.83
3.3,1287,930.25,1461.875,1133.875,1585.625,2270.375,2353.625,1949.25,2465.625,813.75,39.73,39.78
3.4,1287,930.25,1461.875,1133.875,1585.625,2270.375,2353.625,1949.25,2465.625,813.625,39.73,39.78
3.5,1287,930.25,1461.875,1133.875,1585.625,2270.375,2353.625,1949.25,2465.625,813.5,39.72,39.77
3.6,1287,930.25,1461.875,1133.875,1585.625,2270.375,2353.625,1949.25,2465.625,813.5,39.72,39.81
3.7,1287,930.25,1461.875,1133.875,1585.625,2270.5,2353.625,1949.25,2465.625,813.375,39.71,39.8
3.8,1287,930.25,1461.75,1133.875,1585.625,2270.5,2353.5,1949.25,2465.75,813.25,39.69,39.79
3.9,1287,930.25,1461.875,1133.875,1585.625,2270.375,2353.625,1949.25,2465.625,813.125,39.69,39.78
4.0,1287,930.25,1461.75,1133.875,1585.625,2270.5,2353.625,1949.25,2465.625,813,39.73,39.77
4.1,1287.125,930.25,1461.875,1133.875,1585.625,2270.5,2353.625,1949.25,2465.625,813,39.73,39.81
4.2,1287,930.25,1461.875,1133.875,1585.625,2270.375,2353.625,1949.25,2465.625,812.875,39.71,39.81
4.3,1287,930.25,1461.75,1133.875,1585.625,2270.375,2353.625,1949.25,2465.75,812.75,39.71,39.8
4.4,1287,930.25,1461.75,1133.875,1585.625,2270.5,2353.625,1949.25,2465.625,812.75,39.71,39.78
4.5,1287,930.25,1461.875,1133.875,1585.625,2270.5,2353.625,1949.25,2465.75,812.625,39.73,39.75
4.6,1287.125,930.25,1461.75,1133.875,1585.625,2270.375,2353.625,1949.25,2465.75,812.5,39.73,39.8
4.7,1287,930.25,1461.875,1133.875,1585.625,2270.5,2353.625,1949.25,2465.625,812.5,39.73,39.77
4.8,1287.125,930.25,1461.875,1133.875,1585.625,2270.5,2353.625,1949.25,2465.625,812.375,39.73,39.78
4.9,1287.125,930.25,1461.75,1133.875,1585.625,2270.5,2353.5,1949.25,2465.625,812.25,39.72,39.77
5.0,1287.125,930.25,1461.75,1133.875,1585.625,2270.5,2353.625,1949.25,2465.875,812.25,39.72,39.77
5.1,1287.125,930.25,1461.75,1133.75,1585.75,2270.375,2353.625,1949.25,2465.875,812.125,39.73,39.77
5.2,1287.125,930.25,1461.625,1133.75,1585.75,2270.375,2353.625,1949.25,2466,812,39.73,39.73
5.3,1287.125,930.25,1461.625,1133.75,1585.625,2270.375,2353.5,1949.25,2466.5,811.875,39.73,39.78
5.4,1287.25,930.375,1461.5,1133.75,1585.75,2270.375,2353.5,1949.25,2467.125,811.875,39.72,39.8
5.5,1287.25,930.375,1461.5,1133.625,1585.75,2270.5,2353.625,1949.25,2467.75,811.75,39.75,39.78
5.6,1287.25,930.375,1461.375,1133.75,1585.875,2270.75,2353.875,1949.25,2468.75,811.75,39.72,39.77
5.7,1287.25,930.5,1461.375,1133.75,1586,2271.25,2354.25,1949.25,2470,811.875,39.72,39.77
5.8,1287.375,930.875,1461.375,1133.75,1586.125,2272,2354.75,1949.375,2471.75,812.125,39.73,39.8
5.9,1287.375,931.25,1461.375,1134,1586.375,2273,2355.5,1949.5,2473.75,812.5,39.75,39.76
6.0,1287.5,932,1461.375,1134.375,1586.75,2274.5,2356.5,1949.625,2476.125,812.875,39.69,39.79
6.1,1287.625,933.125,1461.375,1134.75,1587.25,2276.25,2357.625,1950.125,2478.375,813.5,39.73,39.75
6.2,1287.875,934.625,1461.375,1135.375,1587.875,2278.625,2359.125,1950.75,2480.625,814.375,39.75,39.8
6.3,1288.25,936.625,1461.375,1136,1588.625,2281.25,2360.625,1951.625,2483.25,815.5,39.73,39.74
6.4,1288.625,939,1461.5,1137,1589.5,2284.375,2362.5,1952.625,2485.75,816.75,39.75,39.77
6.5,1289.25,941.875,1461.625,1138,1590.75,2287.75,2364.5,1954,2488,818.25,39.71,39.8
6.6,1289.875,945.25,1461.75,1139.25,1592,2291.5,2366.5,1955.625,2490.25,819.875,39.72,39.77
6.7,1290.625,949.125,1461.875,1140.625,1593.375,2295.375,2368.5,1957.625,2493,821.75,39.72,39.78
6.8,1291.5,953.375,1462.125,1142.125,1595,2299.5,2370.75,1959.75,2496.125,823.75,39.72,39.77
6.9,1292.5,958.125,1462.375,1143.875,1596.75,2303.75,2372.875,1962.25,2499.125,825.75,39.72,39.8
7.0,1293.625,963.375,1462.625,1145.75,1598.75,2308,2375.125,1964.875,2502,828,39.71,39.81
7.1,1294.875,969,1462.875,1147.875,1600.625,2312.25,2377.375,1967.75,2504.5,830.375,39.72,39.8
7.2,1296.25,975,1463.125,1150.125,1602.75,2316.75,2379.625,1970.75,2507.125,832.75,39.72,39.81
7.3,1297.875,981.375,1463.5,1152.625,1605,2321.125,2381.875,1974.25,2509.625,835.25,39.71,39.8
7.4,1299.5,988.25,1463.875,1155.375,1607.375,2325.375,2384.125,1977.75,2512.125,837.75,39.72,39.84
7.5,1301.25,995.375,1464.125,1158.25,1609.75,2329.5,2386.125,1981.625,2515,840.375,39.71,39.88
7.6,1303.125,1002.875,1464.5,1161.25,1612.375,2333.75,2388.25,1985.625,2517.875,843.125,39.73,39.94
7.7,1305.125,1010.625,1464.875,1164.375,1614.875,2337.75,2390.375,1989.75,2520.625,846,39.72,39.94
7.8,1307.25,1018.75,1465.25,1167.625,1617.5,2341.75,2392.375,1994.125,2523.125,849,39.73,39.96
7.9,1309.5,1027.25,1465.625,1171.125,1620.25,2345.625,2394.25,1998.75,2525.625,852,39.72,39.96
8.0,1311.75,1035.875,1466,1174.625,1623,2349.375,2396.25,2003.5,2528.375,854.875,39.72,40.06
8.1,1314.25,1044.75,1466.375,1178.375,1625.75,2353.125,2398.125,2008.375,2531.25,858,39.71,40.06
8.2,1316.75,1053.875,1466.875,1182.25,1628.5,2356.625,2400,2013.5,2533.75,861,39.72,40.13
8.3,1319.375,1063.25,1467.25,1186.125,1631.375,2360,2401.875,2018.625,2536.25,864.125,39.71,40.19
8.4,1322.125,1072.625,1467.625,1190.25,1634.25,2363.25,2403.625,2023.875,2538.75,867.25,39.72,40.23
8.5,1324.875,1082.375,1468,1194.375,1637.125,2366.5,2405.375,2029.375,2541.25,870.625,39.73,40.32
8.6,1327.75,1092,1468.5,1198.625,1640,2369.625,2407.125,2034.875,2543.75,873.75,39.72,40.41
8.7,1330.625,1101.875,1468.875,1203,1642.75,2372.625,2408.75,2040.625,2546.25,877,39.71,40.49
8.8,1333.625,1111.625,1469.25,1207.5,1645.75,2375.625,2410.375,2046.375,2548.875,880.125,39.71,40.51
8.9,1336.75,1121.5,1469.75,1212,1648.5,2378.375,2411.875,2052.375,2551.25,883.25,39.69,40.59
9.0,1339.875,1131.5,1470.125,1216.625,1651.375,2381.125,2413.375,2058.375,2553.75,886.375,39.72,40.7
9.1,1343.125,1141.5,1470.5,1221.375,1654.25,2383.75,2415,2064.375,2556.125,889.75,39.73,40.8
9.2,1346.375,1151.375,1471,1226.125,1657.125,2386.25,2416.25,2070.625,2558.625,893.125,39.72,40.86
9.3,1349.75,1161.375,1471.375,1230.875,1660,2388.75,2417.75,2076.875,2561,896.375,39.73,40.97
9.4,1353.125,1171.5,1471.75,1235.75,1662.75,2391,2419,2083.25,2563.25,899.625,39.72,41.05
9.5,1356.625,1181.375,1472.25,1240.5,1665.5,2393.25,2420.375,2089.625,2565.5,902.875,39.71,41.15
9.6,1360.125,1191.375,1472.625,1245.375,1668.25,2395.5,2421.75,2096.125,2568,906.25,39.71,41.29
9.7,1363.625,1201.25,1473,1250.25,1671,2397.625,2423,2102.625,2570.375,909.5,39.71,41.39
9.8,1367.25,1211.125,1473.5,1255.25,1673.75,2399.625,2424.125,2109.125,2572.625,912.875,39.71,41.48
9.9,1370.875,1221,1473.875,1260.25,1676.375,2401.625,2425.25,2115.75,2574.875,916.125,39.72,41.61
10.0,1374.5,1230.75,1474.375,1265.25,1679,2403.5,2426.5,2122.375,2577,919.375,39.71,41.76
10.1,1378.25,1240.375,1474.75,1270.25,1681.625,2405.25,2427.5,2129.125,2579.125,922.625,39.71,41.87
10.2,1382,1250,1475.25,1275.375,1684.25,2407,2428.625,2135.875,2581.125,926,39.72,41.99
10.3,1385.75,1259.5,1475.625,1280.375,1686.75,2408.625,2429.625,2142.625,2583.25,929.25,39.71,42.09
10.4,1389.625,1268.875,1476,1285.375,1689.25,2410.25,2430.625,2149.375,2585.5,932.25,39.71,42.22
10.5,1393.5,1278.25,1476.5,1290.5,1691.625,2411.875,2431.625,2156.25,2587.75,935.5,39.69,42.26
10.6,1397.25,1287.5,1476.875,1295.5,1694.125,2413.25,2432.625,2163,2589.75,938.625,39.71,42.47
10.7,1401.125,1296.625,1477.25,1300.5,1696.625,2414.75,2433.5,2169.875,2591.75,941.75,39.72,42.57
10.8,1405,1305.625,1477.75,1305.5,1699,2416.125,2434.375,2176.875,2593.875,945,39.69,42.68
10.9,1408.875,1314.5,1478.125,1310.5,1701.25,2417.5,2435.25,2183.75,2596,948.125,39.71,42.8
11.0,1412.875,1323.375,1478.625,1315.5,1703.625,2418.75,2436.125,2190.625,2598.125,951.25,39.71,42.93
