time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1328.5,982.375,1433.625,1172.5,1608.125,2305.25,2367.875,2105.75,2574.5,920,41.63,37.29
0.1,1328.5,982.375,1433.625,1172.5,1608.25,2305.25,2367.75,2105.75,2574.625,920,41.62,37.28
0.2,1328.5,982.375,1433.625,1172.625,1608.25,2305.25,2367.875,2105.875,2574.5,920,41.61,37.24
0.3,1328.5,982.375,1433.625,1172.75,1608.25,2305.25,2367.875,2105.875,2574.5,920,41.63,37.34
0.4,1328.625,982.375,1433.625,1172.75,1608.25,2305.25,2367.75,2106,2574.5,920,41.62,37.32
0.5,1328.625,982.375,1433.625,1172.875,1608.375,2305.25,2367.875,2106,2574.5,920,41.62,37.26
0.6,1328.75,982.375,1433.625,1172.875,1608.375,2305.25,2367.875,2106,2574.5,919.875,41.63,37.29
0.7,1328.75,982.375,1433.625,1173,1608.375,2305.25,2367.75,2106.125,2574.5,919.875,41.63,37.31
0.8,1328.875,982.375,1433.625,1173,1608.375,2305.25,2367.875,2106.25,2574.625,920,41.63,37.28
0.9,1328.875,982.5,1433.625,1173,1608.375,2305.25,2367.875,2106.25,2574.5,919.875,41.63,37.28
1.0,1328.875,982.5,1433.625,1173.125,1608.375,2305.25,2367.75,2106.25,2574.5,919.875,41.62,37.32
1.1,1329,982.375,1433.625,1173.125,1608.375,2305.25,2367.875,2106.375,2574.5,919.875,41.63,37.32
1.2,1329,982.5,1433.625,1173.25,1608.375,2305.125,2367.875,2106.5,2574.5,919.75,41.63,37.35
1.3,1329.125,982.5,1433.625,1173.25,1608.5,2305.25,2367.75,2106.5,2574.5,919.75,41.62,37.26
1.4,1329.25,982.5,1433.75,1173.25,1608.375,2305.25,2367.875,2106.5,2574.5,919.75,41.61,37.29
1.5,1329.25,982.5,1433.75,1173.25,1608.375,2305.125,2367.75,2106.5,2574.5,919.75,41.62,37.29
1.6,1329.375,982.5,1433.625,1173.375,1608.5,2305.125,2367.75,2106.625,2574.5,919.75,41.63,37.28
1.7,1329.375,982.5,1433.625,1173.375,1608.5,2305.125,2367.75,2106.625,2574.5,919.625,41.65,37.28
1.8,1329.375,982.5,1433.625,1173.5,1608.5,2305.125,2367.75,2106.75,2574.5,919.625,41.65,37.27
1.9,1329.375,982.5,1433.625,1173.5,1608.375,2305.125,2367.75,2106.75,2574.5,919.625,41.62,37.32
2.0,1329.5,982.5,1433.75,1173.625,1608.5,2305.125,2367.75,2106.875,2574.375,919.625,41.63,37.32
2.1,1329.5,982.5,1433.625,1173.625,1608.5,2305,2367.75,2106.875,2574.5,919.625,41.63,37.29
2.2,1329.5,982.5,1433.75,1173.625,1608.5,2305,2367.75,2106.875,2574.375,919.625,41.62,37.29
2.3,1329.625,982.5,1433.75,1173.625,1608.5,2305,2367.75,2106.875,2574.375,919.5,41.63,37.29
2.4,1329.625,982.5,1433.625,1173.625,1608.5,2305,2367.75,2107,2574.375,919.5,41.65,37.3
2.5,1329.625,982.5,1433.625,1173.75,1608.375,2305,2367.75,2107,2574.25,919.5,41.65,37.31
2.6,1329.75,982.5,1433.75,1173.75,1608.5,2305,2367.625,2107,2574.25,919.375,41.65,37.28
2.7,1329.75,982.5,1433.625,1173.75,1608.375,2304.875,2367.625,2107,2574.25,919.5,41.63,37.28
2.8,1329.75,982.5,1433.625,1173.875,1608.5,2304.875,2367.625,2107,2574.25,919.375,41.65,37.31
2.9,1329.75,982.375,1433.625,1173.875,1608.375,2304.875,2367.625,2107.125,2574.25,919.25,41.62,37.26
3.0,1329.875,982.375,1433.625,1173.875,1608.375,2304.875,2367.625,2107.125,2574.375,919.25,41.65,37.24
3.1,1329.875,982.375,1433.625,1173.875,1608.375,2304.75,2367.625,2107.125,2574.125,919.375,41.62,37.28
3.2,1329.875,982.375,1433.625,1173.875,1608.375,2304.75,2367.625,2107.125,2574.25,919.25,41.63,37.29
3.3,1329.875,982.375,1433.625,1174,1608.25,2304.75,2367.625,2107.125,2574.25,919.25,41.65,37.27
3.4,1329.875,982.25,1433.75,1174,1608.25,2304.75,2367.625,2107.125,2574.25,919.25,41.63,37.28
3.5,1329.875,982.375,1433.625,1174,1608.375,2304.75,2367.625,2107.25,2574.125,919.125,41.65,37.3
3.6,1329.875,982.375,1433.625,1174,1608.25,2304.75,2367.5,2107.25,2574.125,919.125,41.65,37.27
3.7,1330,982.375,1433.625,1174,1608.25,2304.625,2367.625,2107.25,2574.125,919.125,41.68,37.29
3.8,1330,982.25,1433.625,1174,1608.25,2304.625,2367.5,2107.25,2574,919,41.67,37.28
3.9,1330,982.25,1433.625,1174,1608.25,2304.625,2367.5,2107.25,2574.125,919,41.65,37.31
4.0,1330,982.25,1433.625,1174,1608.25,2304.625,2367.5,2107.25,2574.125,919,41.67,37.3
4.1,1330.125,982.25,1433.625,1174,1608.25,2304.625,2367.5,2107.25,2574.125,919,41.65,37.28
4.2,1330.125,982.375,1433.625,1174,1608.25,2304.5,2367.5,2107.25,2574.125,919,41.67,37.3
4.3,1330.125,982.25,1433.625,1174,1608.125,2304.5,2367.5,2107.25,2574.125,918.875,41.65,37.3
4.4,1330.125,982.375,1433.625,1174,1608.25,2304.5,2367.5,2107.25,2574,918.875,41.67,37.28
4.5,1330.125,982.25,1433.625,1174,1608.25,2304.5,2367.5,2107.375,2574,918.875,41.67,37.25
4.6,1330.125,982.375,1433.625,1174,1608.125,2304.5,2367.5,2107.25,2574,918.875,41.63,37.27
4.7,1330.25,982.25,1433.625,1174,1608.125,2304.5,2367.5,2107.25,2574,918.875,41.68,37.25
4.8,1330.125,982.375,1433.625,1174.125,1608.125,2304.5,2367.5,2107.25,2574,918.75,41.65,37.28
4.9,1330.25,982.375,1433.625,1174.125,1608.125,2304.375,2367.5,2107.25,2574,918.75,41.68,37.31
5.0,1330.25,982.375,1433.5,1174,1608.125,2304.375,2367.375,2107.25,2574.125,918.75,41.65,37.24
5.1,1330.375,982.375,1433.5,1174,1608.125,2304.375,2367.375,2107.25,2574,918.625,41.65,37.25
