time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1329.25,978.625,1438.625,1173.125,1605.875,2302.5,2365.75,2123.875,2593.25,933.5,41.41,37.61
0.1,1329.25,978.625,1438.625,1173.125,1605.875,2302.5,2365.75,2123.875,2593.125,933.375,41.41,37.59
0.2,1329.25,978.625,1438.625,1173.125,1605.875,2302.5,2365.75,2123.875,2593.125,933.375,41.4,37.58
0.3,1329.25,978.625,1438.625,1173.125,1605.875,2302.5,2365.75,2123.75,2593.125,933.375,41.41,37.64
0.4,1329.25,978.625,1438.625,1173.125,1605.875,2302.5,2365.875,2123.75,2593,933.375,41.42,37.62
0.5,1329.25,978.625,1438.625,1173.125,1605.875,2302.5,2365.75,2123.625,2593,933.25,41.42,37.62
0.6,1329.25,978.625,1438.625,1173.125,1605.875,2302.375,2365.75,2123.625,2593,933.25,41.41,37.62
0.7,1329.125,978.625,1438.625,1173.125,1605.875,2302.375,2365.75,2123.625,2593,933.25,41.42,37.61
0.8,1329.125,978.625,1438.625,1173,1605.875,2302.375,2365.75,2123.5,2592.875,933.25,41.45,37.63
0.9,1329.125,978.5,1438.5,1173.125,1605.875,2302.375,2365.75,2123.5,2592.75,933.125,41.44,37.59
1.0,1329.125,978.5,1438.625,1173.125,1605.75,2302.25,2365.75,2123.375,2592.75,933.125,41.42,37.65
1.1,1329.125,978.5,1438.625,1173,1605.75,2302.25,2365.75,2123.375,2592.75,933.125,41.45,37.67
1.2,1329.125,978.5,1438.625,1173,1605.875,2302.25,2365.75,2123.25,2592.75,933,41.42,37.61
1.3,1329.125,978.5,1438.5,1173,1605.75,2302.25,2365.75,2123.25,2592.625,933,41.45,37.63
1.4,1329.125,978.5,1438.625,1173,1605.75,2302.25,2365.75,2123.25,2592.625,932.875,41.44,37.59
1.5,1329.125,978.5,1438.5,1173,1605.75,2302.125,2365.625,2123.125,2592.625,932.875,41.45,37.61
1.6,1329.125,978.5,1438.625,1173,1605.75,2302.125,2365.625,2123.125,2592.5,932.875,41.44,37.62
1.7,1329.125,978.5,1438.5,1173,1605.75,2302,2365.5,2123.125,2592.5,932.75,41.45,37.65
1.8,1329.125,978.375,1438.5,1173,1605.75,2302,2365.625,2123,2592.5,932.75,41.44,37.65
1.9,1329.125,978.375,1438.5,1173,1605.75,2302,2365.5,2123,2592.375,932.75,41.47,37.6
2.0,1329,978.375,1438.5,1172.875,1605.625,2302,2365.5,2122.875,2592.375,932.625,41.44,37.62
2.1,1329,978.375,1438.5,1172.875,1605.625,2302,2365.5,2122.875,2592.375,932.625,41.45,37.55
2.2,1329,978.375,1438.625,1172.875,1605.625,2301.875,2365.5,2122.875,2592.25,932.5,41.45,37.65
2.3,1329.125,978.375,1438.5,1172.875,1605.625,2301.875,2365.5,2122.75,2592.25,932.5,41.48,37.61
2.4,1329,978.25,1438.5,1172.875,1605.625,2301.875,2365.5,2122.75,2592.25,932.5,41.44,37.64
2.5,1329,978.25,1438.5,1172.875,1605.625,2301.75,2365.5,2122.625,2592.125,932.5,41.45,37.6
2.6,1329,978.375,1438.5,1172.875,1605.625,2301.75,2365.375,2122.625,2592.125,932.375,41.44,37.55
2.7,1329,978.25,1438.5,1172.875,1605.5,2301.75,2365.375,2122.5,2592.125,932.375,41.42,37.58
2.8,1329,978.25,1438.5,1172.875,1605.5,2301.75,2365.375,2122.5,2592,932.25,41.42,37.58
2.9,1329,978.25,1438.5,1172.75,1605.5,2301.625,2365.25,2122.5,2592,932.25,41.44,37.55
3.0,1329,978.25,1438.5,1172.875,1605.5,2301.625,2365.25,2122.375,2592,932.25,41.44,37.57
3.1,1329,978.25,1438.5,1172.875,1605.5,2301.625,2365.25,2122.375,2591.875,932.125,41.45,37.6
3.2,1329,978.25,1438.5,1172.75,1605.5,2301.625,2365.25,2122.25,2591.875,932.125,41.45,37.63
3.3,1329,978.25,1438.625,1172.75,1605.5,2301.5,2365.25,2122.25,2591.875,932.125,41.44,37.59
3.4,1328.875,978.125,1438.5,1172.75,1605.5,2301.5,2365.25,2122.125,2591.875,932,41.44,37.57
3.5,1329,978.125,1438.5,1172.625,1605.5,2301.5,2365.25,2122.125,2591.75,932,41.45,37.57
3.6,1328.875,978.125,1438.625,1172.625,1605.375,2301.5,2365.125,2122,2591.75,931.875,41.44,37.58
3.7,1329,978.125,1438.5,1172.625,1605.375,2301.5,2365.25,2122,2591.625,931.875,41.45,37.55
3.8,1328.875,978.125,1438.5,1172.625,1605.375,2301.375,2365.25,2121.875,2591.625,931.875,41.45,37.57
3.9,1328.875,978.125,1438.5,1172.625,1605.375,2301.375,2365.125,2121.875,2591.625,931.75,41.42,37.54
4.0,1328.875,978.125,1438.5,1172.625,1605.375,2301.375,2365.125,2121.875,2591.625,931.75,41.45,37.64
4.1,1328.875,978.125,1438.5,1172.5,1605.375,2301.375,2365.125,2121.75,2591.625,931.75,41.47,37.55
4.2,1328.875,978.125,1438.5,1172.625,1605.375,2301.375,2365.125,2121.75,2591.625,931.625,41.47,37.57
4.3,1328.875,978,1438.5,1172.5,1605.375,2301.375,2365.125,2121.625,2591.625,931.625,41.45,37.57
4.4,1328.875,978,1438.5,1172.5,1605.375,2301.375,2365.125,2121.625,2591.625,931.625,41.45,37.57
4.5,1328.875,978.125,1438.5,1172.5,1605.375,2301.25,2365.25,2121.625,2591.5,931.625,41.45,37.58
4.6,1328.75,978,1438.5,1172.5,1605.25,2301.375,2365.125,2121.5,2591.5,931.5,41.44,37.57
4.7,1328.75,978,1438.5,1172.5,1605.25,2301.25,2365.125,2121.375,2591.5,931.5,41.45,37.55
4.8,1328.75,978,1438.5,1172.375,1605.25,2301.375,2365.125,2121.375,2591.5,931.5,41.47,37.51
4.9,1328.75,978,1438.5,1172.5,1605.25,2301.25,2365.125,2121.375,2591.5,931.375,41.44,37.58
5.0,1328.75,977.875,1438.5,1172.375,1605.25,2301.25,2365.125,2121.25,2591.5,931.375,41.47,37.55
5.1,1328.75,978,1438.375,1172.25,1605.375,2301.25,2365,2121.25,2591.5,931.25,41.45,37.51
5.2,1328.75,978,1438.25,1172.25,1605.375,2301.25,2365,2121.125,2591.5,931.25,41.44,37.57
5.3,1328.875,978,1438.25,1172.125,1605.375,2301.25,2365.125,2121.125,2591.625,931.25,41.47,37.54
5.4,1328.875,978.125,1438.125,1172,1605.375,2301.25,2365,2121,2592.125,931.125,41.45,37.54
5.5,1328.875,978.125,1438.125,1172,1605.375,2301.375,2365.125,2121,2592.875,931,41.45,37.54
5.6,1329,978.25,1438,1172,1605.5,2301.625,2365.25,2120.875,2593.75,931,41.45,37.51
5.7,1329,978.375,1438,1172,1605.5,2301.875,2365.5,2120.875,2594.75,931,41.45,37.47
5.8,1329,978.625,1438,1172,1605.75,2302.5,2366,2120.875,2595.75,931.25,41.44,37.51
5.9,1329,979,1438,1172.125,1605.875,2303.375,2366.625,2120.875,2596.75,931.5,41.48,37.53
6.0,1329.125,979.625,1437.875,1172.25,1606.25,2304.625,2367.5,2121,2597.625,931.875,41.44,37.54
6.1,1329.125,980.375,1437.875,1172.5,1606.625,2306.25,2368.375,2121.25,2598.5,932.5,41.45,37.5
6.2,1329.375,981.5,1437.875,1172.875,1607.125,2308.125,2369.625,2121.625,2599.625,933.125,41.47,37.48
6.3,1329.5,983,1438,1173.375,1607.75,2310.5,2370.875,2122.125,2600.75,933.875,41.45,37.52
6.4,1329.875,984.875,1438,1174,1608.625,2313.125,2372.25,2122.75,2601.875,935,41.44,37.51
6.5,1330.25,987,1438,1174.75,1609.625,2316.125,2373.75,2123.625,2602.875,936,41.44,37.5
6.6,1330.625,989.625,1438.125,1175.625,1611,2319.375,2375.375,2124.625,2604,937.25,41.47,37.5
6.7,1331.25,992.625,1438.25,1176.75,1612.375,2322.875,2376.875,2125.875,2605.375,938.625,41.47,37.47
6.8,1332,996.125,1438.375,1178,1614.125,2326.375,2378.5,2127.375,2606.625,940,41.45,37.48
6.9,1332.75,999.875,1438.625,1179.5,1616.125,2330,2380,2129,2608,941.625,41.47,37.51
7.0,1333.75,1004,1438.75,1181.125,1618.25,2333.625,2381.625,2130.75,2609.25,943.375,41.47,37.5
7.1,1334.625,1008.625,1439,1182.875,1620.5,2337.25,2383.375,2132.875,2610.75,945.25,41.42,37.51
7.2,1335.75,1013.5,1439.125,1184.75,1623,2340.875,2384.875,2135.125,2612.25,947,41.47,37.58
7.3,1337,1018.75,1439.5,1186.875,1625.875,2344.375,2386.5,2137.5,2613.75,948.875,41.44,37.51
7.4,1338.25,1024.375,1439.75,1189,1628.625,2347.875,2388,2140,2615.25,951,41.45,37.54
7.5,1339.625,1030.25,1440.125,1191.375,1631.75,2351.25,2389.5,2142.75,2616.625,953,41.42,37.55
7.6,1341.25,1036.5,1440.375,1193.875,1634.875,2354.625,2391,2145.75,2618,955.25,41.45,37.57
7.7,1342.875,1043.125,1440.875,1196.5,1638.25,2357.875,2392.5,2148.75,2619.5,957.625,41.47,37.6
7.8,1344.5,1050,1441.125,1199.25,1641.5,2361,2394,2152,2620.875,960.125,41.45,37.61
7.9,1346.375,1057.125,1441.5,1202.25,1645,2364.125,2395.5,2155.375,2622.375,962.5,41.42,37.67
