time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1338.875,993.25,1446.375,1184.625,1605,2301.125,2364.375,2170.625,2598.625,961.75,41.1,38.29
0.1,1338.875,993.25,1446.375,1184.625,1604.875,2301.125,2364.375,2170.5,2598.625,961.75,41.1,38.35
0.2,1338.875,993.25,1446.375,1184.5,1605,2301.125,2364.375,2170.5,2598.625,961.625,41.11,38.32
0.3,1339,993.25,1446.375,1184.625,1604.875,2301.125,2364.375,2170.5,2598.625,961.625,41.1,38.34
0.4,1338.875,993.25,1446.375,1184.625,1604.875,2301.125,2364.375,2170.5,2598.625,961.5,41.08,38.33
0.5,1338.875,993.25,1446.375,1184.625,1604.875,2301.125,2364.375,2170.5,2598.625,961.5,41.11,38.32
0.6,1338.875,993.25,1446.375,1184.625,1604.875,2301,2364.25,2170.5,2598.5,961.5,41.12,38.35
0.7,1338.875,993.25,1446.375,1184.625,1604.875,2301.125,2364.375,2170.5,2598.625,961.5,41.14,38.34
0.8,1338.875,993.125,1446.375,1184.625,1604.875,2301,2364.25,2170.5,2598.5,961.5,41.12,38.38
0.9,1339,993.125,1446.375,1184.625,1604.875,2301,2364.25,2170.5,2598.5,961.375,41.1,38.35
1.0,1339,993.125,1446.375,1184.625,1604.875,2301,2364.375,2170.5,2598.5,961.375,41.12,38.34
1.1,1339,993.125,1446.375,1184.625,1604.875,2301,2364.25,2170.5,2598.5,961.25,41.14,38.34
1.2,1339,993.25,1446.375,1184.625,1604.875,2301,2364.25,2170.5,2598.5,961.375,41.14,38.31
1.3,1339,993.125,1446.375,1184.625,1604.875,2301,2364.25,2170.375,2598.5,961.25,41.12,38.32
1.4,1339,993.125,1446.375,1184.625,1605,2301,2364.25,2170.5,2598.375,961.25,41.14,38.37
1.5,1339,993.125,1446.375,1184.625,1604.875,2300.875,2364.25,2170.5,2598.375,961.125,41.14,38.32
1.6,1339,993.125,1446.375,1184.625,1605,2301,2364.25,2170.5,2598.375,961.25,41.12,38.32
1.7,1339,993.125,1446.375,1184.625,1604.875,2300.875,2364.375,2170.375,2598.375,961.125,41.15,38.33
1.8,1339.125,993.125,1446.375,1184.75,1605,2300.875,2364.25,2170.375,2598.375,961.125,41.15,38.34
1.9,1339,993.125,1446.375,1184.625,1604.875,2300.875,2364.25,2170.375,2598.375,961,41.14,38.31
2.0,1339,993.125,1446.375,1184.625,1604.875,2300.875,2364.25,2170.375,2598.25,961,41.14,38.32
2.1,1339.125,993.125,1446.375,1184.625,1605,2300.875,2364.25,2170.375,2598.375,961,41.12,38.32
2.2,1339.125,993.125,1446.375,1184.75,1604.875,2300.875,2364.25,2170.375,2598.25,961,41.15,38.3
2.3,1339.125,993.125,1446.375,1184.625,1604.875,2300.875,2364.25,2170.375,2598.25,960.875,41.17,38.27
2.4,1339.125,993.125,1446.375,1184.625,1604.875,2300.875,2364.25,2170.25,2598.25,960.875,41.14,38.3
2.5,1339.25,993,1446.375,1184.75,1604.875,2300.75,2364.25,2170.25,2598.25,960.875,41.14,38.35
2.6,1339.125,993.125,1446.375,1184.625,1605,2300.75,2364.25,2170.375,2598.125,960.875,41.12,38.3
2.7,1339.125,993.125,1446.375,1184.625,1605,2300.75,2364.25,2170.25,2598.125,960.75,41.14,38.32
2.8,1339.25,993.125,1446.375,1184.75,1604.875,2300.75,2364.25,2170.25,2598.125,960.75,41.14,38.34
2.9,1339.25,993.125,1446.375,1184.625,1605,2300.75,2364.25,2170.25,2598.125,960.75,41.15,38.28
3.0,1339.125,993,1446.375,1184.625,1605,2300.875,2364.125,2170.25,2598.125,960.625,41.14,38.35
3.1,1339.25,993,1446.375,1184.625,1605,2300.75,2364.25,2170.25,2598,960.625,41.12,38.3
3.2,1339.25,993.125,1446.375,1184.75,1605,2300.75,2364.125,2170.25,2598,960.625,41.14,38.31
3.3,1339.25,993.125,1446.375,1184.625,1605,2300.75,2364.125,2170.25,2598,960.5,41.14,38.3
3.4,1339.25,993,1446.375,1184.625,1604.875,2300.75,2364.125,2170.25,2598,960.5,41.15,38.28
3.5,1339.25,993.125,1446.375,1184.625,1605,2300.75,2364.125,2170.125,2598,960.5,41.14,38.28
3.6,1339.25,993.125,1446.375,1184.625,1605,2300.625,2364.125,2170.125,2598,960.5,41.15,38.28
3.7,1339.25,993.125,1446.375,1184.625,1605,2300.625,2364.125,2170.125,2598,960.375,41.14,38.24
3.8,1339.375,993.125,1446.375,1184.625,1604.875,2300.75,2364.125,2170.125,2597.875,960.375,41.15,38.33
3.9,1339.25,993,1446.375,1184.625,1605,2300.625,2364.125,2170.125,2598,960.375,41.14,38.3
