time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1361,1005.25,1437.125,1200.75,1615.5,2310.25,2371.875,2163.75,2673.375,992.25,41.82,37.24
0.1,1361.125,1005.25,1437.125,1200.875,1615.5,2310.25,2371.875,2163.75,2673.25,992.25,41.82,37.25
0.2,1361,1005.25,1437.125,1200.875,1615.5,2310.25,2371.75,2163.875,2673.25,992.125,41.83,37.27
0.3,1361,1005.25,1437.125,1200.875,1615.5,2310.25,2371.875,2163.75,2673.25,992.125,41.82,37.22
0.4,1361,1005.125,1437.125,1200.875,1615.5,2310.25,2371.875,2163.75,2673.25,992.125,41.81,37.24
0.5,1361,1005.125,1437,1200.875,1615.5,2310.125,2371.875,2163.75,2673.25,992,41.83,37.25
0.6,1361,1005.125,1437.125,1200.75,1615.375,2310.25,2371.875,2163.75,2673.125,992,41.83,37.24
0.7,1361,1005,1437.125,1200.875,1615.375,2310.25,2371.875,2163.875,2673.125,991.875,41.83,37.24
0.8,1361,1005,1437,1200.875,1615.375,2310.25,2371.875,2163.875,2673.125,992,41.83,37.24
0.9,1361,1005,1437.125,1200.875,1615.375,2310.125,2371.875,2163.875,2673.125,991.875,41.83,37.2
1.0,1361,1005,1437.125,1200.875,1615.375,2310.25,2371.875,2163.75,2673,991.875,41.83,37.25
1.1,1361,1004.875,1437.125,1200.875,1615.375,2310.25,2371.875,2163.75,2673,991.875,41.82,37.22
1.2,1361,1004.875,1437.125,1200.875,1615.375,2310.25,2371.875,2163.75,2673,991.875,41.83,37.24
1.3,1361,1004.875,1437.125,1200.875,1615.375,2310.25,2371.875,2163.75,2673,991.75,41.83,37.27
1.4,1361,1004.875,1437,1200.875,1615.375,2310.25,2371.875,2163.75,2673,991.75,41.85,37.24
1.5,1361,1004.875,1437,1200.875,1615.375,2310.25,2371.875,2163.75,2673,991.75,41.82,37.22
1.6,1361,1004.875,1437,1200.875,1615.375,2310.25,2371.875,2163.75,2673,991.625,41.83,37.2
1.7,1361,1004.875,1437.125,1200.875,1615.375,2310.25,2371.875,2163.875,2673,991.625,41.83,37.23
