time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1344.875,996.75,1448.625,1190,1600.875,2294.875,2359.5,2212.125,2612.375,988.75,40.68,38.89
0.1,1344.875,996.625,1448.75,1190,1600.875,2295,2359.5,2212,2612.375,988.75,40.66,38.93
0.2,1344.875,996.625,1448.75,1189.875,1600.875,2295,2359.5,2211.875,2612.25,988.625,40.67,38.89
0.3,1344.75,996.5,1448.625,1189.875,1600.875,2295,2359.5,2211.75,2612.375,988.625,40.66,38.9
0.4,1344.75,996.5,1448.625,1189.75,1600.875,2295,2359.5,2211.625,2612.375,988.5,40.68,38.86
0.5,1344.625,996.5,1448.75,1189.75,1600.875,2295,2359.5,2211.5,2612.25,988.5,40.66,38.9
0.6,1344.625,996.375,1448.625,1189.75,1600.875,2295,2359.5,2211.5,2612.375,988.375,40.68,38.92
0.7,1344.5,996.375,1448.75,1189.625,1600.875,2295,2359.5,2211.375,2612.25,988.375,40.68,38.82
0.8,1344.5,996.25,1448.75,1189.5,1600.875,2295.125,2359.5,2211.25,2612.375,988.25,40.67,38.86
0.9,1344.5,996.25,1448.75,1189.5,1601,2295.125,2359.5,2211.125,2612.25,988.25,40.66,38.89
1.0,1344.375,996.25,1448.625,1189.5,1600.875,2295.125,2359.5,2211.125,2612.25,988.25,40.7,38.89
1.1,1344.25,996.25,1448.625,1189.375,1600.875,2295.125,2359.5,2211,2612.25,988.125,40.67,38.89
1.2,1344.25,996.125,1448.625,1189.375,1600.875,2295.125,2359.625,2210.875,2612.25,988.125,40.68,38.86
1.3,1344.25,996.125,1448.625,1189.375,1601,2295.25,2359.625,2210.875,2612.25,988.125,40.71,38.88
1.4,1344.125,996.125,1448.625,1189.25,1601,2295.25,2359.625,2210.75,2612.25,988,40.68,38.86
1.5,1344.125,996,1448.625,1189.25,1601,2295.25,2359.625,2210.75,2612.25,988,40.7,38.86
1.6,1344.125,996,1448.625,1189.25,1601,2295.25,2359.5,2210.625,2612.25,988,40.7,38.85
1.7,1344.125,996.125,1448.625,1189.25,1601,2295.25,2359.625,2210.625,2612.25,988,40.68,38.88
1.8,1344.125,996.125,1448.625,1189.25,1600.875,2295.375,2359.625,2210.5,2612.25,988,40.67,38.89
1.9,1344,996.125,1448.625,1189.125,1601,2295.375,2359.625,2210.5,2612.25,988,40.68,38.83
2.0,1344,996.125,1448.625,1189.125,1601,2295.375,2359.75,2210.5,2612.25,988,40.7,38.8
2.1,1344,996.125,1448.625,1189.125,1601,2295.5,2359.75,2210.375,2612.25,988,40.7,38.89
2.2,1344,996.125,1448.625,1189.125,1601.125,2295.5,2359.625,2210.25,2612.25,987.875,40.71,38.84
2.3,1344,996.125,1448.625,1189.125,1601.125,2295.5,2359.625,2210.25,2612.25,988,40.7,38.82
2.4,1344,996.125,1448.625,1189.125,1601.125,2295.5,2359.75,2210.25,2612.25,988,40.68,38.88
2.5,1343.875,996.25,1448.625,1189.125,1601.125,2295.625,2359.75,2210.125,2612.25,988,40.71,38.82
2.6,1343.875,996.25,1448.625,1189.125,1601.125,2295.5,2359.75,2210.25,2612.25,988,40.67,38.88
2.7,1343.875,996.25,1448.625,1189.125,1601.125,2295.625,2359.75,2210.125,2612.25,987.875,40.7,38.85
2.8,1343.875,996.375,1448.625,1189.125,1601.125,2295.625,2359.75,2210,2612.25,987.875,40.68,38.91
2.9,1343.875,996.375,1448.625,1189.125,1601.25,2295.625,2359.75,2210,2612.25,987.875,40.7,38.88
3.0,1343.75,996.375,1448.625,1189.125,1601.25,2295.625,2359.75,2210,2612.25,987.875,40.68,38.86
3.1,1343.75,996.375,1448.625,1189.125,1601.25,2295.625,2359.75,2210,2612.25,987.875,40.7,38.8
3.2,1343.75,996.375,1448.625,1189.125,1601.25,2295.625,2359.75,2210,2612.25,988,40.7,38.88
3.3,1343.75,996.375,1448.75,1189.125,1601.25,2295.625,2359.75,2209.875,2612.25,987.875,40.7,38.82
3.4,1343.75,996.375,1448.75,1189.125,1601.25,2295.75,2359.75,2209.875,2612.25,987.875,40.7,38.86
3.5,1343.75,996.375,1448.625,1189.125,1601.25,2295.75,2359.875,2209.875,2612.25,987.875,40.7,38.86
3.6,1343.75,996.375,1448.625,1189.125,1601.375,2295.75,2359.875,2209.875,2612.125,987.875,40.7,38.82
3.7,1343.625,996.5,1448.625,1189.125,1601.25,2295.75,2359.75,2209.75,2612.125,987.875,40.68,38.83
3.8,1343.75,996.5,1448.75,1189.125,1601.375,2295.75,2359.875,2209.75,2612.25,987.875,40.68,38.88
3.9,1343.75,996.5,1448.625,1189.125,1601.375,2295.75,2359.875,2209.75,2612.25,987.875,40.68,38.82
4.0,1343.625,996.5,1448.625,1189,1601.25,2295.75,2359.875,2209.625,2612.125,987.875,40.71,38.82
4.1,1343.625,996.5,1448.625,1189.125,1601.375,2295.75,2359.875,2209.625,2612.125,987.875,40.67,38.82
4.2,1343.625,996.5,1448.625,1189,1601.375,2295.75,2359.875,2209.625,2612.125,987.875,40.67,38.82
4.3,1343.625,996.5,1448.625,1189,1601.375,2295.875,2359.875,2209.5,2612.125,987.875,40.71,38.85
4.4,1343.625,996.5,1448.625,1189,1601.25,2295.875,2359.875,2209.5,2612.125,987.875,40.68,38.83
4.5,1343.625,996.625,1448.625,1189,1601.25,2295.875,2359.875,2209.5,2612,987.875,40.7,38.82
4.6,1343.5,996.5,1448.625,1189,1601.25,2295.875,2359.875,2209.375,2612,987.875,40.71,38.85
4.7,1343.5,996.625,1448.625,1189,1601.375,2295.75,2359.875,2209.375,2612.125,987.875,40.68,38.82
4.8,1343.5,996.625,1448.625,1189,1601.375,2295.75,2359.875,2209.375,2612,987.75,40.68,38.83
4.9,1343.5,996.5,1448.625,1189,1601.25,2295.75,2359.875,2209.375,2612,987.75,40.7,38.79
5.0,1343.5,996.625,1448.5,1188.875,1601.375,2295.75,2359.875,2209.25,2612,987.75,40.7,38.83
5.1,1343.625,996.625,1448.5,1188.875,1601.375,2295.75,2359.875,2209.25,2612,987.75,40.71,38.84
5.2,1343.625,996.625,1448.375,1188.75,1601.375,2295.75,2359.875,2209.125,2612,987.625,40.7,38.8
5.3,1343.625,996.75,1448.375,1188.75,1601.375,2295.75,2359.875,2209.125,2612.25,987.625,40.71,38.82
5.4,1343.625,996.75,1448.25,1188.75,1601.375,2295.75,2359.875,2209,2612.875,987.5,40.71,38.82
5.5,1343.625,996.875,1448.125,1188.625,1601.5,2295.875,2360,2209,2613.875,987.5,40.68,38.86
5.6,1343.75,997,1448.125,1188.625,1601.5,2296.125,2360.25,2209,2615,987.5,40.7,38.86
5.7,1343.75,997.125,1448.125,1188.75,1601.625,2296.5,2360.5,2208.875,2616.375,987.625,40.73,38.85
5.8,1343.75,997.375,1448,1188.875,1601.75,2297.375,2361,2209,2618.125,987.875,40.71,38.79
5.9,1343.875,997.875,1448.125,1189.125,1602,2298.375,2361.75,2209.125,2620.125,988.25,40.7,38.82
6.0,1343.875,998.375,1448,1189.5,1602.375,2300.125,2362.875,2209.375,2622.375,988.75,40.7,38.85
6.1,1344.125,999.25,1448,1190.125,1602.875,2302.375,2364.125,2210,2624.625,989.625,40.71,38.82
