time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1375,1017,1517.875,1233.625,1654.125,2288.25,2425.75,2073.5,2541,811.75,41.35,40.07
0.1,1375,1017,1517.875,1233.625,1654.125,2288.375,2425.75,2073.625,2541,811.75,41.38,40.04
0.2,1375.125,1017,1517.875,1233.625,1654.25,2288.375,2425.75,2073.625,2541,811.75,41.37,40.04
0.3,1375.125,1017,1517.875,1233.625,1654.125,2288.375,2425.75,2073.5,2541,811.75,41.38,40.03
0.4,1375.125,1017,1517.875,1233.625,1654.25,2288.375,2425.75,2073.625,2541,811.75,41.38,40.1
0.5,1375.125,1017,1517.875,1233.625,1654.125,2288.375,2425.75,2073.625,2541,811.75,41.37,40.1
0.6,1375.125,1017,1517.875,1233.625,1654.25,2288.375,2425.75,2073.625,2541,811.75,41.37,40.04
0.7,1375.125,1017,1517.875,1233.75,1654.25,2288.375,2425.75,2073.625,2540.875,811.75,41.37,40.1
0.8,1375.125,1017.125,1517.875,1233.625,1654.25,2288.375,2425.75,2073.625,2541,811.75,41.38,40.07
0.9,1375.125,1017.125,1517.875,1233.75,1654.25,2288.375,2425.75,2073.75,2540.875,811.875,41.38,40.05
1.0,1375.125,1017,1517.875,1233.75,1654.25,2288.375,2425.75,2073.75,2540.875,811.75,41.4,40.12
1.1,1375.125,1017.125,1517.875,1233.75,1654.375,2288.375,2425.75,2073.75,2540.875,811.75,41.38,40.1
1.2,1375.125,1017,1517.875,1233.75,1654.25,2288.375,2425.75,2073.625,2540.875,811.75,41.38,40.04
1.3,1375.125,1017.125,1517.875,1233.75,1654.25,2288.25,2425.75,2073.75,2540.875,811.75,41.37,40.08
1.4,1375.125,1017.125,1517.875,1233.75,1654.375,2288.25,2425.75,2073.75,2540.875,811.75,41.37,40.07
1.5,1375.125,1017.125,1517.875,1233.75,1654.375,2288.25,2425.625,2073.75,2540.75,811.75,41.4,40.07
1.6,1375.125,1017.125,1517.875,1233.75,1654.375,2288.25,2425.625,2073.75,2540.75,811.75,41.37,40.1
1.7,1375.125,1017.125,1517.875,1233.75,1654.375,2288.25,2425.625,2073.75,2540.75,811.75,41.4,40.09
1.8,1375.125,1017.125,1517.875,1233.75,1654.375,2288.125,2425.625,2073.75,2540.75,811.75,41.38,40.07
1.9,1375.125,1017.125,1517.875,1233.75,1654.375,2288.125,2425.625,2073.75,2540.75,811.75,41.4,40.03
2.0,1375.125,1017,1517.875,1233.75,1654.375,2288.125,2425.625,2073.75,2540.75,811.75,41.38,40.07
2.1,1375.125,1017,1517.875,1233.75,1654.375,2288.125,2425.625,2073.75,2540.75,811.75,41.38,40.1
2.2,1375.125,1017.125,1517.875,1233.75,1654.375,2288.125,2425.625,2073.75,2540.75,811.75,41.4,40.06
2.3,1375.125,1017,1517.875,1233.75,1654.25,2288,2425.625,2073.75,2540.75,811.75,41.4,40.06
2.4,1375.125,1017.125,1517.875,1233.75,1654.375,2288,2425.5,2073.75,2540.75,811.75,41.41,40.06
2.5,1375.125,1017.125,1517.875,1233.75,1654.25,2288,2425.5,2073.75,2540.75,811.75,41.4,40.04
2.6,1375.25,1017.125,1517.875,1233.75,1654.25,2288,2425.5,2073.75,2540.75,811.75,41.38,40.04
2.7,1375.25,1017.125,1517.875,1233.75,1654.375,2288,2425.5,2073.75,2540.625,811.75,41.38,40.03
2.8,1375.125,1017.125,1517.875,1233.75,1654.375,2288,2425.5,2073.75,2540.625,811.75,41.4,40.1
2.9,1375.125,1017.125,1517.875,1233.75,1654.25,2288,2425.5,2073.75,2540.625,811.625,41.38,40.1
3.0,1375.125,1017.125,1517.875,1233.75,1654.25,2287.875,2425.5,2073.75,2540.625,811.75,41.4,40.04
3.1,1375.125,1017.125,1517.875,1233.75,1654.25,2287.875,2425.5,2073.75,2540.625,811.625,41.42,40.03
3.2,1375.125,1017.125,1517.875,1233.75,1654.25,2287.875,2425.5,2073.75,2540.625,811.75,41.41,40.1
3.3,1375.125,1017.125,1517.875,1233.75,1654.25,2287.875,2425.5,2073.75,2540.5,811.625,41.4,40.06
3.4,1375.125,1017.125,1517.875,1233.75,1654.25,2287.875,2425.5,2073.75,2540.625,811.625,41.41,40.09
3.5,1375.25,1017.125,1517.875,1233.75,1654.25,2287.875,2425.375,2073.75,2540.625,811.625,41.37,39.99
3.6,1375.25,1017.125,1517.875,1233.75,1654.25,2287.875,2425.5,2073.75,2540.625,811.625,41.4,40.07
3.7,1375.125,1017.125,1517.875,1233.75,1654.25,2287.75,2425.375,2073.75,2540.5,811.625,41.38,40.01
3.8,1375.25,1017.125,1517.875,1233.75,1654.25,2287.75,2425.375,2073.75,2540.5,811.625,41.37,40.07
3.9,1375.25,1017.125,1517.875,1233.75,1654.25,2287.75,2425.375,2073.75,2540.625,811.625,41.38,40.07
4.0,1375.25,1017.125,1517.875,1233.75,1654.25,2287.75,2425.375,2073.875,2540.5,811.625,41.38,40.05
4.1,1375.25,1017.125,1518,1233.75,1654.125,2287.75,2425.375,2073.875,2540.5,811.625,41.4,40.01
4.2,1375.25,1017.125,1517.875,1233.75,1654.25,2287.75,2425.375,2073.875,2540.5,811.625,41.41,40.04
4.3,1375.25,1017.125,1518,1233.875,1654.25,2287.75,2425.375,2073.75,2540.5,811.625,41.4,40.06
4.4,1375.25,1017.125,1518,1233.75,1654.25,2287.625,2425.25,2073.75,2540.5,811.5,41.38,40.05
4.5,1375.25,1017.125,1518,1233.75,1654.25,2287.625,2425.375,2073.875,2540.5,811.5,41.4,40.01
4.6,1375.25,1017.125,1518,1233.75,1654.25,2287.75,2425.375,2073.875,2540.5,811.5,41.38,40.05
4.7,1375.25,1017.125,1518,1233.75,1654.25,2287.75,2425.375,2073.875,2540.5,811.625,41.38,40.08
4.8,1375.25,1017.125,1518,1233.75,1654.25,2287.625,2425.375,2073.875,2540.5,811.5,41.38,40.04
4.9,1375.25,1017.125,1518,1233.75,1654.25,2287.75,2425.375,2073.875,2540.5,811.5,41.4,40.07
5.0,1375.25,1017.125,1518,1233.75,1654.125,2287.625,2425.375,2073.875,2540.5,811.375,41.4,40.03
5.1,1375.375,1017.125,1517.875,1233.625,1654.25,2287.625,2425.25,2073.875,2540.5,811.5,41.41,40.01
5.2,1375.375,1017.125,1517.75,1233.625,1654.25,2287.625,2425.25,2073.75,2540.5,811.5,41.42,40.07
