time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1421.75,1294.875,1462.75,1271,1628.5,2285.75,2389.375,2546.5,2789.5,1384.5,41.72,37
0.1,1421.5,1294.625,1462.75,1270.875,1628.625,2285.875,2389.375,2545.875,2789.375,1384.125,41.72,36.98
0.2,1421.25,1294.375,1462.75,1270.625,1628.625,2285.875,2389.375,2545.375,2789.25,1383.875,41.72,36.97
0.3,1421.125,1294.125,1462.875,1270.5,1628.625,2285.75,2389.375,2544.75,2789.125,1383.5,41.69,36.99
0.4,1420.875,1293.875,1462.75,1270.375,1628.625,2285.875,2389.25,2544.25,2788.875,1383.25,41.73,36.97
0.5,1420.625,1293.75,1462.75,1270.25,1628.625,2285.875,2389.375,2543.625,2788.75,1382.875,41.69,36.98
0.6,1420.375,1293.375,1462.75,1270,1628.625,2285.875,2389.375,2543.125,2788.625,1382.625,41.73,36.97
0.7,1420.125,1293.125,1462.75,1269.875,1628.5,2285.875,2389.375,2542.5,2788.5,1382.375,41.72,36.97
0.8,1419.875,1293,1462.75,1269.625,1628.5,2285.875,2389.375,2542,2788.25,1382,41.72,37.01
0.9,1419.625,1292.75,1462.75,1269.5,1628.625,2286,2389.375,2541.5,2788.125,1381.75,41.73,36.97
1.0,1419.5,1292.625,1462.75,1269.375,1628.625,2286,2389.375,2540.875,2788,1381.5,41.73,36.97
1.1,1419.25,1292.375,1462.75,1269.125,1628.625,2285.875,2389.375,2540.375,2787.875,1381.125,41.69,36.96
1.2,1419.125,1292.25,1462.75,1269.125,1628.625,2286,2389.375,2539.75,2787.625,1380.875,41.72,36.92
1.3,1418.875,1292.125,1462.75,1269,1628.625,2286,2389.5,2539.25,2787.375,1380.625,41.72,36.95
1.4,1418.75,1292,1462.75,1268.75,1628.625,2286,2389.375,2538.75,2787.25,1380.375,41.73,36.98
1.5,1418.5,1291.75,1462.75,1268.75,1628.625,2286,2389.375,2538.25,2787.125,1380,41.76,36.98
1.6,1418.25,1291.5,1462.75,1268.5,1628.625,2286,2389.5,2537.625,2787,1379.75,41.72,36.95
1.7,1418.125,1291.375,1462.75,1268.375,1628.625,2286,2389.5,2537.125,2786.875,1379.5,41.75,36.98
1.8,1417.875,1291.125,1462.75,1268.25,1628.625,2286.125,2389.375,2536.625,2786.75,1379.125,41.73,36.95
1.9,1417.75,1291,1462.75,1268.125,1628.625,2286.125,2389.5,2536.125,2786.625,1378.875,41.73,36.97
2.0,1417.5,1290.75,1462.75,1268,1628.625,2286.125,2389.5,2535.625,2786.5,1378.5,41.73,36.98
2.1,1417.375,1290.5,1462.75,1267.875,1628.625,2286.125,2389.625,2535.125,2786.375,1378.25,41.72,36.98
2.2,1417.25,1290.25,1462.625,1267.75,1628.625,2286.25,2389.625,2534.625,2786.25,1378,41.72,36.94
2.3,1417,1290,1462.75,1267.625,1628.625,2286.25,2389.75,2534.125,2786.125,1377.625,41.73,36.97
2.4,1416.875,1289.75,1462.75,1267.5,1628.625,2286.25,2389.75,2533.625,2786,1377.375,41.75,36.97
2.5,1416.625,1289.5,1462.75,1267.375,1628.625,2286.375,2389.875,2533,2785.875,1377.125,41.72,36.97
2.6,1416.5,1289.25,1462.75,1267.25,1628.625,2286.5,2389.75,2532.5,2785.75,1376.875,41.73,36.97
2.7,1416.25,1288.875,1462.625,1267.125,1628.625,2286.5,2389.875,2532,2785.625,1376.5,41.71,36.96
2.8,1416.125,1288.5,1462.625,1267,1628.625,2286.625,2389.875,2531.5,2785.5,1376.25,41.73,36.91
2.9,1416,1288.125,1462.625,1266.875,1628.625,2286.625,2390,2531,2785.375,1375.875,41.73,36.91
3.0,1415.75,1287.875,1462.75,1266.625,1628.625,2286.75,2390.125,2530.5,2785.25,1375.5,41.73,36.91
3.1,1415.625,1287.5,1462.625,1266.5,1628.625,2286.75,2390.125,2530,2785,1375.25,41.72,36.91
3.2,1415.375,1287,1462.625,1266.375,1628.625,2286.875,2390.25,2529.5,2785,1374.875,41.75,36.93
3.3,1415.25,1286.75,1462.625,1266.25,1628.75,2286.875,2390.25,2529,2784.75,1374.625,41.75,36.98
3.4,1415.125,1286.375,1462.625,1266.125,1628.75,2287,2390.375,2528.375,2784.625,1374.25,41.71,36.94
3.5,1414.875,1286,1462.625,1265.875,1628.75,2287.125,2390.375,2527.875,2784.5,1373.875,41.75,36.9
3.6,1414.625,1285.5,1462.625,1265.75,1628.75,2287.25,2390.5,2527.375,2784.375,1373.5,41.73,36.98
3.7,1414.5,1285.125,1462.625,1265.625,1628.75,2287.25,2390.625,2526.875,2784.25,1373.125,41.72,36.91
3.8,1414.375,1284.75,1462.625,1265.5,1628.75,2287.375,2390.5,2526.25,2784.125,1372.75,41.73,36.95
3.9,1414.125,1284.375,1462.625,1265.25,1628.75,2287.5,2390.75,2525.75,2784,1372.5,41.73,36.94
4.0,1413.875,1284,1462.625,1265.125,1628.75,2287.5,2390.625,2525.25,2783.875,1372.125,41.75,36.97
4.1,1413.75,1283.625,1462.625,1265,1628.875,2287.625,2390.75,2524.75,2783.75,1371.875,41.76,36.94
4.2,1413.5,1283.25,1462.625,1264.875,1628.875,2287.75,2390.875,2524.25,2783.625,1371.5,41.73,36.97
4.3,1413.375,1283,1462.625,1264.75,1628.875,2287.875,2390.875,2523.75,2783.5,1371.25,41.76,36.94
4.4,1413.25,1282.75,1462.625,1264.5,1629,2288,2391,2523.125,2783.5,1370.875,41.76,36.94
4.5,1413,1282.5,1462.625,1264.375,1629,2288,2391.125,2522.625,2783.375,1370.5,41.75,36.91
4.6,1412.875,1282.25,1462.625,1264.25,1629.125,2288.125,2391.125,2522.125,2783.25,1370.25,41.75,36.96
4.7,1412.625,1282,1462.625,1264.125,1629.125,2288.125,2391.125,2521.625,2783.25,1370,41.73,36.94
4.8,1412.5,1281.75,1462.625,1264,1629.25,2288.25,2391.25,2521.125,2783.125,1369.75,41.76,36.98
