time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1325.5,1085.125,1455.75,1187.125,1608.25,2294.375,2376.875,2161.75,2691.625,1168.5,40.63,39.04
0.1,1325.375,1085.125,1455.75,1187.125,1608.25,2294.375,2377,2161.75,2691.625,1168.5,40.61,39.03
0.2,1325.375,1085.125,1455.75,1187.125,1608.25,2294.375,2377,2161.625,2691.625,1168.25,40.61,39
0.3,1325.375,1085.125,1455.75,1187.125,1608.25,2294.375,2376.875,2161.625,2691.625,1168.125,40.64,39.02
0.4,1325.375,1085.125,1455.75,1187,1608.375,2294.5,2377.125,2161.625,2691.625,1168,40.64,39.01
0.5,1325.375,1085.125,1455.75,1187.125,1608.25,2294.5,2377,2161.625,2691.625,1167.875,40.63,39
0.6,1325.375,1085,1455.75,1187,1608.25,2294.375,2377,2161.5,2691.5,1167.75,40.64,39.08
0.7,1325.25,1085,1455.75,1187,1608.25,2294.375,2377,2161.625,2691.5,1167.625,40.63,39.02
0.8,1325.375,1085,1455.75,1187,1608.25,2294.375,2377,2161.625,2691.375,1167.5,40.64,39.05
0.9,1325.25,1085,1455.75,1187,1608.25,2294.375,2377,2161.625,2691.5,1167.5,40.66,39.04
1.0,1325.25,1085,1455.75,1187,1608.25,2294.375,2377,2161.5,2691.375,1167.375,40.64,39.03
1.1,1325.375,1085,1455.75,1186.875,1608.25,2294.375,2377,2161.5,2691.375,1167.25,40.64,39.02
1.2,1325.375,1085,1455.75,1187,1608.25,2294.5,2377,2161.5,2691.375,1167.25,40.64,39.03
1.3,1325.25,1085,1455.75,1186.875,1608.25,2294.5,2377.125,2161.5,2691.375,1167,40.64,39.03
1.4,1325.375,1085,1455.625,1186.875,1608.25,2294.5,2377,2161.5,2691.375,1167,40.63,39.04
1.5,1325.375,1085,1455.625,1186.875,1608.375,2294.375,2377,2161.5,2691.25,1166.875,40.64,39.03
1.6,1325.375,1085,1455.625,1186.875,1608.375,2294.5,2377,2161.5,2691.25,1166.75,40.66,39.04
1.7,1325.375,1085,1455.625,1186.875,1608.375,2294.5,2377,2161.375,2691.375,1166.625,40.63,39.04
1.8,1325.375,1085,1455.625,1186.875,1608.375,2294.5,2377,2161.375,2691.25,1166.625,40.67,39.04
1.9,1325.375,1085,1455.625,1186.875,1608.375,2294.5,2377,2161.375,2691.25,1166.5,40.66,39.05
2.0,1325.375,1085,1455.625,1186.875,1608.375,2294.5,2377,2161.375,2691.25,1166.375,40.64,39.03
2.1,1325.375,1085,1455.625,1186.75,1608.375,2294.5,2377,2161.375,2691.25,1166.375,40.66,39.04
2.2,1325.25,1085,1455.625,1186.875,1608.375,2294.5,2377,2161.375,2691.25,1166.375,40.64,39.03
2.3,1325.375,1085,1455.625,1186.875,1608.375,2294.5,2377,2161.375,2691.25,1166.25,40.64,39.02
2.4,1325.25,1085,1455.625,1186.75,1608.375,2294.5,2377.125,2161.375,2691.25,1166.25,40.64,39.01
2.5,1325.25,1085.125,1455.625,1186.875,1608.375,2294.5,2377.125,2161.375,2691.25,1166.125,40.66,39.06
2.6,1325.375,1085.125,1455.625,1186.75,1608.375,2294.5,2377,2161.25,2691.25,1166,40.66,39.04
2.7,1325.25,1085.125,1455.625,1186.75,1608.375,2294.5,2377,2161.25,2691.25,1166,40.68,39.06
2.8,1325.375,1085.125,1455.625,1186.75,1608.375,2294.5,2377.125,2161.25,2691.25,1165.875,40.66,39.01
2.9,1325.375,1085.125,1455.625,1186.875,1608.375,2294.5,2377,2161.25,2691.25,1165.875,40.67,39.01
3.0,1325.375,1085.125,1455.625,1186.875,1608.375,2294.5,2377.125,2161.25,2691.25,1165.75,40.63,39.02
3.1,1325.375,1085.25,1455.625,1186.75,1608.375,2294.625,2377,2161.25,2691.25,1165.75,40.64,38.96
3.2,1325.25,1085.25,1455.625,1186.75,1608.5,2294.5,2377,2161.25,2691.125,1165.625,40.67,39.01
3.3,1325.375,1085.25,1455.625,1186.75,1608.5,2294.625,2377.125,2161.25,2691.125,1165.625,40.64,39.02
3.4,1325.25,1085.25,1455.625,1186.75,1608.375,2294.5,2377,2161.25,2691.25,1165.5,40.66,39.05
3.5,1325.375,1085.25,1455.5,1186.75,1608.5,2294.625,2377,2161.25,2691.25,1165.5,40.66,39.06
3.6,1325.25,1085.25,1455.625,1186.75,1608.375,2294.5,2377,2161.25,2691.125,1165.5,40.67,39.04
3.7,1325.375,1085.25,1455.5,1186.875,1608.5,2294.5,2377,2161.25,2691.125,1165.375,40.66,39.01
3.8,1325.375,1085.25,1455.5,1186.875,1608.5,2294.5,2377,2161.25,2691.25,1165.375,40.64,39.01
3.9,1325.375,1085.375,1455.5,1186.875,1608.5,2294.5,2377.125,2161.25,2691.125,1165.375,40.66,38.98
4.0,1325.375,1085.375,1455.625,1186.875,1608.5,2294.5,2377,2161.25,2691.25,1165.25,40.64,38.96
4.1,1325.375,1085.375,1455.5,1186.875,1608.5,2294.5,2377,2161.25,2691.25,1165.25,40.67,39.04
4.2,1325.375,1085.375,1455.5,1186.875,1608.5,2294.625,2377,2161.125,2691.25,1165.25,40.67,38.99
4.3,1325.375,1085.5,1455.5,1186.875,1608.5,2294.625,2377,2161.25,2691.25,1165.125,40.64,38.99
4.4,1325.375,1085.375,1455.5,1186.75,1608.5,2294.5,2377.125,2161.25,2691.25,1165.125,40.67,38.96
4.5,1325.375,1085.5,1455.5,1186.75,1608.5,2294.625,2377,2161.25,2691.25,1165.125,40.66,38.96
4.6,1325.375,1085.5,1455.5,1186.875,1608.5,2294.5,2377.125,2161.25,2691.25,1165,40.67,38.95
4.7,1325.375,1085.5,1455.5,1186.875,1608.5,2294.875,2377,2161.25,2691.25,1165,40.67,38.99
4.8,1325.375,1085.5,1455.5,1186.875,1608.625,2294.75,2377,2161.125,2691.25,1165,40.67,39.02
4.9,1325.375,1085.5,1455.5,1186.875,1608.5,2294.75,2377,2161.125,2691.25,1165,40.67,38.99
5.0,1325.375,1085.5,1455.5,1186.75,1608.5,2294.75,2377,2161.125,2691.25,1164.875,40.64,38.99
5.1,1325.5,1085.625,1455.375,1186.75,1608.625,2294.75,2377.125,2161.125,2691.25,1164.75,40.66,38.95
5.2,1325.5,1085.75,1455.25,1186.75,1608.625,2294.75,2377,2161.125,2691.25,1164.75,40.67,38.98
5.3,1325.5,1085.75,1455.25,1186.75,1608.625,2294.75,2377,2161.125,2691.625,1164.75,40.63,38.97
5.4,1325.5,1085.875,1455.25,1186.75,1608.75,2294.75,2377,2161.125,2692.25,1164.75,40.67,38.99
5.5,1325.625,1085.875,1455.25,1186.75,1608.75,2294.875,2377,2161.125,2693.375,1164.625,40.67,39.02
5.6,1325.625,1086,1455.125,1186.75,1608.75,2295.25,2377.375,2161.125,2694.625,1164.625,40.67,38.98
5.7,1325.625,1086.125,1455.125,1186.875,1608.875,2295.75,2377.75,2161.125,2695.875,1164.875,40.67,38.96
5.8,1325.75,1086.375,1455.125,1187.125,1609,2296.75,2378.375,2161.375,2697.5,1165.25,40.67,39.01
5.9,1325.875,1087,1455.125,1187.625,1609.375,2298.125,2379.125,2161.625,2699.375,1165.75,40.64,38.96
6.0,1326,1087.875,1455.125,1188.25,1609.875,2299.75,2380.25,2162.125,2701.625,1166.5,40.67,39.01
6.1,1326.25,1089.125,1455.125,1189.25,1610.375,2302,2381.625,2163,2704.5,1167.5,40.67,38.98
6.2,1326.75,1090.75,1455.375,1190.5,1611,2304.75,2383.25,2164.25,2707.625,1168.75,40.66,38.99
6.3,1327.25,1093,1455.5,1192.125,1612,2307.875,2385.125,2166.125,2710.5,1170.375,40.66,39.01
6.4,1328.125,1095.875,1455.75,1194.125,1613,2311.375,2387.125,2168.25,2713.125,1172.125,40.67,38.96
6.5,1329.125,1099.25,1456,1196.375,1614.375,2315.375,2389.375,2170.875,2715.75,1174,40.67,38.98
6.6,1330.5,1103.125,1456.5,1199.125,1616,2319.75,2391.75,2174,2718.875,1176.125,40.67,38.93
6.7,1332,1107.625,1457,1202,1617.75,2324.25,2394,2177.5,2722,1178.625,40.67,38.96
6.8,1333.75,1112.75,1457.5,1205.25,1619.75,2328.875,2396.5,2181.375,2725.125,1181.25,40.66,39.01
6.9,1335.875,1118.5,1458,1208.75,1622,2333.625,2399.125,2185.75,2728.625,1184.125,40.66,38.95
