time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1325.625,1102.875,1448.25,1184.125,1614.375,2302.625,2382.25,2115.875,2637.375,1169.75,41.58,37.19
0.1,1325.625,1102.875,1448.25,1184.25,1614.375,2302.625,2382.25,2115.875,2637.5,1170.25,41.56,37.17
0.2,1325.75,1102.875,1448.25,1184.25,1614.375,2302.5,2382.25,2115.875,2637.625,1170.75,41.58,37.22
0.3,1325.75,1102.875,1448.25,1184.25,1614.375,2302.625,2382.25,2116,2637.75,1171.125,41.58,37.16
0.4,1325.75,1102.875,1448.25,1184.25,1614.375,2302.5,2382.25,2116,2637.875,1171.625,41.56,37.17
0.5,1325.75,1103,1448.25,1184.25,1614.375,2302.5,2382.25,2116.125,2638,1172,41.61,37.18
0.6,1325.75,1102.875,1448.25,1184.25,1614.375,2302.5,2382.25,2116.125,2638,1171.875,41.59,37.16
0.7,1325.75,1102.875,1448.25,1184.25,1614.375,2302.5,2382.25,2116.125,2637.875,1171.75,41.59,37.19
0.8,1325.75,1102.875,1448.25,1184.25,1614.375,2302.5,2382.125,2116.125,2637.875,1171.5,41.59,37.14
0.9,1325.75,1102.875,1448.25,1184.25,1614.375,2302.5,2382.125,2116.25,2637.625,1171.25,41.59,37.17
1.0,1325.75,1103,1448.25,1184.25,1614.375,2302.5,2382.125,2116.25,2637.375,1171.125,41.62,37.22
1.1,1325.75,1103,1448.25,1184.25,1614.25,2302.5,2382.125,2116.25,2637.375,1170.875,41.59,37.13
1.2,1325.75,1102.875,1448.25,1184.25,1614.25,2302.375,2382.125,2116.375,2637.125,1170.75,41.61,37.13
1.3,1325.75,1102.875,1448.25,1184.25,1614.25,2302.375,2382.25,2116.375,2637.125,1170.5,41.61,37.22
1.4,1325.75,1102.875,1448.25,1184.25,1614.25,2302.375,2382.125,2116.375,2637,1170.375,41.61,37.2
1.5,1325.75,1102.875,1448.25,1184.25,1614.25,2302.375,2382.25,2116.375,2636.75,1170.125,41.61,37.19
1.6,1325.875,1102.875,1448.25,1184.25,1614.25,2302.375,2382.125,2116.375,2636.75,1170,41.63,37.12
1.7,1325.75,1103,1448.25,1184.25,1614.25,2302.375,2382.125,2116.5,2636.625,1169.75,41.59,37.17
1.8,1325.875,1103,1448.25,1184.25,1614.25,2302.375,2382.125,2116.5,2636.5,1169.625,41.62,37.16
1.9,1325.875,1103,1448.25,1184.25,1614.25,2302.375,2382.125,2116.625,2636.375,1169.5,41.62,37.18
2.0,1325.875,1102.875,1448.25,1184.25,1614.25,2302.375,2382.125,2116.625,2636.25,1169.25,41.58,37.16
2.1,1325.875,1102.875,1448.25,1184.375,1614.25,2302.375,2382.125,2116.625,2636.125,1169.125,41.59,37.1
2.2,1325.875,1103,1448.25,1184.25,1614.25,2302.375,2382.125,2116.625,2636.125,1169,41.59,37.19
