time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1391.25,1138.125,1556.875,1249,1623.875,2289.125,2381.75,2245.5,2604.25,1258,39.83,42.39
0.1,1391.25,1138.125,1556.875,1249,1623.875,2289,2381.625,2245.375,2604.25,1257.875,39.88,42.38
0.2,1391.25,1138,1556.875,1249,1623.875,2289,2381.625,2245.375,2604.25,1257.875,39.86,42.41
0.3,1391.25,1137.875,1556.875,1249,1623.875,2289,2381.625,2245.375,2604.125,1257.875,39.86,42.38
0.4,1391.25,1137.875,1556.875,1249,1624,2289.125,2381.625,2245.25,2604.125,1257.75,39.86,42.41
0.5,1391.25,1137.75,1556.875,1248.875,1623.875,2289.125,2381.625,2245.25,2604.25,1257.75,39.86,42.38
0.6,1391.25,1137.75,1557,1248.875,1623.875,2289,2381.625,2245.125,2604.125,1257.75,39.86,42.4
0.7,1391.25,1137.75,1556.875,1249,1623.875,2289,2381.625,2245.125,2604.125,1257.75,39.88,42.38
0.8,1391.125,1137.625,1556.875,1248.875,1623.875,2289,2381.75,2245.125,2604.25,1257.625,39.88,42.4
0.9,1391.125,1137.5,1556.875,1248.875,1623.875,2289,2381.625,2245.125,2604.125,1257.625,39.86,42.34
1.0,1391.125,1137.5,1556.875,1248.875,1623.875,2289,2381.625,2245,2604.125,1257.625,39.88,42.35
1.1,1391.125,1137.375,1556.875,1248.875,1623.875,2289.125,2381.625,2245,2604.125,1257.625,39.89,42.38
1.2,1391.125,1137.375,1556.875,1248.875,1623.875,2289.125,2381.625,2244.875,2604.125,1257.625,39.88,42.41
1.3,1391,1137.25,1556.875,1248.875,1623.875,2289.125,2381.625,2244.875,2604.125,1257.5,39.88,42.41
1.4,1391.125,1137.25,1556.875,1248.75,1623.875,2289.125,2381.625,2244.75,2604.125,1257.5,39.86,42.35
1.5,1391,1137.125,1556.875,1248.75,1623.875,2289.125,2381.625,2244.75,2604,1257.5,39.91,42.37
