time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1306.75,959,1459.25,1158.125,1618.375,2312.875,2386,1942.5,2534.375,803.625,41.17,39.19
0.1,1306.75,959,1459.375,1158.125,1618.375,2312.875,2386,1942.5,2534.25,803.75,41.18,39.19
0.2,1306.875,959.125,1459.375,1158.25,1618.375,2312.875,2386,1942.625,2534.25,803.625,41.18,39.2
0.3,1306.875,959,1459.375,1158.25,1618.5,2312.875,2386,1942.625,2534.25,803.625,41.17,39.19
0.4,1306.875,959.125,1459.375,1158.375,1618.5,2312.875,2386,1942.75,2534.375,803.75,41.2,39.16
0.5,1307,959,1459.375,1158.375,1618.5,2312.875,2386.125,1942.875,2534.25,803.75,41.21,39.21
0.6,1307.125,959.125,1459.375,1158.5,1618.5,2312.875,2386.125,1943,2534.25,803.75,41.18,39.19
0.7,1307.125,959.125,1459.375,1158.5,1618.5,2312.875,2386.125,1943,2534.25,803.625,41.2,39.22
0.8,1307.125,959.125,1459.375,1158.625,1618.5,2312.875,2386,1943.125,2534.375,803.75,41.21,39.19
0.9,1307.25,959.125,1459.375,1158.625,1618.5,2312.875,2386.125,1943.25,2534.375,803.75,41.2,39.23
1.0,1307.25,959.125,1459.375,1158.75,1618.5,2312.875,2386,1943.25,2534.375,803.75,41.18,39.19
1.1,1307.375,959.125,1459.375,1158.75,1618.5,2312.875,2386.125,1943.375,2534.375,803.75,41.21,39.22
1.2,1307.375,959.125,1459.375,1158.875,1618.5,2312.875,2386.125,1943.375,2534.375,803.75,41.2,39.19
1.3,1307.375,959.125,1459.375,1158.875,1618.5,2312.875,2386,1943.5,2534.375,803.75,41.2,39.21
1.4,1307.5,959.125,1459.375,1159,1618.625,2312.875,2386,1943.625,2534.25,803.75,41.22,39.21
1.5,1307.5,959.125,1459.5,1159,1618.5,2312.875,2386.125,1943.625,2534.375,803.75,41.22,39.18
1.6,1307.625,959.125,1459.375,1159,1618.5,2312.875,2386.125,1943.75,2534.375,803.75,41.21,39.16
1.7,1307.625,959.125,1459.375,1159,1618.625,2312.875,2386,1943.75,2534.375,803.75,41.21,39.19
1.8,1307.75,959.125,1459.375,1159.125,1618.5,2312.875,2386,1943.875,2534.25,803.75,41.21,39.12
1.9,1307.75,959.125,1459.375,1159.125,1618.5,2312.875,2386.125,1943.875,2534.375,803.75,41.21,39.19
2.0,1307.75,959.125,1459.375,1159.125,1618.5,2312.875,2386.125,1944,2534.375,803.75,41.2,39.17
2.1,1307.75,959.125,1459.375,1159.25,1618.5,2312.875,2385.875,1944,2534.375,803.75,41.21,39.13
2.2,1307.75,959.125,1459.375,1159.25,1618.5,2312.75,2386,1944.125,2534.375,803.75,41.22,39.18
2.3,1307.875,959.125,1459.375,1159.25,1618.5,2312.875,2386.125,1944.125,2534.375,803.75,41.21,39.21
2.4,1308,959.125,1459.5,1159.375,1618.5,2312.875,2386,1944.125,2534.25,803.75,41.21,39.18
2.5,1308,959.125,1459.375,1159.375,1618.5,2312.75,2386,1944.25,2534.25,803.75,41.21,39.18
2.6,1308,959.125,1459.5,1159.375,1618.5,2312.75,2386,1944.25,2534.375,803.75,41.21,39.16
2.7,1308,959.125,1459.375,1159.375,1618.5,2312.75,2386,1944.375,2534.375,803.75,41.22,39.16
2.8,1308,959.25,1459.5,1159.5,1618.5,2312.75,2386,1944.375,2534.25,803.75,41.2,39.16
2.9,1308,959.125,1459.5,1159.5,1618.5,2312.75,2386,1944.375,2534.25,803.75,41.21,39.19
3.0,1308,959.125,1459.5,1159.5,1618.5,2312.75,2386,1944.5,2534.25,803.75,41.2,39.16
3.1,1308.125,959.125,1459.5,1159.5,1618.5,2312.75,2386,1944.5,2534.25,803.75,41.2,39.17
3.2,1308.125,959.125,1459.5,1159.5,1618.375,2312.75,2386,1944.5,2534.375,803.75,41.21,39.21
3.3,1308.125,959.125,1459.375,1159.5,1618.375,2312.75,2386,1944.5,2534.25,803.75,41.21,39.18
3.4,1308.125,959,1459.5,1159.5,1618.5,2312.75,2386,1944.625,2534.25,803.75,41.21,39.18
3.5,1308.125,959.125,1459.375,1159.5,1618.375,2312.625,2386,1944.625,2534.25,803.75,41.21,39.15
3.6,1308.125,959.125,1459.375,1159.5,1618.375,2312.75,2386.125,1944.625,2534.375,803.625,41.21,39.16
3.7,1308.25,959.125,1459.375,1159.5,1618.375,2312.625,2386,1944.625,2534.25,803.75,41.22,39.16
3.8,1308.25,959.125,1459.375,1159.5,1618.375,2312.75,2386.125,1944.625,2534.25,803.625,41.21,39.13
3.9,1308.25,959.125,1459.375,1159.5,1618.375,2312.75,2386,1944.625,2534.25,803.75,41.22,39.15
4.0,1308.25,959.125,1459.375,1159.5,1618.375,2312.75,2386.125,1944.75,2534.375,803.75,41.2,39.19
4.1,1308.25,959.125,1459.375,1159.625,1618.375,2312.625,2386,1944.75,2534.25,803.75,41.22,39.15
4.2,1308.25,959.125,1459.375,1159.5,1618.375,2312.75,2386.125,1944.75,2534.25,803.625,41.22,39.22
4.3,1308.25,959.125,1459.375,1159.625,1618.375,2312.75,2386.125,1944.75,2534.25,803.625,41.21,39.13
4.4,1308.25,959.125,1459.375,1159.625,1618.375,2312.75,2386.125,1944.875,2534.25,803.75,41.22,39.15
4.5,1308.375,959.125,1459.375,1159.625,1618.375,2312.75,2386,1944.875,2534.375,803.625,41.22,39.12
4.6,1308.375,959.125,1459.375,1159.625,1618.375,2312.75,2386.125,1944.875,2534.25,803.625,41.24,39.18
4.7,1308.375,959.125,1459.375,1159.625,1618.375,2312.75,2386,1945,2534.25,803.75,41.22,39.16
4.8,1308.375,959.125,1459.375,1159.625,1618.375,2312.75,2386,1945,2534.25,803.75,41.21,39.15
4.9,1308.375,959.25,1459.375,1159.625,1618.375,2312.75,2386.125,1945,2534.25,803.625,41.21,39.13
5.0,1308.375,959.25,1459.25,1159.625,1618.375,2312.75,2386,1944.875,2534.25,803.625,41.22,39.21
5.1,1308.5,959.25,1459.25,1159.5,1618.375,2312.75,2386.125,1945,2534,803.125,41.21,39.15
5.2,1308.5,959.375,1459.125,1159.5,1618.375,2312.75,2386.125,1945,2533.875,802.625,41.22,39.15
5.3,1308.625,959.375,1459.125,1159.375,1618.5,2312.75,2386.125,1945,2533.75,802,41.24,39.18
5.4,1308.625,959.375,1459,1159.375,1618.375,2312.75,2386,1945,2534,801.5,41.21,39.15
5.5,1308.625,959.5,1459,1159.375,1618.5,2312.75,2386.125,1945,2534.5,801,41.21,39.13
5.6,1308.625,959.5,1459,1159.375,1618.5,2313,2386.25,1945,2535.125,800.375,41.22,39.15
5.7,1308.625,959.625,1459,1159.375,1618.625,2313.25,2386.5,1945,2536.125,800,41.24,39.17
5.8,1308.75,960,1458.875,1159.5,1618.75,2313.875,2387,1945.125,2537.5,799.75,41.21,39.15
5.9,1308.875,960.5,1458.75,1159.625,1619,2314.875,2387.625,1945.25,2538.875,799.5,41.21,39.13
6.0,1308.875,961.25,1458.75,1159.875,1619.25,2316.125,2388.625,1945.375,2540.5,799.375,41.22,39.21
6.1,1309,962.375,1458.75,1160.375,1619.625,2317.875,2389.875,1945.75,2542.625,799.625,41.21,39.1
6.2,1309.25,964,1458.875,1160.875,1620.125,2320.25,2391.5,1946.25,2544.625,800.125,41.22,39.13
6.3,1309.5,966,1458.875,1161.5,1620.75,2323,2393.375,1947.125,2546.5,800.75,41.21,39.12
6.4,1309.75,968.625,1458.875,1162.25,1621.5,2326.25,2395.5,1948,2549,801.75,41.21,39.13
6.5,1310.25,971.75,1459,1163.25,1622.5,2329.875,2397.75,1949.375,2551.625,802.875,41.24,39.14
6.6,1310.875,975.375,1459.125,1164.375,1623.625,2333.875,2400.25,1950.75,2553.875,804.25,41.22,39.15
6.7,1311.5,979.75,1459.375,1165.625,1625,2338.25,2402.75,1952.5,2556.5,805.75,41.21,39.15
6.8,1312.25,984.625,1459.5,1167.25,1626.625,2342.75,2405.375,1954.5,2559.125,807.375,41.21,39.15
6.9,1313.25,989.875,1459.75,1168.875,1628.25,2347.375,2407.875,1956.625,2561.625,809.125,41.22,39.16
7.0,1314.25,995.75,1459.875,1170.75,1630.25,2352.25,2410.625,1959.125,2564.125,811,41.22,39.19
7.1,1315.375,1002,1460.125,1172.875,1632.25,2357,2413.375,1961.75,2567,813,41.22,39.16
7.2,1316.75,1008.75,1460.5,1175,1634.5,2361.875,2416.125,1964.625,2569.875,815.125,41.22,39.18
7.3,1318.125,1016,1460.75,1177.5,1636.75,2366.625,2418.75,1967.75,2572.625,817.375,41.22,39.19
7.4,1319.625,1023.5,1461,1180,1639.25,2371.5,2421.375,1971,2575.375,819.625,41.22,39.25
7.5,1321.25,1031.625,1461.375,1182.75,1641.75,2376.25,2424,1974.625,2577.875,822.125,41.22,39.24
7.6,1322.875,1039.875,1461.625,1185.625,1644.375,2381.125,2426.625,1978.375,2580.625,824.625,41.21,39.26
