time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1428.5,1130.625,1464.375,1264.75,1645.125,2303.25,2395.625,2355,2674.625,1180.5,42.47,37.24
0.1,1428.5,1130.75,1464.5,1264.75,1645.125,2303.25,2395.625,2355,2674.625,1180.5,42.49,37.24
0.2,1428.625,1130.75,1464.375,1264.875,1645.125,2303.25,2395.625,2355,2674.625,1180.5,42.47,37.17
0.3,1428.625,1130.875,1464.375,1264.875,1645.25,2303.25,2395.5,2355,2674.75,1180.5,42.46,37.23
0.4,1428.75,1131,1464.375,1264.875,1645.25,2303.25,2395.625,2355,2674.625,1180.5,42.49,37.2
0.5,1428.625,1131,1464.375,1264.875,1645.125,2303.25,2395.625,2355,2674.625,1180.5,42.46,37.25
0.6,1428.75,1131.125,1464.375,1264.875,1645.25,2303.25,2395.625,2355,2674.625,1180.625,42.47,37.21
0.7,1428.75,1131.125,1464.375,1264.875,1645.25,2303.25,2395.625,2355,2674.625,1180.5,42.47,37.2
0.8,1428.75,1131.25,1464.375,1265,1645.25,2303.25,2395.625,2355,2674.625,1180.625,42.47,37.24
0.9,1428.75,1131.25,1464.375,1265,1645.25,2303.25,2395.625,2355,2674.625,1180.625,42.46,37.23
1.0,1428.75,1131.375,1464.375,1265,1645.25,2303.375,2395.5,2355,2674.625,1180.625,42.47,37.21
1.1,1428.75,1131.375,1464.375,1265,1645.25,2303.25,2395.5,2355,2674.75,1180.625,42.47,37.21
1.2,1428.75,1131.375,1464.375,1265,1645.25,2303.25,2395.5,2355,2674.625,1180.75,42.47,37.17
1.3,1428.75,1131.5,1464.375,1265,1645.25,2303.25,2395.625,2355,2674.625,1180.75,42.47,37.23
1.4,1428.75,1131.5,1464.375,1265,1645.375,2303.25,2395.625,2355,2674.625,1180.75,42.49,37.18
1.5,1428.875,1131.625,1464.375,1265,1645.25,2303.25,2395.625,2355,2674.625,1180.75,42.49,37.2
1.6,1428.875,1131.625,1464.375,1265.125,1645.25,2303.25,2395.625,2355,2674.625,1180.75,42.47,37.21
1.7,1428.875,1131.75,1464.375,1265,1645.25,2303.25,2395.625,2355,2674.625,1180.75,42.49,37.2
1.8,1428.75,1131.75,1464.375,1265.125,1645.25,2303.25,2395.625,2355,2674.625,1180.875,42.49,37.23
1.9,1428.875,1131.75,1464.375,1265.125,1645.25,2303.375,2395.625,2355,2674.625,1180.875,42.49,37.18
2.0,1428.875,1131.875,1464.375,1265.125,1645.25,2303.25,2395.5,2355,2674.625,1180.875,42.49,37.18
2.1,1428.875,1131.875,1464.375,1265.125,1645.25,2303.25,2395.625,2355,2674.625,1180.875,42.49,37.21
2.2,1428.875,1131.875,1464.375,1265.125,1645.25,2303.25,2395.625,2355,2674.5,1180.875,42.5,37.23
2.3,1428.875,1132,1464.375,1265.25,1645.25,2303.25,2395.625,2355,2674.625,1180.875,42.49,37.15
