time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1489.375,1115.75,1477.875,1331.125,1631.25,2286.25,2376.125,2477,2671.125,1205.125,39.59,43.03
0.1,1489.5,1115.75,1478,1331.125,1631.25,2286.25,2376.25,2477,2671.125,1205.125,39.61,43.07
0.2,1489.5,1115.625,1477.875,1331.125,1631.25,2286.25,2376.375,2477,2671.125,1205.125,39.59,43.02
0.3,1489.5,1115.625,1478,1331.125,1631.25,2286.25,2376.25,2477.125,2671.25,1205.125,39.59,43.03
0.4,1489.5,1115.625,1478,1331.125,1631.25,2286.25,2376.25,2477,2671.125,1205.125,39.59,43.05
0.5,1489.375,1115.5,1478,1331.125,1631.125,2286.25,2376.25,2477.125,2671.125,1205.125,39.61,43.08
0.6,1489.5,1115.5,1478,1331.125,1631.25,2286.25,2376.125,2477.125,2671.25,1205.125,39.61,43.07
0.7,1489.375,1115.375,1478,1331.125,1631.25,2286.25,2376.25,2477.125,2671.25,1205.125,39.59,43.02
0.8,1489.375,1115.375,1478,1331,1631.25,2286.25,2376.125,2477.25,2671.25,1205.125,39.61,43.11
0.9,1489.5,1115.25,1478,1331,1631.25,2286.25,2376.25,2477.125,2671.25,1205.25,39.61,43.08
1.0,1489.375,1115.25,1477.875,1331,1631.25,2286.25,2376.25,2477.25,2671.125,1205.125,39.61,43.05
1.1,1489.375,1115.125,1478,1331,1631.25,2286.25,2376.25,2477.25,2671.25,1205.125,39.58,43.05
1.2,1489.375,1115.125,1478,1331,1631.125,2286.25,2376.25,2477.25,2671.125,1205.125,39.59,43.09
1.3,1489.375,1115,1478,1331,1631.25,2286.25,2376.25,2477.25,2671.25,1205.125,39.62,43.04
1.4,1489.375,1114.875,1477.875,1331,1631.125,2286.25,2376.25,2477.25,2671.25,1205.125,39.58,43.06
1.5,1489.375,1114.875,1477.875,1331,1631.125,2286.25,2376.25,2477.25,2671.25,1205.125,39.59,43.03
1.6,1489.375,1114.75,1478,1330.875,1631.125,2286.25,2376.25,2477.25,2671.25,1205.125,39.59,43.03
1.7,1489.375,1114.625,1477.875,1330.875,1631.125,2286.25,2376.25,2477.25,2671.125,1205,39.61,43.05
1.8,1489.375,1114.5,1477.875,1330.875,1631.125,2286.25,2376.375,2477.25,2671.125,1205,39.61,43.05
1.9,1489.25,1114.375,1477.875,1330.875,1631.125,2286.25,2376.375,2477.25,2671.125,1205,39.61,43.05
2.0,1489.25,1114.375,1477.875,1330.75,1631.125,2286.25,2376.375,2477.25,2671.125,1205,39.61,43.08
2.1,1489.25,1114.25,1477.875,1330.75,1631.125,2286.25,2376.375,2477.25,2671.125,1204.875,39.62,43.08
2.2,1489.25,1114.125,1477.875,1330.75,1631.125,2286.25,2376.375,2477.25,2671.125,1204.875,39.61,43.05
2.3,1489.25,1114,1477.875,1330.75,1631.125,2286.375,2376.375,2477.25,2671.25,1204.875,39.61,43.05
2.4,1489.25,1113.875,1477.875,1330.625,1631.125,2286.25,2376.25,2477.25,2671.125,1204.875,39.62,43.05
2.5,1489.25,1113.75,1477.875,1330.625,1631.125,2286.25,2376.375,2477.25,2671.125,1204.75,39.59,42.99
2.6,1489.25,1113.625,1477.875,1330.625,1631.125,2286.25,2376.375,2477.25,2671.125,1204.75,39.59,43.03
2.7,1489.125,1113.5,1477.875,1330.625,1631.125,2286.25,2376.5,2477.25,2671.125,1204.625,39.61,42.98
2.8,1489.25,1113.375,1477.875,1330.5,1631.125,2286.25,2376.375,2477.25,2671.125,1204.625,39.61,43.08
2.9,1489.125,1113.125,1477.875,1330.5,1631,2286.25,2376.375,2477.125,2671.125,1204.625,39.61,43.02
3.0,1489.125,1113,1477.875,1330.375,1631.125,2286.25,2376.375,2477.125,2671.125,1204.5,39.62,43.05
3.1,1489,1113,1477.875,1330.375,1631,2286.25,2376.375,2477.125,2671.125,1204.5,39.61,43.05
3.2,1489,1112.75,1477.875,1330.375,1631,2286.375,2376.5,2477.125,2671.125,1204.375,39.59,43.02
3.3,1489,1112.625,1477.875,1330.375,1631,2286.375,2376.375,2477.125,2671.125,1204.375,39.59,43.09
3.4,1489,1112.5,1477.875,1330.25,1631,2286.375,2376.5,2477.125,2671.125,1204.25,39.61,43.05
3.5,1488.875,1112.25,1477.875,1330.25,1631,2286.375,2376.5,2477,2671,1204.25,39.62,43.05
3.6,1488.875,1112.125,1477.875,1330.25,1630.875,2286.375,2376.5,2477,2671,1204.125,39.59,43.06
3.7,1488.875,1111.875,1477.875,1330.125,1630.875,2286.375,2376.5,2477,2671.125,1204,39.61,43.07
3.8,1488.75,1111.75,1477.875,1330.125,1630.875,2286.375,2376.5,2476.875,2671,1204,39.62,43.01
3.9,1488.75,1111.625,1477.875,1330,1631,2286.375,2376.5,2476.875,2671.125,1203.875,39.61,42.99
4.0,1488.625,1111.375,1477.875,1330,1630.875,2286.375,2376.5,2476.875,2671,1203.875,39.62,43.04
4.1,1488.625,1111.25,1477.75,1330,1630.875,2286.375,2376.5,2476.875,2670.875,1203.75,39.62,43.02
4.2,1488.625,1111,1477.875,1329.875,1630.875,2286.375,2376.5,2476.75,2671,1203.625,39.63,43.02
4.3,1488.5,1110.875,1477.875,1329.875,1630.875,2286.5,2376.625,2476.75,2671,1203.5,39.61,43.02
4.4,1488.5,1110.625,1477.875,1329.75,1630.875,2286.375,2376.625,2476.625,2671,1203.5,39.59,43.02
4.5,1488.375,1110.5,1477.875,1329.75,1630.875,2286.5,2376.625,2476.625,2670.875,1203.375,39.61,42.98
4.6,1488.375,1110.375,1477.875,1329.625,1630.875,2286.5,2376.75,2476.625,2671,1203.25,39.62,43.04
4.7,1488.375,1110.125,1477.875,1329.625,1630.875,2286.5,2376.625,2476.625,2670.875,1203.25,39.62,43.02
4.8,1488.375,1110,1477.875,1329.625,1630.875,2286.5,2376.625,2476.5,2670.875,1203.125,39.61,43.01
4.9,1488.375,1109.875,1477.875,1329.5,1630.875,2286.5,2376.625,2476.375,2670.875,1203.125,39.61,43.01
5.0,1488.375,1109.75,1477.75,1329.375,1630.875,2286.5,2376.625,2476.375,2670.875,1203,39.62,43.04
5.1,1488.25,1109.625,1477.75,1329.25,1630.875,2286.5,2376.625,2476.25,2670.875,1202.875,39.61,43.01
5.2,1488.25,1109.5,1477.625,1329.25,1630.875,2286.5,2376.625,2476.25,2670.875,1202.75,39.62,43
5.3,1488.25,1109.375,1477.5,1329.125,1630.875,2286.5,2376.625,2476.125,2671,1202.75,39.62,43.01
5.4,1488.25,1109.25,1477.5,1329,1631,2286.5,2376.625,2476,2671.375,1202.75,39.61,43.02
5.5,1488.25,1109.125,1477.5,1329,1631,2286.625,2376.75,2476,2672,1202.625,39.62,43.02
5.6,1488.25,1109.125,1477.5,1329,1631.125,2286.75,2376.875,2475.875,2672.875,1202.5,39.62,43.02
5.7,1488.25,1109.125,1477.375,1329.125,1631.25,2287.25,2377,2475.875,2673.75,1202.625,39.62,43.04
5.8,1488.25,1109.25,1477.375,1329.375,1631.375,2288,2377.375,2476,2674.75,1202.75,39.63,43.02
