time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1354.75,1015,1450.625,1192.75,1611,2260.125,2370,2111,2572.375,888.625,42.16,35.81
0.1,1354.75,1015,1450.625,1192.75,1611,2260.125,2370.125,2111,2572.25,888.625,42.16,35.85
0.2,1354.75,1015,1450.625,1192.75,1611,2260.125,2370,2111,2572.25,888.5,42.18,35.79
0.3,1354.75,1015,1450.625,1192.75,1611,2260.125,2370,2111,2572.25,888.5,42.19,35.8
0.4,1354.75,1015,1450.625,1192.75,1611,2260.125,2370,2111,2572.25,888.5,42.16,35.82
0.5,1354.75,1015,1450.625,1192.75,1611,2260.125,2370,2111,2572.25,888.5,42.19,35.87
0.6,1354.75,1015,1450.625,1192.75,1611,2260.125,2370,2111,2572.25,888.5,42.19,35.85
0.7,1354.75,1015,1450.625,1192.75,1611,2260.125,2370,2111,2572.125,888.5,42.22,35.81
0.8,1354.75,1015,1450.625,1192.75,1611,2260.125,2370,2111,2572.125,888.375,42.18,35.79
0.9,1354.75,1015,1450.625,1192.75,1611,2260.125,2370,2110.875,2572.125,888.5,42.16,35.82
1.0,1354.75,1015,1450.625,1192.75,1611,2260.125,2370,2110.875,2572.125,888.375,42.2,35.8
1.1,1354.75,1015,1450.625,1192.75,1611,2260.125,2369.875,2110.875,2572.125,888.375,42.19,35.8
1.2,1354.75,1015,1450.625,1192.75,1611,2260.125,2370,2110.875,2572.125,888.375,42.19,35.85
1.3,1354.75,1014.875,1450.625,1192.75,1611,2260.125,2369.875,2110.875,2572.125,888.375,42.18,35.81
1.4,1354.75,1014.875,1450.625,1192.75,1611,2260.125,2370,2110.875,2572,888.375,42.18,35.84
1.5,1354.75,1015,1450.75,1192.75,1611,2260.125,2370,2110.875,2572.125,888.375,42.19,35.81
1.6,1354.625,1014.875,1450.625,1192.75,1611,2260.125,2370,2110.875,2572,888.375,42.2,35.81
1.7,1354.625,1014.875,1450.625,1192.75,1611,2260.125,2370,2110.875,2572,888.375,42.16,35.84
1.8,1354.75,1014.875,1450.75,1192.75,1611,2260.125,2370,2110.875,2572,888.375,42.19,35.8
1.9,1354.625,1014.875,1450.625,1192.75,1611,2260.125,2370,2110.875,2572,888.25,42.19,35.81
2.0,1354.75,1014.875,1450.625,1192.75,1611,2260.125,2370,2110.875,2572,888.25,42.19,35.8
2.1,1354.625,1014.875,1450.625,1192.75,1611,2260.125,2370.125,2110.875,2572,888.25,42.19,35.78
2.2,1354.625,1014.875,1450.625,1192.75,1611,2260.125,2370.125,2110.875,2572,888.25,42.2,35.83
2.3,1354.75,1014.875,1450.625,1192.75,1611.125,2260.25,2370,2110.875,2572,888.25,42.2,35.77
2.4,1354.75,1014.875,1450.75,1192.75,1611.125,2260.25,2370,2110.875,2572,888.25,42.2,35.79
