time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1446,1045.875,1429.875,1276.375,1611.375,2286.25,2367.625,2416.625,2685.625,1094.75,41.21,37.87
0.1,1446,1046,1429.875,1276.375,1611.375,2286.25,2367.5,2416.625,2685.625,1094.75,41.24,37.84
0.2,1446,1045.875,1430,1276.375,1611.25,2286.25,2367.5,2416.5,2685.625,1094.75,41.22,37.9
0.3,1446,1045.875,1430,1276.375,1611.375,2286.25,2367.5,2416.375,2685.625,1094.625,41.21,37.88
0.4,1446,1045.875,1430,1276.375,1611.375,2286.25,2367.5,2416.375,2685.5,1094.625,41.22,37.88
0.5,1445.875,1045.875,1429.875,1276.25,1611.25,2286.25,2367.5,2416.375,2685.5,1094.5,41.21,37.88
0.6,1446,1045.75,1430,1276.25,1611.25,2286.25,2367.5,2416.25,2685.5,1094.5,41.22,37.84
0.7,1445.875,1045.875,1430,1276.375,1611.25,2286.375,2367.5,2416.25,2685.5,1094.375,41.22,37.87
0.8,1445.875,1045.875,1429.875,1276.25,1611.25,2286.375,2367.5,2416.125,2685.5,1094.375,41.24,37.82
0.9,1445.875,1045.875,1429.875,1276.25,1611.25,2286.375,2367.5,2416.125,2685.5,1094.375,41.24,37.84
1.0,1445.875,1045.75,1429.875,1276.25,1611.25,2286.375,2367.375,2416,2685.5,1094.25,41.24,37.91
1.1,1445.875,1045.875,1429.875,1276.25,1611.25,2286.375,2367.625,2416,2685.375,1094.25,41.24,37.84
1.2,1445.875,1045.875,1429.875,1276.125,1611.375,2286.375,2367.625,2415.875,2685.375,1094.125,41.24,37.84
1.3,1445.875,1045.875,1429.875,1276.125,1611.25,2286.25,2367.5,2415.875,2685.375,1094.125,41.22,37.81
1.4,1445.75,1045.75,1429.875,1276.125,1611.25,2286.375,2367.5,2415.75,2685.375,1094.125,41.25,37.87
1.5,1445.875,1045.75,1429.875,1276.125,1611.25,2286.375,2367.5,2415.75,2685.25,1094.125,41.21,37.87
1.6,1445.75,1045.75,1429.875,1276.125,1611.25,2286.375,2367.625,2415.625,2685.375,1094,41.24,37.8
1.7,1445.75,1045.75,1429.875,1276.125,1611.25,2286.375,2367.5,2415.5,2685.375,1094,41.24,37.85
1.8,1445.875,1045.75,1429.875,1276.125,1611.25,2286.375,2367.625,2415.5,2685.25,1093.875,41.24,37.82
1.9,1445.75,1045.75,1429.875,1276.125,1611.25,2286.375,2367.5,2415.375,2685.25,1093.875,41.28,37.83
2.0,1445.75,1045.75,1429.875,1276.125,1611.375,2286.375,2367.5,2415.375,2685.375,1093.75,41.24,37.8
2.1,1445.75,1045.75,1429.875,1276.125,1611.375,2286.375,2367.5,2415.25,2685.25,1093.75,41.25,37.84
2.2,1445.75,1045.75,1429.875,1276,1611.25,2286.375,2367.5,2415.25,2685.25,1093.75,41.25,37.84
2.3,1445.625,1045.75,1429.875,1276,1611.25,2286.5,2367.5,2415.125,2685.25,1093.625,41.25,37.82
2.4,1445.625,1045.75,1430,1276,1611.25,2286.5,2367.625,2415.125,2685.25,1093.625,41.24,37.77
2.5,1445.625,1045.75,1429.875,1276,1611.25,2286.375,2367.625,2415,2685.25,1093.625,41.24,37.81
2.6,1445.625,1045.75,1429.875,1276,1611.375,2286.5,2367.5,2415,2685.125,1093.625,41.25,37.85
2.7,1445.75,1045.625,1429.875,1276,1611.25,2286.5,2367.625,2414.875,2685.125,1093.5,41.25,37.88
2.8,1445.625,1045.75,1429.875,1276,1611.25,2286.5,2367.625,2414.875,2685.125,1093.5,41.24,37.84
2.9,1445.625,1045.75,1429.875,1276,1611.375,2286.625,2367.75,2414.75,2685.125,1093.375,41.25,37.85
3.0,1445.625,1045.75,1430,1276,1611.25,2286.625,2367.625,2414.75,2685.125,1093.375,41.25,37.81
3.1,1445.625,1045.625,1430,1275.875,1611.25,2286.625,2367.75,2414.625,2685.125,1093.25,41.25,37.85
3.2,1445.5,1045.625,1429.875,1275.875,1611.375,2286.625,2367.625,2414.625,2685.125,1093.25,41.25,37.82
3.3,1445.5,1045.75,1429.875,1275.875,1611.375,2286.625,2367.75,2414.625,2685,1093.25,41.25,37.8
3.4,1445.5,1045.625,1429.875,1275.875,1611.375,2286.625,2367.75,2414.5,2685,1093.25,41.25,37.82
3.5,1445.625,1045.625,1429.875,1275.875,1611.375,2286.625,2367.75,2414.375,2685,1093.125,41.25,37.77
3.6,1445.5,1045.625,1429.875,1275.875,1611.375,2286.625,2367.75,2414.375,2685,1093.125,41.25,37.8
3.7,1445.5,1045.625,1430,1275.875,1611.375,2286.625,2367.75,2414.375,2685,1093.125,41.24,37.81
3.8,1445.5,1045.625,1429.875,1275.875,1611.375,2286.75,2367.75,2414.25,2684.875,1093.125,41.25,37.82
3.9,1445.5,1045.625,1429.875,1275.875,1611.375,2286.75,2367.875,2414.25,2684.875,1093,41.27,37.74
4.0,1445.5,1045.625,1429.875,1275.875,1611.375,2286.75,2367.75,2414.125,2684.875,1092.875,41.25,37.78
4.1,1445.5,1045.625,1429.875,1275.75,1611.5,2286.75,2367.75,2414.125,2684.875,1092.875,41.27,37.78
4.2,1445.5,1045.625,1429.875,1275.75,1611.375,2286.75,2367.875,2414,2684.875,1092.875,41.24,37.82
4.3,1445.375,1045.625,1429.875,1275.75,1611.5,2286.75,2367.75,2414,2684.875,1092.875,41.25,37.84
4.4,1445.5,1045.625,1429.875,1275.75,1611.375,2286.75,2367.75,2413.875,2684.75,1092.75,41.25,37.8
4.5,1445.5,1045.5,1429.875,1275.75,1611.375,2286.75,2367.75,2413.875,2684.75,1092.625,41.24,37.81
4.6,1445.5,1045.625,1429.875,1275.75,1611.5,2286.875,2367.75,2413.75,2684.75,1092.75,41.25,37.8
4.7,1445.375,1045.5,1430,1275.75,1611.5,2286.75,2367.625,2413.75,2684.625,1092.625,41.22,37.78
4.8,1445.375,1045.5,1429.875,1275.75,1611.5,2286.75,2367.75,2413.625,2684.625,1092.625,41.22,37.78
4.9,1445.375,1045.5,1429.875,1275.75,1611.5,2286.75,2367.75,2413.625,2684.625,1092.5,41.27,37.81
5.0,1445.375,1045.5,1429.875,1275.625,1611.5,2286.75,2367.75,2413.5,2684.625,1092.5,41.25,37.8
5.1,1445.375,1045.5,1429.75,1275.625,1611.5,2286.75,2367.625,2413.5,2684.5,1092.5,41.25,37.82
5.2,1445.375,1045.5,1429.75,1275.5,1611.5,2286.75,2367.75,2413.375,2684.5,1092.25,41.24,37.78
5.3,1445.375,1045.625,1429.625,1275.375,1611.625,2286.625,2367.75,2413.25,2684.625,1092.25,41.25,37.77
5.4,1445.375,1045.625,1429.625,1275.375,1611.5,2286.75,2367.75,2413.125,2685.125,1092.125,41.25,37.8
5.5,1445.375,1045.625,1429.5,1275.375,1611.625,2286.875,2367.75,2413.125,2685.75,1092.125,41.27,37.84
5.6,1445.5,1045.75,1429.5,1275.5,1611.75,2287.25,2367.875,2413,2686.875,1092,41.25,37.8
5.7,1445.5,1045.875,1429.375,1275.75,1611.875,2287.875,2368.25,2413,2688.5,1092.125,41.25,37.8
5.8,1445.5,1046.25,1429.375,1276.25,1612,2289.125,2368.5,2413.125,2690.625,1092.25,41.24,37.78
5.9,1445.625,1046.875,1429.375,1277.25,1612.5,2291,2369.25,2413.625,2693.125,1092.625,41.27,37.83
6.0,1446,1047.75,1429.5,1278.875,1613.25,2293.375,2370.25,2414.375,2695.875,1093.25,41.25,37.81
6.1,1446.5,1049.125,1429.625,1281,1614.25,2296.375,2371.5,2415.875,2698.875,1094.125,41.24,37.8
6.2,1447.5,1050.75,1429.875,1283.875,1615.625,2300,2373.25,2418.125,2701.875,1095.375,41.24,37.77
6.3,1448.875,1053,1430.25,1287.5,1617.375,2304.375,2375,2421.25,2705.375,1096.75,41.27,37.77
6.4,1450.625,1055.625,1430.875,1291.75,1619.625,2309,2376.875,2425.375,2709,1098.375,41.27,37.81
6.5,1452.875,1058.625,1431.75,1296.75,1622.125,2314.25,2379.125,2430.375,2712.75,1100.125,41.25,37.8
6.6,1455.75,1062.25,1432.75,1302.625,1625.125,2319.75,2381.5,2436.25,2716.75,1102.125,41.25,37.84
6.7,1459,1066.25,1433.875,1309.125,1628.375,2325.375,2383.875,2442.875,2720.75,1104.25,41.27,37.78
6.8,1462.875,1070.75,1435.25,1316.5,1632,2331.25,2386.25,2450.375,2725,1106.5,41.25,37.75
6.9,1467.25,1075.5,1436.75,1324.75,1636,2337.25,2388.75,2458.5,2729.5,1109,41.27,37.81
7.0,1472.125,1080.75,1438.375,1333.375,1640.125,2343.125,2391.25,2467.25,2734,1111.75,41.25,37.85
7.1,1477.375,1086.375,1440.25,1342.875,1644.75,2349,2393.75,2476.75,2738.125,1114.625,41.24,37.84
7.2,1483.25,1092.5,1442.125,1352.875,1649.375,2355,2396.375,2486.75,2742,1117.75,41.25,37.82
7.3,1489.5,1098.875,1444.25,1363.125,1654.125,2360.875,2399,2497.25,2745.625,1120.875,41.25,37.88
7.4,1496.375,1105.75,1446.375,1373.875,1659.375,2366.625,2401.375,2508.375,2749.375,1124.25,41.25,37.91
7.5,1503.625,1112.75,1448.625,1385,1664.625,2372.5,2403.875,2519.75,2753.375,1127.75,41.24,37.88
7.6,1511,1120.125,1450.875,1396.25,1670,2378,2406.375,2531.5,2757.5,1131.125,41.28,37.87
7.7,1518.875,1127.875,1453.25,1408.125,1675.5,2383.375,2408.75,2543.5,2761.75,1134.625,41.25,37.94
7.8,1527.25,1135.875,1455.625,1420.125,1681.125,2388.625,2411,2555.875,2766.25,1138.25,41.27,38.02
7.9,1535.625,1144,1458,1432.25,1686.875,2393.75,2413.25,2568.375,2770.75,1141.75,41.24,38.03
8.0,1544.375,1152.5,1460.375,1444.75,1692.75,2398.75,2415.625,2581.125,2775.25,1145.375,41.24,38.1
8.1,1553.375,1161.125,1462.75,1457.375,1698.625,2403.5,2417.75,2594,2779.625,1148.875,41.25,38.1
8.2,1562.5,1169.875,1465.125,1470,1704.375,2408,2420,2606.875,2783.75,1152.5,41.25,38.16
8.3,1571.875,1178.875,1467.5,1482.75,1710.25,2412.5,2422.125,2620.125,2787.875,1156.5,41.22,38.26
8.4,1581.5,1188,1469.875,1495.625,1716.125,2416.875,2424.25,2633.375,2792.25,1160.25,41.24,38.33
8.5,1591.125,1197.125,1472.125,1508.375,1721.875,2421,2426.125,2646.5,2796.5,1164.125,41.24,38.42
8.6,1600.875,1206.375,1474.375,1521.125,1727.625,2425,2428.125,2659.875,2800.875,1167.875,41.22,38.45
8.7,1610.875,1215.75,1476.625,1534,1733.25,2428.875,2430.125,2673.125,2804.875,1171.875,41.22,38.54
8.8,1620.875,1225.25,1478.75,1546.75,1739,2432.5,2432,2686.375,2808.75,1175.75,41.24,38.57
8.9,1631,1234.75,1480.875,1559.375,1744.625,2436.125,2433.75,2699.75,2812.75,1179.75,41.25,38.7
9.0,1641.125,1244.25,1483,1571.875,1750.25,2439.5,2435.375,2712.875,2816.75,1183.75,41.24,38.8
9.1,1651.25,1253.875,1485,1584.5,1755.75,2442.875,2437,2726.125,2820.875,1187.625,41.24,38.92
9.2,1661.5,1263.5,1487.125,1597,1761.125,2446,2438.75,2739.375,2824.75,1191.5,41.24,39.01
9.3,1671.75,1272.875,1489,1609.125,1766.5,2449,2440.375,2752.25,2828.75,1195.375,41.25,39.12
9.4,1682,1282.5,1490.875,1621.25,1771.75,2452,2442,2765.25,2832.875,1199.25,41.25,39.21
9.5,1692.375,1292,1492.75,1633.375,1777,2454.75,2443.5,2778.25,2836.625,1203.25,41.27,39.34
9.6,1702.375,1301.5,1494.625,1645,1782,2457.25,2444.875,2791,2840.125,1207.25,41.21,39.44
9.7,1712.625,1311,1496.375,1656.625,1787,2459.875,2446.375,2803.75,2843.75,1211.25,41.24,39.57
9.8,1722.875,1320.5,1498.125,1668.25,1791.875,2462.5,2447.75,2816.375,2847.375,1215.25,41.22,39.69
9.9,1732.875,1329.875,1499.75,1679.5,1796.625,2464.875,2449.125,2828.75,2851.125,1219.125,41.24,39.79
10.0,1743,1339.125,1501.375,1690.625,1801.5,2467.25,2450.5,2841.25,2854.875,1223.25,41.25,39.89
10.1,1753,1348.5,1503,1701.5,1806,2469.5,2451.75,2853.5,2858.625,1227.125,41.27,39.97
10.2,1762.875,1357.625,1504.625,1712.25,1810.5,2471.625,2452.875,2865.375,2862.125,1231,41.24,40.08
10.3,1772.75,1366.875,1506.125,1722.75,1815,2473.75,2454.25,2877.375,2865.75,1234.875,41.27,40.29
10.4,1782.5,1375.875,1507.625,1733.125,1819.375,2475.625,2455.375,2889,2869.375,1238.5,41.24,40.41
10.5,1792.125,1384.875,1509.125,1743.375,1823.625,2477.625,2456.625,2900.625,2872.875,1242.25,41.22,40.47
10.6,1801.75,1393.75,1510.5,1753.375,1827.625,2479.375,2457.75,2912.125,2876.5,1246,41.24,40.65
10.7,1811.25,1402.5,1512,1763.25,1831.75,2481.25,2459,2923.375,2880.125,1249.875,41.27,40.77
10.8,1820.5,1411.125,1513.375,1772.875,1835.75,2483,2459.875,2934.5,2883.5,1253.625,41.24,40.86
10.9,1829.75,1419.75,1514.75,1782.375,1839.5,2484.625,2461,2945.375,2886.875,1257.375,41.25,41.02
11.0,1838.875,1428.125,1516,1791.75,1843.375,2486.125,2462,2956.25,2890.125,1261,41.22,41.12
11.1,1847.75,1436.5,1517.375,1800.75,1846.875,2487.625,2463,2966.75,2893.375,1264.625,41.24,41.28
11.2,1856.625,1444.75,1518.625,1809.75,1850.375,2489.25,2464,2977.375,2896.625,1268.375,41.25,41.38
11.3,1865.375,1453,1519.875,1818.5,1853.875,2490.625,2464.875,2987.625,2899.875,1272,41.22,41.48
11.4,1874,1461,1521.125,1827,1857.125,2492,2465.625,2997.75,2903,1275.5,41.22,41.63
11.5,1882.5,1469,1522.375,1835.5,1860.375,2493.375,2466.75,3007.75,2906.125,1279.125,41.25,41.77
11.6,1890.875,1476.875,1523.625,1843.75,1863.625,2494.75,2467.625,3017.5,2909.25,1282.625,41.25,41.91
11.7,1899.125,1484.625,1524.75,1851.625,1866.75,2496,2468.375,3027.125,2912.25,1286.25,41.27,42.05
11.8,1907.25,1492.25,1525.875,1859.5,1869.875,2497.25,2469.375,3036.625,2915.375,1289.75,41.24,42.2
11.9,1915.25,1499.875,1527.125,1867.25,1872.875,2498.5,2470.125,3046,2918.375,1293.375,41.25,42.26
12.0,1923.125,1507.25,1528.25,1874.875,1875.75,2499.625,2471,3055,2921.375,1296.75,41.22,42.44
12.1,1930.875,1514.625,1529.25,1882.125,1878.625,2500.875,2471.75,3064,2924.375,1300.125,41.24,42.55
12.2,1938.5,1521.75,1530.5,1889.5,1881.375,2501.875,2472.375,3072.75,2927.375,1303.5,41.25,42.64
12.3,1946.125,1529,1531.625,1896.5,1884.125,2503,2473.125,3081.5,2930.375,1306.875,41.24,42.75
12.4,1953.5,1536,1532.625,1903.5,1886.75,2504,2473.875,3090,2933.125,1310.125,41.24,42.85
12.5,1960.75,1542.875,1533.625,1910.375,1889.375,2505,2474.625,3098.25,2935.875,1313.5,41.24,42.96
12.6,1967.875,1549.75,1534.75,1917,1891.75,2506,2475.25,3106.5,2938.625,1316.75,41.27,43.11
12.7,1975,1556.5,1535.875,1923.5,1894.25,2507,2476.125,3114.5,2941.375,1320.125,41.24,43.22
12.8,1981.75,1563.125,1536.875,1929.75,1896.625,2507.875,2476.625,3122.375,2944.125,1323.375,41.24,43.3
12.9,1988.625,1569.5,1537.875,1936,1898.75,2508.75,2477.25,3130.125,2946.75,1326.625,41.25,43.39
13.0,1995.375,1576.125,1538.875,1942,1901,2509.625,2478,3137.625,2949.5,1329.75,41.25,43.47
13.1,2001.875,1582.375,1539.875,1947.875,1903.25,2510.375,2478.625,3145,2952.125,1332.75,41.24,43.64
13.2,2008.375,1588.625,1540.875,1953.75,1905.375,2511.125,2479.125,3152.25,2954.875,1335.875,41.24,43.73
13.3,2014.75,1594.75,1541.875,1959.5,1907.375,2511.875,2479.75,3159.5,2957.5,1339,41.25,43.86
13.4,2021,1600.625,1542.875,1965,1909.5,2512.75,2480.375,3166.25,2960.125,1342,41.25,43.95
13.5,2027.25,1606.625,1543.875,1970.625,1911.375,2513.375,2481,3173.25,2962.625,1345,41.27,44.08
13.6,2033.25,1612.375,1544.75,1975.875,1913.375,2514.125,2481.5,3179.875,2965.25,1348,41.22,44.18
13.7,2039.25,1618.125,1545.75,1981.125,1915.125,2514.875,2482,3186.375,2967.75,1350.875,41.24,44.25
13.8,2045.125,1623.875,1546.75,1986.375,1917,2515.5,2482.5,3192.75,2970.25,1353.75,41.24,44.32
13.9,2051,1629.375,1547.75,1991.375,1918.75,2516.125,2483.125,3199.125,2972.75,1356.75,41.24,44.43
14.0,2056.5,1634.875,1548.625,1996.375,1920.5,2516.75,2483.5,3205.25,2975.25,1359.625,41.27,44.55
14.1,2062.125,1640.375,1549.5,2001.125,1922.125,2517.375,2484,3211.375,2977.625,1362.5,41.25,44.62
14.2,2067.625,1645.625,1550.5,2005.875,1923.875,2517.875,2484.5,3217.25,2979.875,1365.375,41.24,44.73
14.3,2073,1650.875,1551.5,2010.625,1925.5,2518.625,2485,3223,2982.25,1368.125,41.22,44.82
14.4,2078.25,1656,1552.375,2015.125,1927.125,2519.125,2485.5,3228.75,2984.625,1371,41.25,44.91
14.5,2083.625,1661.125,1553.375,2019.75,1928.75,2519.625,2486.125,3234.375,2986.875,1373.75,41.22,44.97
14.6,2088.625,1666,1554.25,2024.125,1930.25,2520.125,2486.5,3239.875,2989.25,1376.5,41.22,45.05
14.7,2093.75,1670.875,1555.125,2028.5,1931.75,2520.75,2486.875,3245.125,2991.375,1379.25,41.25,45.13
14.8,2098.75,1675.75,1556.125,2032.75,1933.125,2521.25,2487.375,3250.5,2993.75,1382,41.24,45.22
14.9,2103.625,1680.375,1557,2037,1934.5,2521.625,2487.75,3255.5,2995.875,1384.625,41.25,45.31
15.0,2108.5,1685,1557.875,2041.125,1935.875,2522.125,2488.125,3260.5,2998,1387.375,41.25,45.39
15.1,2113.25,1689.625,1558.875,2045.25,1937.25,2522.625,2488.5,3265.375,3000.25,1390,41.24,45.45
15.2,2117.875,1694.125,1559.75,2049.125,1938.5,2523,2489,3270.25,3002.375,1392.625,41.24,45.49
15.3,2122.5,1698.625,1560.625,2053.125,1939.875,2523.5,2489.375,3274.875,3004.625,1395.25,41.25,45.56
15.4,2127,1703,1561.5,2056.875,1941,2523.875,2489.75,3279.5,3006.625,1397.75,41.25,45.64
15.5,2131.5,1707.25,1562.375,2060.625,1942.125,2524.25,2490.125,3284.125,3008.75,1400.375,41.25,45.71
